Date,Open,High,Low,Close,Volume,OpenInt
2006-02-13,2.07,2.07,2.07,2.07,100,0
2006-02-14,2.41,2.41,2.41,2.41,5000,0
2006-02-21,2.89,2.89,2.89,2.89,2000,0
2006-04-18,4.79,4.79,4.79,4.79,200,0
2006-04-19,5.05,5.1,5.05,5.1,800,0
2006-04-20,5.2,5.2,5.2,5.2,500,0
2006-04-21,5.2,5.2,5.1,5.2,1500,0
2006-04-24,5.02,5.35,5,5.06,11000,0
2006-04-25,5.25,5.25,4.99,4.99,1400,0
2006-04-26,5.18,5.18,5.18,5.18,200,0
2006-04-28,5,5,5,5,500,0
2006-05-02,5,5.05,4.76,5.05,5400,0
2006-05-03,5.05,5.09,4.86,4.86,5800,0
2006-05-04,5.05,5.2,5.05,5.2,3000,0
2006-05-05,5.2,5.2,4.96,4.96,3100,0
2006-05-08,5.1,5.15,5.1,5.15,600,0
2006-05-09,5.21,5.21,5.21,5.21,500,0
2006-05-10,5.35,5.35,5.01,5.01,2800,0
2006-05-12,5.2,5.3,5.2,5.3,500,0
2006-05-15,5.43,5.49,5.43,5.49,1700,0
2006-05-16,5.59,5.59,5.59,5.59,100,0
2006-05-17,5.55,5.55,5.54,5.54,2700,0
2006-05-18,5.54,5.56,5.5,5.56,2800,0
2006-05-19,5.91,6.64,5.91,6.45,8600,0
2006-05-22,6.46,7.2,6.46,6.9,6600,0
2006-05-23,6.9,6.9,6.7,6.7,800,0
2006-05-24,6.81,6.81,6.55,6.8,2900,0
2006-05-25,6.6,6.6,6.6,6.6,500,0
2006-05-26,6.55,6.77,6.55,6.6,1300,0
2006-05-29,6.71,6.75,6.71,6.75,500,0
2006-05-30,6.46,6.46,6.46,6.46,300,0
2006-05-31,6.5,6.5,6.5,6.5,100,0
2006-06-01,6.6,6.6,6.6,6.6,600,0
2006-06-05,6.36,6.36,6.36,6.36,1600,0
2006-06-06,6.1,6.1,5.7,5.99,3800,0
2006-06-07,5.7,6.14,5.7,6.14,1200,0
2006-06-08,6.17,6.17,5,5.8,16200,0
2006-06-09,5.51,5.75,5.51,5.75,1000,0
2006-06-12,5.47,5.8,5.46,5.7,1900,0
2006-06-13,5.75,5.85,5.33,5.82,6500,0
2006-06-14,5.6,5.61,5.51,5.61,3600,0
2006-06-19,5.92,5.92,5.65,5.9,4800,0
2006-06-20,5.6,5.85,5.6,5.85,1500,0
2006-06-21,5.6,5.69,5.51,5.69,3900,0
2006-06-22,5.46,5.69,5.41,5.6,2000,0
2006-06-23,5.65,5.75,5.65,5.75,500,0
2006-06-26,5.75,5.85,5.75,5.85,5800,0
2006-06-27,5.9,6.2,5.63,6.2,7800,0
2006-06-28,6.05,6.15,5.91,5.91,2100,0
2006-06-29,6.14,6.29,6,6.05,9700,0
2006-06-30,5.05,5.35,4.9,5.15,36100,0
2006-07-03,5.06,5.19,4.9,5.1,5100,0
2006-07-04,4.9,5.1,4.81,4.85,11500,0
2006-07-05,4.85,4.85,4.2,4.44,12800,0
2006-07-06,4.21,4.4,3.76,4.14,6500,0
2006-07-07,4.2,4.29,4.1,4.29,3000,0
2006-07-10,4.01,4.29,3.91,4.29,1200,0
2006-07-11,4.29,4.39,4,4.2,22600,0
2006-07-12,4.2,4.39,4.1,4.19,9600,0
2006-07-13,4.1,4.34,4.05,4.2,5800,0
2006-07-14,4.05,4.28,4.05,4.25,6400,0
2006-07-17,4.1,4.2,4.05,4.2,3500,0
2006-07-18,4.05,4.2,3.92,4.2,1300,0
2006-07-19,3.96,4,3.81,4,6200,0
2006-07-20,3.77,4,3.77,4,600,0
2006-07-21,4,4.14,4,4.14,1100,0
2006-07-24,3.9,4.2,3.9,4.2,10300,0
2006-07-27,4.25,4.25,4.25,4.25,100,0
2006-07-28,4.05,4.25,4.05,4.25,1300,0
2006-07-31,4.1,4.29,4,4.18,21000,0
2006-08-01,4.18,4.32,4.01,4.2,4100,0
2006-08-02,4.19,4.19,4.15,4.15,3900,0
2006-08-03,4.15,4.2,4.03,4.2,6100,0
2006-08-04,4,4.15,3.91,4.1,12300,0
2006-08-07,4.01,4.06,3.91,4.06,2000,0
2006-08-08,3.96,4.05,3.89,3.9,3200,0
2006-08-09,4,4.05,4,4.05,2000,0
2006-08-10,4.05,4.05,3.8,4.05,1900,0
