Date,Open,High,Low,Close,Volume,OpenInt
2009-04-06,1.319,1.385,1.31,1.31,3407,0
2009-04-07,1.281,1.394,1.281,1.328,424,0
2009-04-08,1.262,1.536,1.262,1.46,13798,0
2009-04-09,1.46,1.762,1.46,1.602,11357,0
2009-04-14,1.564,1.931,1.564,1.734,15921,0
2009-04-15,1.705,2.026,1.705,1.837,16589,0
2009-04-16,1.837,1.979,1.837,1.865,13798,0
2009-04-17,1.837,1.931,1.837,1.837,212,0
2009-04-20,1.818,1.997,1.8,1.8,14386,0
2009-04-21,1.762,1.875,1.762,1.79,265,0
2009-04-22,1.762,1.894,1.762,1.771,3023,0
2009-04-23,1.771,1.809,1.677,1.8,4843,0
2009-04-27,1.677,1.818,1.677,1.79,955,0
2009-04-28,2.073,2.073,1.743,1.771,8445,0
2009-04-29,1.875,2.063,1.762,1.96,10401,0
2009-04-30,2.063,2.318,1.931,1.988,65589,0
2009-05-04,1.941,2.073,1.875,1.875,13486,0
2009-05-05,1.931,1.931,1.677,1.79,20803,0
2009-05-06,1.762,1.809,1.63,1.686,18656,0
2009-05-07,1.715,1.8,1.63,1.658,5307,0
2009-05-08,1.809,1.809,1.705,1.79,2228,0
2009-05-11,1.79,1.884,1.743,1.884,1698,0
2009-05-12,1.837,1.865,1.8,1.8,4776,0
2009-05-13,1.903,1.903,1.724,1.752,12057,0
2009-05-14,1.696,1.781,1.639,1.639,7781,0
2009-05-15,1.696,1.781,1.592,1.62,2876,0
2009-05-18,1.63,1.658,1.62,1.62,2504,0
2009-05-19,1.705,1.705,1.413,1.507,13872,0
2009-05-20,1.536,1.583,1.507,1.536,1857,0
2009-05-21,1.536,1.583,1.479,1.479,785,0
2009-05-22,1.545,1.545,1.441,1.441,1061,0
2009-05-25,1.555,1.555,1.46,1.526,3476,0
2009-05-26,1.536,1.602,1.507,1.602,3354,0
2009-05-27,1.583,1.62,1.536,1.62,1061,0
2009-05-28,1.696,1.922,1.555,1.79,38964,0
2009-05-29,1.894,1.894,1.555,1.602,53737,0
2009-06-01,1.639,1.639,1.555,1.639,530,0
2009-06-02,1.63,1.649,1.413,1.432,39531,0
2009-06-03,1.47,1.47,1.357,1.413,5956,0
2009-06-04,1.479,1.479,1.357,1.366,4192,0
2009-06-05,1.413,1.413,1.328,1.376,11797,0
2009-06-08,1.413,1.413,1.347,1.347,272,0
2009-06-09,1.413,1.413,1.272,1.31,8692,0
2009-06-10,1.366,1.366,1.206,1.328,11632,0
2009-06-11,1.366,1.441,1.281,1.441,2040,0
2009-06-12,1.479,1.479,1.272,1.347,2438,0
2009-06-15,1.394,1.394,1.347,1.347,673,0
2009-06-16,1.394,1.394,1.3,1.3,849,0
2009-06-17,1.385,1.385,1.244,1.244,2388,0
2009-06-18,1.291,1.31,1.093,1.168,17253,0
2009-06-19,1.225,1.225,1.083,1.131,12577,0
2009-06-22,1.187,1.187,1.046,1.046,6384,0
2009-06-23,1.102,1.131,1.018,1.083,371,0
2009-06-24,1.093,1.131,0.904,1.055,27927,0
2009-06-25,1.244,1.244,1.027,1.083,8703,0
2009-06-26,1.178,1.178,0.942,0.942,28212,0
2009-06-29,1.027,1.027,0.923,0.97,23129,0
2009-06-30,1.027,1.083,0.952,1.083,6899,0
2009-07-01,1.14,1.602,1.055,1.319,16309,0
2009-07-02,1.404,1.507,1.272,1.328,4662,0
2009-07-03,1.385,1.385,1.187,1.244,11198,0
2009-07-06,1.272,1.272,1.083,1.083,11231,0
2009-07-07,1.197,1.197,1.083,1.197,7578,0
2009-07-08,1.234,1.291,1.102,1.291,5466,0
2009-07-09,1.347,1.404,1.093,1.281,11599,0
2009-07-10,1.319,1.385,1.281,1.347,2971,0
2009-07-13,1.413,1.413,1.225,1.225,21992,0
2009-07-14,1.272,1.347,1.131,1.131,3876,0
2009-07-15,1.197,1.328,1.131,1.131,4086,0
2009-07-16,1.187,1.328,1.159,1.281,6315,0
2009-07-17,1.338,1.404,1.281,1.404,3683,0
2009-07-20,1.46,1.46,1.272,1.404,11155,0
2009-07-21,1.46,1.46,1.197,1.225,22395,0
2009-07-22,1.225,1.347,1.225,1.328,8222,0
2009-07-23,1.385,1.385,1.225,1.225,5200,0
2009-07-24,1.319,1.319,1.206,1.206,3821,0
2009-07-27,1.206,1.394,1.187,1.366,8836,0
2009-07-28,1.441,1.441,1.272,1.376,14454,0
2009-07-29,1.423,1.423,1.328,1.328,13745,0
2009-07-30,1.394,1.423,1.319,1.413,13343,0
2009-07-31,1.319,1.413,1.319,1.347,2197,0
2009-08-03,1.394,1.489,1.328,1.489,11399,0
2009-08-04,1.611,1.611,1.413,1.432,8910,0
2009-08-05,1.526,1.526,1.385,1.479,24523,0
2009-08-06,1.526,1.526,1.394,1.413,3184,0
2009-08-07,1.46,1.602,1.394,1.507,74973,0
2009-08-10,1.555,1.602,1.451,1.451,68840,0
2009-08-11,1.517,1.526,1.413,1.441,20421,0
2009-08-12,1.413,1.649,1.413,1.62,23669,0
2009-08-13,1.536,1.62,1.47,1.545,14875,0
2009-08-14,1.592,1.592,1.47,1.526,7535,0
2009-08-17,1.555,1.555,1.413,1.432,56460,0
2009-08-18,1.432,1.507,1.432,1.441,1063,0
2009-08-19,1.498,1.649,1.423,1.573,33637,0
2009-08-20,1.564,1.564,1.441,1.536,40402,0
2009-08-21,1.47,1.555,1.413,1.413,37891,0
2009-08-24,1.507,1.507,1.366,1.366,59501,0
2009-08-25,1.432,1.489,1.347,1.357,158445,0
2009-08-26,1.338,1.46,1.338,1.394,78132,0
2009-08-27,1.507,1.507,1.376,1.441,15144,0
2009-08-28,1.385,1.46,1.385,1.413,61063,0
2009-08-31,1.385,1.46,1.347,1.423,69054,0
2009-09-01,1.376,1.507,1.357,1.366,59920,0
2009-09-02,1.423,1.432,1.319,1.432,21223,0
2009-09-03,1.394,1.413,1.253,1.413,34641,0
2009-09-04,1.347,1.413,1.319,1.413,21435,0
2009-09-07,1.404,1.498,1.347,1.479,38162,0
2009-09-08,1.432,1.705,1.413,1.441,83306,0
2009-09-09,1.432,1.696,1.432,1.696,66480,0
2009-09-10,1.649,1.649,1.423,1.555,81338,0
2009-09-11,1.507,1.592,1.489,1.573,46597,0
2009-09-14,1.517,1.658,1.517,1.611,103598,0
2009-09-15,1.62,1.715,1.573,1.686,74351,0
2009-09-16,1.63,1.79,1.63,1.743,57963,0
2009-09-17,1.639,1.969,1.639,1.969,44993,0
2009-09-18,1.903,2.129,1.903,2.035,65775,0
2009-09-21,2.044,2.063,1.705,1.875,77481,0
2009-09-22,1.847,2.384,1.847,2.242,80543,0
2009-09-23,2.11,3.147,2.11,2.77,201665,0
2009-09-24,2.732,3.071,2.732,2.921,161549,0
2009-09-25,2.76,3.062,1.931,2.808,215903,0
2009-09-28,2.789,2.921,2.289,2.374,92953,0
2009-09-29,2.497,2.525,2.195,2.355,71297,0
2009-09-30,2.346,2.497,2.308,2.384,37678,0
2009-10-01,2.337,2.506,2.318,2.402,35760,0
2009-10-02,2.355,2.487,2.355,2.45,23476,0
2009-10-05,2.421,2.874,2.355,2.666,65257,0
2009-10-06,2.638,2.921,2.638,2.817,44310,0
2009-10-07,2.808,2.845,2.497,2.666,32964,0
2009-10-08,2.685,2.779,2.544,2.6,85523,0
2009-10-09,2.581,2.619,2.544,2.619,29683,0
2009-10-12,2.6,2.619,2.478,2.497,28015,0
2009-10-13,2.478,2.619,2.478,2.591,11686,0
2009-10-14,2.581,2.61,2.44,2.516,11847,0
2009-10-15,2.487,2.581,2.44,2.506,12582,0
2009-10-16,2.468,2.544,2.063,2.402,88838,0
2009-10-19,2.346,2.497,2.214,2.261,25951,0
2009-10-20,2.402,2.421,2.073,2.195,41885,0
2009-10-21,2.261,2.261,2.044,2.223,94877,0
2009-10-22,2.073,2.214,2.073,2.129,18888,0
2009-10-23,2.139,2.28,2.139,2.271,18520,0
2009-10-26,2.346,2.346,2.242,2.289,5611,0
2009-10-27,2.261,2.271,2.148,2.233,6671,0
2009-10-28,2.186,2.233,2.073,2.073,21310,0
2009-10-29,2.148,2.148,1.875,1.931,78394,0
2009-10-30,1.809,2.167,1.809,1.931,34444,0
2009-11-02,1.913,2.11,1.913,1.96,9128,0
2009-11-03,1.96,2.044,1.884,2.035,26594,0
2009-11-04,2.007,2.12,1.988,2.073,14822,0
2009-11-05,2.026,2.092,2.016,2.092,18043,0
2009-11-06,2.063,2.101,1.941,2.101,9878,0
2009-11-09,2.054,2.12,2.026,2.092,4111,0
2009-11-10,2.026,2.158,1.997,2.101,24835,0
2009-11-11,2.092,2.158,2.073,2.158,9179,0
2009-11-12,2.12,2.214,2.073,2.148,24039,0
2009-11-13,2.12,2.205,2.12,2.158,13229,0
2009-11-16,2.158,2.252,2.101,2.158,17088,0
2009-11-17,2.12,2.28,2.11,2.176,6113,0
2009-11-18,2.148,2.289,2.101,2.233,29929,0
2009-11-19,2.186,2.205,2.101,2.12,12459,0
2009-11-20,2.11,2.355,2.073,2.252,31796,0
2009-11-23,2.233,2.393,2.12,2.205,27634,0
2009-11-24,2.289,2.346,2.167,2.242,41768,0
2009-11-25,2.223,2.223,2.101,2.167,53557,0
2009-11-26,2.139,2.214,2.082,2.129,56319,0
2009-11-27,2.044,2.223,2.035,2.223,64874,0
2009-11-30,2.214,2.299,2.176,2.186,27455,0
2009-12-01,2.176,2.271,2.167,2.195,27733,0
2009-12-02,2.158,2.28,2.129,2.158,96310,0
2009-12-03,2.148,2.205,2.12,2.129,43038,0
2009-12-04,2.082,2.252,2.073,2.148,40675,0
2009-12-07,2.11,2.412,2.073,2.393,105321,0
2009-12-08,2.534,2.534,2.318,2.327,122689,0
2009-12-09,2.308,2.421,2.289,2.421,47435,0
2009-12-10,2.374,2.525,2.346,2.516,86589,0
2009-12-11,2.497,2.497,2.421,2.45,70202,0
2009-12-14,2.431,2.544,2.431,2.544,31721,0
2009-12-15,2.468,2.544,2.412,2.468,26140,0
2009-12-16,2.459,2.478,2.355,2.355,69763,0
2009-12-17,2.327,2.45,2.214,2.318,71290,0
2009-12-18,2.271,2.384,2.205,2.28,23285,0
2009-12-21,2.28,2.299,2.214,2.271,13153,0
2009-12-22,2.289,2.327,2.214,2.327,23263,0
2009-12-23,2.252,2.308,2.223,2.223,6508,0
2009-12-28,2.233,2.28,2.214,2.261,5036,0
2009-12-29,2.242,2.261,2.063,2.186,43073,0
2009-12-30,2.148,2.271,2.073,2.167,20296,0
2010-01-04,2.167,2.205,2.11,2.167,47912,0
2010-01-05,2.139,2.233,2.054,2.167,38423,0
2010-01-06,2.13,2.45,2.101,2.45,79579,0
2010-01-07,2.37,2.45,2.337,2.402,87753,0
2010-01-08,2.365,2.45,2.327,2.393,41335,0
2010-01-11,2.402,2.732,2.358,2.638,71571,0
2010-01-12,2.638,2.732,2.623,2.638,66353,0
2010-01-13,2.597,2.77,2.597,2.77,24298,0
2010-01-14,2.742,2.826,2.732,2.77,59579,0
2010-01-15,2.751,2.808,2.261,2.685,234094,0
2010-01-18,2.685,2.789,2.685,2.695,36102,0
2010-01-19,2.695,3.194,2.647,3.098,139834,0
2010-01-20,2.996,3.128,2.845,3.062,78564,0
2010-01-21,3.027,3.166,2.902,3.015,113790,0
2010-01-22,2.921,3.119,2.902,2.949,42822,0
2010-01-25,2.93,3.071,2.892,2.921,40827,0
2010-01-26,2.883,3.015,2.883,3.015,2102,0
2010-01-27,2.968,3.109,2.957,2.968,35085,0
2010-01-28,3.024,3.25,2.996,3.156,34159,0
2010-01-29,3.137,3.229,3.035,3.1,36951,0
2010-02-01,3.1,3.241,3.1,3.203,58271,0
2010-02-02,3.166,3.203,3.1,3.166,36985,0
2010-02-03,3.122,3.174,3.038,3.072,21771,0
2010-02-04,3.071,3.153,2.883,2.904,43533,0
2010-02-05,2.902,2.987,2.714,2.808,103477,0
2010-02-08,2.836,2.967,2.779,2.779,26678,0
2010-02-09,2.723,2.968,2.704,2.949,36770,0
2010-02-10,2.892,2.911,2.735,2.735,14753,0
2010-02-11,2.76,2.911,2.742,2.845,9300,0
2010-02-12,2.78,2.874,2.743,2.874,9798,0
2010-02-15,2.789,2.911,2.789,2.844,16277,0
2010-02-16,2.845,2.911,2.815,2.836,10323,0
2010-02-17,2.855,2.911,2.779,2.901,28016,0
2010-02-18,2.777,2.897,2.777,2.836,8523,0
2010-02-19,2.798,2.911,2.6,2.676,115714,0
2010-02-22,2.648,2.836,2.648,2.808,19294,0
