Date,Open,High,Low,Close,Volume,OpenInt
2006-06-28,5.9368,5.9865,5.8862,5.9162,17718,0
2006-06-29,5.9667,6.0023,5.9667,5.9967,466,0
2006-06-30,5.9967,6.0362,5.9865,6.0165,8157,0
2006-07-03,6.0868,6.1143,6.0062,6.0062,2735,0
2006-07-04,6.0062,6.0661,5.9967,6.0229,13481,0
2006-07-05,6.0062,6.0464,6.0062,6.0362,1802,0
2006-07-06,6.0062,6.1468,6.0062,6.1468,3735,0
2006-07-07,6.1468,6.2771,6.0661,6.2067,2811,0
2006-07-10,6.1666,6.2067,6.1263,6.1966,0,0
2006-07-11,6.2067,6.2668,6.187,6.2526,7626,0
2006-07-12,6.2526,6.2565,6.187,6.233,5119,0
2006-07-13,6.233,6.247,6.187,6.233,3967,0
2006-07-14,6.233,6.2447,6.0062,6.2067,4734,0
2006-07-17,6.2067,6.2067,6.1065,6.1365,8858,0
2006-07-18,6.1065,6.1468,6.1065,6.1365,1924,0
2006-07-19,6.1167,6.1365,6.1065,6.1365,631,0
2006-07-20,6.1365,6.1365,6.1065,6.1365,0,0
2006-07-21,6.1365,6.157,6.1065,6.1365,0,0
2006-07-24,6.1365,6.157,6.1065,6.1365,675,0
2006-07-25,6.1167,6.1822,6.1167,6.1822,5007,0
2006-07-26,6.2067,6.247,6.1666,6.247,11181,0
2006-07-27,6.2067,6.247,6.1666,6.1966,3465,0
2006-07-28,6.2067,6.2265,6.157,6.1822,3853,0
2006-07-31,6.157,6.1822,6.1167,6.1428,4506,0
2006-08-01,6.1263,6.1468,6.1263,6.1468,3080,0
2006-08-02,6.1468,6.165,6.1263,6.1625,981,0
2006-08-03,6.157,6.1625,6.1468,6.1625,35,0
2006-08-04,6.1625,6.1926,6.157,6.1926,4044,0
2006-08-07,6.1926,6.1926,6.157,6.1822,3658,0
2006-08-08,6.157,6.1822,6.157,6.1822,0,0
2006-08-09,6.157,6.1822,6.0661,6.1065,6163,0
2006-08-10,6.1065,6.1065,6.0661,6.0923,770,0
2006-08-11,6.0923,6.1065,6.0464,6.0766,1348,0
2006-08-14,6.0766,6.0868,6.0062,6.0868,1654,0
2006-08-15,6.0464,6.0868,5.9667,6.0267,7318,0
2006-08-16,6.0267,6.0545,5.9265,5.9463,9629,0
2006-08-17,5.9463,6.0062,5.6864,5.782,7189,0
2006-08-18,5.782,5.9265,5.7062,5.8665,12006,0
2006-08-21,5.8665,5.9643,5.7859,5.8467,14171,0
2006-08-22,5.8665,5.9368,5.8467,5.9368,3698,0
2006-08-23,5.9368,5.9368,5.8665,5.9067,30814,0
2006-08-24,5.9067,5.9265,5.8665,5.9123,23,0
2006-08-25,5.8665,5.9265,5.7859,5.8365,2310,0
2006-08-28,5.8365,5.8964,5.7259,5.8563,6266,0
2006-08-29,5.8563,5.8665,5.7559,5.8025,18564,0
2006-08-30,5.7559,5.9265,5.7559,5.8767,2310,0
2006-08-31,5.8767,5.9566,5.8665,5.9265,5662,0
2006-09-01,5.9265,5.9667,5.8862,5.9265,6509,0
2006-09-04,5.9265,5.9667,5.8522,5.872,9105,0
