Date,Open,High,Low,Close,Volume,OpenInt
2000-01-03,71.655,71.655,69.793,69.887,4942,0
2000-01-04,69.515,69.98,68.863,69.98,25897,0
2000-01-05,68.677,68.677,67.002,67.747,17945,0
2000-01-06,67.942,68.63,66.351,67.002,13110,0
2000-01-07,67.188,67.234,66.351,66.816,18806,0
2000-01-10,66.351,67.699,66.351,67.467,29874,0
2000-01-11,67.485,69.793,67.234,69.048,47068,0
2000-01-12,69.608,69.746,68.322,69.746,28048,0
2000-01-13,69.235,69.793,67.653,69.328,8274,0
2000-01-14,68.872,69.375,67.653,69.375,8596,0
2000-01-17,68.89,70.724,68.863,70.631,13648,0
2000-01-18,72.4,72.4,67.467,67.924,13433,0
2000-01-19,67.747,68.677,67.002,68.677,27079,0
2000-01-20,68.677,68.677,66.443,67.467,19772,0
2000-01-21,67.467,67.932,66.535,67.932,16873,0
2000-01-24,66.63,66.909,65.709,66.304,74041,0
2000-01-25,66.443,69.235,66.071,67.839,17945,0
2000-01-26,67.467,69.701,67.467,68.863,73394,0
2000-01-27,68.863,69.422,67.97,68.397,20310,0
2000-01-28,68.397,68.397,67.699,67.699,3977,0
2000-01-31,67.467,67.467,66.118,66.118,13648,0
2000-02-01,66.535,66.535,65.234,65.513,50721,0
2000-02-02,65.234,65.234,63.466,63.512,27403,0
2000-02-03,64.442,64.442,60.581,61.232,16548,0
2000-02-04,60.488,61.884,56.766,58.626,53729,0
2000-02-07,57.23,57.696,54.904,56.3,94995,0
2000-02-08,56.775,60.766,56.775,59.091,48035,0
2000-02-09,58.626,59.232,56.3,57.604,40834,0
2000-02-10,56.486,57.509,56.486,56.952,35461,0
2000-02-11,56.858,57.23,56.3,56.766,42232,0
2000-02-14,56.346,57.741,54.997,55.834,15688,0
2000-02-15,56.952,57.696,56.766,57.696,25897,0
2000-02-16,57.138,57.23,55.834,56.766,19127,0
2000-02-17,57.696,58.161,54.904,56.253,28370,0
2000-02-18,55.834,56.113,53.136,53.973,50184,0
2000-02-21,54.347,56.021,54.347,55.602,9565,0
2000-02-22,55.37,55.742,54.439,54.439,10531,0
2000-02-23,54.904,56.3,54.904,55.788,15153,0
2000-02-24,56.3,56.578,55.136,55.136,12788,0
2000-02-25,55.649,55.649,52.391,53.973,19235,0
2000-02-28,53.043,54.253,53.043,53.973,16873,0
2000-02-29,54.904,54.997,54.066,54.439,28584,0
2000-03-01,54.904,55.136,53.508,54.904,33635,0
2000-03-02,54.904,54.904,53.508,53.508,26113,0
2000-03-03,53.973,54.439,53.378,53.378,17838,0
2000-03-06,53.378,53.973,53.275,53.973,7952,0
2000-03-07,53.973,55.658,53.973,54.904,12251,0
2000-03-08,55.37,55.37,53.973,53.973,7307,0
2000-03-09,54.439,54.439,53.043,53.508,14507,0
2000-03-10,53.043,53.508,50.252,50.252,17193,0
2000-03-13,50.344,52.113,49.786,50.716,19343,0
2000-03-14,50.716,51.927,50.437,51.927,23642,0
2000-03-15,51.182,52.103,51.182,51.182,9458,0
2000-03-16,51.647,53.508,51.647,53.508,22997,0
2000-03-17,55.834,55.834,53.6,53.973,36322,0
2000-03-20,54.347,56.766,54.347,56.392,10747,0
2000-03-21,56.766,59.93,56.113,59.603,35033,0
2000-03-22,60.468,62.349,60.468,61.232,58458,0
2000-03-23,61.139,61.417,58.812,59.091,9026,0
2000-03-24,58.905,60.022,58.626,58.905,30626,0
2000-03-27,59.371,59.371,58.626,59.091,5802,0
2000-03-28,58.44,59.789,57.23,58.543,28263,0
2000-03-29,58.626,58.626,54.532,54.532,31272,0
2000-03-30,55.044,55.834,54.131,54.904,26113,0
2000-03-31,55.742,55.834,54.532,54.802,11714,0
2000-04-03,54.709,54.894,53.889,54.159,39653,0
2000-04-04,54.159,54.159,52.67,53.229,47713,0
2000-04-05,53.881,54.159,53.043,53.973,55128,0
2000-04-06,53.973,53.973,53.787,53.973,29336,0
2000-04-07,53.6,53.973,52.485,53.973,22029,0
2000-04-10,53.508,54.113,53.229,54.066,26327,0
2000-04-11,53.973,53.973,52.113,53.275,29874,0
2000-04-12,53.508,53.973,53.508,53.927,40190,0
2000-04-13,53.508,55.091,53.508,54.113,37289,0
2000-04-14,54.616,58.534,53.462,58.524,32884,0
2000-04-17,54.532,58.44,54.532,57.882,45779,0
2000-04-18,58.068,59.279,57.696,57.882,9242,0
2000-04-19,58.626,59.558,58.617,59.501,39760,0
2000-04-20,59.743,59.808,58.905,59.091,28370,0
2000-04-25,59.091,59.93,58.812,59.185,20203,0
2000-04-26,59.558,60.107,59.548,60.067,18053,0
2000-04-27,60.067,60.199,59.743,59.93,21168,0
2000-04-28,60.116,60.254,59.743,60.209,46853,0
2000-05-02,61.279,62.804,61.279,62.349,27725,0
2000-05-03,62.814,63.279,61.696,63.279,21493,0
2000-05-04,62.386,62.722,62.173,62.218,5372,0
2000-05-05,62.814,63.269,62.535,63.047,17516,0
2000-05-08,62.628,62.908,61.985,62.349,10101,0
2000-05-10,61.604,61.604,59.417,59.558,28263,0
2000-05-11,58.812,58.812,54.625,55.834,31056,0
2000-05-12,57.138,59.091,57.138,58.626,14185,0
2000-05-15,59.091,61.139,58.812,60.953,27186,0
2000-05-16,61.391,62.767,61.185,62.301,35569,0
2000-05-17,62.349,62.349,59.753,59.753,28263,0
2000-05-18,61.046,62.34,60.953,62.34,9887,0
2000-05-19,61.65,62.349,61.614,61.884,13433,0
2000-05-22,62.331,63.475,62.116,62.722,25361,0
2000-05-23,62.349,63.233,62.349,63.187,27618,0
2000-05-24,62.535,62.535,59.651,59.651,9672,0
2000-05-25,60.254,60.488,60.124,60.488,5049,0
2000-05-26,60.347,60.347,56.766,57.696,9242,0
2000-05-29,58.543,60.301,58.543,60.301,12036,0
2000-05-30,59.837,60.209,59.558,60.022,9134,0
2000-05-31,60.301,60.301,58.161,58.626,20847,0
2000-06-01,58.161,58.626,57.788,57.788,6877,0
2000-06-02,58.626,58.626,57.696,58.097,8704,0
2000-06-05,58.785,58.785,56.3,57.604,44274,0
2000-06-06,57.138,57.277,55.462,55.834,83713,0
2000-06-07,55.788,55.788,53.973,55.788,26327,0
2000-06-08,54.066,55.555,52.67,54.812,65766,0
2000-06-09,55.276,55.555,54.122,54.857,25790,0
2000-06-12,54.904,54.997,54.476,54.904,2257,0
2000-06-13,54.457,54.812,52.765,53.229,31164,0
2000-06-14,53.704,54.159,52.391,52.391,34925,0
2000-06-15,53.275,54.253,53.043,53.833,30304,0
2000-06-16,54.159,54.904,53.973,54.347,33956,0
2000-06-19,54.206,54.997,54.206,54.997,35461,0
2000-06-20,54.904,54.949,54.095,54.41,20633,0
2000-06-21,54.894,54.904,53.508,53.508,17945,0
