Date,Open,High,Low,Close,Volume,OpenInt
2000-01-14,59.147,62.89,58.397,61.992,14291,0
2000-01-17,62.521,66.34,62.521,65.517,21502,0
2000-01-18,66.111,66.111,62.142,62.531,14959,0
2000-01-19,62.896,63.646,60.65,61.549,19365,0
2000-01-20,62.515,62.747,61.4,62.523,8414,0
2000-01-21,62.142,63.266,61.767,62.142,9751,0
2000-01-24,62.82,63.053,59.9,62.894,10819,0
2000-01-25,59.154,62.149,58.966,61.026,9482,0
2000-01-26,60.651,62.148,60.209,61.265,9482,0
2000-01-27,61.396,62.892,61.245,61.769,4674,0
2000-01-28,62.083,66.26,57.65,66.26,28716,0
2000-01-31,61.693,61.693,59.522,60.645,7481,0
2000-02-01,59.975,61.024,59.152,59.901,24842,0
2000-02-02,60.985,62.071,59.151,62.071,16295,0
2000-02-03,61.246,64.392,60.835,64.392,24174,0
2000-02-04,65.141,65.889,62.671,62.894,36728,0
2000-02-07,62.89,66.634,62.515,63.639,37399,0
2000-02-08,63.568,69.408,62.145,66.712,21636,0
2000-02-09,68.131,77.116,67.383,74.87,65581,0
2000-02-10,74.114,75.244,69.368,73.372,16161,0
2000-02-11,75.621,84.606,74.874,81.911,44477,0
2000-02-14,79.366,81.987,75.997,81.238,33256,0
2000-02-15,82.359,85.354,77.117,81.61,95095,0
2000-02-16,82.214,83.112,80.117,80.865,18164,0
2000-02-17,80.866,81.241,77.497,79.37,18163,0
2000-02-18,81.012,82.36,76.819,78.616,17630,0
2000-02-21,79.519,83.113,78.695,79.901,19900,0
2000-02-22,83.931,89.622,77.868,80.113,50086,0
2000-02-23,81.241,81.615,76.374,79.37,25108,0
2000-02-24,77.872,81.616,76.375,77.872,34056,0
2000-02-25,79.371,80.868,76.376,76.376,28046,0
2000-02-28,78.619,79.367,71.88,77.421,60501,0
2000-02-29,77.119,78.617,73.375,77.119,43006,0
2000-03-01,80.116,81.987,75.81,79.741,50218,0
2000-03-02,81.239,81.605,80.116,80.565,41002,0
2000-03-03,80.15,86.101,80.112,83.107,49953,0
2000-03-06,87.606,87.606,80.411,81.991,35925,0
2000-03-07,80.861,94.341,80.861,91.043,100840,0
2000-03-08,89.252,92.469,86.108,90.6,78128,0
2000-03-09,91.343,95.088,86.851,91.343,46212,0
2000-03-10,92.1,93.594,88.727,92.1,15893,0
2000-03-14,83.793,89.102,82.378,84.011,26444,0
2000-03-15,82.353,83.858,77.194,82.735,30184,0
2000-03-16,81.615,82.365,78.628,79.37,18563,0
2000-03-17,82.36,83.856,78.616,80.113,25377,0
2000-03-20,80.113,81.611,77.118,80.113,14825,0
2000-03-21,81.237,81.237,76.369,80.113,12022,0
2000-03-22,80.113,81.984,74.872,77.837,22038,0
2000-03-23,77.117,80.861,76.368,77.492,15894,0
2000-03-24,78.615,79.364,71.877,77.111,25911,0
2000-03-27,76.371,80.482,74.874,80.414,10149,0
2000-03-28,81.611,88.349,80.113,87.615,31120,0
2000-03-29,88.724,90.438,85.355,89.696,45144,0
2000-03-30,85.358,89.102,78.506,80.086,17764,0
2000-03-31,74.876,83.86,73.078,78.245,46077,0
2000-04-03,82.455,83.113,77.123,77.483,14423,0
2000-04-04,77.119,83.108,74.873,78.616,21369,0
2000-04-05,76.367,82.357,74.046,74.87,19232,0
2000-04-06,77.046,83.859,77.046,83.859,28314,0
2000-04-07,80.715,85.358,78.319,79.36,30852,0
2000-04-10,80.861,85.345,80.112,83.107,14159,0
2000-04-11,79.736,84.984,79.137,80.485,20703,0
2000-04-12,78.622,80.867,76.008,77.633,28180,0
