Date,Open,High,Low,Close,Volume,OpenInt
2001-03-13,8.4778,8.6973,7.3463,8.1062,274870,0
2001-03-15,7.6871,7.9231,7.3832,7.6616,29628,0
2001-03-16,7.6728,7.7657,7.4703,7.7657,20614,0
2001-03-19,7.6044,7.9928,7.4273,7.9928,38388,0
2001-03-20,8.208,8.208,7.9548,7.9548,18847,0
2001-03-21,7.6207,7.6461,6.7683,7.0468,51899,0
2001-03-22,6.7979,6.7979,5.904,6.0726,51458,0
2001-03-23,6.3266,6.6641,6.082,6.082,13514,0
2001-03-26,6.285,6.3272,5.9053,6.2427,18610,0
2001-03-27,6.0726,6.0726,5.904,6.0726,16006,0
2001-03-28,6.0854,6.1613,5.9082,6.0347,8056,0
2001-03-29,5.954,5.954,5.9117,5.9117,10301,0
2001-03-30,5.9107,5.9107,5.3281,5.9023,12079,0
2001-04-02,5.815,5.815,5.5617,5.5617,10071,0
2001-04-03,5.5558,5.5558,3.8781,3.8781,68203,0
2001-04-04,4.2218,4.8128,3.7151,4.4835,41808,0
2001-04-05,4.4532,5.0605,4.4532,5.0605,44462,0
2001-04-06,5.1491,5.2589,4.7777,4.7862,39567,0
2001-04-09,4.8071,4.8071,4.4528,4.5118,15652,0
2001-04-10,4.6499,5.401,4.5149,5.401,26543,0
2001-04-11,5.3983,5.6766,5.2295,5.6091,31774,0
2001-04-12,5.652,5.7954,5.5761,5.6943,18611,0
2001-04-17,5.4267,5.5617,5.3339,5.5617,25711,0
2001-04-18,5.6077,5.9625,5.6077,5.9117,19893,0
2001-04-19,6.0735,6.1663,5.7531,5.7699,12447,0
2001-04-20,6.157,6.3678,5.9882,6.0726,18496,0
2001-04-23,6.1627,6.1627,5.9095,5.9686,10305,0
2001-04-24,5.9962,6.0722,5.9117,5.9117,4618,0
2001-04-25,5.9117,6.0637,5.9117,5.9117,947,0
2001-04-26,6.0857,6.0857,5.9169,5.9591,4028,0
2001-04-27,5.9461,6.0726,5.9461,6.0726,1067,0
2001-04-30,5.954,5.9878,5.6669,5.9117,22498,0
2001-05-02,5.741,5.9015,5.0066,5.3443,67513,0
2001-05-03,5.144,5.3127,4.9248,4.9754,6760,0
2001-05-04,5.0499,5.0499,4.8135,5.0416,9829,0
2001-05-08,5.0866,5.2638,5.0866,5.1457,14938,0
2001-05-09,5.2156,5.3254,5.0721,5.3254,16826,0
2001-05-10,5.2975,5.9048,5.2131,5.4577,42439,0
2001-05-11,5.5719,5.5719,5.403,5.4199,16820,0
2001-05-14,5.3994,5.3994,4.9355,5.2307,24891,0
2001-05-15,4.9762,5.0773,4.9424,5.0605,2965,0
2001-05-16,4.9842,4.9842,4.7311,4.824,24664,0
2001-05-17,4.9115,4.9537,4.8439,4.8524,21092,0
2001-05-18,4.6456,4.8652,4.6456,4.8146,4025,0
2001-05-21,4.7706,4.9565,4.7706,4.9565,5211,0
2001-05-22,4.8067,4.9754,4.7223,4.9754,44469,0
2001-05-23,4.8072,4.8578,4.6805,4.824,10197,0
2001-05-25,4.8214,4.9565,4.8129,4.9565,10659,0
2001-05-28,4.9818,5.387,4.9818,5.1928,61110,0
2001-05-29,5.1431,5.1431,4.8902,4.8902,20874,0
2001-05-30,4.8914,4.8914,4.6385,4.824,25494,0
2001-05-31,4.7895,5.051,4.6126,5.051,28106,0
2001-06-01,4.9743,5.4388,4.9743,5.4388,31141,0
2001-06-04,5.3581,5.4255,5.3075,5.3158,8769,0
2001-06-05,5.23,5.2468,4.8589,5.1457,9484,0
2001-06-06,5.0682,5.0682,4.8234,4.9754,11128,0
2001-06-07,4.837,5.0226,4.6006,5.0226,31630,0
2001-06-08,4.9681,4.9681,4.8332,4.9092,14345,0
2001-06-11,4.9323,4.9323,4.7215,4.8902,13402,0
2001-06-12,4.8977,4.906,4.7709,4.8807,2014,0
2001-06-13,4.7215,4.8902,4.7215,4.8902,6404,0
2001-06-14,4.8645,4.8645,4.7295,4.7295,1777,0
2001-06-18,4.5103,4.5608,4.1899,4.3417,27282,0
2001-06-19,4.1804,4.2227,3.6738,4.02,62757,0
2001-06-20,3.9099,4.0957,3.8001,4.0957,12552,0
2001-06-21,4.1351,4.2194,3.9916,3.9916,4385,0
2001-06-22,3.9638,4.124,3.9638,4.124,10197,0
2001-06-25,4.0524,4.0862,3.9679,4.0862,2251,0
2001-06-26,3.9701,3.9701,3.5478,3.6322,12667,0
2001-06-27,3.6322,3.6322,3.5309,3.6322,22849,0
2001-06-28,3.5844,3.7363,3.5423,3.7363,11857,0
2001-06-29,3.8781,4.072,3.8781,3.8781,10913,0
2001-07-02,3.8838,3.9514,3.6728,3.774,9711,0
2001-07-03,3.8186,3.9537,3.7172,3.9537,7102,0
2001-07-04,3.9476,4.0489,3.897,3.897,14226,0
2001-07-05,3.9661,3.9831,3.6707,3.7552,19790,0
2001-07-06,3.3825,3.6271,3.1293,3.5849,5809,0
2001-07-09,3.4623,3.6227,3.4623,3.6227,5803,0
2001-07-10,3.6322,3.6745,3.4717,3.6322,4735,0
2001-07-11,3.5309,3.9701,3.5309,3.6322,30188,0
2001-07-12,3.7169,4.0294,3.7169,4.0294,10417,0
2001-07-16,3.8861,3.9537,3.844,3.9537,3197,0
2001-07-17,3.8403,3.8741,3.6714,3.8403,6044,0
2001-07-18,3.841,3.9255,3.7144,3.9255,3199,0
2001-07-19,3.793,3.793,3.793,3.793,474,0
2001-07-20,3.7963,3.7963,3.6192,3.7457,15054,0
2001-07-23,3.5061,3.7257,3.4638,3.7173,7575,0
2001-07-24,3.7324,3.7324,3.3863,3.3863,9355,0
2001-07-25,3.3725,3.5243,3.3557,3.4145,8895,0
2001-07-26,3.3624,3.3624,3.0836,3.0836,12073,0
2001-07-27,3.2066,3.2066,3.2066,3.2066,7111,0
2001-07-30,3.0795,3.3747,3.0795,3.3579,8652,0
2001-07-31,3.3768,3.3768,3.1911,3.3768,11371,0
2001-08-01,3.4197,3.4619,3.4197,3.4619,3316,0
2001-08-02,3.4572,3.4994,3.1199,3.2633,20991,0
2001-08-03,3.3634,3.3634,3.0768,3.2538,11981,0
2001-08-06,3.146,3.3484,3.146,3.3484,355,0
2001-08-07,2.8912,3.3295,2.7816,3.3295,20405,0
2001-08-09,3.1971,3.1971,3.1971,3.1971,237,0
2001-08-10,3.1118,3.2213,3.019,3.1876,9368,0
2001-08-14,3.1697,3.1782,3.1614,3.1782,1068,0
2001-08-15,3.1624,3.1876,3.1624,3.1876,1067,0
2001-08-16,3.0492,3.1589,2.9985,2.9985,3552,0
2001-08-17,2.9795,2.9795,2.9795,2.9795,593,0
2001-08-20,2.7898,2.7898,2.7052,2.7052,4141,0
2001-08-21,2.6032,2.6201,2.6032,2.6201,355,0
2001-08-22,2.5343,2.6019,2.416,2.4498,5446,0
2001-08-23,2.4494,2.5762,2.3566,2.5255,6512,0
2001-08-24,2.409,2.4681,2.3244,2.3836,9701,0
2001-08-27,2.3064,2.6106,2.3064,2.6106,26395,0
2001-08-28,2.701,3.5449,2.701,3.5281,187902,0
2001-08-29,3.4996,3.5418,2.9936,3.1876,37117,0
2001-08-30,3.0355,3.1198,2.7993,2.9512,17197,0
2001-08-31,2.9215,3.0397,2.6682,2.989,19186,0
2001-09-03,2.8985,2.9155,2.5183,2.6958,26862,0
2001-09-04,2.6167,2.7349,2.6167,2.6674,3554,0
2001-09-05,2.4741,2.6853,2.4741,2.6768,3434,0
2001-09-06,2.6728,2.6728,2.6138,2.639,4864,0
2001-09-07,2.6853,2.6853,2.6768,2.6768,2842,0
2001-09-10,2.4576,2.4576,2.2802,2.3646,16577,0
2001-09-11,2.3193,2.3193,1.6868,2.0242,14228,0
2001-09-12,1.9844,2.4404,1.8156,2.4404,29607,0
2001-09-13,2.3765,2.3765,2.2922,2.3175,4508,0
2001-09-14,2.3183,2.5375,2.2761,2.4026,43535,0
2001-09-17,2.5934,2.5934,2.4498,2.4498,830,0
2001-09-18,2.5089,2.5089,2.2809,2.4498,1066,0
2001-09-19,2.4617,2.6388,2.3269,2.3269,25266,0
2001-09-20,2.2882,2.2882,1.9675,1.9675,13027,0
2001-09-21,2.028,2.4844,1.8168,2.2985,28519,0
2001-09-25,2.3669,2.612,2.3585,2.5444,18336,0
2001-09-26,2.6871,2.704,2.5012,2.5349,35148,0
2001-09-27,2.6076,2.6076,2.1941,2.5823,43134,0
2001-09-28,2.5275,2.5698,2.4261,2.5444,21057,0
2001-10-01,2.7302,2.8566,2.6037,2.8566,49131,0
2001-10-02,2.7052,2.8744,2.7052,2.7052,19873,0
2001-10-04,2.8068,2.9501,2.7984,2.9417,37253,0
2001-10-05,2.9935,3.0103,2.867,2.8756,5810,0
2001-10-08,2.8701,3.9083,2.8701,3.6889,74986,0
2001-10-09,3.7974,3.7974,3.173,3.443,75485,0
2001-10-10,3.335,3.6136,3.1999,3.5376,27834,0
2001-10-11,3.6245,3.9195,3.5906,3.793,50777,0
2001-10-12,3.7086,3.8351,3.2787,3.4052,31678,0
2001-10-15,3.4172,3.6282,3.2063,3.2822,15526,0
2001-10-17,3.4519,3.4519,2.9624,3.0552,12679,0
2001-10-18,2.8696,3.376,2.8106,3.2916,21326,0
2001-10-19,3.3295,3.3717,3.2199,3.3295,5932,0
2001-10-22,3.3717,3.4812,3.2873,3.3295,7000,0
2001-10-23,3.3768,3.4528,3.3768,3.3768,3316,0
2001-10-24,3.5041,3.5295,3.386,3.4619,5684,0
2001-10-25,3.386,3.5041,3.386,3.4619,10303,0
2001-10-26,3.5348,3.5348,3.4336,3.4336,6993,0
2001-10-29,3.4579,3.4579,3.4241,3.4241,2134,0
2001-10-30,3.4259,3.4259,3.0378,3.2066,5451,0
2001-10-31,3.0425,3.2538,2.9834,3.2538,1302,0
2001-11-01,3.1903,3.2916,3.1903,3.2916,593,0
2001-11-02,3.2962,3.2962,3.2538,3.2538,2130,0
2001-11-05,3.1518,3.2531,3.1518,3.1686,3905,0
2001-11-06,3.2582,3.4016,3.216,3.216,1896,0
2001-11-07,3.4605,3.4605,3.1651,3.2916,2132,0
2001-11-08,3.3782,3.3782,3.2936,3.3106,2961,0
2001-11-09,3.3885,3.3885,3.3295,3.3295,356,0
2001-11-12,3.3246,3.3331,3.2066,3.2066,1778,0
2001-11-13,3.1617,3.5749,3.1617,3.4145,41276,0
2001-11-14,3.5446,3.7979,3.5278,3.6038,36138,0
2001-11-15,3.6319,3.7585,3.4545,3.4714,23206,0
2001-11-16,3.4424,4.9779,3.4424,4.2186,94817,0
2001-11-19,4.3068,4.4081,3.9183,4.0957,17407,0
2001-11-20,4.2162,4.2162,3.5922,3.9632,22295,0
2001-11-21,3.928,4.4348,3.928,4.2659,79551,0
2001-11-22,4.3474,4.55,4.2884,4.474,26653,0
2001-11-23,4.475,4.8466,4.475,4.72,55663,0
2001-11-26,4.5203,4.6384,4.301,4.5118,61185,0
2001-11-27,4.5456,4.5541,4.4275,4.5118,2134,0
2001-11-28,4.4325,4.5591,4.3059,4.5591,25110,0
2001-11-29,4.2624,4.3888,3.8824,4.3888,14692,0
2001-11-30,4.3114,4.5561,4.1426,4.2186,4740,0
2001-12-03,4.3114,4.5561,4.1426,4.2186,4740,0
2001-12-04,3.9679,4.0947,3.9679,4.0862,4976,0
2001-12-05,4.2171,4.2171,4.0484,4.0484,1897,0
2001-12-06,4.1622,4.1622,4.0862,4.0862,2251,0
2001-12-07,3.9187,4.0369,3.716,4.02,9709,0
2001-12-10,4.1109,4.5161,4.1109,4.2376,24640,0
2001-12-11,4.3867,4.471,4.26,4.4456,8060,0
2001-12-12,4.4511,4.4764,4.3244,4.4173,6158,0
2001-12-13,4.246,4.55,4.246,4.474,18124,0
2001-12-14,4.3888,4.5155,4.22,4.3888,18365,0
2001-12-17,4.2075,4.452,4.2075,4.4267,46609,0
2001-12-19,4.3023,4.3023,4.0829,4.1335,13870,0
2001-12-20,4.1319,4.1319,3.9632,3.9632,12333,0
2001-12-21,4.0092,4.1359,3.7222,4.0767,45022,0
2001-12-27,4.0385,4.0385,3.8025,3.8025,6168,0
2001-12-28,3.8169,3.8169,3.6144,3.6227,16223,0
2002-01-02,3.938,4.0897,3.938,3.9632,3795,0
2002-01-03,3.9548,4.0897,3.9548,3.9632,5099,0
2002-01-04,4.1754,4.2177,4.049,4.2091,13753,0
2002-01-07,4.2946,4.2946,4.0583,4.2186,3082,0
2002-01-08,4.1335,4.1419,4.1335,4.1335,3912,0
2002-01-09,4.1371,4.1371,4.0106,4.0106,2488,0
2002-01-10,3.8856,4.1052,3.8433,4.1052,4381,0
2002-01-11,4.0134,4.1147,3.9627,4.1147,4151,0
2002-01-14,3.969,3.969,3.8592,3.8592,1421,0
2002-01-16,3.9946,4.0285,3.8849,4.02,1539,0
2002-01-17,3.8876,3.8876,3.8876,3.8876,594,0
2002-01-22,3.9632,3.9632,3.9632,3.9632,237,0
2002-01-23,3.8781,3.8781,3.8781,3.8781,1186,0
2002-01-24,3.8778,3.8778,3.7173,3.7173,2249,0
2002-01-25,3.6403,3.7078,3.6403,3.7078,1184,0
2002-01-28,3.6181,3.6181,3.2891,3.4241,25256,0
2002-01-29,3.54,3.6075,3.3293,3.4052,3085,0
2002-01-30,3.3768,3.4612,3.3768,3.3768,1659,0
2002-01-31,3.4619,3.4619,3.4619,3.4619,237,0
2002-02-01,3.6329,3.7173,3.5314,3.7173,15624,0
2002-02-04,3.6539,3.7552,3.5864,3.7552,8888,0
2002-02-05,3.5874,3.8406,3.5874,3.7645,15875,0
2002-02-06,3.7938,3.8781,3.6927,3.8781,17673,0
2002-02-07,3.7951,3.8119,3.7951,3.8119,3795,0
2002-02-08,3.8387,4.3028,3.7966,4.2943,35321,0
2002-02-11,4.3114,4.438,4.2018,4.2186,33898,0
2002-02-12,4.1814,4.2236,3.7937,3.9537,25741,0
2002-02-13,3.819,3.9035,3.7176,3.8781,33968,0
2002-02-14,3.84,3.916,3.84,3.916,355,0
2002-02-15,3.8163,3.9091,3.774,3.774,18478,0
2002-02-18,3.8001,3.8592,3.7747,3.8592,7343,0
2002-02-19,3.7938,3.8781,3.7095,3.8781,13760,0
2002-02-20,4.069,4.0773,3.8495,3.9255,7937,0
2002-02-21,4.1197,4.1787,4.0944,4.1619,7700,0
2002-02-22,4.1375,4.1714,3.9772,4.1714,8171,0
2002-02-25,4.1857,4.3037,4.135,4.3037,14458,0
2002-02-26,4.303,4.3452,4.2186,4.2186,3201,0
2002-02-27,4.2186,4.2186,4.2186,4.2186,1422,0
2002-02-28,4.1389,4.1389,4.1052,4.1052,593,0
2002-03-01,4.2234,4.3417,4.1811,4.3417,4025,0
2002-03-04,4.2193,4.3797,4.2193,4.3037,12917,0
2002-03-05,4.3881,4.4725,4.3037,4.3037,13390,0
2002-03-06,4.4202,4.4456,4.3867,4.4456,12209,0
2002-03-07,4.4322,4.4743,4.3983,4.3983,12200,0
2002-03-08,4.3048,4.4736,4.3048,4.3132,237,0
2002-03-11,4.469,4.469,4.3845,4.4267,594,0
2002-03-12,4.2972,4.2972,3.9005,4.0862,15399,0
2002-03-13,4.2456,4.3216,4.2456,4.3132,2488,0
2002-03-14,4.2155,4.2155,4.0554,4.1903,4389,0
2002-03-15,4.0567,4.0567,4.0484,4.0484,594,0
2002-03-18,4.0475,4.0897,3.9211,3.9632,11028,0
2002-03-19,4.0921,4.4717,4.0921,4.2186,23942,0
2002-03-20,4.3876,4.7672,4.2188,4.7672,36978,0
2002-03-21,4.7223,5.203,4.7223,4.9754,40793,0
2002-03-22,4.8991,5.051,4.6456,5.051,18232,0
2002-03-25,5.1431,5.1431,4.8902,4.8902,9132,0
2002-03-26,4.9138,5.0321,4.7534,5.0321,2962,0
2002-03-27,4.8077,4.8077,4.5124,4.6726,15768,0
2002-03-28,4.7454,5.1928,4.7454,5.1928,28660,0
2002-04-02,5.1026,5.1871,5.0015,5.0605,20156,0
2002-04-03,5.0656,5.1077,4.9811,5.1077,1778,0
2002-04-04,5.0605,5.1449,4.8329,5.0605,18023,0
2002-04-05,4.9339,5.0605,4.9339,5.0605,355,0
2002-04-08,5.0257,5.051,4.9244,5.051,4617,0
2002-04-09,4.8902,4.8902,4.8902,4.8902,119,0
2002-04-10,4.7892,4.8146,4.7301,4.8146,7696,0
2002-04-12,4.7723,4.8146,4.7048,4.8146,2605,0
2002-04-15,4.8146,4.8906,4.8146,4.8146,2131,0
2002-04-16,4.8994,4.9837,4.7135,4.9754,10299,0
2002-04-17,4.9775,5.0619,4.9186,4.9186,8059,0
2002-04-18,4.9186,4.9186,4.9186,4.9186,2370,0
2002-04-19,4.9388,4.9388,4.8713,4.8713,237,0
2002-04-22,4.9129,5.0226,4.9129,5.0226,4738,0
2002-04-23,4.9383,5.0226,4.9383,5.0226,5212,0
2002-04-24,5.068,5.068,5.0426,5.051,1895,0
2002-04-25,4.9769,4.9937,4.8335,4.8335,4504,0
2002-04-26,5.0017,5.027,4.8583,4.9848,1660,0
2002-04-29,4.8959,5.0226,4.8959,5.0226,1422,0
2002-04-30,5.0605,5.0605,5.0605,5.0605,119,0
2002-05-02,4.9896,4.9896,4.4829,4.8713,19900,0
2002-05-03,4.7749,4.9773,4.5556,4.6821,4149,0
2002-05-06,4.7209,4.7295,4.7209,4.7295,473,0
2002-05-07,4.6384,4.6384,4.5118,4.5118,2017,0
2002-05-08,4.4853,4.6371,4.4853,4.578,1423,0
2002-05-09,4.692,4.8524,4.692,4.8524,3555,0
2002-05-10,4.7295,4.8055,4.7295,4.7295,5920,0
2002-05-13,4.5983,4.5983,4.2102,4.2186,29512,0
2002-05-14,4.4239,4.6348,4.3815,4.6348,13266,0
