Date,Open,High,Low,Close,Volume,OpenInt
2008-06-27,42.055,49.038,40.75,48.628,1841785,0
2008-06-30,50.065,50.16,47.453,48.189,497512,0
2008-07-01,48.277,48.277,45.998,47.269,161271,0
2008-07-02,46.884,47.226,44.184,46.436,170060,0
2008-07-03,45.85,45.85,44.184,44.317,151456,0
2008-07-04,44.816,45.271,43.807,44.685,79094,0
2008-07-07,45.035,46.875,44.246,44.57,57410,0
2008-07-08,43.94,44.509,43.457,43.807,100895,0
2008-07-09,44.045,44.755,43.983,44.755,20658,0
2008-07-10,44.685,46.016,44.246,46.016,63231,0
2008-07-11,46.436,46.436,45.183,45.56,38807,0
2008-07-14,45.123,45.648,45.123,45.123,17805,0
2008-07-15,45.21,45.21,43.807,44.246,33212,0
2008-07-16,44.246,44.597,42.932,43.37,123379,0
2008-07-17,43.913,46.007,43.807,45.56,29561,0
2008-07-18,45.692,45.998,45.105,45.123,31614,0
2008-07-21,45.123,48.189,45.123,48.189,29561,0
2008-07-22,48.189,50.151,48.18,49.485,60034,0
2008-07-23,49.591,49.765,46.962,47.312,27278,0
2008-07-24,47.488,47.488,43.807,43.807,61062,0
2008-07-25,44.238,45.446,43.15,45.385,30018,0
2008-07-28,45.035,45.455,44.246,45.035,21114,0
2008-07-29,44.947,45.998,44.246,45.604,14380,0
2008-07-30,45.998,48.583,45.123,45.306,37550,0
2008-07-31,46.411,48.628,46.13,47.751,30816,0
2008-08-01,48.189,49.029,47.356,47.962,18032,0
2008-08-04,48.189,50.16,48.189,49.029,29446,0
2008-08-05,49.065,50.817,49.065,49.853,34126,0
2008-08-06,50.318,50.905,49.311,50.204,14380,0
2008-08-07,50.204,50.809,49.108,50.257,17805,0
2008-08-08,49.783,49.783,46.209,47.4,37664,0
2008-08-11,48.013,48.013,45.648,45.823,14837,0
2008-08-12,46.253,48.18,45.132,45.998,13011,0
2008-08-13,46.7,48.89,45.998,46.788,40061,0
2008-08-14,48.819,53.446,48.128,52.044,384633,0
2008-08-15,51.685,54.278,51.299,53.971,97813,0
2008-08-18,54.375,56.933,54.26,55.637,45996,0
2008-08-19,56.074,56.424,55.505,56.074,39490,0
2008-08-20,56.592,59.141,56.592,57.196,82405,0
2008-08-21,57.782,58.327,54.743,54.761,48049,0
