Date,Open,High,Low,Close,Volume,OpenInt
2005-10-12,14.397,15.368,14.073,15.19,3881047,0
2005-10-13,15.255,15.262,14.037,14.125,397844,0
2005-10-14,14.218,14.492,13.909,14.125,510360,0
2005-10-17,14.363,14.363,14.145,14.224,113490,0
2005-10-18,14.354,15.319,14.254,14.909,197948,0
2005-10-19,14.815,15.116,14.577,14.75,111269,0
2005-10-20,14.93,15.116,14.572,14.572,39868,0
2005-10-21,14.541,15.037,14.541,14.686,15281,0
2005-10-24,14.822,15.406,14.822,15.262,54314,0
2005-10-25,15.356,15.356,14.822,14.822,29589,0
2005-10-26,15.089,15.089,14.492,14.492,23059,0
2005-10-27,14.506,14.903,14.506,14.758,48758,0
2005-10-28,14.75,14.903,14.577,14.903,40561,0
2005-10-31,14.903,14.937,14.758,14.827,2361,0
2005-11-01,14.766,14.937,14.577,14.744,21530,0
2005-11-02,14.686,14.721,14.541,14.548,110157,0
2005-11-03,14.577,14.615,14.397,14.413,43480,0
2005-11-04,14.75,14.75,14.557,14.557,10001,0
2005-11-07,14.47,14.715,14.42,14.42,23475,0
2005-11-08,14.397,14.966,14.397,14.844,43480,0
2005-11-09,14.827,14.827,14.65,14.686,3889,0
2005-11-10,14.47,14.615,14.47,14.615,3751,0
2005-11-11,14.541,14.758,14.506,14.758,4587,0
2005-11-14,14.615,15.037,14.615,15.024,6945,0
2005-11-15,14.903,15.046,14.827,14.827,3889,0
2005-11-16,14.937,15.349,14.827,15.116,14725,0
2005-11-17,15.319,15.636,15.226,15.471,32783,0
2005-11-18,15.462,15.607,15.319,15.551,35838,0
2005-11-21,15.586,15.752,15.477,15.694,29589,0
2005-11-22,15.765,16.197,15.657,15.945,48341,0
2005-11-23,16.183,16.514,15.945,16.413,11529,0
2005-11-24,16.601,16.658,15.124,16.197,57092,0
2005-11-25,16.197,16.269,15.837,16.197,5974,0
2005-11-28,16.269,16.305,15.837,15.981,19309,0
2005-11-29,16.054,16.262,15.981,16.004,11945,0
2005-11-30,16.127,16.197,15.873,16.054,19309,0
2005-12-01,16.018,16.054,15.981,15.981,17781,0
2005-12-02,15.981,16.054,15.981,16.054,12641,0
2005-12-05,16.147,16.147,15.557,15.837,36950,0
2005-12-06,15.981,15.981,15.694,15.981,4028,0
2005-12-07,15.837,16.018,15.645,15.909,6807,0
2005-12-08,15.622,15.909,15.551,15.909,4028,0
2005-12-09,15.837,15.837,15.411,15.802,7641,0
2005-12-12,15.765,16.089,15.622,15.809,28060,0
2005-12-13,15.831,15.831,15.305,15.513,23754,0
2005-12-14,15.406,15.657,15.116,15.434,5557,0
2005-12-15,15.471,15.471,14.844,15.362,7641,0
2005-12-16,15.19,15.19,14.973,15.19,3751,0
2005-12-19,15.19,15.262,15.011,15.181,10835,0
2005-12-20,15.116,15.255,14.937,15.255,11667,0
2005-12-21,14.981,15.262,14.526,14.966,4864,0
2005-12-22,14.693,14.973,14.65,14.844,10974,0
2005-12-23,14.793,15.105,13.786,14.023,25697,0
2005-12-26,14.023,14.023,14.023,14.023,0,0
2005-12-27,13.822,14.181,13.822,13.943,2086,0
2005-12-28,14.073,14.801,14.037,14.397,24032,0
2005-12-29,14.658,14.827,14.27,14.506,4028,0
2005-12-30,14.541,14.541,14.289,14.397,419,0
2006-01-02,14.254,14.615,14.181,14.615,1113,0
2006-01-03,14.42,15.116,14.42,14.937,8891,0
2006-01-04,15.046,15.046,14.577,14.758,9445,0
2006-01-05,14.766,14.952,14.721,14.721,4028,0
2006-01-06,14.455,14.47,14.254,14.254,3474,0
2006-01-09,14.506,14.506,14.37,14.506,38893,0
2006-01-10,14.413,14.463,14.363,14.363,28479,0
2006-01-11,14.397,14.397,14.376,14.397,21530,0
2006-01-12,14.397,14.541,14.37,14.506,40979,0
2006-01-13,14.463,14.577,13.829,14.326,27503,0
2006-01-16,14.397,14.397,14.145,14.363,11807,0
2006-01-17,14.145,14.145,13.894,13.894,12223,0
2006-01-18,13.865,13.865,13.254,13.549,11114,0
2006-01-19,13.447,14.506,13.318,14.397,43620,0
2006-01-20,14.952,15.19,14.389,14.397,36950,0
2006-01-23,14.47,14.658,14.397,14.658,5835,0
2006-01-24,14.397,14.65,14.326,14.397,23059,0
2006-01-25,14.397,14.506,14.363,14.397,15974,0
2006-01-26,14.506,14.65,14.47,14.541,31257,0
2006-01-27,14.903,15.226,14.693,15.116,18336,0
2006-01-30,15.333,16.104,14.827,15.622,57092,0
2006-01-31,16.197,17.637,16.16,17.421,101266,0
2006-02-01,17.746,17.746,16.844,17.455,46675,0
2006-02-02,17.278,19.077,17.278,18.718,42923,0
2006-02-03,18.718,18.718,17.995,18.718,13754,0
2006-02-06,19.026,19.026,18.5,18.5,6388,0
2006-02-07,18.572,18.718,18.5,18.572,3196,0
2006-02-08,18.572,18.711,18.5,18.572,2223,0
2006-02-09,18.537,18.718,18.5,18.5,5974,0
2006-02-10,18.718,19.077,18.508,18.572,12362,0
2006-02-13,18.436,18.718,18.291,18.314,5000,0
2006-02-14,18.572,19.077,17.585,17.895,79317,0
2006-02-15,17.895,17.995,17.564,17.852,13890,0
2006-02-16,17.831,17.926,17.637,17.852,21254,0
2006-02-17,17.995,17.995,17.371,17.494,13334,0
2006-02-20,17.659,17.995,17.455,17.564,7641,0
2006-02-21,17.65,17.995,17.65,17.852,2919,0
2006-02-22,17.995,17.995,17.709,17.852,2086,0
2006-02-23,17.961,17.99,17.564,17.564,9862,0
2006-02-24,17.767,17.796,17.602,17.602,1807,0
2006-02-27,17.817,17.995,17.564,17.926,19170,0
2006-02-28,17.995,17.995,17.581,17.709,14587,0
2006-03-01,17.852,17.852,17.637,17.852,18336,0
2006-03-02,18.077,18.077,17.543,17.543,14169,0
2006-03-03,17.788,17.903,16.736,17.096,8612,0
2006-03-06,16.946,17.185,16.478,16.868,7641,0
2006-03-07,16.63,16.844,16.556,16.556,3335,0
2006-03-08,16.485,16.63,15.391,15.419,16670,0
2006-03-09,15.866,16.434,15.586,16.434,8335,0
2006-03-10,16.464,16.623,16.464,16.595,5000,0
2006-03-13,16.234,16.63,16.234,16.342,2223,0
2006-03-14,16.413,17.096,16.413,16.888,9723,0
2006-03-15,17.01,17.04,16.378,16.499,4305,0
2006-03-16,16.413,16.485,16.197,16.485,5419,0
2006-03-17,16.413,16.809,16.413,16.809,11114,0
2006-03-20,16.809,16.919,16.556,16.844,11253,0
2006-03-21,16.666,17.845,16.63,17.845,27090,0
2006-03-22,17.637,17.888,17.637,17.888,6668,0
2006-03-23,17.926,17.926,17.637,17.637,1807,0
2006-03-24,17.709,18.185,17.709,18.156,17503,0
2006-03-27,18.171,18.171,17.033,17.278,16530,0
2006-03-28,17.278,18.119,16.485,16.716,21254,0
2006-03-29,16.953,17.436,16.919,17.436,30422,0
2006-03-30,17.506,17.774,17.205,17.774,20281,0
2006-03-31,17.378,18.286,17.169,17.781,55009,0
2006-04-03,17.53,18.286,17.421,17.421,22089,0
2006-04-04,17.421,17.781,17.421,17.429,12223,0
2006-04-05,17.637,17.637,17.096,17.148,22226,0
2006-04-06,17.278,17.522,17.148,17.386,4305,0
2006-04-07,17.155,17.494,17.155,17.494,14450,0
2006-04-10,17.348,17.995,17.348,17.732,16391,0
2006-04-11,17.709,17.995,17.292,17.292,46951,0
2006-04-12,17.421,17.694,17.248,17.694,82512,0
2006-04-13,17.581,18.5,17.581,18.314,53896,0
2006-04-14,18.314,18.314,18.314,18.314,0,0
2006-04-17,18.314,18.314,18.314,18.314,0,0
2006-04-18,18.14,18.926,18.14,18.754,24032,0
2006-04-19,18.926,19.984,18.754,19.458,24726,0
2006-04-20,19.179,19.437,19.091,19.213,3889,0
2006-04-21,19.077,19.293,18.969,18.969,5141,0
2006-04-24,18.933,19.523,18.861,19.148,40146,0
2006-04-25,19.113,19.409,18.43,18.43,8055,0
2006-04-26,18.43,18.933,18.43,18.572,4864,0
2006-04-27,18.329,19.077,18.329,18.718,5000,0
2006-04-28,18.718,18.897,18.371,18.371,2638,0
2006-05-01,18.371,18.371,18.371,18.371,0,0
2006-05-02,18.718,20.042,18.291,19.798,24449,0
2006-05-03,19.798,19.798,19.055,19.055,7086,0
2006-05-04,18.78,18.933,18.43,18.537,7641,0
2006-05-05,18.272,18.897,18.14,18.393,9723,0
2006-05-08,18.616,19.077,18.322,18.322,9031,0
2006-05-09,18.393,18.933,18.393,18.551,13195,0
2006-05-10,18.364,19.25,18.286,18.465,135160,0
2006-05-11,18.371,18.572,18.322,18.322,2361,0
2006-05-12,18.062,18.43,17.348,17.348,23892,0
2006-05-15,17.278,17.313,16.919,16.919,24311,0
2006-05-16,16.674,16.989,16.586,16.679,974,0
2006-05-17,16.919,17.558,16.859,16.859,12641,0
2006-05-18,16.832,17.169,16.63,16.63,8055,0
2006-05-19,16.63,17.335,16.63,17.313,29449,0
2006-05-22,17.027,17.169,16.485,16.485,12362,0
2006-05-23,15.147,16.004,13.829,16.004,35283,0
2006-05-24,15.772,16.147,15.551,15.853,10557,0
2006-05-25,16.074,16.16,15.837,16.16,18336,0
2006-05-26,15.916,16.556,15.916,16.234,14587,0
2006-05-29,16.413,16.556,16.413,16.556,2223,0
2006-05-30,16.413,16.413,15.823,15.831,6945,0
2006-05-31,15.406,15.477,15.116,15.434,5695,0
2006-06-01,15.219,15.477,15.112,15.477,2361,0
2006-06-02,15.551,15.837,15.513,15.837,11667,0
2006-06-05,16.06,16.074,15.802,15.831,12641,0
2006-06-06,15.73,15.809,15.694,15.694,974,0
2006-06-07,15.722,15.722,14.981,15.124,10557,0
2006-06-08,15.204,15.204,14.254,14.332,10420,0
2006-06-09,14.145,14.541,14.145,14.397,15560,0
2006-06-12,14.52,14.52,14.11,14.11,17641,0
2006-06-13,14.11,14.397,14.11,14.254,18197,0
2006-06-14,14.169,14.218,13.966,14.037,24171,0
2006-06-19,14.363,15.062,14.326,15.062,12086,0
2006-06-20,15.011,15.759,15.011,15.687,12919,0
2006-06-21,15.477,15.513,15.269,15.269,7918,0
2006-06-22,15.341,15.341,15.116,15.116,25003,0
2006-06-23,15.131,15.19,15.08,15.08,3611,0
2006-06-26,15.024,15.116,15.024,15.116,832,0
2006-06-27,15.116,15.551,15.116,15.477,11114,0
2006-06-28,15.19,15.277,14.909,15.046,5279,0
2006-06-29,14.878,15.147,14.827,14.937,1668,0
