Date,Open,High,Low,Close,Volume,OpenInt
2011-06-10,9.1,9.1,8.601,8.751,184025,0
2011-06-13,8.75,8.838,8.1,8.75,32457,0
2011-06-14,8.534,8.63,8.3,8.48,7058,0
2011-06-15,8.48,8.76,8.101,8.736,1131,0
2011-06-16,8.736,8.736,8.3,8.499,1821,0
2011-06-17,8.499,8.535,8.2,8.25,4761,0
2011-06-20,8.3,8.325,7.751,8.2,4403,0
2011-06-21,8.2,8.282,7.88,8,3315,0
2011-06-22,8,8.025,7.5,8,6957,0
2011-06-23,7.75,8,7.61,7.65,1684,0
2011-06-24,7.65,7.7,7.275,7.3,8973,0
2011-06-27,7.3,7.6,6.7,7.555,3717,0
2011-06-28,7.16,7.5,6.5,7.05,4224,0
2011-06-29,7.1,7.1,6.5,6.66,5265,0
2011-06-30,6.2,7.5,6.2,7.346,15298,0
2011-07-01,7.272,8.037,7.199,7.346,4252,0
2011-07-04,7.929,7.96,7.75,7.84,713,0
2011-07-05,7.891,8.8,7.75,8.333,5980,0
2011-07-06,8.166,8.301,8.01,8.301,7,0
2011-07-07,8.085,8.23,7.91,8.046,241,0
2011-07-08,8.085,8.25,7.9,8.045,961,0
2011-07-11,8,8.05,7.808,7.98,33,0
2011-07-12,7.808,7.95,7.65,7.9,175,0
2011-07-13,7.731,7.89,7.581,7.815,301,0
2011-07-14,7.676,7.82,7.6,7.62,599,0
2011-07-15,7.677,7.83,7.6,7.71,4052,0
2011-07-18,7.677,7.83,7.6,7.715,731,0
2011-07-19,7.752,7.86,7.66,7.741,62,0
2011-07-20,7.68,7.95,7.604,7.756,3,0
2011-07-21,7.88,8.1,7.71,8.05,2698,0
2011-07-22,8.3,8.3,7.97,8.05,314,0
2011-07-25,8.3,8.31,7.85,8.125,5964,0
2011-07-26,7.986,7.986,7.51,7.788,1886,0
2011-07-27,7.676,7.878,7.555,7.555,1175,0
2011-07-28,7.878,7.878,7.13,7.7,2985,0
2011-07-29,7.13,7.19,7,7,9,0
2011-08-01,7.13,7.249,6.801,7.15,981,0
2011-08-02,7.13,7.13,5.9,7.123,10975,0
2011-08-03,5.881,5.94,4.35,5.7,22414,0
2011-08-04,4.91,4.989,3.9,4.601,22693,0
2011-08-05,4.494,4.494,3.55,4.005,33310,0
2011-08-08,4.08,4.45,3.85,3.85,13765,0
2011-08-09,4.25,4.25,3.7,3.98,28474,0
2011-08-10,4,4.1,3.85,3.916,18322,0
2011-08-11,3.97,3.99,3.785,3.785,11746,0
2011-08-12,3.963,3.97,3.78,3.9,21357,0
2011-08-15,3.889,4,3.67,3.802,40876,0
2011-08-16,3.989,4.1,3.8,3.985,16794,0
2011-08-17,3.87,4.25,3.75,3.84,30419,0
2011-08-18,4.169,4.35,4.137,4.137,15287,0
2011-08-19,4.2,5,4.15,4.2,12020,0
2011-08-22,4.9,5.85,4.65,4.65,36340,0
2011-08-23,4.898,5.2,4.83,4.87,2556,0
2011-08-24,4.878,4.9,4.75,4.862,1080,0
2011-08-25,4.807,5.25,4.7,4.74,13957,0
2011-08-26,4.95,5.195,4.875,5.195,5161,0
2011-08-29,5.43,5.92,5.171,5.684,20548,0
2011-08-30,5.606,5.85,5.01,5.25,23146,0
2011-08-31,5.197,5.45,5.06,5.3,718,0
2011-09-01,5.3,5.8,5.247,5.8,10591,0
2011-09-02,5.8,5.9,5.68,5.9,468,0
2011-09-05,5.9,5.9,5.644,5.801,6866,0
2011-09-06,5.73,6.17,5.7,6,10325,0
2011-09-07,5.98,6.49,5.854,6.3,4104,0
2011-09-08,6.3,6.5,6.237,6.4,2079,0
