Date,Open,High,Low,Close,Volume,OpenInt
2006-10-16,14.135,14.551,14.041,14.165,2017465,0
2006-10-17,14.276,14.937,14.182,14.795,616955,0
2006-10-18,15.031,15.162,14.606,14.748,269851,0
2006-10-19,14.655,14.88,14.428,14.606,186338,0
2006-10-20,14.606,14.889,14.606,14.889,82452,0
2006-10-23,14.937,14.975,14.701,14.945,113544,0
2006-10-24,15.275,15.351,14.889,15.049,344663,0
2006-10-25,15.078,15.314,14.984,15.049,186020,0
2006-10-26,15.172,15.558,14.758,15.21,188673,0
2006-10-27,15.172,15.304,14.72,14.984,125004,0
2006-10-30,14.842,14.842,14.418,14.776,104841,0
2006-10-31,14.88,15.172,14.606,14.606,83832,0
2006-11-01,14.937,14.984,14.521,14.606,90622,0
2006-11-02,14.88,14.889,14.135,14.324,189310,0
2006-11-03,14.324,14.324,14.135,14.211,112376,0
2006-11-06,14.202,14.372,14.126,14.135,168298,0
2006-11-07,14.145,14.418,13.344,13.711,212444,0
2006-11-08,13.438,14.06,13.344,13.882,120972,0
2006-11-09,13.9,13.994,13.457,13.683,112800,0
2006-11-10,13.57,13.711,13.296,13.665,116728,0
2006-11-13,13.466,13.665,13.08,13.503,143786,0
2006-11-14,13.382,13.466,11.685,11.874,507444,0
2006-11-15,11.968,12.251,11.685,12.044,308477,0
2006-11-16,12.062,12.627,12.062,12.468,110254,0
2006-11-17,12.486,12.534,11.827,12.279,143786,0
2006-11-20,12.062,12.393,12.015,12.344,22602,0
2006-11-21,12.157,12.157,11.751,12.147,109298,0
2006-11-22,12.015,12.279,11.563,12.157,279932,0
2006-11-23,12.251,12.986,12.251,12.986,211381,0
2006-11-24,13.052,13.147,12.627,12.986,165540,0
2006-11-27,12.957,13.335,12.864,13.174,115029,0
2006-11-28,13.147,13.306,12.684,13.023,63032,0
2006-11-29,13.099,13.552,12.939,13.288,75129,0
2006-11-30,13.23,13.382,12.864,13.23,107283,0
2006-12-01,13.193,13.193,13.052,13.193,6580,0
2006-12-04,13.221,13.221,12.93,13.183,66322,0
2006-12-05,13.147,13.24,12.826,13.193,41278,0
2006-12-06,13.203,13.24,12.91,13.099,24831,0
2006-12-07,12.864,13.288,12.864,13.165,71097,0
2006-12-08,13.382,13.382,13.193,13.362,43720,0
2006-12-11,13.382,13.476,13.306,13.335,115878,0
2006-12-12,13.155,13.382,12.723,13.147,111421,0
2006-12-13,13.193,13.193,12.864,13.193,100809,0
2006-12-14,13.193,13.288,12.967,13.089,66535,0
2006-12-15,12.92,13.269,12.92,13.193,267517,0
2006-12-18,13.193,13.24,13.042,13.183,160128,0
2006-12-19,13.193,13.193,13.006,13.183,78525,0
2006-12-20,13.193,13.193,13.042,13.099,66959,0
2006-12-21,13.099,13.147,12.826,12.996,52208,0
2006-12-22,13.014,13.042,12.723,12.957,323121,0
2006-12-27,13.193,13.325,12.986,13.183,43614,0
2006-12-28,13.193,13.193,12.731,13.099,12734,0
2006-12-29,13.183,13.193,12.91,12.91,242792,0
2007-01-02,13.193,13.24,13.061,13.147,115985,0
2007-01-03,13.183,13.193,12.873,13.099,133493,0
2007-01-04,12.873,13.006,12.769,13.006,150896,0
2007-01-05,13.006,13.006,12.892,12.948,46691,0
2007-01-08,12.957,13.006,12.882,12.986,63882,0
2007-01-09,12.986,13.645,12.986,13.438,380848,0
2007-01-10,13.523,14.003,13.099,13.665,257118,0
2007-01-11,13.852,13.882,13.533,13.816,138057,0
2007-01-12,13.759,13.928,13.665,13.796,81496,0
2007-01-15,13.938,14.324,13.665,14.314,97414,0
2007-01-16,14.513,14.513,14.239,14.409,78101,0
2007-01-17,14.409,14.418,14.182,14.23,82558,0
2007-01-18,14.211,14.343,14.041,14.258,76510,0
2007-01-19,14.248,14.314,14.126,14.22,146226,0
2007-01-22,14.22,14.23,14.126,14.23,22285,0
2007-01-23,14.22,14.258,14.051,14.22,66747,0
2007-01-24,14.23,14.795,14.23,14.381,256799,0
2007-01-25,14.418,14.418,13.523,13.843,478580,0
2007-01-26,13.843,13.89,13.495,13.759,137737,0
2007-01-29,13.928,14.041,13.786,13.938,45948,0
