Date,Open,High,Low,Close,Volume,OpenInt
2009-04-06,3.55,3.59,3.4,3.59,73,0
2009-04-07,3.55,3.79,3.4,3.79,200,0
2009-04-08,3.79,3.85,3.4,3.85,2064,0
2009-04-14,4.05,4.225,3.75,4.225,6,0
2009-04-20,4,4,3.75,4,60,0
2009-04-22,4.1,4.125,3,4.125,97,0
2009-04-23,4.05,4.125,3.8,4.025,374,0
2009-04-28,4.05,4.15,3.9,4.15,300,0
2009-04-30,4.35,4.8,4.25,4.6,37,0
2009-05-04,4.6,4.75,4.6,4.715,577,0
2009-05-07,4.75,4.78,4.6,4.6,382,0
2009-05-08,4.6,4.6,4.1,4.2,4584,0
2009-05-11,4.1,4.5,4.1,4.25,0,0
2009-05-12,4.2,4.6,4.1,4.6,420,0
2009-05-13,4.6,4.6,4.4,4.45,12,0
2009-05-14,4.6,4.6,4,4.075,445,0
2009-05-19,4.075,4.5,3.85,4.5,400,0
2009-05-22,4.5,4.5,3.9,3.9,1000,0
2009-05-25,4,4,3.8,3.8,240,0
2009-05-26,3.8,3.9,3.6,3.7,136,0
2009-05-28,3.7,3.9,3.5,3.7,574,0
2009-06-01,3.7,3.9,3.5,3.7,257,0
2009-06-02,3.7,3.925,3.7,3.925,500,0
2009-06-03,3.9,4.125,3.75,4.125,243,0
2009-06-04,4.1,4.125,3.925,4.115,24,0
2009-06-08,4.1,4.16,4,4.105,200,0
2009-06-10,4.1,4.355,4,4.355,240,0
2009-06-15,4.35,4.355,4.15,4.18,200,0
2009-06-16,4.15,4.18,4,4.105,120,0
2009-06-17,4,4.105,4,4.105,100,0
2009-06-19,4.1,4.155,4,4.105,68,0
2009-06-25,4.15,4.65,3.95,4.65,500,0
2009-06-26,4.65,4.65,3.55,4.55,40,0
2009-06-29,4.65,4.75,4.45,4.75,1300,0
2009-06-30,4.75,4.75,4.5,4.5,16,0
2009-07-02,4.75,5.25,4.55,5.05,460,0
2009-07-03,5.05,5.05,4.55,5,345,0
2009-07-06,5,5.05,4.8,5.05,801,0
2009-07-07,5.05,5.35,4.85,5.35,213,0
2009-07-10,5.35,5.35,5.15,5.35,20,0
2009-07-14,5.35,5.35,5.1,5.1,2,0
2009-07-17,5.35,5.55,5.15,5.55,2,0
2009-07-20,5.45,8.25,5.15,7.75,844,0
2009-07-21,7.4,7.75,6.75,7.55,400,0
2009-07-22,7.55,7.75,7.25,7.7,780,0
2009-07-27,7.65,7.65,7.5,7.55,10,0
2009-07-29,7.6,7.6,7.5,7.5,210,0
2009-08-03,7.65,7.7,7.4,7.45,40,0
2009-08-06,7.55,7.6,7.3,7.3,10,0
2009-08-07,7.6,7.6,7.3,7.5,10,0
2009-08-10,7.2,7.5,7,7.05,161,0
2009-08-11,7.2,7.35,7.05,7.35,180,0
2009-08-12,7.4,7.75,7.15,7.75,398,0
2009-08-13,7.75,8.4,7.5,8.4,1100,0
2009-08-14,8.4,8.7,8.15,8.15,300,0
2009-08-17,8.4,8.4,8.05,8.05,2,0
2009-08-19,8.05,8.2,7.95,7.95,20,0
2009-08-20,8.2,8.25,8,8,200,0
2009-08-24,8.15,8.2,7,8,208,0
2009-08-25,8,8.25,7.95,8.25,10,0
2009-08-27,8.25,8.3,8,8.2,390,0
2009-08-28,8.2,8.5,8.05,8.5,70,0
2009-08-31,8.5,8.55,8.3,8.35,80,0
2009-09-01,8.35,8.5,8.3,8.35,220,0
2009-09-03,8.5,8.95,8.3,8.65,20,0
2009-09-04,8.65,8.75,8.4,8.75,1000,0
2009-09-08,8.8,9,8.7,9,1460,0
2009-09-11,9,9,8.3,8.3,1777,0
2009-09-14,8.2,8.4,7.55,7.95,3265,0
2009-09-15,7.95,8.15,7.95,8.05,2058,0
2009-09-16,8.05,8.1,8.05,8.05,206,0
2009-09-17,8.1,8.25,8.05,8.05,348,0
2009-09-18,8.05,8.1,5.5,8.05,716,0
2009-09-21,8.05,8.35,8,8.3,1374,0
2009-09-22,8.75,9.9,8,9.75,11280,0
2009-09-23,9.7,10,9.35,9.95,2574,0
2009-09-24,9.8,9.95,9.45,9.75,1335,0
2009-09-25,9.85,9.85,9.1,9.45,1801,0
2009-09-28,9.2,9.45,9.05,9.05,1198,0
2009-09-29,9.15,9.95,9,9.8,1872,0
2009-09-30,9.9,9.95,9.45,9.5,58,0
2009-10-01,9.6,9.8,8.95,9.2,772,0
2009-10-02,9.05,9.45,8.9,9.1,664,0
2009-10-05,9.5,9.5,9,9.3,203,0
2009-10-06,9.4,9.65,9.3,9.6,282,0
2009-10-07,9.45,9.95,9.3,9.95,196,0
2009-10-08,9.9,10.2,8.75,8.75,3000,0
2009-10-09,8.85,9.4,8.75,9.4,1257,0
2009-10-12,9.5,9.7,9.1,9.4,260,0
2009-10-13,9.25,9.3,9,9,260,0
2009-10-14,9.1,9.1,8.75,8.9,34,0
2009-10-15,9,9,7.3,8.85,169,0
2009-10-16,8.95,8.95,8.75,8.85,307,0
2009-10-20,8.95,8.95,8.15,8.15,1306,0
2009-10-21,8.5,9.3,8.25,9.3,5225,0
2009-10-22,9.4,9.75,8.8,9.2,14250,0
2009-10-23,9.3,9.7,9,9,1505,0
2009-10-26,8.95,9.25,8.8,8.85,1341,0
2009-10-27,8.95,9.15,8.75,8.85,365,0
2009-10-28,8.95,9.15,8.8,9.1,444,0
2009-10-29,9.2,9.2,8.8,9.15,40,0
2009-10-30,9,9.15,9,9,300,0
2009-11-02,9.1,9.1,8.75,8.8,310,0
2009-11-03,8.9,9.05,8.6,8.6,810,0
2009-11-04,8.45,8.75,8.4,8.4,720,0
2009-11-05,8.5,8.85,8.4,8.4,674,0
2009-11-09,8.4,8.95,8.4,8.95,346,0
2009-11-10,8.8,8.85,7.75,8.45,164,0
2009-11-11,8.55,8.75,8.25,8.25,600,0
2009-11-13,8.2,8.25,8,8,120,0
2009-11-16,8.2,8.25,6.65,7.15,869,0
2009-11-17,7.05,7.45,6.85,6.85,410,0
2009-11-18,6.75,6.9,4.5,6.4,6689,0
2009-11-19,6.3,7.4,6.3,7.35,3565,0
2009-11-20,7.25,7.4,7.05,7.05,1506,0
2009-11-23,7.15,7.25,7,7,200,0
2009-11-24,6.9,7.2,6.85,7.2,100,0
2009-11-26,6.85,7.05,6.8,7,400,0
2009-11-27,7.05,7.05,6.8,6.8,45,0
2009-11-30,6.7,6.9,6.7,6.75,160,0
2009-12-01,6.65,6.8,6.6,6.6,200,0
2009-12-02,6.5,6.65,6.5,6.5,400,0
2009-12-04,6.4,6.5,6.3,6.3,115,0
2009-12-07,6.1,6.5,5.5,5.9,104,0
2009-12-08,6,6.25,5.7,5.7,544,0
2009-12-09,5.6,6.25,5.6,6.25,204,0
2009-12-10,6.15,6.25,6.05,6.05,21,0
2009-12-11,5.95,6.05,5.7,5.7,360,0
2009-12-14,5.65,5.9,5.65,5.7,362,0
2009-12-15,5.55,5.75,5.4,5.55,40,0
2009-12-16,5.75,6,5.25,6,600,0
2009-12-17,5.7,5.85,5.65,5.85,120,0
2009-12-18,5.5,5.85,5.5,5.85,116,0
2009-12-21,5.55,5.8,5,5.15,1565,0
2009-12-22,4.895,5.05,4.895,5.05,447,0
2009-12-28,5.05,5.15,5,5.05,830,0
2009-12-29,5,5.15,4.83,5.05,2034,0
2009-12-30,4.88,5.15,4.7,5,390,0
2010-01-04,4.75,5,4.75,4.835,219,0
2010-01-05,4.595,5,4.595,4.85,20,0
2010-01-06,4.75,5,4.52,4.75,1780,0
2010-01-07,4.44,4.915,4.44,4.75,424,0
2010-01-08,4.515,4.97,4.515,4.9,1090,0
2010-01-11,4.655,4.925,4.655,4.925,8,0
2010-01-13,4.655,5.635,4.655,5.635,523,0
2010-01-14,5.355,5.945,5.25,5.945,1227,0
2010-01-15,5.65,6.15,5.55,5.945,646,0
2010-01-18,5.845,6.25,5.845,5.945,833,0
2010-01-20,5.51,6,5.51,5.8,460,0
2010-01-21,5.51,6,5.51,5.8,60,0
2010-01-22,5.51,5.75,5.285,5.75,660,0
2010-01-25,5.45,5.56,5.25,5.32,634,0
2010-01-26,5.05,5.55,5.05,5.55,1306,0
2010-01-27,5.15,5.845,5.15,5.845,142,0
2010-01-28,5.55,5.55,5.45,5.465,130,0
2010-01-29,5.2,5.5,5.2,5.465,110,0
2010-02-03,5.2,5.465,5.2,5.465,400,0
2010-02-08,4.99,5.465,4.99,5.3,145,0
2010-02-09,5.05,5.465,5.05,5.3,140,0
2010-02-10,5.05,5.465,5.05,5.3,258,0
2010-02-12,4.99,5.465,4.99,5.3,20,0
2010-02-16,4.99,5.465,4.99,5.25,460,0
2010-02-18,4.915,5.465,4.915,5.3,18,0
2010-02-19,5.05,5.465,5.05,5.175,100,0
2010-02-22,4.915,5.465,4.915,5.175,400,0
2010-02-23,4.915,5.17,4.835,5.17,323,0
2010-02-24,4.91,5.17,4.835,4.86,300,0
2010-02-25,4.615,4.86,4.545,4.75,264,0
2010-02-26,4.615,4.86,4.615,4.74,60,0
2010-03-01,4.535,5.07,4.535,5.07,194,0
2010-03-02,4.815,5,4.5,4.5,214,0
2010-03-03,4.505,5.505,4.505,5.505,135,0
2010-03-04,5.25,5.75,5.25,5.55,80,0
2010-03-05,5.25,5.5,5.25,5.5,586,0
2010-03-08,5.55,5.575,5.5,5.575,263,0
2010-03-09,5.3,5.625,5.3,5.6,740,0
2010-03-10,5.3,5.7,5.3,5.69,243,0
2010-03-11,5.4,5.7,5.4,5.5,557,0
2010-03-12,5.4,5.69,5.4,5.5,10,0
2010-03-15,5.25,5.69,5.25,5.55,208,0
2010-03-16,5.25,5.6,5.25,5.5,340,0
2010-03-17,5.25,5.505,5.25,5.505,2,0
2010-03-18,5.25,5.84,5.25,5.84,59,0
2010-03-19,5.25,5.5,5.25,5.4,422,0
2010-03-22,5.25,5.79,5.25,5.5,3033,0
2010-03-25,5.45,5.75,5.37,5.37,12,0
2010-03-29,5.42,5.75,5.4,5.45,140,0
2010-03-30,5.2,5.75,5.2,5.45,10,0
2010-04-06,5.15,5.45,5.15,5.4,500,0
2010-04-07,5.15,5.575,5.15,5.415,493,0
2010-04-08,5.15,5.415,5.15,5.415,40,0
2010-04-09,5.15,5.415,5.15,5.4,10,0
2010-04-12,5.15,5.415,5.15,5.4,3,0
2010-04-15,5.15,5.5,5.15,5.5,75,0
2010-04-16,5.25,5.415,5.25,5.25,440,0
2010-04-19,5.15,5.4,5.15,5.2,500,0
2010-04-20,4.99,5.4,4.99,5.22,170,0
2010-04-26,4.75,5.325,4.75,5,2360,0
2010-04-27,4.75,5.325,4.75,5,300,0
2010-04-29,4.73,5.325,4.73,4.98,200,0
2010-04-30,4.73,5.325,4.73,5,5,0
2010-05-04,4.73,5.15,4.73,4.95,400,0
2010-05-05,4.98,5,4.74,4.8,1600,0
2010-05-06,4.56,4.98,4.545,4.545,772,0
2010-05-07,4.545,4.74,4.505,4.505,760,0
2010-05-10,4.28,4.74,4.28,4.5,880,0
2010-05-11,4.275,4.55,4.275,4.545,260,0
2010-05-13,4.42,4.5,4.25,4.255,162,0
2010-05-14,4.04,4.255,4.04,4.255,675,0
2010-05-17,4.04,4.26,4.04,4.065,907,0
2010-05-18,3.86,4.26,3.86,4.065,700,0
2010-05-19,3.86,4.135,3.85,3.95,321,0
2010-05-20,3.755,3.9,3.755,3.85,42,0
2010-05-21,3.705,3.885,3.705,3.865,434,0
2010-05-26,3.67,3.865,3.67,3.85,5,0
2010-05-28,3.67,3.865,3.5,3.8,5582,0
2010-05-31,3.63,3.88,3.63,3.88,408,0
2010-06-02,3.47,4.55,3.47,4.55,1618,0
2010-06-03,4.325,4.75,4.325,4.45,310,0
2010-06-07,4.23,5.315,4.23,4.93,376,0
2010-06-08,4.685,4.95,4.55,4.93,283,0
2010-06-09,4.685,4.95,4.685,4.93,340,0
2010-06-10,4.685,4.93,4.685,4.75,171,0
2010-06-11,4.515,4.93,4.515,4.74,130,0
2010-06-15,4.505,4.93,4.505,4.74,46,0
2010-06-17,4.505,4.93,4.505,4.74,30,0
2010-06-18,4.505,5,4.505,5,32,0
2010-06-22,4.5,4.81,4.5,4.7,666,0
2010-06-23,4.5,4.81,4.5,4.7,320,0
2010-06-24,4.5,5.25,4.5,5.075,3312,0
2010-06-25,4.5,5.5,4.5,5.5,560,0
2010-06-28,5.25,5.69,5.25,5.52,90,0
2010-06-29,5.1,5.69,5.1,5.595,1903,0
2010-06-30,5.4,5.595,5,5,1061,0
2010-07-05,5.05,5.595,5.05,5.3,22,0
2010-07-07,5.05,5.595,5.05,5.32,25,0
2010-07-08,5.05,5.595,5.05,5.32,65,0
2010-07-13,5.05,5.595,5.05,5.32,418,0
2010-07-14,5.05,5.595,5.05,5.32,1613,0
2010-07-15,5.05,5.15,5.05,5.05,450,0
2010-07-16,4.895,5.15,4.895,5.15,92,0
2010-07-20,5.05,5.32,5.05,5.32,222,0
2010-07-21,5.05,5.32,5.05,5.32,92,0
2010-07-22,5.05,5.32,5.05,5.32,220,0
2010-07-23,5.05,5.32,5.05,5.15,200,0
2010-07-27,4.845,5.225,4.845,4.885,500,0
2010-07-29,4.64,5.015,4.64,4.69,300,0
2010-07-30,4.455,5.015,4.455,4.69,140,0
2010-08-02,4.455,5.015,4.455,4.5,400,0
2010-08-04,4.275,4.81,4.275,4.81,266,0
2010-08-05,4.57,4.81,4.57,4.6,4,0
2010-08-06,4.365,4.81,4.365,4.55,12,0
2010-08-10,4.365,4.81,4.365,4.7,10,0
2010-08-11,4.465,4.915,4.465,4.915,30,0
2010-08-12,4.67,4.7,4.595,4.595,200,0
2010-08-16,4.365,4.8,4.365,4.8,45,0
2010-08-18,4.365,4.6,4.365,4.55,600,0
2010-08-23,4.365,4.9,4.365,4.75,1000,0
2010-08-26,4.655,4.8,4.595,4.8,67,0
2010-08-27,4.365,4.8,4.365,4.8,100,0
2010-08-30,4.365,4.8,4.365,4.8,55,0
2010-09-01,4.365,4.8,4.365,4.6,1019,0
2010-09-03,4.365,4.625,4.365,4.605,9,0
2010-09-08,4.365,4.6,4.365,4.595,180,0
2010-09-09,4.365,4.8,4.365,4.55,213,0
2010-09-13,4.18,4.6,4.18,4.395,524,0
2010-09-14,4.175,4.75,4.1,4.75,413,0
2010-09-16,4.365,4.705,4.365,4.705,929,0
2010-09-20,4.365,4.6,4.365,4.595,220,0
2010-09-21,4.365,4.6,4.365,4.595,180,0
2010-09-23,4.365,4.6,4.365,4.595,2,0
2010-09-27,4.365,4.6,4.365,4.595,220,0
2010-09-29,4.365,4.6,4.365,4.595,264,0
2010-10-01,4.18,4.595,4.18,4.4,50,0
2010-10-04,4.18,4.595,4.18,4.455,30,0
2010-10-05,4.23,4.595,4.23,4.355,8,0
2010-10-07,4.18,4.705,4.18,4.6,604,0
2010-10-11,4.47,4.705,4.4,4.6,255,0
2010-10-12,4.37,4.705,4.37,4.4,60,0
2010-10-13,4.47,4.7,4.4,4.7,46,0
2010-10-14,4.18,4.41,4.18,4.41,60,0
2010-10-15,4.19,4.425,4.19,4.425,548,0
2010-10-18,4.205,4.41,4.205,4.41,465,0
2010-10-19,4.19,4.405,4.19,4.405,27,0
2010-10-21,4.185,4.45,4.185,4.41,121,0
2010-10-22,4.19,4.41,4.19,4.41,200,0
2010-10-26,4.185,4.705,4.185,4.705,800,0
2010-10-27,4.47,4.705,4.47,4.5,266,0
2010-10-28,4.47,4.705,4.47,4.51,20,0
2010-10-29,4.285,4.75,4.285,4.705,601,0
2010-11-01,4.47,4.75,4.47,4.75,33,0
2010-11-02,4.46,4.7,4.46,4.595,40,0
2010-11-03,4.365,4.7,4.365,4.6,2,0
2010-11-04,4.37,4.7,4.37,4.45,151,0
2010-11-05,4.42,4.75,4.42,4.45,1510,0
2010-11-08,4.465,4.75,4.45,4.7,2080,0
2010-11-09,4.465,4.75,4.4,4.5,232,0
