Date,Open,High,Low,Close,Volume,OpenInt
2004-05-19,17.278,17.628,17.278,17.501,1802950,0
2004-05-20,17.417,17.522,17.417,17.522,63705,0
2004-05-21,17.459,17.459,17.375,17.45,127407,0
2004-05-24,17.392,17.455,17.042,17.396,297599,0
2004-05-25,17.396,17.396,17.292,17.354,218209,0
2004-05-26,17.375,18.216,17.375,18.007,294510,0
2004-05-27,18.007,18.216,17.711,18.17,76540,0
2004-05-28,18.132,18.419,17.711,17.985,120039,0
2004-05-31,17.775,18.132,17.775,18.132,238,0
2004-06-01,18.048,18.048,17.775,17.901,17114,0
2004-06-02,17.879,17.879,17.48,17.611,40172,0
2004-06-03,17.459,17.522,17.354,17.459,70598,0
2004-06-04,17.48,17.543,17.425,17.543,43024,0
2004-06-07,17.292,17.501,17.253,17.439,218921,0
2004-06-08,17.459,17.459,17.396,17.417,24245,0
2004-06-09,17.292,17.439,17.249,17.37,57049,0
2004-06-10,17.312,17.439,17.312,17.439,6180,0
2004-06-11,17.341,17.459,17.249,17.439,91990,0
2004-06-14,17.27,17.459,17.253,17.312,64653,0
2004-06-15,17.253,17.439,17.249,17.439,53244,0
2004-06-16,17.354,17.396,17.333,17.375,17114,0
2004-06-17,17.253,17.333,16.618,17.249,139767,0
2004-06-18,17.249,17.292,17.185,17.27,70358,0
2004-06-21,17.249,17.27,17.24,17.249,169243,0
2004-06-22,17.249,17.48,17.206,17.333,154030,0
2004-06-23,17.249,17.884,17.249,17.879,80580,0
2004-06-24,17.879,18.763,17.879,18.457,126456,0
2004-06-25,18.595,18.599,18.258,18.599,56096,0
2004-06-28,18.722,19.141,18.532,19.036,129071,0
2004-06-29,18.847,19.141,18.827,18.973,208461,0
2004-06-30,18.763,19.141,18.763,19.058,21868,0
2004-07-01,19.264,19.731,19.016,19.353,66080,0
2004-07-02,19.268,19.517,19.268,19.353,23294,0
2004-07-05,19.415,19.562,19.415,19.562,10697,0
2004-07-06,19.562,19.941,19.353,19.941,129784,0
2004-07-07,19.983,20.068,19.5,19.963,98646,0
2004-07-08,19.941,20.235,19.773,20.194,177562,0
2004-07-09,20.551,20.551,20.068,20.319,122891,0
2004-07-12,20.277,20.4,20.194,20.4,62040,0
2004-07-13,20.4,20.404,20.194,20.4,106491,0
2004-07-14,20.194,20.698,20.194,20.446,93177,0
2004-07-15,20.573,20.573,20.361,20.371,34703,0
2004-07-16,20.404,20.656,20.404,20.61,58473,0
2004-07-19,20.892,20.892,20.404,20.614,47539,0
