Date,Open,High,Low,Close,Volume,OpenInt
2017-11-08,0.38,0.49,0.34,0.37,28340000,0
2017-11-09,0.36,0.43,0.36,0.395,23760000,0
2017-11-10,0.36,0.41,0.36,0.38,11560000,0
2017-11-13,0.36,0.415,0.36,0.4,8840000,0
2017-11-14,0.42,0.435,0.38,0.38,7530000,0
2017-11-15,0.36,0.375,0.335,0.355,10350000,0
2017-11-16,0.395,0.44,0.34,0.435,26120000,0
2017-11-17,0.49,0.54,0.49,0.53,3580000,0
2017-11-20,0.56,0.7,0.56,0.7,2380000,0
2017-11-21,0.75,0.89,0.73,0.78,3110000,0
2017-11-22,0.89,0.89,0.78,0.78,3270000,0
2017-11-23,0.75,0.77,0.7,0.7,540000,0
2017-11-24,0.68,0.69,0.68,0.68,1000000,0
2017-11-27,0.68,0.68,0.62,0.63,330000,0
2017-11-28,0.55,0.68,0.54,0.68,410000,0
2017-11-29,0.72,0.72,0.63,0.63,290000,0
2017-11-30,0.54,0.56,0.51,0.51,860000,0
2017-12-01,0.405,0.445,0.36,0.375,2990000,0
2017-12-04,0.35,0.48,0.28,0.41,19960000,0
2017-12-05,0.315,0.36,0.265,0.265,23120000,0
2017-12-06,0.27,0.32,0.151,0.165,138730000,0
2017-12-07,0.239,0.29,0.18,0.265,44180000,0
2017-12-08,0.3,0.45,0.3,0.435,20990000,0
2017-12-11,0.43,0.56,0.41,0.56,13020000,0
2017-12-12,0.57,0.59,0.42,0.425,8370000,0
2017-12-13,0.45,0.48,0.39,0.475,1630000,0
2017-12-14,0.51,0.52,0.42,0.44,1910000,0
2017-12-15,0.42,0.42,0.39,0.4,760000,0
2017-12-18,0.4,0.47,0.4,0.455,1170000,0
2017-12-19,0.5,0.52,0.49,0.49,1920000,0
2017-12-20,0.47,0.49,0.465,0.475,3750000,0
2017-12-21,0.46,0.52,0.46,0.5,3340000,0
2017-12-22,0.51,0.55,0.5,0.55,1350000,0
2017-12-27,0.55,0.55,0.54,0.54,220000,0
2017-12-28,0.58,0.58,0.56,0.58,420000,0
2017-12-29,0.54,0.57,0.54,0.56,420000,0
2018-01-02,0.59,0.68,0.59,0.67,1130000,0
2018-01-03,0.73,0.76,0.69,0.71,530000,0
2018-01-04,0.73,0.8,0.73,0.79,1080000,0
2018-01-05,0.83,0.84,0.77,0.79,360000,0
2018-01-08,0.85,0.86,0.85,0.86,420000,0
2018-01-09,0.89,0.95,0.89,0.93,3210000,0
2018-01-10,0.92,0.94,0.92,0.93,90000,0
2018-01-11,0.88,0.88,0.79,0.8,380000,0
2018-01-12,0.83,0.89,0.83,0.89,210000,0
2018-01-15,0.96,0.96,0.84,0.84,270000,0
2018-01-16,0.89,0.93,0.89,0.92,4300000,0
2018-01-17,0.96,0.96,0.96,0.96,0,0
2018-01-18,1.02,1.02,0.97,0.98,480000,0
2018-01-19,0.98,1.01,0.98,0.99,820000,0
2018-01-22,1,1.08,1,1.08,120000,0
2018-01-23,1.1,1.2,1.1,1.2,1700000,0
2018-01-24,1.21,1.22,1.18,1.22,1500000,0
2018-01-25,1.15,1.15,1.09,1.09,880000,0
2018-01-26,1.19,1.19,1.16,1.19,580000,0
2018-01-29,1.24,1.24,1.17,1.19,420000,0
2018-01-30,1.18,1.18,1.13,1.13,620000,0
2018-01-31,1.07,1.16,1.07,1.16,30000,0
2018-02-01,1.11,1.11,1.11,1.11,0,0
2018-02-02,1.02,1.06,1.02,1.04,600000,0
2018-02-05,0.86,0.95,0.86,0.94,220000,0
2018-02-06,0.73,0.74,0.58,0.59,3770000,0
2018-02-07,0.8,0.8,0.64,0.66,7180000,0
2018-02-08,0.71,0.72,0.67,0.7,320000,0
2018-02-09,0.52,0.59,0.49,0.59,1120000,0
2018-02-12,0.63,0.7,0.63,0.64,650000,0
2018-02-13,0.72,0.72,0.67,0.7,580000,0
2018-02-14,0.78,0.84,0.77,0.84,640000,0
2018-02-15,0.92,0.96,0.92,0.94,230000,0
2018-02-20,0.95,0.99,0.95,0.96,280000,0
2018-02-21,0.97,1.04,0.97,1.04,120000,0
2018-02-22,1.01,1.01,1,1.01,170000,0
2018-02-23,1.01,1.01,1.01,1.01,0,0
2018-02-26,1.01,1.01,1.01,1.01,0,0
2018-02-27,1.03,1.03,0.92,0.92,840000,0
2018-02-28,0.88,0.88,0.8,0.8,260000,0
2018-03-01,0.91,0.94,0.9,0.94,120000,0
2018-03-02,0.88,0.88,0.86,0.87,1120000,0
2018-03-05,0.83,0.83,0.75,0.75,140000,0
2018-03-06,0.88,0.88,0.85,0.88,80000,0
2018-03-07,0.82,0.82,0.81,0.82,620000,0
2018-03-08,0.89,0.89,0.89,0.89,0,0
2018-03-09,0.95,0.96,0.94,0.95,220000,0
2018-03-12,1.04,1.07,1.04,1.07,820000,0
2018-03-13,1.1,1.1,1.07,1.1,1710000,0
2018-03-14,1.04,1.1,1.04,1.1,470000,0
2018-03-15,1.17,1.17,1.17,1.17,200000,0
2018-03-16,1.17,1.18,1.17,1.17,130000,0
2018-03-19,1.18,1.18,1.12,1.12,600000,0
2018-03-20,1.09,1.16,1.09,1.16,40000,0
2018-03-21,1.22,1.22,1.09,1.1,1140000,0
2018-03-22,1.03,1.03,0.88,0.89,240000,0
2018-03-23,0.57,0.71,0.56,0.7,3120000,0
2018-03-26,0.7,0.77,0.66,0.77,740000,0
2018-03-27,0.84,0.85,0.81,0.81,1240000,0
2018-03-28,0.72,0.75,0.61,0.62,750000,0
2018-03-29,0.62,0.63,0.55,0.61,890000,0
