Date,Open,High,Low,Close,Volume,OpenInt
2018-01-25,0.305,0.305,0.25,0.25,580000,0
2018-01-26,0.255,0.335,0.255,0.325,3280000,0
2018-01-29,0.385,0.435,0.34,0.355,3296000,0
2018-01-30,0.33,0.34,0.275,0.29,3440000,0
2018-01-31,0.27,0.34,0.27,0.34,336000,0
2018-02-01,0.415,0.415,0.345,0.345,481000,0
2018-02-02,0.355,0.39,0.335,0.34,3888000,0
2018-02-05,0.31,0.37,0.305,0.355,198000,0
2018-02-06,0.31,0.315,0.25,0.25,2776000,0
2018-02-07,0.345,0.345,0.187,0.187,5160000,0
2018-02-08,0.199,0.199,0.157,0.159,2220000,0
2018-02-09,0.125,0.125,0.125,0.125,35000,0
2018-02-12,0.125,0.125,0.125,0.125,0,0
2018-02-13,0.153,0.153,0.136,0.136,1660000,0
2018-02-14,0.181,0.181,0.181,0.181,10000,0
2018-02-15,0.209,0.221,0.201,0.219,4554000,0
2018-02-20,0.205,0.205,0.165,0.168,64821000,0
2018-02-21,0.171,0.211,0.171,0.211,16678000,0
2018-02-22,0.193,0.193,0.166,0.17,24437000,0
2018-02-23,0.181,0.202,0.174,0.194,29866000,0
2018-02-26,0.212,0.212,0.178,0.184,17310000,0
2018-02-27,0.197,0.197,0.152,0.152,10689000,0
2018-02-28,0.137,0.137,0.125,0.125,290000,0
2018-03-01,0.111,0.13,0.11,0.121,6814000,0
2018-03-02,0.111,0.111,0.1,0.102,6879000,0
2018-03-05,0.087,0.089,0.087,0.087,45000,0
2018-03-06,0.103,0.119,0.094,0.119,6641000,0
2018-03-07,0.135,0.143,0.119,0.123,12326000,0
2018-03-08,0.142,0.144,0.125,0.134,8892000,0
2018-03-09,0.142,0.145,0.131,0.136,4144000,0
2018-03-12,0.156,0.164,0.146,0.164,11275000,0
2018-03-13,0.188,0.188,0.162,0.172,8672000,0
2018-03-14,0.154,0.154,0.138,0.146,8986000,0
2018-03-15,0.13,0.14,0.126,0.138,8110000,0
2018-03-16,0.134,0.134,0.118,0.118,3422000,0
2018-03-19,0.118,0.124,0.117,0.12,5000000,0
2018-03-20,0.113,0.117,0.106,0.107,2494000,0
2018-03-21,0.116,0.129,0.103,0.103,3316000,0
2018-03-22,0.116,0.117,0.097,0.097,2115000,0
2018-03-23,0.079,0.083,0.075,0.08,1420000,0
2018-03-26,0.086,0.086,0.074,0.082,1802000,0
2018-03-27,0.096,0.096,0.089,0.089,5415000,0
2018-03-28,0.084,0.084,0.084,0.084,100000,0
2018-03-29,0.08,0.091,0.077,0.087,1504000,0
