Date,Open,High,Low,Close,Volume,OpenInt
2016-10-31,11.26,11.26,11.24,11.26,60200,0
2016-11-01,11.26,11.32,11.26,11.32,2000,0
2016-11-02,11.3,11.3,11.24,11.24,58000,0
2016-11-03,11.26,11.34,11.22,11.34,19200,0
2016-11-04,11.38,11.38,11.34,11.34,31200,0
2016-11-07,11.36,11.36,11.32,11.32,43200,0
2016-11-08,11.36,11.42,11.32,11.36,73400,0
2016-11-09,11.34,11.34,11.14,11.24,252000,0
2016-11-10,11.4,11.42,11.38,11.38,24000,0
2016-11-11,11.32,11.4,11.3,11.4,20000,0
2016-11-14,11.5,11.5,11.38,11.38,88000,0
2016-11-15,11.34,11.34,11.3,11.32,16000,0
2016-11-16,11.38,11.38,11.3,11.32,3800,0
2016-11-17,11.24,11.28,11.24,11.28,1200,0
2016-11-18,11.28,11.28,11.28,11.28,200,0
2016-11-21,11.34,11.34,11.34,11.34,0,0
2016-11-22,11.42,11.44,11.42,11.44,20000,0
2016-11-23,11.58,11.58,11.54,11.54,20000,0
2016-11-24,11.46,11.52,11.46,11.5,132000,0
2016-11-25,11.5,11.64,11.46,11.64,416000,0
2016-11-28,11.74,11.76,11.7,11.7,444400,0
2016-11-29,11.78,11.9,11.78,11.9,415600,0
2016-11-30,11.9,11.9,11.78,11.78,71600,0
2016-12-01,11.8,11.8,11.8,11.8,0,0
2016-12-02,11.82,11.82,11.76,11.78,74000,0
2016-12-05,11.66,11.66,11.6,11.62,32000,0
2016-12-06,11.66,11.72,11.66,11.66,52000,0
2016-12-07,11.6,11.62,11.6,11.62,66600,0
2016-12-08,11.64,11.68,11.62,11.62,48600,0
2016-12-09,11.78,11.8,11.78,11.8,24400,0
2016-12-12,11.72,11.72,11.64,11.64,6600,0
2016-12-13,11.56,11.58,11.52,11.52,131600,0
2016-12-14,11.58,11.6,11.52,11.52,13200,0
2016-12-15,11.3,11.3,11.26,11.26,30000,0
2016-12-16,11.2,11.26,11.2,11.26,150000,0
2016-12-19,11.16,11.16,11.16,11.16,20000,0
2016-12-20,11.12,11.12,11.02,11.02,170000,0
2016-12-21,11.1,11.14,11.08,11.08,586600,0
2016-12-22,10.84,11.14,10.84,11.08,312600,0
2016-12-23,11.02,11.02,11.02,11.02,0,0
2016-12-28,11,11,11,11,0,0
2016-12-29,10.96,10.98,10.92,10.96,469600,0
2016-12-30,11.02,11.02,11.02,11.02,0,0
2017-01-03,11.1,11.14,11.08,11.12,63200,0
2017-01-04,11.1,11.22,11.1,11.22,18000,0
2017-01-05,11.28,11.42,11.28,11.42,344400,0
2017-01-06,11.34,11.36,11.34,11.34,72000,0
2017-01-09,11.34,11.34,11.3,11.3,2000,0
2017-01-10,11.24,11.32,11.18,11.32,203600,0
2017-01-11,11.28,11.32,11.26,11.26,90000,0
2017-01-12,11.26,11.26,11.26,11.26,10000,0
2017-01-13,11.24,11.36,11.24,11.34,451200,0
2017-01-16,11.34,11.42,11.3,11.42,100000,0
2017-01-17,11.44,11.44,11.4,11.44,33200,0
2017-01-18,11.5,11.62,11.5,11.62,40400,0
2017-01-19,11.52,11.52,11.52,11.52,200,0
2017-01-20,11.56,11.58,11.56,11.58,32800,0
2017-01-23,11.6,11.66,11.6,11.64,59000,0
2017-01-24,11.62,11.66,11.62,11.62,3200,0
2017-01-25,11.62,11.66,11.62,11.66,2600,0
2017-01-26,11.66,11.74,11.66,11.72,78600,0
2017-01-27,11.72,11.72,11.72,11.72,0,0
2017-02-01,11.72,11.72,11.72,11.72,0,0
2017-02-02,11.72,11.72,11.72,11.72,0,0
2017-02-03,11.7,11.7,11.6,11.62,29600,0
2017-02-06,11.66,11.66,11.58,11.58,698400,0
2017-02-07,11.62,11.62,11.54,11.54,27200,0
2017-02-08,11.48,11.52,11.44,11.52,351800,0
2017-02-09,11.54,11.6,11.54,11.6,35200,0
2017-02-10,11.6,11.62,11.6,11.62,20000,0
2017-02-13,11.66,11.78,11.66,11.7,200000,0
2017-02-14,11.7,11.7,11.7,11.7,30000,0
2017-02-15,11.7,11.7,11.7,11.7,0,0
2017-02-16,11.76,11.76,11.76,11.76,0,0
2017-02-17,11.8,11.82,11.72,11.72,41000,0
2017-02-20,11.74,11.9,11.74,11.9,120000,0
2017-02-21,11.9,11.96,11.9,11.9,70000,0
2017-02-22,11.9,11.9,11.9,11.9,0,0
2017-02-23,11.88,11.88,11.88,11.88,0,0
2017-02-24,11.88,11.88,11.88,11.88,22000,0
2017-02-27,11.74,11.76,11.74,11.74,30000,0
2017-02-28,11.74,11.74,11.74,11.74,22000,0
2017-03-01,11.74,11.74,11.74,11.74,30000,0
2017-03-02,11.76,11.76,11.64,11.64,50000,0
2017-03-03,11.56,11.56,11.56,11.56,10000,0
2017-03-06,11.58,11.58,11.58,11.58,30000,0
2017-03-07,11.6,11.64,11.6,11.64,30200,0
2017-03-08,11.62,11.62,11.6,11.62,50200,0
2017-03-09,11.56,11.56,11.54,11.54,30000,0
2017-03-10,11.54,11.54,11.54,11.54,0,0
2017-03-13,11.6,11.6,11.6,11.6,0,0
2017-03-14,11.6,11.6,11.6,11.6,0,0
2017-03-15,11.6,11.6,11.6,11.6,0,0
2017-03-16,11.7,11.74,11.7,11.74,50000,0
2017-03-17,11.58,11.58,11.58,11.58,30000,0
2017-03-20,11.58,11.58,11.58,11.58,0,0
2017-03-21,11.62,11.62,11.62,11.62,0,0
2017-03-22,11.6,11.6,11.6,11.6,0,0
2017-03-23,11.6,11.6,11.6,11.6,0,0
2017-03-24,11.68,11.68,11.68,11.68,0,0
2017-03-27,11.68,11.76,11.68,11.76,170000,0
2017-03-28,11.72,11.72,11.72,11.72,0,0
