Date,Open,High,Low,Close,Volume,OpenInt
2014-06-13,2187.72,2187.72,2187.72,2187.72,8,0
2014-06-26,2152.06,2152.06,2152.06,2152.06,37,0
2014-07-02,2105.8,2105.8,2073.04,2073.04,244,0
2014-07-03,2076.89,2076.89,2072.07,2076.89,436,0
2014-07-08,2074,2125.08,1927.51,2125.08,16119,0
2014-07-21,1927.51,1927.51,1927.51,1927.51,10,0
2014-07-24,1927.51,1927.51,1927.51,1927.51,21,0
2014-08-05,2023.89,2023.89,2023.89,2023.89,830,0
2014-08-11,2119.3,2216.64,2119.3,2216.64,116,0
2014-08-12,2120.26,2120.26,2120.26,2120.26,623,0
2014-08-13,2120.26,2120.26,2120.26,2120.26,114,0
2014-08-18,2120.26,2120.26,2120.26,2120.26,15,0
2014-08-19,2120.26,2120.26,2120.26,2120.26,4,0
2014-08-25,2096.17,2096.17,2096.17,2096.17,56,0
2014-09-01,2120.26,2120.26,2120.26,2120.26,2,0
2014-09-03,2100.99,2100.99,2100.99,2100.99,432,0
2014-09-04,2100.99,2100.99,2100.99,2100.99,104,0
2014-09-09,2052.8,2052.8,2023.89,2023.89,95,0
2014-09-15,2043.16,2043.16,2043.16,2043.16,1660,0
2014-09-19,2047.98,2047.98,2047.98,2047.98,73,0
2014-09-23,2023.89,2038.34,2023.89,2038.34,647,0
2014-09-24,2037.38,2038.34,2037.38,2038.34,176,0
2014-09-30,2035.45,2035.45,2035.45,2035.45,62,0
2014-10-01,1999.79,1999.79,1999.79,1999.79,93,0
2014-10-06,2023.89,2052.8,2023.89,2052.8,830,0
2014-10-07,2004.61,2004.61,2004.61,2004.61,415,0
2014-10-09,1980.52,1980.52,1975.7,1975.7,42,0
2014-10-13,2023.89,2023.89,2023.89,2023.89,5188,0
2014-10-15,2023.89,2023.89,2023.89,2023.89,10376,0
2014-10-20,2052.8,2052.8,1970.88,1970.88,80,0
2014-10-27,1898.6,1898.6,1831.13,1831.13,378,0
2014-10-28,1831.13,1831.13,1831.13,1831.13,2075,0
2014-10-29,1855.23,1879.32,1855.23,1879.32,89,0
2014-10-31,1831.13,1831.13,1831.13,1831.13,52,0
2014-11-03,1831.13,1831.13,1736.69,1831.13,1826,0
2014-11-04,1831.13,1831.13,1831.13,1831.13,475,0
2014-11-05,1966.06,1968.95,1966.06,1968.95,266,0
2014-11-10,1831.13,1881.25,1831.13,1881.25,1216,0
2014-11-11,1803.19,1831.13,1803.19,1831.13,1038,0
