Date,Open,High,Low,Close,Volume,OpenInt
1993-05-27,1629.3,1704.5,1503.97,1566.63,7244,0
1993-05-28,1516.51,1516.51,1503.97,1503.97,158,0
1993-06-01,1503.97,1516.51,1491.44,1500.84,5042,0
1993-06-02,1497.71,1497.71,1497.71,1497.71,223,0
1993-06-03,1491.44,1497.71,1491.44,1497.71,81,0
1993-06-04,1503.97,1516.51,1497.71,1516.51,1962,0
1993-06-07,1525.91,1579.17,1525.91,1579.17,1739,0
1993-06-08,1582.3,1601.11,1582.3,1591.7,303,0
1993-06-09,1613.64,1613.64,1604.24,1604.24,526,0
1993-06-10,1629.3,1629.3,1629.3,1629.3,112,0
1993-06-11,1666.91,1691.98,1666.91,1679.43,2298,0
1993-06-14,1691.98,1691.98,1691.98,1691.98,189,0
1993-06-15,1688.83,1691.98,1685.7,1685.7,541,0
1993-06-16,1691.98,1691.98,1679.43,1679.43,303,0
1993-06-17,1673.17,1676.31,1673.17,1676.31,143,0
1993-06-18,1660.64,1660.64,1629.3,1629.3,81,0
1993-06-23,1522.77,1522.77,1503.97,1503.97,96,0
1993-06-24,1503.97,1503.97,1503.97,1503.97,81,0
1993-07-01,1503.97,1566.63,1503.97,1566.63,1786,0
1993-07-02,1560.38,1560.38,1560.38,1560.38,16,0
1993-07-06,1566.63,1572.91,1566.63,1572.91,112,0
1993-07-08,1503.97,1566.63,1503.97,1541.56,335,0
1993-07-09,1566.63,1566.63,1566.63,1566.63,158,0
1993-07-12,1535.32,1535.32,1535.32,1535.32,31,0
1993-07-26,1441.31,1441.31,1378.65,1378.65,143,0
1993-07-27,1378.65,1378.65,1378.65,1378.65,239,0
1993-07-28,1469.5,1469.5,1409.97,1409.97,3286,0
1993-07-29,1478.91,1478.91,1472.64,1472.64,335,0
1993-07-30,1472.64,1503.97,1472.64,1472.64,287,0
1993-08-02,1503.97,1503.97,1503.97,1503.97,205,0
1993-08-03,1522.77,1585.44,1522.77,1566.63,7387,0
1993-08-09,1535.32,1535.32,1535.32,1535.32,16,0
1993-08-11,1541.56,1597.97,1535.32,1597.97,3191,0
1993-08-12,1610.5,1641.84,1610.5,1641.84,2088,0
1993-08-13,1660.64,1713.9,1660.64,1710.78,1547,0
1993-08-16,1710.78,1785.97,1710.78,1767.17,1404,0
1993-08-17,1754.63,1754.63,1660.64,1691.98,2776,0
1993-08-18,1691.98,1773.44,1691.98,1773.44,2138,0
1993-08-19,1757.77,1848.64,1757.77,1817.3,5377,0
1993-08-23,1842.37,1842.37,1817.3,1817.3,1739,0
1993-08-24,1839.23,1845.5,1829.83,1845.5,1435,0
1993-08-25,1836.09,1858.04,1836.09,1851.77,4323,0
1993-08-26,1858.04,1858.04,1851.77,1851.77,174,0
1993-08-27,1817.3,1817.3,1814.18,1814.18,205,0
1993-08-30,1817.3,1829.83,1817.3,1829.83,877,0
1993-08-31,1829.83,1842.37,1829.83,1839.23,526,0
1993-09-01,1836.09,1854.89,1836.09,1854.89,1086,0
1993-09-02,1854.89,1864.3,1854.89,1864.3,367,0
1993-09-03,1870.56,1911.3,1867.44,1911.3,1899,0
1993-09-06,1842.37,1952.03,1842.37,1945.77,1419,0
1993-09-07,1942.63,1942.63,1942.63,1942.63,112,0
1993-09-08,1942.63,1955.17,1942.63,1948.9,669,0
1993-09-09,1958.3,1958.3,1945.77,1945.77,189,0
1993-09-10,1942.63,1945.77,1942.63,1945.77,270,0
1993-09-13,1945.77,1955.17,1945.77,1955.17,862,0
1993-09-14,1955.17,1967.7,1955.17,1967.7,1404,0
1993-09-15,1973.96,2005.3,1970.84,2005.3,1276,0
1993-09-16,1989.64,2008.43,1989.64,2008.43,383,0
1993-09-17,2005.3,2020.97,2005.3,2020.97,1419,0
1993-09-20,2030.36,2036.64,2027.23,2036.64,270,0
1993-09-21,2011.56,2017.83,2005.3,2005.3,239,0
1993-09-22,2017.83,2017.83,2008.43,2008.43,541,0
1993-09-23,2011.56,2030.36,2011.56,2030.36,96,0
1993-09-24,2005.3,2005.3,2005.3,2005.3,128,0
1993-09-27,2005.3,2005.3,2005.3,2005.3,128,0
1993-09-28,2005.3,2030.36,2005.3,2014.7,1259,0
1993-09-29,2014.7,2014.7,2014.7,2014.7,494,0
1993-09-30,2036.64,2036.64,2036.64,2036.64,494,0
1993-10-01,2024.1,2036.64,2024.1,2036.64,1148,0
1993-10-04,2036.64,2036.64,2036.64,2036.64,96,0
1993-10-05,2024.1,2027.23,2024.1,2027.23,557,0
1993-10-06,2030.36,2036.64,2030.36,2036.64,541,0
1993-10-07,2030.36,2030.36,2017.83,2017.83,96,0
1993-10-08,2017.83,2027.23,2017.83,2020.97,797,0
1993-10-12,2030.36,2036.64,2030.36,2036.64,287,0
1993-10-13,2036.64,2061.71,2036.64,2061.71,367,0
1993-10-14,2036.64,2036.64,2036.64,2036.64,31,0
1993-10-15,2036.64,2061.71,2036.64,2061.71,174,0
1993-10-18,2030.36,2036.64,2030.36,2036.64,96,0
1993-10-19,2030.36,2030.36,2030.36,2030.36,31,0
1993-10-21,2014.7,2036.64,2014.7,2036.64,158,0
1993-10-22,2036.64,2036.64,2036.64,2036.64,96,0
1993-10-25,2030.36,2030.36,2030.36,2030.36,31,0
1993-10-26,2036.64,2036.64,2036.64,2036.64,112,0
1993-10-27,2039.76,2039.76,2036.64,2036.64,575,0
1993-10-28,2036.64,2055.43,2036.64,2055.43,399,0
1993-10-29,2042.9,2042.9,2036.64,2042.9,174,0
1993-11-02,2036.64,2036.64,2036.64,2036.64,16,0
1993-11-03,2036.64,2042.9,2036.64,2042.9,622,0
1993-11-04,2039.76,2061.71,2039.76,2061.71,494,0
1993-11-05,2067.96,2067.96,2036.64,2067.96,143,0
1993-11-08,2036.64,2086.76,2036.64,2086.76,287,0
1993-11-09,2086.76,2130.63,2086.76,2130.63,128,0
1993-11-10,2130.63,2146.3,2130.63,2146.3,143,0
1993-11-11,2149.42,2149.42,2149.42,2149.42,31,0
1993-11-12,2180.77,2180.77,2180.77,2180.77,31,0
1993-11-16,2255.96,2255.96,2255.96,2255.96,318,0
1993-11-17,2287.3,2318.63,2287.3,2318.63,462,0
1993-11-18,2440.83,2443.96,2440.83,2443.96,128,0
1993-11-19,2443.96,2503.49,2443.96,2503.49,318,0
1993-11-22,2459.62,2475.29,2459.62,2475.29,223,0
1993-11-23,2443.96,2443.96,2412.62,2412.62,174,0
1993-11-24,2378.15,2381.29,2375.03,2375.03,223,0
1993-11-25,2343.69,2343.69,2262.22,2281.03,223,0
1993-11-26,2161.96,2161.96,2161.96,2161.96,81,0
1993-11-29,2161.96,2161.96,2161.96,2161.96,81,0
1993-11-30,2177.63,2177.63,2161.96,2161.96,303,0
1993-12-01,2161.96,2161.96,2161.96,2161.96,223,0
1993-12-02,2177.63,2177.63,2171.37,2171.37,702,0
1993-12-06,2255.96,2255.96,2255.96,2255.96,31,0
1993-12-07,2177.63,2212.1,2165.09,2174.5,189,0
1993-12-09,2161.96,2168.23,2161.96,2168.23,462,0
1993-12-10,2168.23,2168.23,2168.23,2168.23,367,0
1993-12-13,2174.5,2174.5,2174.5,2174.5,81,0
1993-12-15,2161.96,2193.3,2161.96,2193.3,63,0
1993-12-16,2168.23,2168.23,2168.23,2168.23,16,0
1993-12-20,2130.63,2168.23,2130.63,2168.23,223,0
1993-12-22,2180.77,2208.97,2180.77,2205.82,352,0
1993-12-23,2255.96,2318.63,2255.96,2318.63,989,0
1993-12-27,2412.62,2412.62,2318.63,2412.62,223,0
1993-12-28,2443.96,2456.49,2443.96,2443.96,112,0
1993-12-29,2475.29,2487.82,2475.29,2475.29,3542,0
1993-12-30,2475.29,2475.29,2450.22,2453.35,303,0
1993-12-31,2412.62,2412.62,2255.96,2255.96,128,0
1994-01-06,2255.96,2255.96,2255.96,2255.96,16,0
1994-01-07,2212.1,2418.88,2212.1,2418.88,639,0
1994-01-10,2447.09,2456.49,2447.09,2456.49,287,0
1994-01-11,2506.63,2506.63,2500.36,2503.49,685,0
1994-01-12,2506.63,2569.28,2506.63,2569.28,254,0
