Date,Open,High,Low,Close,Volume,OpenInt
2006-06-27,108000,112200,108000,111200,75610,0
2006-06-28,110000,111400,109200,109600,22710,0
2006-06-29,111000,111200,110200,110800,8340,0
2006-06-30,111000,113400,110800,112800,14965,0
2006-07-03,112400,114400,112400,113800,9025,0
2006-07-04,113800,114600,111800,112200,13580,0
2006-07-05,112600,113600,112200,113000,1875,0
2006-07-06,112600,114000,112600,114000,3575,0
2006-07-07,114000,114000,113600,114000,4455,0
2006-07-10,113800,113800,113200,113600,4585,0
2006-07-11,113400,113600,113000,113200,2085,0
2006-07-12,113000,113400,112400,113400,6255,0
2006-07-13,113600,115000,113600,115000,11780,0
2006-07-14,115000,116600,115000,116000,13155,0
2006-07-18,116200,117200,115200,115800,11100,0
2006-07-19,116200,116200,115400,116000,4640,0
2006-07-20,116200,116800,115200,116600,6575,0
2006-07-21,115800,116800,115800,116400,5900,0
2006-07-24,116600,116600,115400,115800,3790,0
2006-07-25,115400,115600,114400,115000,5295,0
2006-07-26,115000,120000,115000,118800,19775,0
2006-07-27,119000,120000,117800,119400,24595,0
2006-07-28,118800,119400,117400,119200,24145,0
2006-07-31,119800,119800,118000,118000,19805,0
2006-08-01,116000,119000,112000,118000,4880,0
2006-08-02,117800,117800,115200,116200,1780,0
2006-08-03,116200,116200,114600,114800,2400,0
2006-08-04,115800,115800,113800,114000,3450,0
2006-08-07,114000,115200,114000,115200,2400,0
2006-08-08,114400,114800,114000,114200,2400,0
2006-08-09,114000,115800,114000,115000,3010,0
2006-08-10,115000,116000,115000,115400,1720,0
2006-08-11,115800,116000,115000,115000,2600,0
2006-08-14,115000,115400,114400,115400,830,0
2006-08-15,115000,115200,114600,114800,1070,0
2006-08-16,114600,115000,114600,115000,1780,0
2006-08-17,115000,115000,114400,115000,1880,0
2006-08-18,114800,115400,114400,115400,1090,0
2006-08-21,115000,115400,114600,114800,1845,0
2006-08-22,114600,115400,114400,115400,1370,0
2006-08-23,114800,115800,114600,115800,755,0
2006-08-24,115000,115800,115000,115800,1685,0
2006-08-25,115000,115600,114800,115600,1305,0
2006-08-28,116000,119000,115600,118600,3180,0
2006-08-29,119400,119400,118200,118800,2680,0
2006-08-30,118600,119400,118400,119000,3390,0
2006-08-31,119000,119600,118800,119600,2715,0
2006-09-01,119400,119800,119400,119800,3275,0
2006-09-04,120000,123000,119800,122400,4490,0
2006-09-05,122600,123000,121200,122000,2215,0
2006-09-06,122000,122400,121600,121800,1355,0
2006-09-07,121600,121800,120400,120400,835,0
2006-09-08,120000,122000,120000,122000,2190,0
2006-09-11,120400,122000,120400,122000,410,0
2006-09-12,120400,122800,120400,122800,1550,0
2006-09-13,122200,123000,121800,122400,925,0
2006-09-14,121800,121800,120400,121200,1770,0
2006-09-15,120400,120800,120400,120400,1720,0
2006-09-19,120200,120400,119400,119600,2265,0
2006-09-20,119000,120000,115400,115400,2075,0
2006-09-21,116000,116400,115200,115600,2580,0
2006-09-22,115000,115800,114000,115400,1755,0
2006-09-25,115000,116000,114800,115200,1035,0
2006-09-26,114800,118600,114800,118600,1300,0
2006-09-27,118600,119600,118400,118800,1130,0
2006-09-28,118200,118800,118000,118200,1400,0
2006-09-29,118400,119600,117800,118000,2160,0
2006-10-02,117600,118000,116000,118000,2130,0
2006-10-03,117200,119800,116000,117800,2230,0
2006-10-04,117400,117800,116600,117800,1225,0
2006-10-05,117800,119800,117200,119800,510,0
2006-10-06,118400,119800,117600,119000,1285,0
2006-10-10,117000,119000,117000,119000,1260,0
2006-10-11,118600,119400,117800,119400,1365,0
2006-10-12,119800,120400,118600,120400,970,0
2006-10-13,120400,121200,119800,121200,645,0
2006-10-16,120400,121600,120400,121600,445,0
2006-10-17,121600,124000,121000,124000,875,0
2006-10-18,124000,130000,123800,129800,1545,0
2006-10-19,125000,129000,125000,127600,1190,0
2006-10-20,127600,129800,127000,129000,850,0
2006-10-23,129000,129200,128000,128400,860,0
2006-10-24,127200,129600,127200,129000,985,0
2006-10-25,128200,130000,120000,120000,2190,0
2006-10-26,127000,129200,126400,127400,1400,0
2006-10-27,127400,128400,126600,127000,750,0
2006-10-30,128400,128600,124000,124400,1000,0
2006-10-31,124800,124800,122400,124800,1675,0
2006-11-01,123200,127600,123200,127600,1285,0
2006-11-02,127600,130200,127600,129000,1265,0
