Date,Open,High,Low,Close,Volume,OpenInt
2017-06-09,18305,18305,18305,18305,1,1
2017-06-26,18135,18135,18135,18135,1,1
2017-06-29,18645,18645,18645,18645,1,2
2017-07-05,18550,18550,18550,18550,1,3
2017-07-07,18050,18050,18050,18050,2,5
2017-07-20,18150,18150,18150,18150,1,4
2017-07-28,18060,18060,18060,18060,1,5
2017-08-01,18045,18105,18045,18105,33,37
2017-08-02,18165,18195,18165,18195,2,35
2017-08-03,18150,18150,18150,18150,30,65
2017-08-07,18090,18090,18090,18090,30,95
2017-08-09,18040,18040,18000,18000,11,106
2017-08-14,17605,17605,17500,17500,4,110
2017-08-16,17985,17990,17985,17990,2,112
2017-08-21,17530,17530,17500,17500,2,114
2017-08-29,17405,17405,17405,17405,1,115
2017-08-30,17670,17675,17650,17650,4,118
2017-09-05,17605,17605,17605,17605,1,119
2017-09-06,17505,17505,17470,17470,5,124
2017-09-07,17440,17515,17440,17515,6,128
2017-09-08,17405,17405,17405,17405,1,129
2017-09-11,17355,17355,17355,17355,2,131
2017-09-12,17885,17885,17885,17885,1,132
2017-09-19,18195,18205,18195,18205,2,133
2017-09-20,18400,18435,18400,18435,3,134
2017-09-22,18465,18465,18405,18405,2,134
2017-09-25,18535,18535,18535,18535,1,135
2017-09-28,18685,18685,18680,18685,3,138
2017-10-02,18685,18700,18685,18700,3,141
2017-10-04,18875,18900,18875,18900,8,147
2017-10-05,18895,18940,18895,18940,4,151
2017-10-06,18970,18970,18970,18970,1,152
2017-10-10,18990,19125,18930,19125,19,159
2017-10-11,18910,19125,18910,19010,4,159
2017-10-12,19305,19310,19290,19310,6,165
2017-10-13,19200,19475,19130,19475,31,178
2017-10-16,19340,19625,19330,19485,56,195
2017-10-17,19465,19665,19455,19550,26,199
2017-10-18,19535,19760,19520,19615,87,240
2017-10-19,19555,19800,19555,19740,52,245
2017-10-20,19645,19810,19500,19625,66,272
2017-10-23,19810,20000,19645,19935,32,271
2017-10-24,19950,20230,19895,19895,16,278
2017-10-25,20055,20355,19895,19900,73,318
2017-10-26,20160,20160,19850,19850,4,318
2017-10-27,19805,20190,19800,20190,27,318
2017-10-30,20205,20215,20180,20190,15,320
2017-10-31,20200,20200,20050,20050,34,354
2017-11-01,20410,20585,20180,20570,50,382
2017-11-02,20655,20660,20555,20645,10,382
2017-11-06,20740,20840,20605,20735,91,398
2017-11-07,20735,21015,20735,21015,30,383
2017-11-08,21000,21075,20870,21020,108,399
2017-11-09,21025,21490,20650,20995,102,486
2017-11-10,20790,20800,20545,20635,23,498
2017-11-13,20610,20610,20440,20565,22,499
2017-11-14,20410,20410,20410,20410,1,498
2017-11-15,20530,20530,20280,20280,2,498
2017-11-16,20010,20380,20010,20380,16,491
2017-11-17,20500,20890,20500,20710,4,491
2017-11-20,20315,20350,20315,20350,4,492
2017-11-21,20260,20520,20025,20370,17,485
2017-11-22,20490,20545,20490,20545,14,493
2017-11-24,20760,20760,20520,20605,12,504
2017-11-27,20450,20710,20450,20575,11,514
2017-11-28,20590,20590,20590,20590,21,534
2017-11-30,20770,20785,20650,20785,23,521
2017-12-01,20890,21010,20775,20970,17,520
2017-12-04,20700,20800,20600,20800,11,521
2017-12-06,20640,20640,20295,20295,38,553
2017-12-07,20245,20560,20245,20560,22,554
2017-12-08,20605,20630,20605,20630,2,553
2017-12-11,20910,20910,20910,20910,2,553
2017-12-12,20940,20940,20910,20910,2,552
2017-12-13,20905,20905,20805,20805,4,555
2017-12-14,20735,20735,20735,20735,2,557
2017-12-15,20725,20725,20680,20680,2,558
2017-12-18,21005,21005,21005,21005,1,559
2017-12-19,21040,21045,20950,20950,7,562
2017-12-28,21105,21110,20870,20870,6,564
2017-12-29,20925,20930,20925,20930,3,564
2018-01-04,21180,21485,21180,21485,13,552
2018-01-05,21630,21870,21630,21870,5,554
2018-01-09,22015,22015,22005,22005,12,558
2018-01-12,22230,22230,21680,21680,3,561
2018-01-15,21755,21895,21755,21895,3,559
2018-01-16,21920,21920,21920,21920,1,558
2018-01-17,21815,21815,21800,21800,2,559
2018-01-18,22045,22050,22045,22050,3,558
2018-01-26,21615,21615,21610,21610,2,558
2018-01-29,21540,21545,21540,21545,2,557
2018-01-30,21535,21535,21230,21230,5,559
2018-02-05,20825,20825,20650,20650,2,561
2018-02-06,20485,20485,19340,19605,35,557
2018-02-07,19790,20210,19790,20210,4,556
2018-02-08,20075,20075,20075,20075,50,556
2018-02-09,19950,19950,19950,19950,50,506
2018-02-14,19200,19230,19200,19230,5,505
2018-02-15,19470,19470,19470,19470,2,505
2018-02-16,19435,19435,19435,19435,1,504
2018-02-21,19960,20170,19960,20170,3,501
2018-02-27,20500,20500,20500,20500,1,501
2018-03-02,19545,19545,19305,19305,5,506
2018-03-05,18860,19140,18860,19140,3,505
2018-03-06,19425,19425,19425,19425,1,505
2018-03-07,19810,19810,19810,19810,1,504
2018-03-12,19890,19980,19890,19950,12,494
2018-03-15,19745,19870,19745,19870,8,495
2018-03-19,19905,19905,19905,19905,1,496
2018-03-20,19500,19500,19500,19500,1,495
2018-03-26,18525,18750,18525,18750,7,488
2018-03-27,18900,19330,18900,19330,5,486
2018-03-28,19200,19200,19200,19200,1,486
