Date,Open,High,Low,Close,Volume,OpenInt
2018-01-31,790,790,790,790,790,1
2018-02-01,735,735,735,735,735,2
2018-02-05,590,590,590,590,590,1
2018-02-06,190,270,190,270,5210,14
2018-02-07,265,315,250,255,19905,40
2018-02-08,230,265,230,265,1430,39
2018-02-09,195,250,190,230,14375,40
2018-02-13,200,200,160,160,2080,48
2018-02-14,150,165,115,130,4135,62
2018-02-15,130,145,110,130,2900,76
2018-02-16,135,175,130,155,70200,445
2018-02-19,165,230,165,225,14180,480
2018-02-20,225,225,180,190,2340,459
2018-02-21,180,235,165,185,10725,491
2018-02-22,190,190,140,140,69155,280
2018-02-23,135,155,125,155,9100,291
2018-02-26,165,220,150,200,24615,830
2018-02-27,195,265,195,260,4200,837
2018-02-28,260,260,180,180,17135,855
2018-03-01,185,190,115,115,21905,906
2018-03-02,120,120,60,60,11705,957
2018-03-05,60,65,43,49,9575,1057
2018-03-06,42,90,41,80,6957,916
2018-03-07,85,135,65,65,19435,962
2018-03-08,70,80,65,65,16640,1116
2018-03-09,70,135,65,80,66845,1252
2018-03-12,75,130,75,115,90705,1242
2018-03-13,105,105,85,105,30045,1305
2018-03-14,105,120,60,65,36425,1460
2018-03-15,70,75,44,60,35648,1550
2018-03-16,65,65,35,35,40565,1663
2018-03-19,34,34,16,17,31654,1698
2018-03-20,17,19,12,14,8502,1576
2018-03-22,15,17,11,14,7337,1619
2018-03-23,14,14,3,3,9756,1933
2018-03-26,4,6,4,4,2242,1828
2018-03-27,4,12,4,9,6347,1790
2018-03-28,8,13,5,7,3570,1867
2018-03-29,7,14,6,9,5926,1979
