Date,Open,High,Low,Close,Volume,OpenInt
2005-03-22,2433.41,2433.41,2345.45,2374.77,9926,0
2005-03-23,2384.55,2433.41,2355.23,2374.77,12791,0
2005-03-24,2394.32,2394.32,2355.23,2355.23,5423,0
2005-03-25,2365,2404.09,2325.91,2404.09,7367,0
2005-03-28,2335.68,2365,2306.36,2316.14,4093,0
2005-03-29,2267.27,2286.82,2198.86,2198.86,6549,0
2005-03-30,2179.32,2179.32,2120.68,2140.23,8186,0
2005-03-31,2101.14,2159.77,2101.14,2159.77,5526,0
2005-04-01,2169.55,2257.5,2150,2218.41,6242,0
2005-04-04,2218.41,2277.05,2218.41,2237.95,6037,0
2005-04-05,2228.18,2247.73,2218.41,2218.41,2456,0
2005-04-06,2237.95,2247.73,2208.64,2218.41,5526,0
2005-04-07,2247.73,2267.27,2208.64,2208.64,7060,0
2005-04-08,2218.41,2277.05,2218.41,2237.95,8186,0
2005-04-11,2237.95,2247.73,2218.41,2237.95,3479,0
2005-04-12,2218.41,2247.73,2179.32,2189.09,6958,0
2005-04-13,2150,2150,2052.27,2091.36,9107,0
2005-04-14,2042.5,2042.5,1964.32,1983.86,10642,0
2005-04-15,1866.59,1974.09,1866.59,1974.09,9414,0
2005-04-18,1837.27,1935,1837.27,1856.82,9516,0
2005-04-19,1886.14,2013.18,1886.14,1954.55,7572,0
2005-04-20,2013.18,2042.5,2013.18,2013.18,5833,0
2005-04-21,1866.59,1964.32,1866.59,1935,10642,0
2005-04-22,1983.86,2013.18,1954.55,1964.32,7163,0
2005-04-25,1964.32,1964.32,1954.55,1954.55,3786,0
2005-04-26,1954.55,1974.09,1935,1935,4502,0
2005-04-27,1925.23,1944.77,1905.68,1944.77,3888,0
2005-04-28,1974.09,1974.09,1964.32,1974.09,512,0
2005-05-02,1954.55,1993.64,1954.55,1983.86,1842,0
2005-05-06,1983.86,1993.64,1954.55,1954.55,3377,0
2005-05-09,1993.64,2130.45,1993.64,2091.36,14633,0
2005-05-10,2101.14,2101.14,2052.27,2071.82,4605,0
2005-05-11,2071.82,2071.82,2013.18,2052.27,3991,0
2005-05-12,2091.36,2091.36,2003.41,2013.18,1842,0
2005-05-13,1993.64,2013.18,1954.55,1954.55,5423,0
2005-05-16,1954.55,1964.32,1935,1935,2660,0
2005-05-17,1964.32,1964.32,1856.82,1856.82,2149,0
2005-05-18,1895.91,1895.91,1837.27,1866.59,1433,0
2005-05-19,1915.45,1983.86,1886.14,1925.23,8186,0
2005-05-20,1944.77,1964.32,1925.23,1954.55,3274,0
2005-05-23,1935,1935,1905.68,1905.68,2967,0
2005-05-24,1925.23,1925.23,1886.14,1886.14,1126,0
2005-05-25,1866.59,1866.59,1807.95,1817.73,4502,0
2005-05-26,1788.41,1788.41,1710.23,1710.23,3479,0
2005-05-27,1749.32,1817.73,1749.32,1807.95,2353,0
2005-05-30,1856.82,1856.82,1807.95,1837.27,1433,0
2005-05-31,1827.5,1847.05,1817.73,1847.05,1740,0
2005-06-01,1856.82,1886.14,1837.27,1886.14,1535,0
2005-06-02,1886.14,1886.14,1876.36,1886.14,3070,0
2005-06-03,1856.82,1866.59,1856.82,1856.82,1023,0
2005-06-06,1866.59,1876.36,1866.59,1876.36,1023,0
2005-06-07,1856.82,1856.82,1768.86,1768.86,3479,0
2005-06-08,1817.73,1866.59,1798.18,1807.95,3479,0
2005-06-09,1856.82,1856.82,1817.73,1817.73,2763,0
2005-06-10,1886.14,1886.14,1856.82,1856.82,1535,0
2005-06-13,1817.73,1866.59,1817.73,1866.59,1842,0
2005-06-14,1856.82,1856.82,1837.27,1847.05,1740,0
2005-06-15,1856.82,1876.36,1817.73,1847.05,3274,0
2005-06-16,1876.36,1895.91,1847.05,1866.59,3684,0
2005-06-17,1895.91,1935,1886.14,1905.68,6140,0
2005-06-20,1935,1954.55,1915.45,1935,3377,0
2005-06-21,1905.68,1905.68,1895.91,1905.68,1740,0
2005-06-22,1905.68,1905.68,1886.14,1886.14,1023,0
2005-06-23,1866.59,1886.14,1837.27,1856.82,1330,0
2005-06-24,1837.27,1856.82,1837.27,1856.82,1740,0
2005-06-27,1817.73,1847.05,1817.73,1817.73,2558,0
2005-06-28,1817.73,1856.82,1817.73,1837.27,1842,0
2005-06-29,1876.36,1886.14,1856.82,1856.82,1330,0
2005-06-30,1856.82,1866.59,1837.27,1866.59,1330,0
2005-07-01,1866.59,1886.14,1866.59,1876.36,2763,0
2005-07-04,1895.91,1895.91,1876.36,1886.14,1740,0
2005-07-05,1856.82,1866.59,1837.27,1856.82,3479,0
2005-07-06,1886.14,2003.41,1856.82,1954.55,30595,0
2005-07-07,1935,1944.77,1915.45,1915.45,3172,0
2005-07-08,1915.45,1915.45,1886.14,1905.68,2353,0
2005-07-11,1905.68,1993.64,1866.59,1983.86,7777,0
2005-07-12,1983.86,1983.86,1866.59,1935,9107,0
2005-07-13,1925.23,1925.23,1886.14,1895.91,4605,0
2005-07-14,1915.45,1925.23,1905.68,1925.23,3786,0
2005-07-15,1925.23,1935,1895.91,1895.91,2660,0
2005-07-19,1925.23,1925.23,1895.91,1905.68,1944,0
2005-07-20,1905.68,2374.77,1905.68,2267.27,163414,0
2005-07-21,2345.45,2413.86,2052.27,2345.45,124223,0
2005-07-22,2540.91,2628.86,2296.59,2335.68,268195,0
2005-07-25,2277.05,2619.09,2150,2609.32,153488,0
2005-07-26,2765.68,3195.68,2687.5,2912.27,866288,0
2005-07-27,2912.27,2931.82,2521.36,2550.68,281088,0
2005-07-28,2531.14,2550.68,2345.45,2355.23,131898,0
2005-07-29,2404.09,2462.73,2296.59,2296.59,66921,0
2005-08-01,2404.09,2531.14,2335.68,2384.55,141823,0
2005-08-02,2413.86,2433.41,2296.59,2316.14,53312,0
2005-08-03,2316.14,2316.14,2228.18,2247.73,29163,0
2005-08-04,2198.86,2228.18,2091.36,2140.23,24967,0
2005-08-05,2150,2277.05,2140.23,2179.32,25581,0
2005-08-08,2110.91,2228.18,2032.73,2228.18,26400,0
2005-08-09,2208.64,2277.05,2208.64,2257.5,16986,0
2005-08-10,2286.82,2687.5,2247.73,2511.59,277200,0
2005-08-11,2570.23,2570.23,2394.32,2404.09,99972,0
2005-08-12,2423.64,2501.82,2394.32,2423.64,23433,0
2005-08-15,2472.5,2492.05,2433.41,2472.5,11153,0
2005-08-16,2501.82,2511.59,2443.18,2443.18,22716,0
2005-08-17,2472.5,2482.27,2404.09,2433.41,14735,0
2005-08-18,2423.64,2482.27,2413.86,2413.86,20158,0
2005-08-19,2423.64,2472.5,2394.32,2404.09,9414,0
2005-08-22,2394.32,2531.14,2394.32,2521.36,38065,0
2005-08-23,2599.55,2892.73,2570.23,2658.18,762223,0
2005-08-24,2609.32,2619.09,2501.82,2589.77,69684,0
2005-08-25,2580,2580,2462.73,2492.05,30800,0
2005-08-26,2482.27,2589.77,2482.27,2540.91,33460,0
2005-08-29,2560.45,2589.77,2521.36,2560.45,16270,0
2005-08-30,2580,2658.18,2540.91,2648.41,32949,0
2005-08-31,2628.86,2658.18,2570.23,2570.23,19135,0
2005-09-01,2589.77,2619.09,2560.45,2599.55,17498,0
2005-09-02,2599.55,2599.55,2550.68,2580,9823,0
2005-09-05,2580,2716.82,2560.45,2697.27,82270,0
2005-09-06,2892.73,3264.09,2697.27,2697.27,1050167,0
2005-09-07,2892.73,2912.27,2697.27,2716.82,84623,0
2005-09-08,2707.05,2726.59,2638.64,2677.73,26093,0
2005-09-09,2677.73,2697.27,2628.86,2638.64,14940,0
2005-09-12,2726.59,2736.36,2628.86,2648.41,14019,0
2005-09-13,2667.95,2834.09,2648.41,2716.82,31721,0
2005-09-14,2697.27,2785.23,2697.27,2736.36,19647,0
2005-09-15,2746.14,2912.27,2746.14,2912.27,59656,0
2005-09-16,2912.27,2912.27,2814.55,2824.32,35712,0
2005-09-20,2853.64,2863.41,2824.32,2834.09,16270,0
2005-09-21,2834.09,2843.86,2736.36,2765.68,16372,0
2005-09-22,2746.14,2755.91,2628.86,2726.59,19544,0
2005-09-26,2736.36,2736.36,2687.5,2697.27,13609,0
2005-09-27,2736.36,2785.23,2687.5,2687.5,20977,0
2005-09-28,2697.27,2697.27,2628.86,2697.27,20772,0
2005-09-29,2785.23,2785.23,2697.27,2697.27,27219,0
2005-09-30,2726.59,2726.59,2638.64,2658.18,10540,0
2005-10-03,2628.86,2628.86,2570.23,2609.32,7572,0
2005-10-04,2628.86,2628.86,2580,2619.09,4912,0
2005-10-05,2589.77,2619.09,2570.23,2619.09,5423,0
2005-10-06,2580,2580,2550.68,2550.68,5423,0
2005-10-07,2540.91,2580,2540.91,2580,4093,0
2005-10-11,2580,2619.09,2550.68,2619.09,4707,0
2005-10-12,2638.64,2667.95,2589.77,2599.55,5321,0
2005-10-13,2540.91,2580,2540.91,2550.68,3274,0
2005-10-14,2531.14,2570.23,2501.82,2511.59,8800,0
2005-10-17,2492.05,2501.82,2462.73,2492.05,13712,0
2005-10-18,2492.05,2638.64,2482.27,2609.32,15247,0
2005-10-19,2658.18,2658.18,2580,2628.86,12995,0
2005-10-20,2599.55,2667.95,2599.55,2638.64,9721,0
2005-10-21,2648.41,2648.41,2589.77,2589.77,3581,0
2005-10-24,2589.77,2589.77,2462.73,2482.27,4605,0
2005-10-25,2492.05,2511.59,2462.73,2462.73,7265,0
2005-10-26,2540.91,2560.45,2492.05,2501.82,3581,0
2005-10-27,2511.59,2560.45,2511.59,2521.36,4605,0
2005-10-28,2511.59,2511.59,2492.05,2492.05,2251,0
2005-10-31,2531.14,2531.14,2482.27,2501.82,2456,0
2005-11-01,2501.82,2540.91,2501.82,2521.36,7060,0
2005-11-02,2511.59,2560.45,2511.59,2521.36,6344,0
2005-11-04,2638.64,2638.64,2550.68,2570.23,10130,0
2005-11-07,2570.23,2589.77,2540.91,2550.68,6856,0
2005-11-08,2570.23,2677.73,2550.68,2667.95,24660,0
2005-11-09,2667.95,2667.95,2628.86,2648.41,12074,0
2005-11-10,2658.18,2667.95,2540.91,2550.68,9823,0
2005-11-11,2550.68,2599.55,2550.68,2580,3479,0
2005-11-14,2580,2580,2550.68,2550.68,3274,0
2005-11-15,2550.68,2570.23,2472.5,2472.5,7879,0
2005-11-16,2472.5,2492.05,2472.5,2482.27,6344,0
2005-11-17,2521.36,2540.91,2492.05,2531.14,2047,0
2005-11-18,2560.45,2560.45,2511.59,2540.91,8698,0
2005-11-21,2521.36,2697.27,2521.36,2609.32,17191,0
2005-11-22,2619.09,2628.86,2550.68,2550.68,3274,0
2005-11-24,2589.77,2599.55,2550.68,2550.68,2251,0
2005-11-25,2570.23,2570.23,2501.82,2550.68,5116,0
2005-11-28,2531.14,2560.45,2501.82,2511.59,5730,0
2005-11-29,2492.05,2540.91,2482.27,2492.05,14428,0
2005-11-30,2501.82,2511.59,2482.27,2482.27,8186,0
2005-12-01,2492.05,2511.59,2472.5,2482.27,9619,0
