Date,Open,High,Low,Close,Volume,OpenInt
2011-12-30,173.3,173.3,173.3,173.3,0,0
2012-01-31,187.3,187.3,187.3,187.3,0,0
2012-02-29,189.2,189.2,189.2,189.2,0,0
2012-03-30,180.5,180.5,180.5,180.5,0,0
2012-04-30,181,181,181,181,0,0
2012-05-31,173.2,173.2,173.2,173.2,0,0
2012-06-29,176.6,176.6,176.6,176.6,0,0
2012-07-31,179.7,179.7,179.7,179.7,0,0
2012-08-31,180.5,180.5,180.5,180.5,0,0
2012-09-28,191.2,191.2,191.2,191.2,0,0
2012-10-31,186.9,186.9,186.9,186.9,0,0
2012-11-30,186.8,186.8,186.8,186.8,0,0
2012-12-31,181.7,181.7,181.7,181.7,0,0
2013-01-31,181.6,181.6,181.6,181.6,0,0
2013-02-28,175.6,175.6,175.6,175.6,0,0
2013-03-29,175.9,175.9,175.9,175.9,0,0
2013-04-30,166.5,166.5,166.5,166.5,0,0
2013-05-31,160.9,160.9,160.9,160.9,0,0
2013-06-28,144.7,144.7,144.7,144.7,0,0
2013-07-31,154.7,154.7,154.7,154.7,0,0
2013-08-30,160.8,160.8,160.8,160.8,0,0
2013-09-30,157.4,157.4,157.4,157.4,0,0
2013-10-31,155.2,155.2,155.2,155.2,0,0
2013-11-29,149.5,149.5,149.5,149.5,0,0
2013-12-31,145.5,145.5,145.5,145.5,0,0
2014-01-31,149.7,149.7,149.7,149.7,0,0
2014-02-28,155.3,155.3,155.3,155.3,0,0
2014-03-31,152.7,152.7,152.7,152.7,0,0
2014-04-30,152.8,152.8,152.8,152.8,0,0
2014-05-30,149.5,149.5,149.5,149.5,0,0
2014-06-30,154.6,154.6,154.6,154.6,0,0
2014-07-31,152.4,152.4,152.4,152.4,0,0
2014-08-29,152,152,152,152,0,0
2014-09-30,145.5,145.5,145.5,145.5,0,0
2014-10-31,140.4,140.4,140.4,140.4,0,0
2014-11-28,141.6,141.6,141.6,141.6,0,0
2014-12-31,129.74,129.74,129.74,129.74,0,0
2015-02-27,127.01,127.01,127.01,127.01,0,0
2015-03-31,130.02,130.02,130.02,130.02,0,0
2015-04-30,124.76,124.76,124.76,124.76,0,0
2015-05-29,127.72,127.72,127.72,127.72,0,0
2015-06-30,124.97,124.97,124.97,124.97,0,0
2015-07-31,121.63,121.63,121.63,121.63,0,0
2015-08-31,121.87,121.87,121.87,121.87,0,0
2015-09-30,120.64,120.64,120.64,120.64,0,0
2015-10-30,124.62,124.62,124.62,124.62,0,0
2015-11-30,123.41,123.41,123.41,123.41,0,0
2015-12-31,120.12,120.12,120.12,120.12,0,0
2016-01-29,123.13,123.13,123.13,123.13,0,0
2016-02-29,130.93,130.93,130.93,130.93,0,0
2016-03-31,125.76,125.76,125.76,125.76,0,0
2016-04-29,128.82,128.82,128.82,128.82,0,0
2016-05-31,126.73,126.73,126.73,126.73,0,0
2016-06-30,134.98,134.98,134.98,134.98,0,0
2016-07-29,135.95,135.95,135.95,135.95,0,0
2016-08-31,134.22,134.22,134.22,134.22,0,0
2016-09-30,135.21,135.21,135.21,135.21,0,0
2016-10-31,133.88,133.88,133.88,133.88,0,0
2016-11-30,130.46,130.46,130.46,130.46,0,0
2016-12-30,129.06,129.06,129.06,129.06,0,0
2017-01-31,130.45,130.45,130.45,130.45,0,0
2017-02-28,136.19,136.19,136.19,136.19,0,0
2017-03-31,134.21,134.21,134.21,134.21,0,0
2017-04-28,135.38,135.38,135.38,135.38,0,0
2017-05-31,132.06,132.06,132.06,132.06,0,0
2017-06-30,128.35,128.35,128.35,128.35,0,0
2017-07-31,126.85,126.85,126.85,126.85,0,0
2017-08-31,127.24,127.24,127.24,127.24,0,0
2017-10-31,128.05,128.05,128.05,128.05,0,0
2017-11-30,126.2,126.2,126.2,126.2,0,0
2017-12-29,126.07,126.07,126.07,126.07,0,0
2018-01-31,124.56,124.56,124.56,124.56,0,0
2018-02-28,125.19,125.19,125.19,125.19,0,0
