Date,Open,High,Low,Close,Volume,OpenInt
2010-05-31,574,574,574,574,0,0
2010-06-30,586,586,586,586,0,0
2010-07-30,559,559,559,559,0,0
2010-08-31,569,569,569,569,0,0
2010-09-30,539,539,539,539,0,0
2010-10-29,550,550,550,550,0,0
2010-11-30,544,544,544,544,0,0
2010-12-31,627,627,627,627,0,0
2011-01-31,563,563,563,563,0,0
2011-02-28,534,534,534,534,0,0
2011-03-31,594,594,594,594,0,0
2011-04-29,563,563,563,563,0,0
2011-05-31,609,609,609,609,0,0
2011-06-30,617,617,617,617,0,0
2011-07-29,601,601,601,601,0,0
2011-08-31,625,625,625,625,0,0
2011-09-30,589,589,589,589,0,0
2011-10-31,644,644,644,644,0,0
2011-11-30,680,680,680,680,0,0
2011-12-30,671,671,671,671,0,0
2012-01-31,682,682,682,682,0,0
2012-02-29,717,717,717,717,0,0
2012-03-30,747,747,747,747,0,0
2012-04-30,715,715,715,715,0,0
2012-05-31,784,784,784,784,0,0
2012-06-29,760,760,760,760,0,0
2012-07-31,812,812,812,812,0,0
2012-08-31,803,803,803,803,0,0
2012-09-28,890,890,890,890,0,0
2012-10-31,868,868,868,868,0,0
2012-11-30,900,900,900,900,0,0
2012-12-31,909,909,909,909,0,0
2013-01-31,904,904,904,904,0,0
2013-02-28,939,939,939,939,0,0
2013-03-29,890,890,890,890,0,0
2013-04-30,1005,1005,1005,1005,0,0
2013-05-31,985,985,985,985,0,0
2013-06-28,918,918,918,918,0,0
2013-07-31,954,954,954,954,0,0
2013-08-30,1039,1039,1039,1039,0,0
2013-11-29,1017,1017,1017,1017,0,0
2013-12-31,991,991,991,991,0,0
2014-01-31,945,945,945,945,0,0
2014-02-28,1014,1014,1014,1014,0,0
2014-03-31,1000,1000,1000,1000,0,0
2014-04-30,1059,1059,1059,1059,0,0
2014-05-30,1005,1005,1005,1005,0,0
2014-06-30,973,973,973,973,0,0
2014-07-31,1057,1057,1057,1057,0,0
2014-08-29,1003,1003,1003,1003,0,0
2014-09-30,1031,1031,1031,1031,0,0
2014-10-31,1092,1092,1092,1092,0,0
2014-11-28,1052,1052,1052,1052,0,0
2014-12-31,1060,1060,1060,1060,0,0
2015-01-30,1060,1060,1060,1060,0,0
2015-02-27,1102,1102,1102,1102,0,0
2015-03-31,1038,1038,1038,1038,0,0
2015-04-30,1140,1140,1140,1140,0,0
2015-05-29,1250,1250,1250,1250,0,0
2015-06-30,1337,1337,1337,1337,0,0
2015-07-31,1130,1130,1130,1130,0,0
2015-08-31,1161,1161,1161,1161,0,0
2015-09-30,1105,1105,1105,1105,0,0
2015-10-30,1161,1161,1161,1161,0,0
2015-11-30,1282,1282,1282,1282,0,0
2015-12-31,1204,1204,1204,1204,0,0
2016-01-29,1204,1204,1204,1204,0,0
2016-02-29,1177,1177,1177,1177,0,0
2016-03-31,1077,1077,1077,1077,0,0
2016-04-29,1130,1130,1130,1130,0,0
2016-05-31,1136,1136,1136,1136,0,0
2016-06-30,1153,1153,1153,1153,0,0
2016-07-29,1144,1144,1144,1144,0,0
2016-08-31,1152,1152,1152,1152,0,0
2016-09-30,1225,1225,1225,1225,0,0
2016-10-31,1260,1260,1260,1260,0,0
2016-11-30,1212,1212,1212,1212,0,0
2016-12-30,1228,1228,1228,1228,0,0
2017-01-31,1293,1293,1293,1293,0,0
2017-02-28,1216,1216,1216,1216,0,0
2017-03-31,1260,1260,1260,1260,0,0
2017-04-28,1168,1168,1168,1168,0,0
2017-06-30,1275,1275,1275,1275,0,0
2017-07-31,1230,1230,1230,1230,0,0
2017-08-31,1272,1272,1272,1272,0,0
2017-09-29,1225,1225,1225,1225,0,0
2017-10-31,1297,1297,1297,1297,0,0
2017-11-30,1303,1303,1303,1303,0,0
2017-12-29,1377,1377,1377,1377,0,0
2018-02-28,1298,1298,1298,1298,0,0
