Date,Open,High,Low,Close,Volume,OpenInt
2010-06-30,53.8,53.8,53.8,53.8,0,0
2010-07-30,54.3,54.3,54.3,54.3,0,0
2010-08-31,51.5,51.5,51.5,51.5,0,0
2010-09-30,53.2,53.2,53.2,53.2,0,0
2010-10-29,54.3,54.3,54.3,54.3,0,0
2010-11-30,55,55,55,55,0,0
2010-12-31,57.1,57.1,57.1,57.1,0,0
2011-01-31,59.4,59.4,59.4,59.4,0,0
2011-02-28,59.7,59.7,59.7,59.7,0,0
2011-03-31,57.3,57.3,57.3,57.3,0,0
2011-04-29,52.8,52.8,52.8,52.8,0,0
2011-05-31,54.6,54.6,54.6,54.6,0,0
2011-06-30,53.3,53.3,53.3,53.3,0,0
2011-07-29,52.7,52.7,52.7,52.7,0,0
2011-08-31,53.3,53.3,53.3,53.3,0,0
2011-09-30,53,53,53,53,0,0
2011-10-31,52.9,52.9,52.9,52.9,0,0
2011-11-30,52,52,52,52,0,0
2011-12-30,53,53,53,53,0,0
2012-01-31,56.8,56.8,56.8,56.8,0,0
2012-02-29,57.3,57.3,57.3,57.3,0,0
2012-03-30,56,56,56,56,0,0
2012-04-30,53.5,53.5,53.5,53.5,0,0
2012-05-31,53.7,53.7,53.7,53.7,0,0
2012-06-29,52.1,52.1,52.1,52.1,0,0
2012-07-31,52.6,52.6,52.6,52.6,0,0
2012-08-31,53.7,53.7,53.7,53.7,0,0
2012-09-28,55.1,55.1,55.1,55.1,0,0
2012-10-31,54.2,54.2,54.2,54.2,0,0
2012-11-30,54.7,54.7,54.7,54.7,0,0
2012-12-31,55.7,55.7,55.7,55.7,0,0
2013-01-31,55.2,55.2,55.2,55.2,0,0
2013-02-28,56,56,56,56,0,0
2013-03-29,54.4,54.4,54.4,54.4,0,0
2013-04-30,53.1,53.1,53.1,53.1,0,0
2013-05-31,53.7,53.7,53.7,53.7,0,0
2013-06-28,52.2,52.2,52.2,52.2,0,0
2013-07-31,56,56,56,56,0,0
2013-08-30,58.6,58.6,58.6,58.6,0,0
2013-09-30,54.4,54.4,54.4,54.4,0,0
2013-10-31,55.4,55.4,55.4,55.4,0,0
2013-11-29,53.9,53.9,53.9,53.9,0,0
2013-12-31,53,53,53,53,0,0
2014-01-31,54,54,54,54,0,0
2014-02-28,51.6,51.6,51.6,51.6,0,0
2014-03-31,53.1,53.1,53.1,53.1,0,0
2014-04-30,55.2,55.2,55.2,55.2,0,0
2014-05-30,56.3,56.3,56.3,56.3,0,0
2014-06-30,56,56,56,56,0,0
2014-07-31,58.7,58.7,58.7,58.7,0,0
2014-08-29,59.6,59.6,59.6,59.6,0,0
2014-09-30,58.6,58.6,58.6,58.6,0,0
2014-10-31,57.1,57.1,57.1,57.1,0,0
2014-11-28,59.3,59.3,59.3,59.3,0,0
2014-12-31,56.5,56.5,56.5,56.5,0,0
2015-01-30,56.7,56.7,56.7,56.7,0,0
2015-02-27,56.9,56.9,56.9,56.9,0,0
2015-03-31,56.5,56.5,56.5,56.5,0,0
2015-04-30,57.8,57.8,57.8,57.8,0,0
2015-05-29,55.7,55.7,55.7,55.7,0,0
2015-06-30,56,56,56,56,0,0
2015-07-31,60.3,60.3,60.3,60.3,0,0
2015-08-31,59,59,59,59,0,0
2015-09-30,56.9,56.9,56.9,56.9,0,0
2015-10-30,59.1,59.1,59.1,59.1,0,0
2015-11-30,55.9,55.9,55.9,55.9,0,0
2015-12-31,55.8,55.8,55.8,55.8,0,0
2016-01-29,53.5,53.5,53.5,53.5,0,0
2016-02-29,53.4,53.4,53.4,53.4,0,0
2016-03-31,54.5,54.5,54.5,54.5,0,0
2016-04-29,55.7,55.7,55.7,55.7,0,0
2016-05-31,52.9,52.9,52.9,52.9,0,0
2016-06-30,56.5,56.5,56.5,56.5,0,0
2016-07-29,55.5,55.5,55.5,55.5,0,0
2016-08-31,51.4,51.4,51.4,51.4,0,0
2016-09-30,57.1,57.1,57.1,57.1,0,0
2016-10-31,54.8,54.8,54.8,54.8,0,0
2016-11-30,57.2,57.2,57.2,57.2,0,0
2016-12-30,56.6,56.6,56.6,56.6,0,0
2017-01-31,56.5,56.5,56.5,56.5,0,0
2017-02-28,57.6,57.6,57.6,57.6,0,0
2017-03-31,55.2,55.2,55.2,55.2,0,0
2017-04-28,57.5,57.5,57.5,57.5,0,0
2017-05-31,57.4,57.4,57.4,57.4,0,0
2017-07-31,53.9,53.9,53.9,53.9,0,0
2017-08-31,55.3,55.3,55.3,55.3,0,0
2017-09-29,59.8,59.8,59.8,59.8,0,0
2017-10-31,60.1,60.1,60.1,60.1,0,0
2017-11-30,57.4,57.4,57.4,57.4,0,0
2017-12-29,56,56,56,56,0,0
2018-01-31,59.9,59.9,59.9,59.9,0,0
