Date,Open,High,Low,Close,Volume,OpenInt
2006-04-21,176.64,176.64,176.64,176.64,0,0
2006-04-24,177.38,177.38,177.38,177.38,0,0
2006-04-25,177.18,177.18,177.18,177.18,0,0
2006-04-26,177.86,177.86,177.86,177.86,0,0
2006-04-27,175.74,175.74,175.74,175.74,0,0
2006-04-28,176.03,176.03,176.03,176.03,0,0
2006-05-02,176.03,176.03,176.03,176.03,0,0
2006-05-04,177.48,177.48,177.48,177.48,0,0
2006-05-05,178.25,178.25,178.25,178.25,0,0
2006-05-08,178.98,178.98,178.98,178.98,0,0
2006-05-09,177.69,177.69,177.69,177.69,0,0
2006-05-10,177.3,177.3,177.3,177.3,0,0
2006-05-11,179.4,179.4,179.4,179.4,0,0
2006-05-12,177.87,177.87,177.87,177.87,0,0
2006-05-15,174.78,174.78,174.78,174.78,0,0
2006-05-16,174.48,174.48,174.48,174.48,0,0
2006-05-17,172.21,172.21,172.21,172.21,0,0
2006-05-18,171.76,171.76,171.76,171.76,0,0
2006-05-19,171.07,171.07,171.07,171.07,0,0
2006-05-22,166.65,166.65,166.65,166.65,0,0
2006-05-23,168,168,168,168,0,0
2006-05-24,164.79,164.79,164.79,164.79,0,0
2006-05-25,166.26,166.26,166.26,166.26,0,0
2006-05-26,167.49,167.49,167.49,167.49,0,0
2006-05-29,167.61,167.61,167.61,167.61,0,0
2006-05-30,166.38,166.38,166.38,166.38,0,0
2006-05-31,165.69,165.69,165.69,165.69,0,0
2006-06-01,166.51,166.51,166.51,166.51,0,0
2006-06-02,168.64,168.64,168.64,168.64,0,0
2006-06-05,169.16,169.16,169.16,169.16,0,0
2006-06-06,166.87,166.87,166.87,166.87,0,0
2006-06-07,166.57,166.57,166.57,166.57,0,0
2006-06-08,164.09,164.09,164.09,164.09,0,0
2006-06-09,163.1,163.1,163.1,163.1,0,0
2006-06-12,160.5,160.5,160.5,160.5,0,0
2006-06-13,157.38,157.38,157.38,157.38,0,0
2006-06-14,157.31,157.31,157.31,157.31,0,0
2006-06-16,158.11,158.11,158.11,158.11,0,0
2006-06-19,160.04,160.04,160.04,160.04,0,0
2006-06-20,160.05,160.05,160.05,160.05,0,0
2006-06-21,160.28,160.28,160.28,160.28,0,0
2006-06-22,160.04,160.04,160.04,160.04,0,0
2006-06-23,159.91,159.91,159.91,159.91,0,0
2006-06-26,161.07,161.07,161.07,161.07,0,0
2006-06-27,164.46,164.46,164.46,164.46,0,0
2006-06-28,165.95,165.95,165.95,165.95,0,0
2006-06-29,165.99,165.99,165.99,165.99,0,0
2006-06-30,167.69,167.69,167.69,167.69,0,0
2006-07-03,168.18,168.18,168.18,168.18,0,0
2006-07-04,168.89,168.89,168.89,168.89,0,0
2006-07-05,167.95,167.95,167.95,167.95,0,0
