Date,Open,High,Low,Close,Volume,OpenInt
2016-06-20,100.02,100.02,100.02,100.02,0,0
2016-06-21,100.03,100.03,100.03,100.03,0,0
2016-06-22,100.03,100.03,100.03,100.03,0,0
2016-06-23,100.03,100.03,100.03,100.03,0,0
2016-06-24,100.04,100.04,100.04,100.04,0,0
2016-06-27,100.05,100.05,100.05,100.05,0,0
2016-06-28,100.05,100.05,100.05,100.05,0,0
2016-06-29,100.05,100.05,100.05,100.05,0,0
2016-06-30,100.06,100.06,100.06,100.06,0,0
2016-07-01,100.06,100.06,100.06,100.06,0,0
2016-07-04,100.07,100.07,100.07,100.07,0,0
2016-07-05,100.07,100.07,100.07,100.07,0,0
2016-07-06,100.07,100.07,100.07,100.07,0,0
2016-07-07,100.07,100.07,100.07,100.07,0,0
2016-07-08,100.08,100.08,100.08,100.08,0,0
2016-07-11,100.09,100.09,100.09,100.09,0,0
2016-07-12,100.09,100.09,100.09,100.09,0,0
2016-07-13,100.09,100.09,100.09,100.09,0,0
2016-07-14,100.1,100.1,100.1,100.1,0,0
2016-07-15,100.1,100.1,100.1,100.1,0,0
2016-07-18,100.11,100.11,100.11,100.11,0,0
2016-07-19,100.11,100.11,100.11,100.11,0,0
2016-07-20,100.11,100.11,100.11,100.11,0,0
2016-07-21,100.12,100.12,100.12,100.12,0,0
2016-07-22,100.12,100.12,100.12,100.12,0,0
2016-07-25,100.13,100.13,100.13,100.13,0,0
2016-07-26,100.13,100.13,100.13,100.13,0,0
2016-07-27,100.13,100.13,100.13,100.13,0,0
2016-07-28,100.14,100.14,100.14,100.14,0,0
2016-07-29,100.14,100.14,100.14,100.14,0,0
2016-08-01,100.15,100.15,100.15,100.15,0,0
2016-08-02,100.15,100.15,100.15,100.15,0,0
2016-08-03,100.15,100.15,100.15,100.15,0,0
2016-08-04,100.15,100.15,100.15,100.15,0,0
2016-08-05,100.15,100.15,100.15,100.15,0,0
2016-08-08,100.15,100.15,100.15,100.15,0,0
2016-08-09,100.15,100.15,100.15,100.15,0,0
2016-08-10,100.15,100.15,100.15,100.15,0,0
2016-08-11,100.15,100.15,100.15,100.15,0,0
2016-08-12,100.15,100.15,100.15,100.15,0,0
2016-08-16,100.15,100.15,100.15,100.15,0,0
2016-08-17,100.15,100.15,100.15,100.15,0,0
2016-08-18,100.15,100.15,100.15,100.15,0,0
2016-08-19,100.15,100.15,100.15,100.15,0,0
2016-08-22,100.15,100.15,100.15,100.15,0,0
2016-08-23,100.16,100.16,100.16,100.16,0,0
2016-08-24,100.16,100.16,100.16,100.16,0,0
2016-08-25,100.16,100.16,100.16,100.16,0,0
2016-08-26,100.16,100.16,100.16,100.16,0,0
2016-08-29,100.16,100.16,100.16,100.16,0,0
2016-08-30,100.16,100.16,100.16,100.16,0,0
2016-08-31,100.16,100.16,100.16,100.16,0,0
2016-09-01,100.16,100.16,100.16,100.16,0,0
2016-09-02,100.16,100.16,100.16,100.16,0,0
2016-09-05,100.17,100.17,100.17,100.17,0,0
2016-09-06,100.18,100.18,100.18,100.18,0,0
2016-09-07,100.18,100.18,100.18,100.18,0,0
2016-09-08,100.18,100.18,100.18,100.18,0,0
2016-09-09,100.19,100.19,100.19,100.19,0,0
2016-09-12,100.19,100.19,100.19,100.19,0,0
2016-09-13,100.2,100.2,100.2,100.2,0,0
2016-09-14,100.2,100.2,100.2,100.2,0,0
2016-09-15,100.2,100.2,100.2,100.2,0,0
2016-09-16,100.21,100.21,100.21,100.21,0,0
2016-09-19,100.22,100.22,100.22,100.22,0,0
2016-09-20,100.22,100.22,100.22,100.22,0,0
2016-09-21,100.22,100.22,100.22,100.22,0,0
2016-09-22,100.23,100.23,100.23,100.23,0,0
2016-09-23,100.23,100.23,100.23,100.23,0,0
2016-09-26,100.24,100.24,100.24,100.24,0,0
2016-09-27,100.24,100.24,100.24,100.24,0,0
2016-09-28,100.24,100.24,100.24,100.24,0,0
2016-09-29,100.25,100.25,100.25,100.25,0,0
2016-09-30,100.25,100.25,100.25,100.25,0,0
2016-10-03,100.26,100.26,100.26,100.26,0,0
2016-10-04,100.26,100.26,100.26,100.26,0,0
2016-10-05,100.26,100.26,100.26,100.26,0,0
2016-10-06,100.26,100.26,100.26,100.26,0,0
2016-10-07,100.27,100.27,100.27,100.27,0,0
2016-10-10,100.27,100.27,100.27,100.27,0,0
2016-10-11,100.28,100.28,100.28,100.28,0,0
2016-10-12,100.28,100.28,100.28,100.28,0,0
2016-10-13,100.28,100.28,100.28,100.28,0,0
2016-10-14,100.29,100.29,100.29,100.29,0,0
2016-10-17,100.3,100.3,100.3,100.3,0,0
2016-10-18,100.3,100.3,100.3,100.3,0,0
2016-10-19,100.3,100.3,100.3,100.3,0,0
2016-10-20,100.31,100.31,100.31,100.31,0,0
2016-10-21,100.31,100.31,100.31,100.31,0,0
2016-10-24,100.32,100.32,100.32,100.32,0,0
2016-10-25,100.32,100.32,100.32,100.32,0,0
2016-10-26,100.32,100.32,100.32,100.32,0,0
2016-10-27,100.33,100.33,100.33,100.33,0,0
2016-10-28,100.33,100.33,100.33,100.33,0,0
2016-10-31,100.34,100.34,100.34,100.34,0,0
2016-11-02,100.34,100.34,100.34,100.34,0,0
2016-11-03,100.35,100.35,100.35,100.35,0,0
2016-11-04,100.35,100.35,100.35,100.35,0,0
2016-11-07,100.36,100.36,100.36,100.36,0,0
2016-11-08,100.47,100.47,100.47,100.47,0,0
2016-11-09,100.46,100.46,100.46,100.46,0,0
2016-11-10,100.24,100.24,100.24,100.24,0,0
2016-11-14,100.24,100.24,100.24,100.24,0,0
2016-11-15,99.77,99.77,99.77,99.77,0,0
2016-11-16,99.94,99.94,99.94,99.94,0,0
2016-11-17,100.02,100.02,100.02,100.02,0,0
2016-11-18,100.25,100.25,100.25,100.25,0,0
2016-11-21,100.22,100.22,100.22,100.22,0,0
2016-11-22,100.29,100.29,100.29,100.29,0,0
2016-11-23,100.51,100.51,100.51,100.51,0,0
2016-11-24,100.53,100.53,100.53,100.53,0,0
2016-11-25,100.51,100.51,100.51,100.51,0,0
2016-11-28,100.59,100.59,100.59,100.59,0,0
2016-11-29,100.62,100.62,100.62,100.62,0,0
2016-11-30,100.66,100.66,100.66,100.66,0,0
2016-12-01,100.64,100.64,100.64,100.64,0,0
2016-12-02,100.57,100.57,100.57,100.57,0,0
2016-12-05,100.56,100.56,100.56,100.56,0,0
2016-12-06,100.73,100.73,100.73,100.73,0,0
2016-12-07,100.79,100.79,100.79,100.79,0,0
2016-12-08,100.97,100.97,100.97,100.97,0,0
2016-12-09,101.11,101.11,101.11,101.11,0,0
2016-12-12,101.12,101.12,101.12,101.12,0,0
2016-12-13,101.19,101.19,101.19,101.19,0,0
2016-12-14,101.13,101.13,101.13,101.13,0,0
2016-12-15,101.16,101.16,101.16,101.16,0,0
2016-12-16,101.15,101.15,101.15,101.15,0,0
2016-12-19,101.08,101.08,101.08,101.08,0,0
2016-12-20,101.12,101.12,101.12,101.12,0,0
2016-12-21,101.1,101.1,101.1,101.1,0,0
2016-12-22,101.16,101.16,101.16,101.16,0,0
2016-12-23,101.2,101.2,101.2,101.2,0,0
2016-12-27,101.23,101.23,101.23,101.23,0,0
2016-12-28,101.28,101.28,101.28,101.28,0,0
2016-12-29,101.27,101.27,101.27,101.27,0,0
2016-12-30,101.27,101.27,101.27,101.27,0,0
2017-01-02,101.28,101.28,101.28,101.28,0,0
2017-01-03,101.3,101.3,101.3,101.3,0,0
2017-01-04,101.36,101.36,101.36,101.36,0,0
2017-01-05,101.56,101.56,101.56,101.56,0,0
2017-01-09,101.63,101.63,101.63,101.63,0,0
2017-01-10,101.6,101.6,101.6,101.6,0,0
2017-01-11,101.76,101.76,101.76,101.76,0,0
2017-01-12,101.68,101.68,101.68,101.68,0,0
2017-01-13,101.65,101.65,101.65,101.65,0,0
2017-01-16,101.66,101.66,101.66,101.66,0,0
2017-01-17,101.66,101.66,101.66,101.66,0,0
2017-01-18,101.64,101.64,101.64,101.64,0,0
2017-01-19,101.69,101.69,101.69,101.69,0,0
2017-01-20,101.67,101.67,101.67,101.67,0,0
2017-01-23,101.7,101.7,101.7,101.7,0,0
2017-01-24,101.69,101.69,101.69,101.69,0,0
2017-01-25,101.7,101.7,101.7,101.7,0,0
2017-01-26,101.83,101.83,101.83,101.83,0,0
2017-01-27,101.79,101.79,101.79,101.79,0,0
2017-01-30,101.82,101.82,101.82,101.82,0,0
2017-01-31,101.78,101.78,101.78,101.78,0,0
2017-02-01,101.74,101.74,101.74,101.74,0,0
2017-02-02,101.71,101.71,101.71,101.71,0,0
2017-02-03,101.79,101.79,101.79,101.79,0,0
2017-02-06,101.84,101.84,101.84,101.84,0,0
2017-02-07,101.87,101.87,101.87,101.87,0,0
2017-02-08,101.91,101.91,101.91,101.91,0,0
2017-02-09,101.85,101.85,101.85,101.85,0,0
2017-02-10,101.86,101.86,101.86,101.86,0,0
2017-02-13,101.9,101.9,101.9,101.9,0,0
2017-02-14,101.89,101.89,101.89,101.89,0,0
2017-02-15,101.91,101.91,101.91,101.91,0,0
2017-02-16,101.93,101.93,101.93,101.93,0,0
2017-02-17,101.95,101.95,101.95,101.95,0,0
2017-02-20,101.94,101.94,101.94,101.94,0,0
2017-02-21,101.99,101.99,101.99,101.99,0,0
2017-02-22,102.02,102.02,102.02,102.02,0,0
2017-02-23,102.08,102.08,102.08,102.08,0,0
2017-02-24,102.11,102.11,102.11,102.11,0,0
2017-02-27,102.22,102.22,102.22,102.22,0,0
2017-02-28,102.26,102.26,102.26,102.26,0,0
2017-03-01,102.28,102.28,102.28,102.28,0,0
2017-03-02,102.41,102.41,102.41,102.41,0,0
2017-03-03,102.39,102.39,102.39,102.39,0,0
2017-03-06,102.4,102.4,102.4,102.4,0,0
2017-03-07,102.41,102.41,102.41,102.41,0,0
2017-03-08,102.24,102.24,102.24,102.24,0,0
2017-03-09,102.12,102.12,102.12,102.12,0,0
2017-03-10,101.97,101.97,101.97,101.97,0,0
2017-03-13,101.93,101.93,101.93,101.93,0,0
2017-03-14,101.75,101.75,101.75,101.75,0,0
2017-03-15,101.55,101.55,101.55,101.55,0,0
2017-03-16,101.69,101.69,101.69,101.69,0,0
