Date,Open,High,Low,Close,Volume,OpenInt
2010-12-30,87.77,87.77,87.77,87.77,0,0
2010-12-31,87.35,87.35,87.35,87.35,0,0
2011-01-03,88,88,88,88,0,0
2011-01-04,88.6,88.6,88.6,88.6,0,0
2011-01-05,86.48,86.48,86.48,86.48,0,0
2011-01-06,87,87,87,87,0,0
2011-01-07,85.82,85.82,85.82,85.82,0,0
2011-01-10,84.57,84.57,84.57,84.57,0,0
2011-01-11,86.1,86.1,86.1,86.1,0,0
2011-01-12,87.95,87.95,87.95,87.95,0,0
2011-01-13,88.53,88.53,88.53,88.53,0,0
2011-01-14,87,87,87,87,0,0
2011-01-17,86.5,86.5,86.5,86.5,0,0
2011-01-18,87.9,87.9,87.9,87.9,0,0
2011-01-19,87.5,87.5,87.5,87.5,0,0
2011-01-20,84.25,84.25,84.25,84.25,0,0
2011-01-21,84.69,84.69,84.69,84.69,0,0
2011-01-24,83.78,83.78,83.78,83.78,0,0
2011-01-25,83.29,83.29,83.29,83.29,0,0
2011-01-26,84.35,84.35,84.35,84.35,0,0
2011-01-27,85.57,85.57,85.57,85.57,0,0
2011-01-28,83.53,83.53,83.53,83.53,0,0
2011-01-31,82.94,82.94,82.94,82.94,0,0
2011-02-01,85.52,85.52,85.52,85.52,0,0
2011-02-02,87.11,87.11,87.11,87.11,0,0
2011-02-03,87.04,87.04,87.04,87.04,0,0
2011-02-04,87.41,87.41,87.41,87.41,0,0
2011-02-07,87.55,87.55,87.55,87.55,0,0
2011-02-08,87.6,87.6,87.6,87.6,0,0
2011-02-09,87.26,87.26,87.26,87.26,0,0
2011-02-10,84.89,84.89,84.89,84.89,0,0
2011-02-11,85.54,85.54,85.54,85.54,0,0
2011-02-14,86.84,86.84,86.84,86.84,0,0
2011-02-15,86.92,86.92,86.92,86.92,0,0
2011-02-16,86.04,86.04,86.04,86.04,0,0
2011-02-17,85.68,85.68,85.68,85.68,0,0
2011-02-18,85.49,85.49,85.49,85.49,0,0
2011-02-21,85.36,85.36,85.36,85.36,0,0
2011-02-22,84.52,84.52,84.52,84.52,0,0
2011-02-23,82.82,82.82,82.82,82.82,0,0
2011-02-24,83.33,83.33,83.33,83.33,0,0
2011-02-25,83.88,83.88,83.88,83.88,0,0
2011-02-28,85.25,85.25,85.25,85.25,0,0
2011-03-01,85.05,85.05,85.05,85.05,0,0
2011-03-02,84.55,84.55,84.55,84.55,0,0
2011-03-03,85.54,85.54,85.54,85.54,0,0
2011-03-04,86.32,86.32,86.32,86.32,0,0
2011-03-07,86.06,86.06,86.06,86.06,0,0
2011-03-08,82.75,82.75,82.75,82.75,0,0
2011-03-09,82.66,82.66,82.66,82.66,0,0
2011-03-10,79.34,79.34,79.34,79.34,0,0
2011-03-11,79.66,79.66,79.66,79.66,0,0
