Date,Open,High,Low,Close,Volume,OpenInt
2006-07-31,100,100,100,100,0,0
2006-08-01,100.19,100.19,100.19,100.19,0,0
2006-08-31,98.34,98.34,98.34,98.34,0,0
2006-09-29,97,97,97,97,0,0
2006-10-31,97.17,97.17,97.17,97.17,0,0
2006-11-30,97.48,97.48,97.48,97.48,0,0
2006-12-29,97.31,97.31,97.31,97.31,0,0
2007-01-31,97.75,97.75,97.75,97.75,0,0
2007-02-28,97.66,97.66,97.66,97.66,0,0
2007-03-30,97.98,97.98,97.98,97.98,0,0
2007-04-30,97.49,97.49,97.49,97.49,0,0
2007-05-31,97.76,97.76,97.76,97.76,0,0
2007-06-29,97.28,97.28,97.28,97.28,0,0
2007-07-31,97.62,97.62,97.62,97.62,0,0
2007-08-31,97.4,97.4,97.4,97.4,0,0
2007-09-28,98.24,98.24,98.24,98.24,0,0
2007-10-31,97.82,97.82,97.82,97.82,0,0
2007-11-30,96.78,96.78,96.78,96.78,0,0
2007-12-28,97.62,97.62,97.62,97.62,0,0
2008-01-31,98.36,98.36,98.36,98.36,0,0
2008-02-29,99.17,99.17,99.17,99.17,0,0
2008-03-31,97.61,97.61,97.61,97.61,0,0
2008-04-30,98.26,98.26,98.26,98.26,0,0
2008-05-30,98.24,98.24,98.24,98.24,0,0
2008-06-30,99.46,99.46,99.46,99.46,0,0
2008-07-31,97.68,97.68,97.68,97.68,0,0
2008-08-29,98.63,98.63,98.63,98.63,0,0
2008-09-30,98.13,98.13,98.13,98.13,0,0
2008-10-31,97.28,97.28,97.28,97.28,0,0
2008-11-28,97.87,97.87,97.87,97.87,0,0
2008-12-31,98.36,98.36,98.36,98.36,0,0
2009-01-30,99.28,99.28,99.28,99.28,0,0
2009-02-27,99.38,99.38,99.38,99.38,0,0
2009-03-31,99.66,99.66,99.66,99.66,0,0
2009-04-30,99.45,99.45,99.45,99.45,0,0
2009-05-29,99.98,99.98,99.98,99.98,0,0
2009-06-30,100.07,100.07,100.07,100.07,0,0
2009-07-31,100.26,100.26,100.26,100.26,0,0
2009-08-31,100.35,100.35,100.35,100.35,0,0
2009-09-30,100.95,100.95,100.95,100.95,0,0
2009-10-30,102.88,102.88,102.88,102.88,0,0
2009-11-30,101.99,101.99,101.99,101.99,0,0
2009-12-31,103.97,103.97,103.97,103.97,0,0
2010-01-29,104.01,104.01,104.01,104.01,0,0
2010-02-26,104.69,104.69,104.69,104.69,0,0
2010-03-31,104.85,104.85,104.85,104.85,0,0
2010-04-30,105.79,105.79,105.79,105.79,0,0
2010-05-31,106.77,106.77,106.77,106.77,0,0
2010-06-30,107.06,107.06,107.06,107.06,0,0
2010-07-30,106.52,106.52,106.52,106.52,0,0
2010-08-31,106.73,106.73,106.73,106.73,0,0
2010-09-30,106.63,106.63,106.63,106.63,0,0
2010-10-29,107.48,107.48,107.48,107.48,0,0
2010-11-30,109.55,109.55,109.55,109.55,0,0
2010-12-31,110.54,110.54,110.54,110.54,0,0
2011-01-31,110.1,110.1,110.1,110.1,0,0
2011-02-28,111.65,111.65,111.65,111.65,0,0
2011-03-31,111.35,111.35,111.35,111.35,0,0
2011-04-29,111.01,111.01,111.01,111.01,0,0
2011-05-31,110.94,110.94,110.94,110.94,0,0
2011-06-30,110.46,110.46,110.46,110.46,0,0
2011-07-29,110.98,110.98,110.98,110.98,0,0
2011-08-31,111.64,111.64,111.64,111.64,0,0
2011-09-30,111.61,111.61,111.61,111.61,0,0
2011-10-31,111.75,111.75,111.75,111.75,0,0
2011-11-30,112.69,112.69,112.69,112.69,0,0
2011-12-30,112.67,112.67,112.67,112.67,0,0
2012-01-31,112.56,112.56,112.56,112.56,0,0
2012-02-29,112.27,112.27,112.27,112.27,0,0
2012-03-30,112.1,112.1,112.1,112.1,0,0
2012-04-30,112.11,112.11,112.11,112.11,0,0
2012-05-31,112.42,112.42,112.42,112.42,0,0
2012-06-29,112.25,112.25,112.25,112.25,0,0
2012-07-31,112.92,112.92,112.92,112.92,0,0
2012-08-31,113.29,113.29,113.29,113.29,0,0
2012-09-28,112.08,112.08,112.08,112.08,0,0
2012-10-31,111.53,111.53,111.53,111.53,0,0
2012-11-30,113.05,113.05,113.05,113.05,0,0
2012-12-28,113.42,113.42,113.42,113.42,0,0
2013-01-31,113.44,113.44,113.44,113.44,0,0
2013-02-28,112.74,112.74,112.74,112.74,0,0
