Date,Open,High,Low,Close,Volume,OpenInt
2014-01-24,73.08,73.08,73.08,73.08,0,0
2014-01-27,72.95,72.95,72.95,72.95,0,0
2014-01-28,73.05,73.05,73.05,73.05,0,0
2014-01-29,72.9,72.9,72.9,72.9,0,0
2014-01-30,72.77,72.77,72.77,72.77,0,0
2014-01-31,72.54,72.54,72.54,72.54,0,0
2014-02-03,72.38,72.38,72.38,72.38,0,0
2014-02-04,72.7,72.7,72.7,72.7,0,0
2014-02-05,72.75,72.75,72.75,72.75,0,0
2014-02-06,73,73,73,73,0,0
2014-02-07,73.07,73.07,73.07,73.07,0,0
2014-02-10,73.21,73.21,73.21,73.21,0,0
2014-02-11,73.23,73.23,73.23,73.23,0,0
2014-02-12,73.33,73.33,73.33,73.33,0,0
2014-02-13,73.2,73.2,73.2,73.2,0,0
2014-02-14,73.43,73.43,73.43,73.43,0,0
2014-02-17,73.52,73.52,73.52,73.52,0,0
2014-02-18,73.52,73.52,73.52,73.52,0,0
2014-02-19,73.45,73.45,73.45,73.45,0,0
2014-02-20,73.42,73.42,73.42,73.42,0,0
2014-02-21,73.66,73.66,73.66,73.66,0,0
2014-02-24,74.01,74.01,74.01,74.01,0,0
2014-02-25,73.85,73.85,73.85,73.85,0,0
2014-02-26,73.82,73.82,73.82,73.82,0,0
2014-02-27,73.88,73.88,73.88,73.88,0,0
2014-02-28,74.14,74.14,74.14,74.14,0,0
2014-03-03,73.94,73.94,73.94,73.94,0,0
2014-03-04,74.14,74.14,74.14,74.14,0,0
2014-03-05,74.25,74.25,74.25,74.25,0,0
2014-03-06,74.41,74.41,74.41,74.41,0,0
2014-03-07,74.29,74.29,74.29,74.29,0,0
2014-03-10,74.26,74.26,74.26,74.26,0,0
2014-03-11,74.25,74.25,74.25,74.25,0,0
2014-03-12,74.07,74.07,74.07,74.07,0,0
2014-03-13,74.25,74.25,74.25,74.25,0,0
2014-03-14,74.12,74.12,74.12,74.12,0,0
2014-03-17,74.31,74.31,74.31,74.31,0,0
2014-03-18,74.57,74.57,74.57,74.57,0,0
2014-03-19,74.48,74.48,74.48,74.48,0,0
2014-03-20,74.13,74.13,74.13,74.13,0,0
2014-03-21,74.46,74.46,74.46,74.46,0,0
2014-03-24,74.4,74.4,74.4,74.4,0,0
2014-03-25,74.58,74.58,74.58,74.58,0,0
2014-03-26,74.78,74.78,74.78,74.78,0,0
2014-03-27,74.99,74.99,74.99,74.99,0,0
2014-03-28,75.21,75.21,75.21,75.21,0,0
2014-03-31,75.25,75.25,75.25,75.25,0,0
2014-04-01,75.35,75.35,75.35,75.35,0,0
2014-04-02,75.33,75.33,75.33,75.33,0,0
2014-04-03,75.29,75.29,75.29,75.29,0,0
2014-04-04,75.56,75.56,75.56,75.56,0,0
2014-04-07,75.56,75.56,75.56,75.56,0,0
2014-04-08,76.07,76.07,76.07,76.07,0,0
2014-04-09,75.75,75.75,75.75,75.75,0,0
2014-04-10,76.06,76.06,76.06,76.06,0,0
2014-04-11,75.8,75.8,75.8,75.8,0,0
2014-04-14,75.72,75.72,75.72,75.72,0,0
2014-04-15,75.72,75.72,75.72,75.72,0,0
2014-04-16,75.67,75.67,75.67,75.67,0,0
2014-04-17,75.84,75.84,75.84,75.84,0,0
2014-04-22,75.85,75.85,75.85,75.85,0,0
2014-04-23,75.81,75.81,75.81,75.81,0,0
2014-04-24,75.88,75.88,75.88,75.88,0,0
2014-04-25,75.79,75.79,75.79,75.79,0,0
2014-04-28,76.05,76.05,76.05,76.05,0,0
2014-04-29,75.98,75.98,75.98,75.98,0,0
2014-04-30,76,76,76,76,0,0
2014-05-02,76.47,76.47,76.47,76.47,0,0
2014-05-05,76.31,76.31,76.31,76.31,0,0
2014-05-06,76.34,76.34,76.34,76.34,0,0
2014-05-07,76.51,76.51,76.51,76.51,0,0
2014-05-08,75.36,75.36,75.36,75.36,0,0
2014-05-09,75.28,75.28,75.28,75.28,0,0
2014-05-12,75.32,75.32,75.32,75.32,0,0
2014-05-13,75.63,75.63,75.63,75.63,0,0
2014-05-14,75.5,75.5,75.5,75.5,0,0
2014-05-15,75.64,75.64,75.64,75.64,0,0
2014-05-16,75.55,75.55,75.55,75.55,0,0
2014-05-19,75.78,75.78,75.78,75.78,0,0
2014-05-20,75.42,75.42,75.42,75.42,0,0
2014-05-21,75.51,75.51,75.51,75.51,0,0
2014-05-22,75.6,75.6,75.6,75.6,0,0
2014-05-23,75.68,75.68,75.68,75.68,0,0
2014-05-26,75.7,75.7,75.7,75.7,0,0
2014-05-27,75.68,75.68,75.68,75.68,0,0
2014-05-28,75.97,75.97,75.97,75.97,0,0
2014-05-29,76.06,76.06,76.06,76.06,0,0
2014-05-30,76.03,76.03,76.03,76.03,0,0
2014-06-02,76.05,76.05,76.05,76.05,0,0
2014-06-03,75.89,75.89,75.89,75.89,0,0
2014-06-04,75.81,75.81,75.81,75.81,0,0
2014-06-05,75.92,75.92,75.92,75.92,0,0
2014-06-06,76.59,76.59,76.59,76.59,0,0
2014-06-09,76.72,76.72,76.72,76.72,0,0
2014-06-10,76.48,76.48,76.48,76.48,0,0
2014-06-11,76.11,76.11,76.11,76.11,0,0
2014-06-12,76.19,76.19,76.19,76.19,0,0
2014-06-13,76.02,76.02,76.02,76.02,0,0
2014-06-16,75.92,75.92,75.92,75.92,0,0
2014-06-17,75.88,75.88,75.88,75.88,0,0
2014-06-18,75.65,75.65,75.65,75.65,0,0
2014-06-19,76.05,76.05,76.05,76.05,0,0
2014-06-20,75.83,75.83,75.83,75.83,0,0
2014-06-23,76.06,76.06,76.06,76.06,0,0
2014-06-24,76.18,76.18,76.18,76.18,0,0
2014-06-25,76.18,76.18,76.18,76.18,0,0
2014-06-26,76.37,76.37,76.37,76.37,0,0
2014-06-27,76.26,76.26,76.26,76.26,0,0
2014-06-30,76.28,76.28,76.28,76.28,0,0
2014-07-01,76.19,76.19,76.19,76.19,0,0
2014-07-02,76.24,76.24,76.24,76.24,0,0
2014-07-03,76.16,76.16,76.16,76.16,0,0
2014-07-04,76.28,76.28,76.28,76.28,0,0
2014-07-07,76.33,76.33,76.33,76.33,0,0
2014-07-08,76.49,76.49,76.49,76.49,0,0
2014-07-09,76.75,76.75,76.75,76.75,0,0
2014-07-10,76.4,76.4,76.4,76.4,0,0
2014-07-11,76.68,76.68,76.68,76.68,0,0
2014-07-14,76.5,76.5,76.5,76.5,0,0
2014-07-15,76.7,76.7,76.7,76.7,0,0
2014-07-16,76.48,76.48,76.48,76.48,0,0
2014-07-17,76.34,76.34,76.34,76.34,0,0
2014-07-18,76.62,76.62,76.62,76.62,0,0
2014-07-21,76.45,76.45,76.45,76.45,0,0
2014-07-22,76.54,76.54,76.54,76.54,0,0
2014-07-23,76.69,76.69,76.69,76.69,0,0
2014-07-24,76.72,76.72,76.72,76.72,0,0
2014-07-25,76.7,76.7,76.7,76.7,0,0
2014-07-28,76.63,76.63,76.63,76.63,0,0
2014-07-29,76.79,76.79,76.79,76.79,0,0
2014-07-30,76.55,76.55,76.55,76.55,0,0
2014-07-31,76.08,76.08,76.08,76.08,0,0
2014-08-01,75.81,75.81,75.81,75.81,0,0
2014-08-04,76,76,76,76,0,0
2014-08-05,75.6,75.6,75.6,75.6,0,0
2014-08-06,75.3,75.3,75.3,75.3,0,0
2014-08-07,75.42,75.42,75.42,75.42,0,0
2014-08-08,74.02,74.02,74.02,74.02,0,0
2014-08-11,74.26,74.26,74.26,74.26,0,0
2014-08-12,74.27,74.27,74.27,74.27,0,0
2014-08-13,74.41,74.41,74.41,74.41,0,0
2014-08-14,74.55,74.55,74.55,74.55,0,0
2014-08-15,74.7,74.7,74.7,74.7,0,0
2014-08-18,74.84,74.84,74.84,74.84,0,0
2014-08-19,74.89,74.89,74.89,74.89,0,0
2014-08-20,74.78,74.78,74.78,74.78,0,0
2014-08-21,74.84,74.84,74.84,74.84,0,0
2014-08-22,74.77,74.77,74.77,74.77,0,0
2014-08-25,74.82,74.82,74.82,74.82,0,0
2014-08-26,74.98,74.98,74.98,74.98,0,0
2014-08-27,75.22,75.22,75.22,75.22,0,0
2014-08-28,75.21,75.21,75.21,75.21,0,0
2014-08-29,75.34,75.34,75.34,75.34,0,0
2014-09-01,75.36,75.36,75.36,75.36,0,0
2014-09-02,75.2,75.2,75.2,75.2,0,0
2014-09-03,75.34,75.34,75.34,75.34,0,0
2014-09-04,75.65,75.65,75.65,75.65,0,0
2014-09-05,75.39,75.39,75.39,75.39,0,0
2014-09-08,75.35,75.35,75.35,75.35,0,0
2014-09-09,74.98,74.98,74.98,74.98,0,0
2014-09-10,74.86,74.86,74.86,74.86,0,0
2014-09-11,74.9,74.9,74.9,74.9,0,0
2014-09-12,74.67,74.67,74.67,74.67,0,0
2014-09-15,74.54,74.54,74.54,74.54,0,0
2014-09-16,74.51,74.51,74.51,74.51,0,0
2014-09-17,74.55,74.55,74.55,74.55,0,0
2014-09-18,74.38,74.38,74.38,74.38,0,0
2014-09-19,74.51,74.51,74.51,74.51,0,0
2014-09-22,74.54,74.54,74.54,74.54,0,0
2014-09-23,74.54,74.54,74.54,74.54,0,0
2014-09-24,74.52,74.52,74.52,74.52,0,0
2014-09-25,74.48,74.48,74.48,74.48,0,0
2014-09-26,74.2,74.2,74.2,74.2,0,0
2014-09-29,73.92,73.92,73.92,73.92,0,0
2014-09-30,73.89,73.89,73.89,73.89,0,0
2014-10-01,73.95,73.95,73.95,73.95,0,0
2014-10-03,74.13,74.13,74.13,74.13,0,0
2014-10-06,74.09,74.09,74.09,74.09,0,0
2014-10-07,74.14,74.14,74.14,74.14,0,0
2014-10-08,74.16,74.16,74.16,74.16,0,0
2014-10-09,74.45,74.45,74.45,74.45,0,0
2014-10-10,74.23,74.23,74.23,74.23,0,0
2014-10-13,74.32,74.32,74.32,74.32,0,0
2014-10-14,74.36,74.36,74.36,74.36,0,0
2014-10-15,74.32,74.32,74.32,74.32,0,0
