Date,Open,High,Low,Close,Volume,OpenInt
1999-04-09,25,25,25,25,0,0
1999-04-16,25.08,25.08,25.08,25.08,0,0
1999-04-23,25.16,25.16,25.16,25.16,0,0
1999-04-30,25.24,25.24,25.24,25.24,0,0
1999-05-07,25.32,25.32,25.32,25.32,0,0
1999-05-14,25.4,25.4,25.4,25.4,0,0
1999-05-21,25.48,25.48,25.48,25.48,0,0
1999-05-28,25.56,25.56,25.56,25.56,0,0
1999-05-31,25.59,25.59,25.59,25.59,0,0
1999-06-04,25.64,25.64,25.64,25.64,0,0
1999-06-11,25.7,25.7,25.7,25.7,0,0
1999-06-18,25.76,25.76,25.76,25.76,0,0
1999-06-25,25.82,25.82,25.82,25.82,0,0
1999-06-30,25.86,25.86,25.86,25.86,0,0
1999-07-02,25.88,25.88,25.88,25.88,0,0
1999-07-09,25.94,25.94,25.94,25.94,0,0
1999-07-16,26,26,26,26,0,0
1999-07-23,26.05,26.05,26.05,26.05,0,0
1999-07-31,26.12,26.12,26.12,26.12,0,0
1999-08-06,26.18,26.18,26.18,26.18,0,0
1999-08-13,26.24,26.24,26.24,26.24,0,0
1999-08-20,26.29,26.29,26.29,26.29,0,0
1999-08-27,26.36,26.36,26.36,26.36,0,0
1999-08-31,26.39,26.39,26.39,26.39,0,0
1999-09-03,26.42,26.42,26.42,26.42,0,0
1999-09-10,26.48,26.48,26.48,26.48,0,0
1999-09-17,26.54,26.54,26.54,26.54,0,0
1999-09-24,26.59,26.59,26.59,26.59,0,0
1999-09-30,26.64,26.64,26.64,26.64,0,0
1999-10-01,26.65,26.65,26.65,26.65,0,0
1999-10-08,26.71,26.71,26.71,26.71,0,0
1999-10-15,26.77,26.77,26.77,26.77,0,0
1999-10-22,26.83,26.83,26.83,26.83,0,0
1999-10-29,26.88,26.88,26.88,26.88,0,0
1999-10-31,26.9,26.9,26.9,26.9,0,0
1999-11-05,26.94,26.94,26.94,26.94,0,0
1999-11-12,27,27,27,27,0,0
1999-11-19,27.06,27.06,27.06,27.06,0,0
1999-11-26,27.12,27.12,27.12,27.12,0,0
