Date,Open,High,Low,Close,Volume,OpenInt
2010-07-21,14.849,14.849,14.849,14.849,0,0
2010-07-22,14.849,14.849,14.849,14.849,0,0
2010-07-23,15.006,15.006,14.95,14.95,0,0
2010-07-26,15.006,15.006,15.006,15.006,0,0
2010-07-27,14.968,14.968,14.849,14.968,0,0
2010-07-28,14.968,14.968,14.757,14.849,0,0
2010-07-29,14.757,15.006,14.665,14.849,0,0
2010-07-30,14.849,15.006,14.794,15.006,0,0
2010-08-02,15.023,15.023,14.61,14.849,0,0
2010-08-03,14.61,14.849,14.573,14.849,0,0
2010-08-04,14.61,14.665,14.61,14.665,0,0
2010-08-05,14.665,14.665,14.665,14.665,0,0
2010-08-06,14.573,14.665,14.573,14.665,0,0
2010-08-09,14.573,14.573,14.573,14.573,0,0
2010-08-10,14.499,16.357,14.499,16.357,0,0
2010-08-11,15.604,16.735,15.319,16.735,0,0
2010-08-12,16.542,16.542,16.542,16.542,0,0
2010-08-13,15.981,15.981,15.245,15.797,0,0
2010-08-16,15.419,16.164,15.281,15.281,0,0
2010-08-17,15.226,15.226,15.133,15.133,0,0
2010-08-18,15.042,15.319,15.042,15.319,0,0
2010-08-19,15.383,15.889,15.319,15.319,0,0
2010-08-20,15.319,15.319,15.319,15.319,0,0
2010-08-23,15.419,15.659,15.419,15.659,0,0
2010-08-24,15.677,15.677,15.512,15.512,0,0
2010-08-25,15.419,15.659,15.419,15.419,0,0
2010-08-26,15.659,16.699,15.659,16.699,0,0
2010-08-27,16.699,17.296,16.699,17.296,0,0
2010-08-30,17.37,17.37,16.919,16.919,0,0
2010-08-31,17.351,17.351,17.113,17.113,0,0
2010-09-01,17.296,17.351,17.296,17.351,0,0
2010-09-02,17.296,17.296,17.268,17.268,0,0
2010-09-03,17.075,17.075,16.725,17.075,0,0
2010-09-06,17.075,17.177,17.075,17.075,0,0
2010-09-07,17.075,17.075,16.892,16.892,0,0
2010-09-08,17.075,17.177,16.984,17.177,0,0
2010-09-09,17.214,17.415,17.075,17.361,0,0
2010-09-10,17.361,17.453,17.075,17.075,0,0
2010-09-13,17.002,17.019,17.002,17.019,0,0
2010-09-14,17.002,17.398,17.002,17.398,0,0
2010-09-15,17.415,17.415,17.094,17.094,0,0
2010-09-16,17.002,17.002,17.002,17.002,0,0
2010-09-17,17.094,17.268,17.075,17.075,0,0
2010-09-20,17.195,17.232,17.113,17.232,0,0
2010-09-21,17.232,17.232,16.799,17.177,0,0
2010-09-22,17.268,17.268,17.232,17.232,0,0
2010-09-23,17.232,17.232,17.232,17.232,0,0
2010-09-24,17.232,17.25,17.177,17.232,0,0
2010-09-27,17.232,17.232,16.708,16.892,0,0
2010-09-28,16.892,16.892,15.953,16.854,0,0
2010-09-29,16.515,17.075,16.515,17.075,0,0
2010-09-30,17.177,17.232,17.075,17.232,0,0
2010-10-01,17.232,17.232,16.892,17.177,0,0
2010-10-04,17.195,17.195,16.892,16.984,0,0
2010-10-05,17.195,17.195,16.946,16.946,0,0
2010-10-06,17.195,17.195,16.984,16.984,0,0
2010-10-07,17.177,17.177,16.984,16.984,0,0
2010-10-08,16.984,16.984,16.422,16.422,0,0
2010-10-11,16.045,17.039,16.045,16.422,0,0
