Date,Open,High,Low,Close,Volume,OpenInt
2012-06-15,11.72,11.72,11.72,11.72,0,0
2012-06-18,9.85,10.7,7.98,9.68,0,0
2012-06-19,9.51,9.51,7.81,7.81,0,0
2012-06-20,7.98,7.98,6.28,7.13,0,0
2012-06-21,7.13,8.49,6.11,8.49,0,0
2012-06-22,10.19,12.06,10.19,12.06,0,0
2012-06-25,13.93,13.93,11.21,11.21,0,0
2012-06-26,11.04,12.23,9.34,10.36,0,0
2012-06-27,10.53,14.77,8.83,12.23,0,0
2012-06-28,12.74,12.74,10.19,11.04,0,0
2012-06-29,9.34,11.04,9.34,11.04,0,0
2012-07-02,11.04,12.91,11.04,11.04,0,0
2012-07-03,10.7,10.7,8.83,9.34,0,0
2012-07-04,9.34,9.34,7.64,7.64,0,0
2012-07-05,7.13,8.49,6.11,8.49,0,0
2012-07-06,8.49,8.49,7.13,8.15,0,0
2012-07-09,8.15,8.15,6.79,7.64,0,0
2012-07-10,6.79,6.79,6.11,6.79,0,0
2012-07-11,6.79,6.79,6.11,6.11,0,0
2012-07-12,5.94,5.94,5.94,5.94,0,0
2012-07-13,5.94,8.49,5.94,8.49,0,0
2012-07-16,9,10.7,9,9.85,0,0
2012-07-17,10.19,10.19,8.15,8.66,0,0
2012-07-18,7.81,8.66,6.96,7.98,0,0
2012-07-19,7.13,7.13,6.45,6.79,0,0
2012-07-20,5.94,6.79,5.43,6.79,0,0
2012-07-23,6.62,7.81,5.43,5.77,0,0
2012-07-24,6.28,6.28,5.09,5.94,0,0
2012-07-25,5.09,5.6,4.42,4.75,0,0
2012-07-26,4.59,4.92,3.74,3.74,0,0
2012-07-27,3.74,3.74,3.06,3.74,0,0
2012-07-30,4.25,4.25,3.57,3.74,0,0
2012-07-31,3.91,4.08,3.57,3.74,0,0
2012-08-01,3.4,4.75,3.06,4.75,0,0
2012-08-02,5.43,5.77,4.42,4.59,0,0
2012-08-03,4.59,4.59,3.74,4.25,0,0
2012-08-06,4.08,4.08,3.4,3.4,0,0
2012-08-07,3.06,4.08,3.06,4.08,0,0
2012-08-08,4.08,4.08,3.57,3.57,0,0
2012-08-09,3.57,3.57,2.89,2.89,0,0
2012-08-10,2.72,3.23,2.55,3.23,0,0
2012-08-13,3.23,3.4,3.23,3.4,0,0
2012-08-14,3.23,3.23,2.72,3.23,0,0
2012-08-16,2.89,3.4,2.89,3.4,0,0
2012-08-17,3.4,3.4,2.72,3.23,0,0
2012-08-20,3.23,3.23,2.89,3.06,0,0
2012-08-21,3.06,3.57,2.72,3.4,0,0
2012-08-22,2.89,3.91,2.89,3.57,0,0
2012-08-23,3.74,3.74,3.4,3.57,0,0
2012-08-24,3.74,4.25,3.74,4.25,0,0
2012-08-27,3.91,5.09,3.91,5.09,0,0
2012-08-28,5.6,6.11,4.08,4.92,0,0
2012-08-29,4.75,5.09,4.25,4.75,0,0
2012-08-30,4.59,6.96,4.59,6.96,0,0
2012-08-31,7.13,10.19,7.13,10.19,0,0
2012-09-03,10.7,12.23,8.49,12.23,0,0
2012-09-04,12.57,17.83,12.4,16.64,0,0
2012-09-05,18.34,19.87,14.77,14.77,0,0
2012-09-06,13.93,21.06,13.59,21.06,0,0
2012-09-07,21.74,29.21,21.74,29.21,0,0
2012-09-10,29.38,34.81,28.87,33.79,0,0
2012-09-11,33.96,40.76,33.96,34.47,0,0
2012-09-12,34.81,44.15,28.36,43.3,0,0
2012-09-13,46.7,46.7,29.89,35.66,0,0
2012-09-14,38.21,38.21,26.15,26.15,0,0
2012-09-17,26.83,29.72,25.98,28.02,0,0
2012-09-18,26.32,33.62,25.81,27.17,0,0
2012-09-19,27.17,27.17,21.74,21.74,0,0
2012-09-20,22.59,25.81,20.04,21.4,0,0
2012-09-21,23.6,28.36,23.6,28.19,0,0
2012-09-24,29.21,30.74,28.7,30.57,0,0
2012-09-25,31.59,31.59,27.68,30.23,0,0
2012-09-26,30.06,31.59,28.87,31.59,0,0
2012-09-27,31.59,31.59,27,28.87,0,0
2012-09-28,29.55,30.57,23.77,27.51,0,0
2012-10-01,26.32,27.34,23.27,27,0,0
2012-10-02,27,27.17,23.44,23.77,0,0
2012-10-03,23.77,28.53,23.77,28.53,0,0
2012-10-04,29.38,30.06,24.62,26.66,0,0
2012-10-05,27,28.36,26.66,27.17,0,0
2012-10-08,27.34,28.7,27.17,28.7,0,0
2012-10-09,28.87,28.87,25.81,28.02,0,0
2012-10-10,28.02,29.89,27.85,29.72,0,0
2012-10-11,29.72,30.06,28.02,29.55,0,0
2012-10-12,28.02,29.21,28.02,28.87,0,0
2012-10-15,26.66,28.7,25.47,25.47,0,0
2012-10-16,27.68,27.68,20.21,20.21,0,0
2012-10-17,22.08,22.08,17.32,18.34,0,0
2012-10-18,18.51,21.23,17.49,19.53,0,0
2012-10-19,19.53,20.04,17.32,17.32,0,0
2012-10-22,18.17,18.68,17.32,17.83,0,0
2012-10-23,18.34,18.34,17.32,17.83,0,0
2012-10-24,19.19,19.19,17.15,17.32,0,0
2012-10-25,17.83,19.87,17.49,19.87,0,0
2012-10-26,17.83,18.51,17.32,17.49,0,0
2012-10-29,17.49,18.34,17.15,17.49,0,0
2012-10-30,18.34,18.51,17.15,18.17,0,0
2012-10-31,18.17,18.17,17.32,17.32,0,0
2012-11-02,17.49,18.17,17.32,17.32,0,0
