Date,Open,High,Low,Close,Volume,OpenInt
2012-07-27,37.39,37.39,37.39,37.39,0,0
2012-07-30,44.87,53.59,44.87,53.59,0,0
2012-07-31,63.56,76.03,56.09,76.03,0,0
2012-08-01,89.32,107.19,71.46,107.19,0,0
2012-08-02,122.97,144.99,99.71,100.12,0,0
2012-08-03,110.09,132.11,88.91,132.11,0,0
2012-08-06,158.29,189.86,158.29,189.45,0,0
2012-08-07,227.25,271.7,203.57,203.57,0,0
2012-08-08,228.5,257.58,228.5,253.42,0,0
2012-08-09,265.89,294.97,249.27,249.27,0,0
2012-08-10,272.54,282.51,240.96,240.96,0,0
2012-08-13,257.58,257.58,216.03,240.96,0,0
2012-08-14,216.45,240.13,192.77,231.82,0,0
2012-08-16,228.5,228.5,185.71,186.54,0,0
2012-08-17,186.54,186.54,150.39,150.81,0,0
2012-08-20,165.76,191.11,132.94,157.87,0,0
2012-08-21,177.81,177.81,155.79,165.35,0,0
2012-08-22,145.82,165.35,132.53,149.56,0,0
2012-08-23,143.33,163.69,120.48,160.78,0,0
2012-08-24,128.79,155.79,128.79,131.7,0,0
2012-08-27,106.36,124.22,99.71,99.71,0,0
2012-08-28,103.86,143.33,103.86,113.42,0,0
2012-08-29,134.61,134.61,105.94,119.65,0,0
2012-08-30,100.12,135.02,100.12,135.02,0,0
2012-08-31,132.11,141.25,132.11,141.25,0,0
2012-09-03,132.11,132.11,132.11,132.11,0,0
2012-09-04,110.09,124.64,109.68,124.64,0,0
2012-09-05,128.79,128.79,124.64,124.64,0,0
2012-09-06,110.51,122.56,108.02,122.56,0,0
2012-09-07,106.36,114.66,98.05,98.05,0,0
2012-09-10,106.77,106.77,106.77,106.77,0,0
2012-09-12,97.63,105.94,86,86,0,0
2012-09-13,85.17,122.97,85.17,122.97,0,0
2012-09-14,137.1,173.66,137.1,173.66,0,0
2012-09-17,207.73,248.85,207.73,248.85,0,0
2012-09-18,329.04,394.68,324.05,394.68,0,0
2012-09-19,444.12,444.53,357.29,366.43,0,0
2012-09-20,295.38,295.38,232.65,232.65,0,0
2012-09-21,230.99,278.35,186.12,270.04,0,0
2012-09-24,269.63,317.82,269.63,286.66,0,0
2012-09-25,290.82,290.82,249.27,289.98,0,0
2012-09-26,233.07,269.63,232.65,232.65,0,0
2012-09-27,199.83,242.62,199.83,242.62,0,0
2012-09-28,228.5,240.96,199.42,224.34,0,0
2012-10-01,199.42,221.02,179.06,179.06,0,0
2012-10-02,170.33,194.85,146.65,186.12,0,0
2012-10-03,182.38,182.38,149.56,149.56,0,0
2012-10-04,141.67,166.18,134.19,134.19,0,0
2012-10-05,145.41,192.77,145.41,190.69,0,0
2012-10-08,178.64,220.19,157.87,220.19,0,0
2012-10-09,219.77,226,179.89,179.89,0,0
2012-10-10,199,199,155.79,184.88,0,0
2012-10-11,159.12,180.72,159.12,179.89,0,0
2012-10-12,155.79,173.24,155.79,173.24,0,0
2012-10-15,155.79,170.33,155.79,170.33,0,0
2012-10-16,153.72,153.72,153.72,153.72,0,0
2012-10-17,152.05,161.61,135.85,159.12,0,0
2012-10-18,158.7,179.47,158.7,179.47,0,0
2012-10-23,144.16,166.18,144.16,166.18,0,0
2012-10-25,145.41,153.72,144.16,152.89,0,0
2012-10-29,149.15,174.49,149.15,174.07,0,0
2012-10-30,173.66,174.07,153.72,172,0,0
2012-10-31,145.41,159.95,141.25,159.95,0,0
2012-11-05,129.2,149.56,129.2,149.56,0,0
2012-11-07,119.65,157.87,119.65,155.79,0,0
2012-11-09,127.96,127.96,127.96,127.96,0,0
2012-11-12,130.04,151.64,130.04,148.73,0,0
2012-11-13,127.54,127.54,125.47,125.47,0,0
2012-11-15,137.1,137.1,137.1,137.1,0,0
2012-11-16,124.64,137.1,124.64,137.1,0,0
2012-11-20,114.25,136.27,110.09,136.27,0,0
2012-11-21,135.85,135.85,124.64,124.64,0,0
2012-11-23,132.94,132.94,132.94,132.94,0,0
2012-11-26,116.33,149.15,116.33,147.07,0,0
2012-11-29,125.05,125.05,125.05,125.05,0,0
2012-12-03,125.05,125.05,125.05,125.05,0,0
2012-12-06,146.24,146.24,146.24,146.24,0,0
2012-12-10,146.24,146.24,146.24,146.24,0,0
2012-12-12,125.05,132.94,117.57,124.64,0,0
2012-12-13,117.57,117.57,117.57,117.57,0,0
2012-12-19,124.64,132.94,124.64,132.94,0,0
2012-12-21,116.33,116.33,116.33,116.33,0,0
2012-12-27,116.33,124.64,116.33,116.33,0,0
2012-12-28,109.26,109.26,109.26,109.26,0,0
2013-01-04,104.69,116.33,104.69,116.33,0,0
2013-01-09,116.33,116.33,116.33,116.33,0,0
2013-01-17,108.02,108.02,93.48,108.02,0,0
2013-01-23,94.72,107.6,86.41,107.6,0,0
2013-01-24,94.31,108.02,94.31,108.02,0,0
2013-01-29,108.02,108.02,108.02,108.02,0,0
2013-01-30,108.02,116.33,108.02,116.33,0,0
2013-02-01,95.55,95.55,95.55,95.55,0,0
2013-02-05,114.25,114.25,114.25,114.25,0,0
2013-02-07,114.25,116.33,114.25,116.33,0,0
2013-02-13,95.97,116.33,95.97,116.33,0,0
2013-02-14,116.33,116.33,116.33,116.33,0,0
2013-02-21,115.91,115.91,115.91,115.91,0,0
2013-03-05,95.55,115.91,95.55,115.91,0,0
2013-03-08,99.71,113.83,95.55,113.83,0,0
2013-03-12,115.5,115.5,115.5,115.5,0,0
2013-04-24,103.86,103.86,103.86,103.86,0,0
2013-04-25,112.17,112.17,112.17,112.17,0,0
2013-04-26,112.17,112.17,112.17,112.17,0,0
2013-05-29,95.55,112.17,95.55,112.17,0,0
2013-06-04,116.33,130.87,116.33,130.87,0,0
2013-06-05,130.87,157.04,130.87,157.04,0,0
2013-06-06,140.42,140.42,140.42,140.42,0,0
2013-06-07,165.76,165.76,165.76,165.76,0,0
2013-06-10,140.42,140.42,116.74,137.1,0,0
2013-06-11,137.1,137.1,137.1,137.1,0,0
2013-07-11,108.02,124.64,108.02,124.64,0,0
2013-07-24,108.02,108.02,108.02,108.02,0,0
2013-07-25,99.71,99.71,91.4,91.4,0,0
2013-07-31,87.24,91.4,83.09,91.4,0,0
2013-08-01,99.71,99.71,99.71,99.71,0,0
2013-08-05,99.71,108.02,99.71,108.02,0,0
2013-08-08,115.91,132.11,115.91,132.11,0,0
2013-08-14,108.02,135.85,108.02,135.85,0,0
2013-08-16,162.86,162.86,162.86,162.86,0,0
2013-08-19,130.45,145.41,124.64,145.41,0,0
2013-08-20,164.1,164.1,164.1,164.1,0,0
2013-08-27,132.94,132.94,132.94,132.94,0,0
2013-08-28,144.99,144.99,144.99,144.99,0,0
2013-08-29,128.79,128.79,128.79,128.79,0,0
2013-09-09,132.94,157.04,132.94,157.04,0,0
2013-09-10,141.25,155.79,141.25,155.79,0,0
2013-09-11,128.79,144.99,120.9,132.94,0,0
2013-09-17,128.79,128.79,128.79,128.79,0,0
2013-09-27,128.37,137.1,128.37,137.1,0,0
2013-10-02,136.68,148.32,136.68,148.32,0,0
2013-10-10,149.15,149.15,149.15,149.15,0,0
2013-10-14,147.48,149.56,147.48,149.56,0,0
2013-10-15,149.56,149.56,149.56,149.56,0,0
2013-10-16,157.04,157.04,157.04,157.04,0,0
2013-10-18,137.1,137.1,110.09,110.09,0,0
2013-10-21,120.48,120.48,120.48,120.48,0,0
2013-10-23,120.48,142.91,120.48,142.91,0,0
2013-10-30,124.64,124.64,124.64,124.64,0,0
2013-10-31,124.64,145.41,116.33,116.33,0,0
2013-11-04,137.1,153.72,137.1,153.72,0,0
2013-11-06,145.41,164.1,145.41,164.1,0,0
2013-11-14,145.41,165.76,128.79,165.76,0,0
2013-11-15,145.41,145.41,125.47,125.47,0,0
2013-11-18,137.1,137.1,116.33,116.33,0,0
2013-11-19,116.33,139.59,116.33,139.59,0,0
2013-11-20,132.94,132.94,132.94,132.94,0,0
2013-11-21,132.94,132.94,132.94,132.94,0,0
2013-11-26,120.48,120.48,112.17,112.17,0,0
2013-11-27,124.64,141.25,124.64,141.25,0,0
2013-11-28,141.25,141.25,124.64,132.94,0,0
2013-12-02,116.33,132.94,113.83,132.94,0,0
2013-12-04,124.64,124.64,124.64,124.64,0,0
2013-12-06,128.37,128.37,128.37,128.37,0,0
2013-12-09,128.37,128.79,128.37,128.79,0,0
2013-12-12,120.48,120.48,120.48,120.48,0,0
2013-12-13,128.37,128.37,128.37,128.37,0,0
2013-12-16,120.48,120.48,120.48,120.48,0,0
2013-12-18,124.64,128.37,124.64,128.37,0,0
2013-12-19,120.48,128.37,120.48,128.37,0,0
2013-12-23,128.37,149.15,128.37,149.15,0,0
2013-12-27,145.41,164.1,145.41,149.56,0,0
2013-12-30,141.25,165.76,141.25,165.76,0,0
