Date,Open,High,Low,Close,Volume,OpenInt
2011-04-19,10.181,10.181,10.181,10.181,0,0
2011-04-20,10.015,10.181,10.015,10.181,0,0
2011-04-21,10.181,10.181,9.507,9.507,0,0
2011-04-26,8.9994,8.9994,8.9994,8.9994,0,0
2011-04-27,9.3411,9.3411,8.9994,8.9994,0,0
2011-04-28,8.9604,8.9604,8.9604,8.9604,0,0
2011-04-29,8.82,8.82,8.15,8.15,0,0
2011-05-02,8.1502,8.1502,8.1502,8.1502,0,0
2011-05-04,7.9843,7.9843,7.9843,7.9843,0,0
2011-05-05,7.8086,8.1405,7.467,8.1405,0,0
2011-05-06,8.1502,8.1502,8.1502,8.1502,0,0
2011-05-09,8.1502,8.1502,8.1502,8.1502,0,0
2011-05-10,8.1502,8.1502,7.3011,7.8086,0,0
2011-05-11,8.1502,8.1502,8.1502,8.1502,0,0
2011-05-13,8.4821,8.4821,8.4821,8.4821,0,0
2011-05-16,8.4821,8.4821,8.4821,8.4821,0,0
2011-05-17,7.9745,7.9745,7.1254,7.1254,0,0
2011-05-18,7.1254,7.1254,7.1254,7.1254,0,0
2011-05-19,6.7935,7.1254,6.4519,7.1254,0,0
2011-05-20,7.2815,7.467,7.2815,7.467,0,0
2011-05-23,7.467,7.467,7.467,7.467,0,0
2011-05-24,7.467,8.2674,7.467,8.2674,0,0
2011-05-25,8.2674,8.2674,8.2674,8.2674,0,0
2011-05-26,8.2674,8.2674,7.1449,8.2674,0,0
2011-05-27,8.2674,8.4235,8.2674,8.4235,0,0
2011-05-31,8.38,8.38,8.38,8.38,0,0
2011-06-01,8.3845,8.3845,8.3845,8.3845,0,0
2011-06-02,7.8965,8.2381,7.1449,8.2381,0,0
2011-06-03,8.2381,8.2381,8.2381,8.2381,0,0
2011-06-06,8.2381,8.3845,8.199,8.3845,0,0
2011-06-07,8.2674,8.2674,8.2674,8.2674,0,0
2011-06-08,8.2674,8.2674,8.2674,8.2674,0,0
2011-06-09,8.2674,8.2674,8.2674,8.2674,0,0
2011-06-10,8.2674,8.2674,8.2674,8.2674,0,0
2011-06-13,8.2674,9.0189,8.2674,9.0189,0,0
2011-06-14,9.0189,9.3606,8.648,8.648,0,0
2011-06-15,8.2674,9.3606,7.8965,9.3606,0,0
2011-06-16,8.99,9.36,8.99,9.36,0,0
2011-06-17,9.3606,9.3606,8.2674,9.3215,0,0
2011-06-21,9.0189,9.0189,8.2771,8.2771,0,0
2011-06-22,7.8965,7.8965,7.8965,7.8965,0,0
2011-06-24,7.5256,8.2674,7.5256,8.2674,0,0
2011-06-27,7.5256,8.7944,7.5256,8.7944,0,0
2011-06-28,9.0189,9.0189,8.2674,8.2674,0,0
2011-06-29,8.2674,9.0189,8.2674,9.0189,0,0
2011-06-30,9.02,9.02,9.02,9.02,0,0
2011-07-01,8.8921,8.8921,8.2674,8.8921,0,0
2011-07-04,8.8921,8.8921,8.4626,8.4626,0,0
2011-07-05,8.3845,8.3845,8.3845,8.3845,0,0
2011-07-06,8.38,8.38,7.52,7.71,0,0
2011-07-07,7.1937,7.5158,7.1937,7.5158,0,0
2011-07-08,7.5158,7.8965,7.5158,7.8965,0,0
2011-07-11,7.5158,7.5158,7.5158,7.5158,0,0
2011-07-12,7.5158,9.0092,7.5158,8.8335,0,0
