Date,Open,High,Low,Close,Volume,OpenInt
2012-06-12,17.52,17.52,17.52,17.52,0,0
2012-06-13,21.05,24.95,20.9,24.95,0,0
2012-06-15,25.24,26.67,13.05,14.05,0,0
2012-06-18,13.76,13.9,11.24,13.9,0,0
2012-06-19,13.9,15,11.9,14.05,0,0
2012-06-20,13.76,14.71,12.62,14.71,0,0
2012-06-21,15.14,16.14,15.14,15.71,0,0
2012-06-22,15.43,15.43,15,15.43,0,0
2012-06-25,15.71,15.71,15.43,15.43,0,0
2012-06-26,15.43,15.43,12.62,14.05,0,0
2012-06-27,15.29,15.29,12.62,13.33,0,0
2012-06-28,13.19,13.19,10.67,10.67,0,0
2012-06-29,11.1,11.1,8.43,9.52,0,0
2012-07-02,7.86,11.24,7.86,10.67,0,0
2012-07-03,10.95,10.95,9.67,9.67,0,0
2012-07-04,9.67,9.67,8.14,8.14,0,0
2012-07-05,7.71,8.43,6.33,7.71,0,0
2012-07-06,7.57,7.57,6.19,7.57,0,0
2012-07-10,6.71,7.57,6.71,7.57,0,0
2012-07-11,7.43,7.43,6.57,7.43,0,0
2012-07-12,6.57,6.57,6.05,6.05,0,0
2012-07-13,5.62,5.62,5.05,5.05,0,0
2012-07-16,5.33,5.62,4.33,5.62,0,0
2012-07-17,5.9,5.9,5.62,5.62,0,0
2012-07-18,5.76,5.76,5.76,5.76,0,0
2012-07-19,5.9,5.9,5.9,5.9,0,0
2012-07-20,5.76,5.76,5.76,5.76,0,0
2012-07-23,5.33,5.33,4.76,5.33,0,0
2012-07-24,5.62,5.62,5.62,5.62,0,0
2012-07-25,5.62,5.76,5.62,5.76,0,0
2012-07-26,5.76,5.76,5.76,5.76,0,0
2012-07-27,5.76,6.05,5.76,6.05,0,0
2012-07-30,6.05,6.05,6.05,6.05,0,0
2012-07-31,6.05,6.05,6.05,6.05,0,0
2012-08-01,6.05,6.05,4.9,5.62,0,0
2012-08-02,5.62,5.62,5.62,5.62,0,0
2012-08-03,5.76,6.71,5.76,6.33,0,0
2012-08-06,6.33,6.33,5.19,5.48,0,0
2012-08-07,5.76,5.76,4.48,4.9,0,0
2012-08-08,5.33,5.33,4.33,4.62,0,0
2012-08-09,4.76,4.76,3.81,3.81,0,0
2012-08-10,4.05,4.33,3.38,4.33,0,0
2012-08-14,4.33,6.05,4.33,5.05,0,0
2012-08-16,5.33,5.33,5.33,5.33,0,0
2012-08-17,5.33,5.33,5.33,5.33,0,0
2012-08-20,5.33,5.33,5.33,5.33,0,0
2012-08-21,5.33,5.48,4.9,5.48,0,0
2012-08-22,5.05,5.05,4.48,4.62,0,0
2012-08-23,4.62,5.19,4.33,5.19,0,0
2012-08-24,5.33,5.33,4.33,4.48,0,0
2012-08-27,4.48,4.48,1.69,1.69,0,0
2012-08-28,1.69,1.69,1.57,1.57,0,0
2012-08-29,1.74,1.74,1.52,1.69,0,0
2012-08-30,1.74,1.91,1.74,1.91,0,0
2012-08-31,2.07,2.41,1.91,2.41,0,0
2012-09-03,2.41,2.72,2.13,2.19,0,0
2012-09-04,2.07,2.07,1.91,2.07,0,0
2012-09-05,2.07,2.07,1.96,1.96,0,0
2012-09-06,1.96,2.24,1.74,2.24,0,0
2012-09-07,2.46,2.46,2.46,2.46,0,0
2012-09-10,2.46,2.61,2.13,2.61,0,0
2012-09-11,2.35,2.72,2.35,2.72,0,0
2012-09-12,2.83,2.83,2.41,2.41,0,0
2012-09-13,2.41,2.41,2.19,2.19,0,0
2012-09-14,2.19,2.24,2.07,2.24,0,0
2012-09-17,2.35,2.35,2.07,2.07,0,0
2012-09-18,1.96,1.96,1.91,1.96,0,0
2012-09-24,1.85,1.85,1.63,1.63,0,0
2012-09-25,1.63,19.48,1.63,19.48,0,0
2012-10-01,17.19,17.19,15.48,15.48,0,0
2012-10-03,15.48,15.48,15.48,15.48,0,0
2012-10-04,16.04,16.04,15.48,15.48,0,0
2012-10-05,18.33,20.63,18.33,20.63,0,0
2012-10-22,20.63,20.63,17.19,17.19,0,0
2012-10-29,16.61,16.61,15.48,15.48,0,0
2012-10-30,15.48,17.19,15.48,17.19,0,0
2012-11-21,17.76,17.76,16.04,16.04,0,0
2012-11-26,16.04,16.04,13.76,13.76,0,0
2012-11-27,14.33,15.48,14.33,15.48,0,0
2012-11-28,14.33,15.48,14.33,14.33,0,0
2012-11-29,13.76,13.76,11.46,12.61,0,0
2012-11-30,10.89,10.89,9.17,9.17,0,0
2012-12-04,9.74,10.89,9.74,10.89,0,0
2012-12-05,11.46,11.46,11.46,11.46,0,0
2012-12-06,12.61,12.61,11.46,11.46,0,0
2012-12-07,11.46,11.46,9.17,10.31,0,0
2012-12-10,11.46,12.04,8.59,8.59,0,0
2012-12-11,7.44,8.59,7.44,8.59,0,0
2012-12-12,8.59,9.74,6.87,9.74,0,0
2012-12-13,9.74,9.74,1.91,1.91,0,0
2012-12-14,1.91,1.91,1.57,1.8,0,0
2012-12-17,1.8,1.91,1.57,1.91,0,0
2012-12-19,1.91,1.91,1.91,1.91,0,0
2012-12-20,1.91,1.91,1.57,1.91,0,0
2012-12-21,2.03,2.03,1.46,1.69,0,0
2012-12-27,1.8,1.91,1.46,1.46,0,0
2012-12-28,1.35,1.57,1.35,1.46,0,0
2013-01-02,1.46,1.46,1.46,1.46,0,0
2013-01-03,1.46,1.46,1.46,1.46,0,0
2013-01-04,1.69,1.69,1.69,1.69,0,0
2013-01-07,1.69,1.69,1.69,1.69,0,0
2013-01-08,1.69,1.69,1.69,1.69,0,0
2013-01-09,1.69,1.69,1.69,1.69,0,0
2013-01-10,1.69,1.69,1.69,1.69,0,0
2013-01-11,1.69,1.69,1.69,1.69,0,0
2013-01-14,1.69,1.69,1.46,1.57,0,0
2013-01-15,1.69,1.69,1.57,1.57,0,0
2013-01-16,2.03,2.03,1.8,1.8,0,0
2013-01-17,1.8,1.8,1.46,1.69,0,0
2013-01-18,1.8,1.91,1.8,1.8,0,0
2013-01-21,1.8,1.8,1.69,1.69,0,0
2013-01-22,1.69,1.69,1.69,1.69,0,0
2013-01-24,1.69,2.36,1.69,2.36,0,0
2013-01-25,2.93,3.49,2.93,3.49,0,0
2013-01-28,3.71,3.71,3.04,3.15,0,0
2013-01-29,3.37,3.37,2.7,2.7,0,0
2013-01-30,2.7,3.04,2.7,3.04,0,0
2013-01-31,3.04,3.04,3.04,3.04,0,0
2013-02-01,3.04,3.04,2.93,2.93,0,0
2013-02-04,2.93,3.49,2.93,3.49,0,0
2013-02-05,3.49,3.49,3.15,3.15,0,0
2013-02-06,3.15,3.15,3.04,3.04,0,0
2013-02-07,3.04,3.04,3.04,3.04,0,0
2013-02-08,3.04,3.04,3.04,3.04,0,0
2013-02-11,3.15,3.15,2.48,2.48,0,0
2013-02-12,2.48,2.48,2.48,2.48,0,0
2013-02-13,2.48,2.48,2.48,2.48,0,0
2013-02-18,2.03,2.03,2.03,2.03,0,0
2013-02-19,2.03,2.03,1.91,1.91,0,0
2013-02-21,2.14,2.25,2.14,2.25,0,0
2013-02-22,2.36,2.59,2.36,2.59,0,0
2013-02-25,2.59,2.59,2.14,2.14,0,0
2013-02-26,2.25,2.25,2.25,2.25,0,0
