Date,Open,High,Low,Close,Volume,OpenInt
2011-12-07,2.3,2.3,2.3,2.3,0,0
2011-12-08,2.7,3.2,2.6,3,0,0
2011-12-09,3,3,2.4,2.6,0,0
2011-12-12,2.4,2.4,1.6,1.6,0,0
2011-12-13,1.8,2.2,1.6,2,0,0
2011-12-14,1.9,2.3,1.8,1.8,0,0
2011-12-15,1.7,1.8,1.6,1.8,0,0
2011-12-16,1.7,1.8,1.5,1.7,0,0
2011-12-19,1.5,1.6,1.2,1.5,0,0
2011-12-20,1.3,1.3,1.2,1.2,0,0
2011-12-21,1.4,1.6,1.3,1.6,0,0
2011-12-22,1.8,1.8,1.4,1.4,0,0
2011-12-23,1.3,1.5,1.3,1.5,0,0
2011-12-27,1.3,1.5,1.2,1.5,0,0
2011-12-28,1.3,1.5,1.3,1.4,0,0
2011-12-29,1.3,1.3,1.2,1.3,0,0
2011-12-30,1.2,1.5,1.2,1.5,0,0
2012-01-02,1.5,1.5,1.3,1.5,0,0
2012-01-03,1.4,2.1,1.3,2.1,0,0
2012-01-04,2.1,2.1,1.7,1.8,0,0
2012-01-05,1.6,1.8,1.5,1.8,0,0
2012-01-09,1.7,1.9,1.7,1.8,0,0
2012-01-10,1.8,2.1,1.5,2,0,0
2012-01-11,2,2.1,2,2.1,0,0
2012-01-12,1.9,2.1,1.8,2.1,0,0
2012-01-13,1.8,1.8,1.8,1.8,0,0
2012-01-16,1.7,2.1,1.6,2.1,0,0
2012-01-17,2.4,2.4,1.9,2,0,0
2012-01-18,1.9,2.2,1.9,2.2,0,0
2012-01-19,2.2,2.2,2,2.2,0,0
2012-01-20,2.1,3.1,2.1,2.3,0,0
2012-01-23,2.3,3.1,2.3,2.7,0,0
2012-01-24,3.1,3.2,2.3,2.5,0,0
2012-01-25,2.6,2.7,2.2,2.2,0,0
2012-01-26,2.1,2.6,1.8,2.6,0,0
2012-01-27,2.6,2.9,2.2,2.4,0,0
2012-01-30,2.3,2.5,1.9,1.9,0,0
2012-01-31,2,2.2,1.9,1.9,0,0
2012-02-01,2,2,1.8,1.9,0,0
2012-02-02,1.8,1.9,1.8,1.9,0,0
2012-02-03,1.7,2,1.7,2,0,0
2012-02-06,2,2.6,2,2.2,0,0
2012-02-07,2.2,2.3,2.1,2.2,0,0
2012-02-08,2.1,2.1,2,2.1,0,0
2012-02-09,2.1,2.2,2,2.1,0,0
2012-02-10,2.1,2.5,2.1,2.5,0,0
2012-02-13,2.6,3.7,2.6,3.7,0,0
2012-02-14,3.9,4,3,3,0,0
2012-02-15,3.1,3.1,2.8,3.1,0,0
2012-02-16,3.1,3.7,2.9,3.7,0,0
2012-02-17,3.6,4.1,3.5,4,0,0
2012-02-20,4.1,5.3,3.6,4.7,0,0
2012-02-21,4.7,5,4.3,4.6,0,0
2012-02-22,4.3,4.5,3.8,4.1,0,0
2012-02-23,3.9,4.2,3.8,3.9,0,0
2012-02-24,4,4,3.7,3.9,0,0
2012-02-27,3.7,3.9,3.3,3.5,0,0
2012-02-28,3.5,4,3.4,3.7,0,0
2012-02-29,3.7,4.4,3.7,4.3,0,0
2012-03-01,4.3,4.5,3.9,4.2,0,0
2012-03-02,4.3,4.3,3.9,4.2,0,0
2012-03-05,3.8,4.2,3.8,4.2,0,0
2012-03-06,4.2,4.2,3.5,4,0,0
2012-03-07,4,4,3.7,4,0,0
2012-03-08,3.8,4.2,3.4,3.8,0,0
2012-03-09,3.8,4,3.3,3.9,0,0
2012-03-12,3.9,3.9,3.6,3.9,0,0
2012-03-13,3.9,4.5,3.9,4.2,0,0
2012-03-14,4.3,4.3,4,4.1,0,0
2012-03-15,3.9,4,3.7,4,0,0
2012-03-16,3.7,3.9,3.5,3.9,0,0
2012-03-19,3.9,4,3.5,3.8,0,0
2012-03-20,4,4,3.9,3.9,0,0
2012-03-21,4,4,3.4,3.9,0,0
2012-03-22,3.8,3.8,3.3,3.7,0,0
2012-03-23,3.4,3.7,3,3.4,0,0
2012-03-26,3,3.4,3,3.4,0,0
2012-03-27,3,3.4,3,3.4,0,0
2012-03-28,2.9,3.3,2.8,2.8,0,0
2012-03-29,2.7,2.7,2.4,2.7,0,0
2012-03-30,2.5,2.6,2.4,2.5,0,0
2012-04-02,2.5,2.6,2.3,2.4,0,0
2012-04-03,2.5,3.1,2.4,2.9,0,0
2012-04-04,3.1,3.1,2.6,2.8,0,0
2012-04-05,2.8,2.9,2.8,2.9,0,0
2012-04-10,2.9,2.9,2.9,2.9,0,0
2012-04-11,2.8,2.8,2.8,2.8,0,0
2012-04-12,2.5,3.1,2.3,3.1,0,0
2012-04-13,2.8,3.1,2.8,2.9,0,0
2012-04-16,3.2,3.2,3.2,3.2,0,0
2012-04-17,3.2,3.7,3.1,3.3,0,0
2012-04-18,3.1,3.3,3,3.1,0,0
2012-04-19,3,3.2,2.6,3.2,0,0
2012-04-24,3.1,3.1,3.1,3.1,0,0
2012-04-26,2.6,3,2.6,3,0,0
2012-05-02,2.6,2.9,2.6,2.9,0,0
2012-05-04,2.6,3.2,2.5,3,0,0
2012-05-07,3.2,3.4,3.1,3.2,0,0
2012-05-08,3.3,3.3,2.7,2.7,0,0
2012-05-09,3.1,3.1,2.9,3.1,0,0
2012-05-10,3.1,3.1,3.1,3.1,0,0
2012-05-11,2.8,3.1,2.7,2.8,0,0
2012-05-15,2.7,2.7,2.7,2.7,0,0
2012-05-16,3,3,2.7,2.7,0,0
2012-05-17,2.6,2.6,2.5,2.5,0,0
2012-05-18,2.3,2.4,2.2,2.4,0,0
2012-05-21,2.4,2.4,2.2,2.4,0,0
2012-05-22,2.7,2.7,2.1,2.4,0,0
2012-05-23,2,2,2,2,0,0
2012-05-24,2,2.1,2,2.1,0,0
2012-05-25,2,2.2,2,2.2,0,0
2012-05-28,2,2.1,1.9,2.1,0,0
2012-05-29,1.9,2.2,1.9,2,0,0
2012-05-30,2.2,2.2,2.2,2.2,0,0
2012-05-31,2.1,2.1,2,2,0,0
2012-06-01,1.9,2,1.9,2,0,0
