Date,Open,High,Low,Close,Volume,OpenInt
2018-02-14,32.5,32.5,32.5,32.5,0,0
2018-02-15,38.9,44.4,32.5,32.5,0,0
2018-02-16,31.8,32.5,31.8,32.5,0,0
2018-02-19,31.8,32.5,31.8,32.5,0,0
2018-02-20,27.3,32.5,27.3,32.5,0,0
2018-02-21,31.8,32.5,31.8,32.5,0,0
2018-02-22,31.8,32.5,31.8,32.5,0,0
2018-02-23,31.8,32.5,31.8,32.5,0,0
2018-02-26,31.8,32.5,31.8,32.5,0,0
2018-02-27,31.8,32.5,27.3,32.5,0,0
2018-02-28,31.8,32.5,31.8,32.5,0,0
2018-03-01,27.3,27.9,27.3,27.9,0,0
2018-03-02,27.3,32.5,27.3,32.5,0,0
2018-03-05,31.8,32.5,31.8,32.5,0,0
2018-03-06,31.8,31.8,27.3,27.9,0,0
2018-03-07,27.3,27.9,27.3,27.9,0,0
2018-03-08,27.3,27.9,27.3,27.9,0,0
2018-03-09,22.7,23.2,22.7,23.2,0,0
2018-03-12,22.7,23.2,22.7,23.2,0,0
2018-03-13,22.7,23.2,22.7,23.2,0,0
2018-03-14,22.7,23.2,22.7,23.2,0,0
2018-03-15,22.7,27.9,22.7,27.9,0,0
2018-03-16,27.3,27.9,27.3,27.9,0,0
2018-03-19,27.3,27.9,27.3,27.9,0,0
2018-03-20,27.3,32.5,27.3,32.5,0,0
2018-03-21,31.8,32.5,31.8,32.5,0,0
2018-03-22,31.8,32.5,31.8,32.5,0,0
2018-03-23,31.8,32.5,31.8,32.5,0,0
2018-03-26,31.8,32.5,31.8,32.5,0,0
2018-03-27,31.8,32.5,31.8,32.5,0,0
2018-03-28,27.3,27.9,27.3,27.9,0,0
