Date,Open,High,Low,Close,Volume,OpenInt
2012-03-13,18.21,18.21,18.21,18.21,0,0
2012-03-14,12.33,12.33,9.86,9.86,0,0
2012-03-15,9.1,9.1,5.84,7.25,0,0
2012-03-16,7.25,7.25,5.92,6.64,0,0
2012-03-19,6.64,6.64,5.39,5.39,0,0
2012-03-20,5.92,7.13,5.88,6.98,0,0
2012-03-21,7.13,7.17,6.41,6.98,0,0
2012-03-22,6.26,6.45,5.88,5.92,0,0
2012-03-23,5.8,5.8,5.69,5.69,0,0
2012-03-26,5.69,5.69,5.31,5.69,0,0
2012-03-27,5.58,5.58,5.27,5.35,0,0
2012-03-28,5.27,5.31,5.27,5.31,0,0
2012-03-29,5.35,5.42,5.31,5.31,0,0
2012-03-30,5.54,5.88,5.39,5.39,0,0
2012-04-02,5.42,5.42,5.42,5.42,0,0
2012-04-10,5.61,5.69,5.31,5.5,0,0
2012-04-12,5.61,5.61,5.61,5.61,0,0
2012-04-13,5.61,6.3,5.61,6.3,0,0
2012-04-16,6.41,6.79,6.26,6.45,0,0
2012-04-17,6.64,7.02,6.64,7.02,0,0
2012-04-18,7.02,7.02,7.02,7.02,0,0
2012-04-19,7.06,7.06,6.41,6.41,0,0
2012-04-23,6.37,6.37,5.58,6.15,0,0
2012-04-24,5.69,5.77,5.69,5.77,0,0
2012-05-04,5.69,5.69,5.58,5.58,0,0
2012-05-07,5.31,5.42,5.27,5.39,0,0
2012-05-08,5.39,6.41,5.39,5.96,0,0
2012-05-09,5.31,5.31,5.31,5.31,0,0
2012-05-10,5.39,5.88,5.31,5.31,0,0
2012-05-11,5.31,5.5,5.23,5.5,0,0
2012-05-14,5.39,5.39,5.39,5.39,0,0
2012-05-15,5.27,5.27,5.27,5.27,0,0
2012-05-16,5.27,5.8,5.27,5.8,0,0
2012-05-18,5.23,5.88,5.23,5.88,0,0
2012-05-21,5.84,5.84,5.84,5.84,0,0
2012-05-22,5.5,5.5,5.39,5.39,0,0
2012-05-23,5.31,5.31,5.27,5.27,0,0
2012-05-25,4.89,4.89,4.89,4.89,0,0
2012-05-28,4.89,4.89,4.25,4.25,0,0
2012-05-29,3.95,4.93,3.95,4.93,0,0
2012-05-30,5.12,5.16,5.12,5.16,0,0
2012-05-31,4.97,4.97,4.13,4.13,0,0
2012-06-01,4.13,4.13,3.79,3.79,0,0
2012-06-04,3.79,4.17,3.79,4.17,0,0
2012-06-05,4.17,4.17,4.17,4.17,0,0
2012-06-06,4.63,4.63,4.63,4.63,0,0
2012-06-08,4.59,4.59,4.59,4.59,0,0
2012-06-11,4.48,4.48,3.98,4.02,0,0
2012-06-12,4.17,4.17,4.17,4.17,0,0
2012-06-13,3.98,3.98,3.98,3.98,0,0
2012-06-14,3.98,3.98,3.98,3.98,0,0
2012-06-28,3.83,3.83,3.38,3.38,0,0
2012-07-02,3.53,3.91,3.41,3.91,0,0
2012-07-03,3.6,3.6,3.49,3.49,0,0
2012-07-04,3.38,3.38,3.22,3.22,0,0
2012-07-05,3.15,3.15,3.03,3.03,0,0
2012-07-06,2.85,3.45,2.66,3.45,0,0
2012-07-09,3.45,3.45,3.26,3.26,0,0
2012-07-10,3.3,3.91,3.3,3.91,0,0
2012-07-11,4.02,4.06,3.98,3.98,0,0
2012-07-12,3.98,4.02,3.83,3.83,0,0
2012-07-16,3.95,4.06,3.87,4.06,0,0
2012-07-17,4.02,4.02,3.79,3.79,0,0
2012-07-18,3.76,3.76,3.41,3.41,0,0
2012-07-20,3.26,3.26,3.26,3.26,0,0
2012-07-23,3.15,3.15,3.03,3.03,0,0
2012-07-25,2.92,2.92,2.01,2.01,0,0
2012-07-26,2.05,2.24,2.05,2.24,0,0
2012-08-01,2.12,2.16,1.9,1.9,0,0
2012-08-06,1.9,1.9,1.9,1.9,0,0
2012-08-09,1.9,3.02,1.9,3.02,0,0
2012-08-17,2.9,3.13,2.84,2.84,0,0
2012-08-20,3.02,3.31,3.02,3.31,0,0
2012-08-21,3.31,3.6,3.31,3.48,0,0
2012-08-22,3.36,3.36,3.31,3.31,0,0
2012-08-23,3.31,3.31,3.31,3.31,0,0
2012-08-24,3.25,3.25,2.96,3.19,0,0
2012-09-14,3.07,3.19,3.02,3.02,0,0
2012-09-17,2.96,3.02,2.96,3.02,0,0
2012-09-18,2.96,3.02,2.96,3.02,0,0
2012-09-20,2.9,2.9,2.84,2.84,0,0
2012-09-25,2.84,3.83,2.84,2.96,0,0
2012-09-26,2.9,3.31,2.78,2.78,0,0
2012-09-27,2.67,2.96,2.61,2.73,0,0
2012-09-28,2.61,2.9,2.38,2.9,0,0
2012-10-01,2.9,3.25,2.9,3.13,0,0
2012-10-02,3.13,3.42,2.9,3.19,0,0
2012-10-03,3.19,3.19,2.78,2.78,0,0
2012-10-04,2.73,2.73,2.44,2.67,0,0
2012-10-11,2.44,2.67,2.32,2.67,0,0
2012-10-12,2.67,2.9,2.67,2.9,0,0
2012-10-15,2.84,2.84,2.84,2.84,0,0
2012-10-16,2.84,2.96,2.84,2.96,0,0
2012-10-17,3.13,3.42,3.13,3.42,0,0
2012-10-18,3.48,3.48,3.48,3.48,0,0
2012-10-19,3.31,3.31,3.07,3.07,0,0
2012-10-22,3.19,3.48,3.07,3.48,0,0
2012-10-23,3.48,3.48,3.13,3.13,0,0
2012-10-26,3.07,3.07,2.55,2.55,0,0
2012-10-29,2.61,2.73,2.61,2.73,0,0
2012-10-30,2.73,2.73,2.73,2.73,0,0
2012-10-31,2.49,2.67,2.32,2.67,0,0
2012-11-02,2.73,2.73,2.61,2.61,0,0
2012-11-05,2.61,2.67,2.55,2.55,0,0
2012-11-06,2.49,2.55,2.49,2.49,0,0
2012-11-07,2.49,2.49,2.49,2.49,0,0
2012-11-08,2.44,2.73,2.44,2.73,0,0
2012-11-09,2.73,2.73,2.73,2.73,0,0
2012-11-12,2.67,2.67,2.67,2.67,0,0
2012-11-13,2.38,2.84,2.38,2.84,0,0
2012-11-14,2.84,2.84,2.73,2.73,0,0
2012-11-15,2.67,2.67,2.32,2.44,0,0
2012-11-16,2.44,2.44,2.44,2.44,0,0
2012-11-19,2.38,2.38,2.09,2.15,0,0
2012-11-20,2.15,2.15,2.15,2.15,0,0
2012-11-21,2.09,2.09,2.09,2.09,0,0
2012-11-22,2.2,2.44,2.2,2.44,0,0
2012-11-23,2.49,2.49,2.49,2.49,0,0
2012-11-26,2.49,2.61,2.49,2.61,0,0
2012-11-27,2.61,2.73,2.61,2.73,0,0
2012-11-28,2.73,2.84,2.26,2.84,0,0
2012-11-29,2.84,2.9,2.49,2.49,0,0
2012-12-03,2.49,2.49,2.49,2.49,0,0
2012-12-05,2.96,3.02,2.96,3.02,0,0
2012-12-10,3.07,3.19,3.07,3.19,0,0
2012-12-11,3.19,3.19,3.19,3.19,0,0
2012-12-12,3.19,3.19,3.19,3.19,0,0
2012-12-13,3.19,3.6,3.19,3.6,0,0
2012-12-14,3.6,3.6,3.6,3.6,0,0
2012-12-17,3.6,3.83,3.6,3.83,0,0
2012-12-18,3.83,4.58,3.83,4.58,0,0
2012-12-19,4.35,4.35,3.77,3.77,0,0
2012-12-20,3.83,4.35,3.83,3.94,0,0
2012-12-21,4.06,4.41,4.06,4.41,0,0
2012-12-27,4.06,4.29,3.71,3.83,0,0
2013-01-02,4,4.47,3.89,4.41,0,0
2013-01-03,3.83,4,3.83,4,0,0
2013-01-04,3.6,3.6,3.48,3.48,0,0
2013-01-07,3.6,4.18,3.6,3.71,0,0
2013-01-08,3.65,3.65,3.07,3.65,0,0
2013-01-09,3.25,4.23,3.07,3.65,0,0
2013-01-10,3.48,3.48,2.96,2.96,0,0
2013-01-11,2.96,4.23,2.96,4.23,0,0
2013-01-14,4.76,4.93,3.83,4.23,0,0
