Date,Open,High,Low,Close,Volume,OpenInt
2013-10-17,14.277,14.277,14.277,14.277,0,0
2013-10-18,17.08,20.321,14.802,16.117,0,0
2013-10-21,16.029,17.518,14.365,16.117,0,0
2013-10-22,16.467,19.707,15.591,17.956,0,0
2013-10-23,17.956,19.707,17.605,19.62,0,0
2013-10-24,19.883,21.022,18.656,18.656,0,0
2013-10-25,18.919,22.423,18.482,21.897,0,0
2013-10-28,21.897,26.277,20.846,24.963,0,0
2013-10-29,24.612,25.226,20.846,21.722,0,0
2013-10-30,23.036,23.036,18.044,18.044,0,0
2013-10-31,19.445,21.46,17.605,19.27,0,0
2013-11-04,19.27,20.409,19.182,20.233,0,0
2013-11-05,18.919,19.358,17.605,18.656,0,0
2013-11-06,18.656,20.321,18.656,18.744,0,0
2013-11-07,20.058,22.685,19.182,22.685,0,0
2013-11-08,23.036,24.526,20.409,22.423,0,0
2013-11-12,22.423,22.598,20.233,21.022,0,0
2013-11-13,20.934,22.16,19.795,21.022,0,0
2013-11-14,21.109,22.16,20.846,21.022,0,0
2013-11-15,21.46,21.897,19.62,19.795,0,0
2013-11-18,19.445,20.583,17.255,17.518,0,0
2013-11-19,17.518,18.744,16.029,18.744,0,0
2013-11-20,18.744,18.744,16.117,17.868,0,0
2013-11-21,17.168,17.518,16.467,17.518,0,0
2013-11-22,16.992,17.343,16.029,16.992,0,0
2013-11-25,16.992,17.431,15.854,17.08,0,0
2013-11-26,15.678,16.204,15.241,16.117,0,0
2013-11-27,16.117,16.204,16.029,16.204,0,0
2013-11-28,16.642,18.482,16.204,16.204,0,0
2013-11-29,16.204,16.817,15.678,16.817,0,0
2013-12-02,16.38,16.817,15.504,16.642,0,0
2013-12-03,17.343,17.343,16.554,16.642,0,0
2013-12-04,16.729,16.729,15.766,16.642,0,0
2013-12-05,16.642,16.642,15.416,16.292,0,0
2013-12-06,15.678,17.78,15.678,17.78,0,0
2013-12-09,17.343,17.343,17.255,17.255,0,0
2013-12-10,17.255,18.044,17.255,17.431,0,0
2013-12-11,17.868,17.868,16.292,16.905,0,0
2013-12-12,17.168,17.168,16.204,16.817,0,0
2013-12-13,16.817,17.255,16.817,17.08,0,0
2013-12-16,17.08,17.08,16.117,16.642,0,0
2013-12-17,16.729,16.905,16.729,16.905,0,0
2013-12-18,16.817,16.817,16.817,16.817,0,0
2013-12-19,17.08,17.08,16.905,16.905,0,0
2013-12-20,16.905,16.905,16.117,16.117,0,0
2013-12-23,16.905,17.255,16.905,17.255,0,0
2013-12-27,17.255,18.744,17.255,18.656,0,0
2013-12-30,18.744,20.496,18.744,20.058,0,0
2014-01-02,19.97,21.285,19.707,20.496,0,0
2014-01-03,21.197,21.197,20.583,20.583,0,0
2014-01-07,20.233,20.496,17.08,19.62,0,0
2014-01-08,19.533,21.46,19.533,20.846,0,0
2014-01-09,20.846,20.846,19.707,19.707,0,0
2014-01-10,20.058,20.846,20.058,20.846,0,0
2014-01-13,20.321,20.321,20.146,20.233,0,0
2014-01-14,20.496,20.496,20.146,20.146,0,0
2014-01-15,20.233,20.233,18.044,20.233,0,0
2014-01-16,20.321,20.321,19.095,19.97,0,0
2014-01-20,19.883,19.883,19.795,19.795,0,0
2014-01-22,19.795,19.97,19.795,19.97,0,0
2014-01-23,19.883,19.97,19.883,19.97,0,0
2014-01-24,19.97,20.233,18.656,19.62,0,0
