Date,Open,High,Low,Close,Volume,OpenInt
2014-04-01,16.38,16.38,16.38,16.38,0,0
2014-04-02,14.67,20.48,14.67,20.48,0,0
2014-04-03,24.57,29.35,20.48,29.35,0,0
2014-04-04,35.22,42.26,35.22,42.26,0,0
2014-04-07,44.02,52.83,44.02,52.83,0,0
2014-04-08,56.65,81.57,56.65,81.57,0,0
2014-04-09,83.27,99.92,66.61,66.61,0,0
2014-04-10,75.08,75.08,61.44,74.39,0,0
2014-04-11,70.43,80.54,69.62,69.62,0,0
2014-04-14,70.98,70.98,61.43,61.43,0,0
2014-04-16,67.55,67.55,67.55,67.55,0,0
2014-04-17,62.11,62.11,58.7,58.7,0,0
2014-04-22,57.22,67.55,57.22,67.55,0,0
2014-04-23,65.87,68.52,65.87,68.52,0,0
2014-04-24,69.62,70.97,68.25,68.25,0,0
2014-04-25,70.98,77.81,70.98,77.81,0,0
2014-04-28,68.25,68.25,68.25,68.25,0,0
2014-05-02,75.08,77.81,75.08,77.81,0,0
2014-05-05,77.81,109.2,77.81,109.2,0,0
2014-05-06,88.04,90.98,84.63,90.98,0,0
2014-05-07,91.46,109.2,91.46,109.2,0,0
2014-05-08,109.21,156.98,109.21,156.98,0,0
2014-05-09,156.98,187.01,156.98,175.4,0,0
2014-05-12,175.4,175.4,136.5,136.5,0,0
2014-05-13,129.68,152.88,105.11,150.15,0,0
2014-05-14,146.74,163.8,146.74,163.8,0,0
2014-05-15,153.56,177.45,153.56,156.98,0,0
2014-05-16,158.75,158.89,155.61,155.61,0,0
2014-05-19,154.25,154.25,154.25,154.25,0,0
2014-05-20,152.88,152.88,152.88,152.88,0,0
2014-05-21,164.35,164.35,164.35,164.35,0,0
2014-05-22,177.45,204.75,177.45,204.75,0,0
2014-05-23,191.03,191.03,164.35,184.28,0,0
2014-05-26,191.1,191.1,191.1,191.1,0,0
2014-05-27,191.1,191.1,178.82,178.82,0,0
2014-05-28,177.86,177.86,177.86,177.86,0,0
2014-05-29,170.63,170.63,136.5,170.63,0,0
2014-05-30,170.49,170.49,143.33,143.33,0,0
2014-06-02,140.6,154.25,112.61,113.3,0,0
2014-06-03,117.39,120.12,117.39,120.12,0,0
2014-06-04,122.85,128.31,118.76,118.76,0,0
2014-06-05,116.71,117.39,116.71,117.39,0,0
2014-06-06,114.46,114.65,111.25,114.65,0,0
2014-06-09,113.28,116.03,113.28,116.03,0,0
2014-06-10,109.2,109.2,109.2,109.2,0,0
2014-06-12,106.47,106.47,68.25,68.25,0,0
2014-06-13,68.25,81.9,54.6,58.67,0,0
2014-06-16,54.6,54.6,47.78,47.78,0,0
2014-06-17,49.14,49.14,40.95,43.68,0,0
2014-06-18,46.96,50.51,46.96,50.51,0,0
2014-06-20,51.87,58.42,51.87,58.42,0,0
2014-06-23,58.42,70.11,58.42,70.11,0,0
2014-06-24,68.25,81.9,68.25,81.9,0,0
2014-06-25,86,101.01,68.25,68.25,0,0
2014-06-26,66.07,71.65,52.85,53.25,0,0
2014-06-27,51.87,74.69,50.64,74.53,0,0
2014-06-30,74.39,88.73,58.83,58.83,0,0
2014-07-01,62.99,66.89,53.37,58.7,0,0
2014-07-02,53.51,75.08,52.42,74.39,0,0
2014-07-03,76.44,91.46,69.89,91.46,0,0
2014-07-04,92.82,109.2,92.82,109.2,0,0
2014-07-07,96.92,136.5,88.73,136.49,0,0
