Date,Open,High,Low,Close,Volume,OpenInt
2012-08-31,2.6923,2.6923,2.6923,2.6923,0,0
2012-09-03,2.6827,2.6827,2.0385,2.0385,0,0
2012-09-04,2.0385,2.3077,1.9423,1.9808,0,0
2012-09-05,1.9519,2.2788,1.7019,2.1635,0,0
2012-09-06,2.25,2.25,1.9135,2.0769,0,0
2012-09-07,2.0385,2.0385,1.75,1.75,0,0
2012-09-10,1.7308,1.8654,1.6635,1.8654,0,0
2012-09-11,1.8654,1.9808,1.8269,1.9423,0,0
2012-09-12,1.9519,2.3269,1.8654,1.9904,0,0
2012-09-13,2.0577,2.0769,1.9904,2.0769,0,0
2012-09-14,2,2,1.8846,2,0,0
2012-09-17,1.9712,1.9712,1.7308,1.8654,0,0
2012-09-18,1.8558,1.9038,1.6346,1.9038,0,0
2012-09-19,1.9038,1.9038,1.8654,1.8654,0,0
2012-09-20,1.8462,1.8462,1.8173,1.8173,0,0
2012-09-21,1.8173,1.8942,1.8173,1.8942,0,0
2012-09-24,1.9038,2.1346,1.9038,1.9904,0,0
2012-09-25,1.9904,2.0385,1.8462,2.0385,0,0
2012-09-26,2,2.1346,1.9904,2.1058,0,0
2012-09-27,2.1442,2.1442,1.9904,2.0385,0,0
2012-09-28,2.0385,2.0385,2.0192,2.0192,0,0
2012-10-01,1.9904,1.9904,1.8173,1.8846,0,0
2012-10-02,1.8558,1.8558,1.8173,1.8173,0,0
2012-10-03,1.8654,1.8654,1.8654,1.8654,0,0
2012-10-04,1.8558,1.9038,1.7308,1.9038,0,0
2012-10-05,1.9038,1.9135,1.875,1.9135,0,0
2012-10-08,1.9038,1.9038,1.8654,1.8654,0,0
2012-10-09,1.8942,1.8942,1.8462,1.8462,0,0
2012-10-10,1.8942,1.8942,1.8462,1.8942,0,0
2012-10-16,1.8942,1.9327,1.8942,1.9327,0,0
2012-10-17,1.9519,1.9519,1.7212,1.8077,0,0
2012-10-18,1.8173,1.8558,1.7212,1.7212,0,0
2012-10-19,1.8173,1.8173,1.8173,1.8173,0,0
2012-10-24,1.8077,1.8077,1.7308,1.7308,0,0
2012-10-25,1.7308,1.7788,1.7308,1.7788,0,0
2012-10-26,1.7885,1.8846,1.7692,1.8846,0,0
2012-10-29,1.8846,1.9038,1.8846,1.9038,0,0
2012-10-30,1.9038,1.9038,1.9038,1.9038,0,0
2012-10-31,1.875,1.9038,1.875,1.9038,0,0
2012-11-02,1.8365,1.8365,1.7596,1.7596,0,0
2012-11-06,1.7692,1.7692,1.6923,1.6923,0,0
2012-11-07,1.7308,1.7308,1.7308,1.7308,0,0
2012-11-08,1.7019,1.7019,1.4808,1.6442,0,0
2012-11-09,1.7212,1.7212,1.5577,1.7212,0,0
2012-11-12,1.7212,1.7212,1.5,1.5577,0,0
2012-11-13,1.5577,1.5577,1.5192,1.5192,0,0
2012-11-14,1.5288,1.6923,1.5288,1.6923,0,0
2012-11-15,1.7212,1.7212,1.6058,1.6058,0,0
2012-11-19,1.5577,1.5577,1.4904,1.5192,0,0
2012-11-20,1.5192,1.5192,1.4038,1.4038,0,0
2012-11-21,1.3846,1.3846,1.2981,1.375,0,0
2012-11-22,1.375,1.5577,1.3173,1.5577,0,0
2012-11-23,1.5577,1.5577,1.5577,1.5577,0,0
2012-11-26,1.5577,1.5577,1.4615,1.4615,0,0
2012-11-27,1.5,1.5,1.5,1.5,0,0
2012-11-28,1.4615,1.5577,1.4038,1.5577,0,0
2012-11-29,1.5577,1.5577,1.4135,1.5577,0,0
2012-11-30,1.5577,1.5577,1.4615,1.5577,0,0
2012-12-03,1.5577,1.5577,1.4615,1.4712,0,0
2012-12-04,1.4423,1.4712,1.375,1.4712,0,0
2012-12-05,1.5385,1.5385,1.4135,1.4135,0,0
2012-12-06,1.4327,1.5096,1.4327,1.5096,0,0
2012-12-07,1.5192,1.5577,1.5192,1.5577,0,0
2012-12-10,1.5577,1.6346,1.5577,1.5577,0,0
2012-12-11,1.5577,1.5577,1.5577,1.5577,0,0
2012-12-13,1.5288,1.5481,1.5,1.5,0,0
2012-12-14,1.5,1.5,1.5,1.5,0,0
2012-12-17,1.4519,1.625,1.2115,1.625,0,0
2012-12-18,1.5192,1.5192,1.375,1.5096,0,0
2012-12-19,1.4423,1.5096,1.3846,1.5096,0,0
2012-12-20,1.5,1.5096,1.4615,1.4615,0,0
2012-12-21,1.4615,1.4615,1.4615,1.4615,0,0
2012-12-27,1.4519,1.4519,1.4519,1.4519,0,0
2012-12-28,1.4519,1.5481,1.4231,1.4231,0,0
2013-01-02,1.4231,1.4615,1.4231,1.4615,0,0
2013-01-03,1.4904,1.6346,1.4231,1.5096,0,0
2013-01-04,1.5096,1.6442,1.5096,1.6442,0,0
2013-01-07,1.6731,2,1.6731,1.9615,0,0
2013-01-08,2,2,1.7596,1.7596,0,0
2013-01-09,1.7981,1.9808,1.7981,1.8173,0,0
2013-01-10,1.8269,1.9231,1.7981,1.9038,0,0
2013-01-11,1.9231,1.9231,1.7596,1.7596,0,0
2013-01-14,1.7596,1.8365,1.5673,1.6346,0,0
2013-01-15,1.6346,1.6346,1.3942,1.5096,0,0
2013-01-17,1.5673,1.6346,1.5673,1.5673,0,0
2013-01-18,1.625,1.6346,1.5385,1.6346,0,0
2013-01-21,1.6346,1.6346,1.5673,1.6154,0,0
2013-01-23,1.6346,1.6731,1.5288,1.625,0,0
2013-01-24,1.6154,1.625,1.6154,1.625,0,0
2013-01-25,1.625,1.625,1.625,1.625,0,0
2013-01-28,1.6538,1.6731,1.5865,1.5865,0,0
2013-01-29,1.5865,1.5865,1.5865,1.5865,0,0
2013-01-30,1.5865,1.5865,1.5865,1.5865,0,0
2013-01-31,1.625,1.625,1.625,1.625,0,0
2013-02-01,1.625,1.625,1.5385,1.5385,0,0
2013-02-05,1.5673,1.6731,1.5673,1.5769,0,0
2013-02-06,1.5769,1.6346,1.5769,1.6346,0,0
2013-02-07,1.6346,1.6346,1.6346,1.6346,0,0
2013-02-08,1.6346,1.6346,1.6346,1.6346,0,0
2013-02-11,1.6346,1.6346,1.6154,1.6154,0,0
2013-02-12,1.625,1.6346,1.5673,1.625,0,0
2013-02-13,1.6346,1.6635,1.6346,1.6538,0,0
2013-02-14,1.6538,1.9615,1.6538,1.9231,0,0
2013-02-15,1.9231,2.0288,1.7596,1.9519,0,0
2013-02-18,2.0481,2.2115,1.9615,2.1731,0,0
2013-02-19,2.0865,2.1442,2.0385,2.1442,0,0
2013-02-20,2.125,2.2596,2.0962,2.1346,0,0
2013-02-21,2.0865,2.2019,2.0385,2.1923,0,0
2013-02-22,2.1442,2.1731,2.0192,2.0192,0,0
2013-02-25,2.0288,2.0577,1.8365,1.9615,0,0
2013-02-26,1.9904,2.0192,1.7885,1.9615,0,0
2013-02-27,1.8365,2,1.8365,1.9231,0,0
2013-02-28,1.8942,2.0865,1.8654,2.0385,0,0
2013-03-01,2.0481,2.2115,2.0481,2.0962,0,0
2013-03-04,2.0962,2.1731,2.0096,2.0096,0,0
2013-03-05,2.0962,2.0962,1.8942,2.0962,0,0
2013-03-06,2.1346,2.2788,2.1346,2.2596,0,0
