Date,Open,High,Low,Close,Volume,OpenInt
2013-02-08,0.8474,0.8474,0.8474,0.8474,0,0
2013-02-11,0.8868,0.8868,0.8474,0.8474,0,0
2013-02-12,0.8079,0.8079,0.7291,0.8079,0,0
2013-02-13,0.7685,0.8079,0.7685,0.8079,0,0
2013-02-14,0.7685,0.8474,0.7685,0.8474,0,0
2013-02-15,0.8474,0.8868,0.8079,0.8868,0,0
2013-02-18,0.8868,0.8868,0.8079,0.8079,0,0
2013-02-19,0.8079,0.8079,0.7685,0.8079,0,0
2013-02-20,0.8079,0.8079,0.8079,0.8079,0,0
2013-02-21,0.8079,0.8079,0.8079,0.8079,0,0
2013-02-22,0.8079,0.8079,0.8079,0.8079,0,0
2013-02-25,0.8079,0.8079,0.7685,0.7685,0,0
2013-02-26,0.7291,0.7291,0.6109,0.6109,0,0
2013-02-27,0.6109,0.6897,0.6109,0.6897,0,0
2013-03-01,0.6897,0.7291,0.6897,0.7291,0,0
2013-03-04,0.7291,0.7291,0.7291,0.7291,0,0
2013-03-05,0.7291,0.7291,0.7291,0.7291,0,0
2013-03-06,0.6897,0.6897,0.6897,0.6897,0,0
2013-03-07,0.6897,0.6897,0.6897,0.6897,0,0
2013-03-08,0.6503,0.6503,0.5616,0.6503,0,0
2013-03-11,0.6503,0.6503,0.6503,0.6503,0,0
2013-03-12,0.6503,0.8375,0.6503,0.8375,0,0
2013-03-13,0.7784,0.8868,0.7784,0.8868,0,0
2013-03-14,0.8375,0.8375,0.8375,0.8375,0,0
2013-03-15,0.8375,0.8375,0.8375,0.8375,0,0
2013-03-18,0.8375,0.936,0.7784,0.936,0,0
2013-03-19,0.8868,0.8868,0.8375,0.8375,0,0
2013-03-20,0.8375,0.936,0.8375,0.8868,0,0
2013-03-21,0.8868,0.936,0.8375,0.8375,0,0
2013-03-25,0.8375,0.8868,0.8375,0.8868,0,0
2013-03-26,0.8868,0.8868,0.8375,0.8868,0,0
2013-03-27,0.8868,1.0444,0.8375,0.8868,0,0
2013-03-28,0.8868,0.8868,0.8375,0.8868,0,0
2013-04-02,0.936,0.936,0.8375,0.8375,0,0
2013-04-04,0.7784,0.7784,0.7784,0.7784,0,0
2013-04-05,0.8375,0.8375,0.8375,0.8375,0,0
2013-04-08,0.8375,0.8375,0.8375,0.8375,0,0
2013-04-09,0.8375,0.8375,0.8375,0.8375,0,0
2013-04-10,0.8375,0.8375,0.8375,0.8375,0,0
2013-04-11,0.8375,0.936,0.8375,0.8375,0,0
2013-04-12,0.936,0.936,0.7784,0.8868,0,0
2013-04-15,0.936,0.936,0.936,0.936,0,0
2013-04-17,0.8868,0.8868,0.8375,0.8375,0,0
2013-04-18,0.8375,0.8375,0.8375,0.8375,0,0
2013-04-19,0.8375,0.8868,0.8375,0.8868,0,0
2013-04-22,0.8868,0.8868,0.8868,0.8868,0,0
2013-04-23,0.8868,0.8868,0.8868,0.8868,0,0
2013-04-24,0.8868,0.8868,0.8375,0.8375,0,0
2013-04-29,0.8375,0.8375,0.8375,0.8375,0,0
2013-04-30,0.8375,0.8375,0.8375,0.8375,0,0
2013-05-02,0.8375,0.8375,0.8375,0.8375,0,0
2013-05-06,0.8375,0.8375,0.6799,0.6799,0,0
2013-05-07,0.6306,0.7291,0.6306,0.6799,0,0
2013-05-08,0.6799,0.7291,0.6799,0.7291,0,0
