Date,Open,High,Low,Close,Volume,OpenInt
2010-11-16,1.52,1.52,1.52,1.52,0,0
2010-11-17,1.61,1.84,1.57,1.8,0,0
2010-11-18,1.89,1.89,1.71,1.75,0,0
2010-11-19,1.8,1.84,1.57,1.84,0,0
2010-11-22,1.84,1.84,1.64,1.64,0,0
2010-11-23,1.73,1.73,1.55,1.64,0,0
2010-11-24,1.64,1.69,1.6,1.69,0,0
2010-11-25,1.6,1.69,1.55,1.64,0,0
2010-11-26,1.64,1.64,1.6,1.64,0,0
2010-11-29,1.64,1.64,1.6,1.64,0,0
2010-11-30,1.6,1.6,1.55,1.6,0,0
2010-12-01,1.64,1.64,1.55,1.6,0,0
2010-12-02,1.55,1.69,1.55,1.69,0,0
2010-12-03,1.69,1.69,1.6,1.64,0,0
2010-12-06,1.69,1.69,1.6,1.64,0,0
2010-12-07,1.64,1.82,1.64,1.69,0,0
2010-12-08,1.73,1.78,1.69,1.73,0,0
2010-12-09,1.69,1.69,1.6,1.69,0,0
2010-12-10,1.64,1.78,1.64,1.73,0,0
2010-12-13,1.69,1.73,1.64,1.69,0,0
2010-12-14,1.73,1.73,1.64,1.69,0,0
2010-12-15,1.64,1.69,1.64,1.69,0,0
2010-12-16,1.64,1.69,1.64,1.69,0,0
2010-12-17,1.69,1.69,1.6,1.69,0,0
2010-12-20,1.69,1.73,1.64,1.64,0,0
2010-12-21,1.69,1.69,1.55,1.69,0,0
2010-12-22,1.64,1.69,1.6,1.6,0,0
2010-12-23,1.6,1.64,1.55,1.64,0,0
2010-12-27,1.6,1.6,1.51,1.55,0,0
2010-12-28,1.55,1.6,1.51,1.6,0,0
2010-12-29,1.6,1.6,1.55,1.6,0,0
2010-12-30,1.6,1.69,1.55,1.64,0,0
2010-12-31,1.69,1.69,1.69,1.69,0,0
2011-01-03,1.69,1.69,1.6,1.64,0,0
2011-01-04,1.64,1.64,1.6,1.6,0,0
2011-01-05,1.55,1.55,1.51,1.55,0,0
2011-01-07,1.55,1.6,1.46,1.6,0,0
2011-01-10,1.6,1.6,1.46,1.46,0,0
2011-01-11,1.46,1.55,1.42,1.51,0,0
2011-01-12,1.11,1.11,1.07,1.11,0,0
2011-01-13,1.11,1.11,1.02,1.11,0,0
2011-01-14,1.07,1.07,1.02,1.07,0,0
2011-01-17,1.07,1.07,0.98,1.02,0,0
2011-01-18,0.98,0.98,0.89,0.98,0,0
2011-01-19,0.98,0.98,0.89,0.93,0,0
2011-01-20,0.93,0.93,0.84,0.93,0,0
2011-01-21,0.93,0.98,0.93,0.98,0,0
2011-01-24,0.98,0.98,0.84,0.93,0,0
2011-01-25,0.93,0.93,0.84,0.84,0,0
2011-01-26,0.84,0.89,0.84,0.84,0,0
2011-01-27,0.84,0.84,0.84,0.84,0,0
2011-01-28,0.84,0.84,0.84,0.84,0,0
2011-01-31,0.84,0.84,0.8,0.84,0,0
2011-02-01,0.84,0.89,0.8,0.89,0,0
2011-02-02,0.84,0.89,0.8,0.89,0,0
2011-02-03,0.84,0.89,0.8,0.89,0,0
2011-02-04,0.89,0.89,0.8,0.8,0,0
2011-02-07,0.8,0.89,0.8,0.89,0,0
2011-02-08,0.84,0.89,0.8,0.84,0,0
2011-02-09,0.84,0.84,0.8,0.8,0,0
2011-02-10,0.84,0.89,0.8,0.8,0,0
2011-02-11,0.8,0.84,0.8,0.84,0,0
2011-02-14,0.84,0.84,0.8,0.84,0,0
2011-02-15,0.8,0.84,0.75,0.8,0,0
2011-02-16,0.67,0.8,0.67,0.72,0,0
2011-02-17,0.72,0.72,0.68,0.68,0,0
2011-02-18,0.72,0.72,0.72,0.72,0,0
