Date,Open,High,Low,Close,Volume,OpenInt
2011-08-18,9.4938,9.4938,9.4938,9.4938,0,0
2011-08-19,9.68,9.68,9.0285,9.0285,0,0
2011-08-22,9.68,9.68,8.7492,8.8423,0,0
2011-08-23,9.68,9.68,9.1215,9.4008,0,0
2011-08-24,9.68,9.68,9.4008,9.4008,0,0
2011-08-25,9.68,10.89,9.68,10.052,0,0
2011-08-26,10.89,10.89,10.332,10.332,0,0
2011-08-29,10.89,10.89,10.797,10.797,0,0
2011-08-30,10.89,10.89,10.611,10.611,0,0
2011-08-31,10.89,10.89,9.68,9.68,0,0
2011-09-01,9.4008,9.4008,7.6323,9.3077,0,0
2011-09-02,8.9354,9.0285,8.9354,8.9354,0,0
2011-09-05,9.4938,9.587,9.4938,9.587,0,0
2011-09-06,9.587,9.587,8.8423,8.8423,0,0
2011-09-07,9.1215,9.1215,8.47,8.47,0,0
2011-09-08,9.4008,9.4008,7.9115,7.9115,0,0
2011-09-09,9.4008,9.4008,7.6323,7.9115,0,0
2011-09-12,9.0285,9.0285,8.47,8.47,0,0
2011-09-13,9.0285,9.0285,7.9115,8.8423,0,0
2011-09-14,8.8423,8.8423,8.8423,8.8423,0,0
2011-09-15,8.8423,8.8423,8.8423,8.8423,0,0
2011-09-16,8.8423,8.8423,7.6323,8.8423,0,0
2011-09-19,8.8423,8.8423,8.8423,8.8423,0,0
2011-09-20,8.8423,8.8423,6.9808,6.9808,0,0
2011-09-21,8.3769,8.3769,6.3292,6.7015,0,0
2011-09-22,8.0046,8.0046,7.9115,7.9115,0,0
2011-09-23,8.8423,8.8423,7.26,7.6323,0,0
2011-09-26,8.8423,8.8423,8.8423,8.8423,0,0
2011-09-27,8.8423,8.8423,8.8423,8.8423,0,0
2011-09-28,7.9115,8.8423,6.7015,8.7492,0,0
2011-09-29,8.47,8.47,8.47,8.47,0,0
2011-09-30,8.47,8.47,6.9808,8.3769,0,0
2011-10-03,8.47,8.47,8.47,8.47,0,0
2011-10-04,8.2838,8.2838,8.2838,8.2838,0,0
2011-10-05,8.47,8.47,8.47,8.47,0,0
2011-10-06,8.2838,8.2838,8.2838,8.2838,0,0
2011-10-07,8.2838,8.2838,8.2838,8.2838,0,0
2011-10-10,7.8185,7.8185,7.8185,7.8185,0,0
2011-10-11,8.3769,9.959,6.5154,9.959,0,0
2011-10-12,9.587,9.587,9.587,9.587,0,0
2011-10-13,10.983,10.983,10.332,10.332,0,0
2011-10-14,10.983,10.983,9.4938,10.239,0,0
2011-10-17,10.239,10.239,10.239,10.239,0,0
2011-10-18,9.4008,9.4008,8.0046,8.8423,0,0
2011-10-19,8.0046,10.332,8.0046,10.332,0,0
2011-10-20,10.052,10.052,10.052,10.052,0,0
2011-10-21,10.052,10.052,8.0046,9.4938,0,0
2011-10-24,9.866,9.866,7.9115,7.9115,0,0
2011-10-25,7.6323,9.2146,7.5392,7.5392,0,0
2011-10-26,8.8423,8.8423,8.2838,8.2838,0,0
2011-10-27,8.9354,8.9354,8.1908,8.5631,0,0
2011-10-28,7.9115,8.0046,7.8185,8.0046,0,0
2011-10-31,8.0046,8.0046,6.7015,6.8877,0,0
2011-11-02,6.8877,6.8877,6.8877,6.8877,0,0
2011-11-03,8.2838,8.2838,6.8877,6.8877,0,0
2011-11-04,8.0046,8.2838,6.7015,8.1908,0,0
2011-11-07,8.1908,8.1908,7.9115,7.9115,0,0
2011-11-08,8.9354,8.9354,7.1669,8.2838,0,0
2011-11-09,8.2838,8.2838,6.7015,6.9808,0,0
2011-11-10,7.8185,7.8185,6.7015,7.4462,0,0
2011-11-14,7.5392,7.5392,7.5392,7.5392,0,0
2011-11-15,7.5392,7.8185,7.0738,7.5392,0,0
2011-11-16,6.7946,7.9115,6.7946,7.9115,0,0
2011-11-17,8.0046,8.0046,7.0738,8.0046,0,0
2011-11-18,8.0046,8.0046,6.9808,8.0046,0,0
2011-11-21,6.9808,8.0046,6.9808,8.0046,0,0
2011-11-22,7.1669,8.0046,5.2123,5.2123,0,0
2011-11-23,6.2362,6.2362,5.2123,6.1431,0,0
2011-11-24,6.2362,6.2362,5.2123,5.7708,0,0
2011-11-25,6.8877,6.8877,5.7708,6.7946,0,0
2011-11-28,5.3985,5.3985,5.3985,5.3985,0,0
2011-11-29,6.2362,6.2362,5.7708,5.7708,0,0
2011-11-30,6.2362,6.2362,5.2123,6.2362,0,0
2011-12-01,6.2362,6.2362,6.05,6.05,0,0
2011-12-02,6.05,6.05,5.4915,6.05,0,0
2011-12-05,6.05,6.05,6.05,6.05,0,0
2011-12-06,5.2123,5.2123,5.2123,5.2123,0,0
2011-12-07,6.05,6.05,5.2123,5.4915,0,0
2011-12-08,5.7708,5.7708,5.7708,5.7708,0,0
2011-12-09,5.3054,5.3054,4.4677,5.3054,0,0
2011-12-12,5.2123,5.2123,4.4677,5.2123,0,0
2011-12-13,5.2123,5.2123,5.2123,5.2123,0,0
2011-12-14,5.2123,5.2123,4.4677,4.7469,0,0
2011-12-15,4.7469,4.7469,4.7469,4.7469,0,0
2011-12-16,4.7469,4.7469,4.4677,4.5608,0,0
2011-12-19,4.6538,4.7469,4.6538,4.7469,0,0
2011-12-20,4.7469,4.7469,4.6538,4.6538,0,0
2011-12-21,4.6538,4.6538,4.6538,4.6538,0,0
2011-12-22,4.6538,4.6538,3.8162,4.6538,0,0
2011-12-23,4.5608,4.5608,4.5608,4.5608,0,0
2011-12-27,4.5608,4.5608,4.3746,4.5608,0,0
2011-12-28,4.3746,4.3746,3.4438,4.0023,0,0
2011-12-29,4.0954,4.5608,3.3508,4.5608,0,0
2011-12-30,4.5608,4.5608,4.4677,4.4677,0,0
2012-01-02,4.5608,4.5608,4.4677,4.4677,0,0
2012-01-03,4.5608,4.5608,4.1885,4.5608,0,0
2012-01-04,3.7231,4.4677,3.7231,4.4677,0,0
2012-01-05,4.5608,4.5608,3.7231,4.4677,0,0
2012-01-09,4.4677,4.4677,3.63,4.4677,0,0
2012-01-10,4.4677,4.4677,3.7231,4.4677,0,0
2012-01-11,3.7231,4.4677,3.7231,4.4677,0,0
2012-01-12,4.4677,4.4677,4.4677,4.4677,0,0
2012-01-13,4.4677,4.4677,3.5369,4.4677,0,0
2012-01-16,4.4677,4.4677,3.8162,4.4677,0,0
2012-01-17,4.4677,4.4677,3.9092,4.4677,0,0
2012-01-18,4.4677,4.4677,3.9092,4.4677,0,0
2012-01-19,4.3746,4.5608,3.8162,4.4677,0,0
2012-01-20,4.4677,4.84,4.4677,4.84,0,0
2012-01-23,4.84,4.84,4.7469,4.84,0,0
2012-01-24,4.84,4.84,4.6538,4.84,0,0
2012-01-25,4.84,4.84,4.7469,4.7469,0,0
2012-01-26,4.9331,4.9331,4.9331,4.9331,0,0
2012-01-27,4.9331,4.9331,4.7469,4.9331,0,0
2012-01-30,4.9331,4.9331,4.84,4.84,0,0
2012-01-31,4.84,4.9331,4.6538,4.9331,0,0
2012-02-01,4.9331,5.2123,4.4677,5.1192,0,0
2012-02-02,5.2123,5.2123,5.1192,5.1192,0,0
2012-02-03,5.2123,5.2123,5.1192,5.1192,0,0
2012-02-06,5.1192,5.1192,4.1885,4.6538,0,0
2012-02-07,5.1192,5.1192,4.2815,4.5608,0,0
2012-02-08,5.1192,5.1192,4.6538,4.9331,0,0
2012-02-09,4.9331,5.7708,4.9331,5.7708,0,0
2012-02-10,5.7708,6.3292,5.4915,6.2362,0,0
2012-02-13,6.2362,6.6085,5.9569,6.6085,0,0
