Date,Open,High,Low,Close,Volume,OpenInt
2014-08-21,4.34,4.34,4.34,4.34,0,0
2014-08-22,4.45,4.45,3.83,4.2,0,0
2014-08-25,4.14,4.14,3.33,3.66,0,0
2014-08-26,3.35,3.35,2.85,2.87,0,0
2014-08-27,2.85,3.41,2.82,2.82,0,0
2014-08-28,2.82,3.1,2.82,2.93,0,0
2014-08-29,2.9,2.9,2.73,2.73,0,0
2014-09-01,2.73,2.73,2.25,2.25,0,0
2014-09-02,2.31,2.76,2.31,2.76,0,0
2014-09-03,2.76,2.85,2.37,2.85,0,0
2014-09-04,2.85,2.96,2.85,2.96,0,0
2014-09-05,2.82,3.1,2.82,3.1,0,0
2014-09-08,2.99,3.18,2.65,2.65,0,0
2014-09-09,2.73,3.16,2.45,2.9,0,0
2014-09-10,2.9,2.9,2.37,2.54,0,0
2014-09-11,2.4,2.4,2.37,2.37,0,0
2014-09-12,2.54,3.04,2.54,3.04,0,0
2014-09-15,3.04,3.3,2.54,2.54,0,0
2014-09-16,2.54,2.76,2.54,2.56,0,0
2014-09-17,2.56,2.56,2.56,2.56,0,0
2014-09-18,2.56,2.96,2.56,2.96,0,0
2014-09-19,2.96,3.52,2.85,3.33,0,0
2014-09-22,3.3,3.35,2.99,2.99,0,0
2014-09-23,2.96,2.96,2.82,2.82,0,0
2014-09-24,2.79,2.79,2.54,2.68,0,0
2014-09-25,2.76,2.76,2.76,2.76,0,0
2014-09-30,2.76,3.02,2.76,3.02,0,0
2014-10-02,3.02,3.02,3.02,3.02,0,0
2014-10-03,2.96,2.96,2.96,2.96,0,0
2014-10-06,2.96,2.96,2.96,2.96,0,0
2014-10-07,2.96,2.96,2.96,2.96,0,0
2014-10-08,2.96,2.96,2.96,2.96,0,0
2014-10-09,2.96,2.96,2.96,2.96,0,0
2014-10-10,2.96,2.96,2.68,2.68,0,0
2014-10-13,2.62,2.62,2.45,2.45,0,0
2014-10-14,2.45,2.45,2.45,2.45,0,0
2014-10-16,2.45,2.45,2.45,2.45,0,0
2014-10-22,2.37,2.37,2.17,2.17,0,0
2014-10-23,2.2,2.23,2.17,2.17,0,0
2014-11-03,2.2,2.42,2.2,2.42,0,0
2014-11-04,2.42,2.9,2.42,2.71,0,0
2014-11-05,2.71,2.93,2.71,2.93,0,0
2014-11-06,2.93,2.93,2.62,2.82,0,0
2014-11-07,2.82,2.82,2.54,2.73,0,0
2014-11-12,2.54,2.54,2.31,2.4,0,0
2014-11-18,2.31,2.31,2.2,2.2,0,0
2014-11-20,2.2,2.2,2.17,2.17,0,0
2014-11-21,2.17,2.17,2.17,2.17,0,0
2014-11-24,2.14,2.14,2,2,0,0
2014-11-25,2.03,2.03,2.03,2.03,0,0
2014-11-26,2.03,2.03,2.03,2.03,0,0
2014-12-02,2.09,2.17,2.09,2.11,0,0
2014-12-04,2.2,2.48,2.2,2.48,0,0
2014-12-05,2.45,2.54,2.45,2.54,0,0
2014-12-08,2.54,2.79,2.45,2.73,0,0
2014-12-09,2.73,2.73,2.23,2.51,0,0
2014-12-11,2.54,2.54,2.54,2.54,0,0
2014-12-12,2.54,2.54,2.54,2.54,0,0
2014-12-15,2.54,2.54,2.54,2.54,0,0
2014-12-16,2.54,2.54,2.54,2.54,0,0
2014-12-17,2.54,2.54,2.34,2.34,0,0
2014-12-19,2.31,2.31,2.17,2.17,0,0
2014-12-23,2.25,2.45,2.25,2.45,0,0
2014-12-30,2.45,2.51,2.45,2.51,0,0
2015-01-02,2.51,2.56,2.51,2.56,0,0
2015-01-08,2.37,2.37,2.34,2.34,0,0
2015-01-09,2.34,2.48,2.34,2.48,0,0
2015-01-12,2.48,2.51,2.48,2.51,0,0
2015-01-13,2.28,2.34,2.28,2.34,0,0
2015-01-14,2.4,2.42,2.4,2.42,0,0
2015-01-15,2.42,2.45,2.31,2.31,0,0
2015-01-16,2.34,2.37,2.31,2.31,0,0
2015-01-19,2.31,2.34,2.31,2.34,0,0
2015-01-20,2.31,2.31,2.31,2.31,0,0
2015-01-23,2.31,2.37,2.31,2.37,0,0
2015-01-26,2.37,2.37,2.37,2.37,0,0
2015-01-27,2.09,2.31,2.09,2.31,0,0
2015-01-28,2.31,2.31,2.06,2.2,0,0
2015-01-29,2.2,2.25,2.2,2.25,0,0
2015-02-02,2.25,2.28,2.25,2.28,0,0
2015-02-03,2.25,2.31,2.25,2.31,0,0
2015-02-04,2.31,2.31,2.31,2.31,0,0
2015-02-05,2.31,2.4,2.31,2.4,0,0
2015-02-06,2.4,2.45,2.4,2.45,0,0
2015-02-09,2.45,2.51,2.45,2.51,0,0
2015-02-10,2.51,2.56,2.51,2.56,0,0
2015-02-11,2.56,2.59,2.56,2.59,0,0
2015-02-12,2.59,2.62,2.59,2.62,0,0
2015-02-13,2.62,2.68,2.62,2.68,0,0
2015-02-16,2.31,2.48,2.31,2.48,0,0
2015-02-17,2.48,2.62,2.48,2.62,0,0
2015-02-18,2.56,2.56,2.56,2.56,0,0
2015-02-19,2.56,2.65,2.56,2.65,0,0
2015-02-20,2.65,2.65,2.48,2.65,0,0
2015-02-23,2.62,2.62,2.37,2.37,0,0
2015-02-24,2.37,2.37,2.03,2.25,0,0
2015-02-25,2.25,2.54,2.25,2.54,0,0
2015-02-26,2.54,2.54,2.54,2.54,0,0
2015-02-27,2.56,2.65,2.56,2.65,0,0
2015-03-02,2.65,2.65,2.4,2.48,0,0
2015-03-03,2.31,2.31,2.25,2.25,0,0
2015-03-04,2.34,2.94,2.34,2.94,0,0
2015-03-05,2.94,3.01,2.94,3.01,0,0
2015-03-06,3.01,3.32,3.01,3.32,0,0
2015-03-09,3.25,3.25,3.21,3.25,0,0
2015-03-10,3.25,3.25,3.25,3.25,0,0
2015-03-11,3.25,3.25,3.14,3.14,0,0
2015-03-12,3.14,3.25,3.14,3.25,0,0
2015-03-13,3.25,3.25,3.01,3.01,0,0
2015-03-16,2.84,3.21,2.84,3.21,0,0
2015-03-17,3.21,3.21,3.21,3.21,0,0
2015-03-18,3.21,3.21,3.21,3.21,0,0
2015-03-19,3.21,3.21,3.21,3.21,0,0
2015-03-20,3.21,3.21,3.21,3.21,0,0
2015-03-23,3.21,3.25,3.21,3.25,0,0
2015-03-24,3.25,3.25,3.21,3.25,0,0
2015-03-25,3.25,3.25,3.21,3.21,0,0
2015-03-26,3.21,3.21,3.21,3.21,0,0
2015-04-02,3.21,3.21,3.21,3.21,0,0
2015-04-08,3.08,3.08,2.73,2.94,0,0
2015-04-10,2.94,2.97,2.94,2.97,0,0
2015-04-21,2.97,3.01,2.97,3.01,0,0
2015-04-24,3.01,3.01,3.01,3.01,0,0
2015-04-27,3.01,3.01,3.01,3.01,0,0
2015-04-28,3.01,3.01,3.01,3.01,0,0
2015-04-29,3.01,3.01,3.01,3.01,0,0
2015-04-30,3.01,3.04,3.01,3.04,0,0
2015-05-05,3.04,3.18,3.04,3.18,0,0
2015-05-07,3.14,3.14,3.14,3.14,0,0
2015-05-08,3.14,3.14,3.14,3.14,0,0
2015-05-11,3.14,3.14,3.14,3.14,0,0
2015-05-12,3.14,3.14,3.14,3.14,0,0
2015-05-13,3.14,3.14,3.14,3.14,0,0
2015-05-14,3.14,3.14,3.11,3.14,0,0
2015-05-15,3.14,3.14,3.14,3.14,0,0
2015-05-18,3.14,3.14,2.53,3.01,0,0
2015-05-19,2.67,2.77,2.29,2.77,0,0
2015-05-20,2.73,2.77,2.73,2.77,0,0
2015-05-21,2.73,2.77,2.73,2.77,0,0
2015-05-22,2.77,2.77,2.46,2.46,0,0
2015-05-25,2.56,2.63,2.56,2.63,0,0
2015-05-27,2.63,2.67,2.22,2.29,0,0
2015-05-28,2.05,2.36,2.05,2.12,0,0
2015-05-29,2.15,2.7,2.15,2.7,0,0
2015-06-01,2.77,3.9,2.77,3.9,0,0
2015-06-02,3.83,3.83,3.83,3.83,0,0
2015-06-03,3.79,3.79,3.08,3.62,0,0
2015-06-05,3.62,3.62,3.62,3.62,0,0
2015-06-08,3.59,3.59,3.59,3.59,0,0
2015-06-09,3.73,3.73,3.08,3.69,0,0
2015-06-10,3.66,3.66,3.66,3.66,0,0
2015-06-11,3.66,4.38,3.18,4.1,0,0
2015-06-12,3.83,3.83,3.14,3.49,0,0
2015-06-15,3.45,3.83,3.45,3.83,0,0
2015-06-16,3.73,3.79,3.08,3.79,0,0
2015-06-17,3.76,3.96,3.76,3.96,0,0
2015-06-18,3.96,4.38,3.32,3.96,0,0
2015-06-19,3.93,3.93,3.21,3.21,0,0
2015-06-22,3.08,3.35,3.08,3.35,0,0
2015-06-23,3.35,3.73,3.35,3.73,0,0
2015-06-24,3.73,3.73,3.01,3.01,0,0
2015-06-25,2.97,2.97,2.77,2.91,0,0
2015-06-26,2.91,3.21,2.73,3.18,0,0
2015-06-29,3.14,3.14,3.14,3.14,0,0
2015-06-30,3.18,3.38,2.77,2.77,0,0
2015-07-01,2.77,2.77,2.56,2.56,0,0
2015-07-02,2.5,2.5,1.98,1.98,0,0
2015-07-03,2.08,2.15,2.08,2.15,0,0
2015-07-06,2.19,2.32,2.19,2.32,0,0
2015-07-07,2.19,2.19,1.78,1.78,0,0
2015-07-08,1.78,1.88,1.78,1.88,0,0
2015-07-10,1.78,2.02,1.5,2.02,0,0
2015-07-14,1.81,1.98,1.67,1.98,0,0
2015-07-15,2.02,2.02,2.02,2.02,0,0
2015-07-20,2.19,2.63,2.19,2.63,0,0
2015-07-21,2.36,2.36,2.29,2.29,0,0
2015-07-22,2.29,2.29,2.29,2.29,0,0
2015-07-23,2.46,2.56,2.32,2.39,0,0
2015-07-24,2.32,2.6,2.32,2.6,0,0
2015-07-27,2.39,2.39,2.39,2.39,0,0
2015-07-31,2.29,2.29,2.22,2.22,0,0
2015-08-05,2.15,2.15,2.12,2.12,0,0
2015-08-07,2.12,2.12,2.12,2.12,0,0
2015-08-10,2.12,2.39,2.12,2.39,0,0
2015-08-12,2.36,2.36,2.05,2.08,0,0
2015-08-13,2.08,2.08,2.08,2.08,0,0
2015-08-14,2.08,2.08,2.05,2.05,0,0
2015-08-17,2.12,2.19,2.12,2.19,0,0
2015-08-18,2.19,2.19,2.19,2.19,0,0
2015-08-19,2.19,2.19,1.91,2.19,0,0
2015-08-20,2.19,2.26,2.15,2.26,0,0
2015-08-21,2.26,2.63,2.26,2.63,0,0
2015-08-25,2.6,2.6,2.6,2.6,0,0
2015-08-26,2.56,2.6,2.22,2.22,0,0
2015-08-28,2.39,2.7,2.39,2.7,0,0
2015-09-01,2.6,2.7,2.6,2.7,0,0
2015-09-02,2.7,2.7,2.32,2.32,0,0
2015-09-03,2.43,2.5,2.43,2.5,0,0
2015-09-09,2.5,2.5,2.5,2.5,0,0
2015-09-14,2.5,2.53,2.5,2.53,0,0
2015-09-15,2.53,2.6,2.22,2.6,0,0
2015-09-16,2.56,2.56,2.56,2.56,0,0
2015-09-17,2.56,2.56,2.26,2.26,0,0
2015-09-21,2.39,2.53,2.39,2.53,0,0
2015-09-22,2.46,2.46,2.46,2.46,0,0
2015-09-23,2.46,2.46,2.19,2.46,0,0
2015-09-24,2.46,2.46,2.46,2.46,0,0
2015-09-25,2.46,2.46,2.46,2.46,0,0
2015-09-28,2.46,2.46,2.19,2.39,0,0
2015-09-30,2.12,2.46,2.08,2.46,0,0
2015-10-01,2.36,2.36,1.95,1.95,0,0
2015-10-07,2.12,2.26,2.12,2.26,0,0
2015-10-08,2.26,2.36,2.26,2.36,0,0
2015-10-13,2.36,2.39,2.36,2.39,0,0
2015-10-14,2.39,2.43,2.39,2.43,0,0
2015-10-15,2.43,2.46,2.43,2.46,0,0
2015-10-16,2.46,2.46,2.46,2.46,0,0
2015-10-19,2.46,2.46,2.46,2.46,0,0
2015-10-20,2.46,2.46,2.46,2.46,0,0
