Date,Open,High,Low,Close,Volume,OpenInt
1998-01-21,12.11,12.801,12.11,12.801,288,0
1998-01-23,12.451,12.451,12.451,12.451,145,0
1998-01-27,12.451,12.451,12.451,12.451,288,0
1998-01-30,12.451,12.451,12.451,12.451,578,0
1998-02-04,12.451,12.451,12.451,12.451,433,0
1998-03-10,12.594,12.594,12.594,12.594,14,0
1998-03-16,11.623,11.623,11.623,11.623,145,0
1998-03-18,11.487,11.487,11.487,11.487,71,0
1998-03-23,11.487,11.487,11.487,11.487,58,0
1998-03-25,12.316,12.316,12.316,12.316,71,0
1998-04-01,11.345,11.345,11.345,11.345,288,0
1998-04-29,12.038,12.038,12.038,12.038,71,0
1998-04-30,12.038,12.038,12.038,12.038,71,0
1998-06-02,11.075,11.075,11.075,11.075,145,0
1998-06-15,10.931,10.931,10.931,10.931,58,0
1998-06-17,10.795,10.795,10.724,10.724,288,0
1998-06-18,10.724,10.724,10.724,10.724,145,0
1998-06-24,10.446,10.446,10.381,10.381,281,0
1998-07-09,10.724,10.724,10.724,10.724,288,0
1998-08-28,11.075,11.075,10.724,10.724,540,0
1998-08-31,10.724,10.724,10.724,10.724,102,0
1998-09-01,9.688,9.688,9.688,9.688,13,0
1998-09-14,9.688,9.688,9.688,9.688,145,0
1998-10-22,6.9183,6.9183,6.9183,6.9183,288,0
1998-11-26,8.3035,8.3035,8.3035,8.3035,145,0
1998-11-27,8.3035,8.3035,8.3035,8.3035,145,0
1998-11-30,8.3035,8.3035,8.3035,8.3035,145,0
1998-12-17,8.3035,8.3035,8.3035,8.3035,145,0
1998-12-18,8.3035,8.3035,8.3035,8.3035,145,0
1998-12-30,8.3035,8.3035,8.3035,8.3035,145,0
1999-01-20,7.6106,7.6106,7.6106,7.6106,71,0
1999-01-25,6.9897,6.9897,6.9897,6.9897,71,0
1999-01-26,6.9897,6.9897,6.9897,6.9897,71,0
1999-02-01,6.9183,6.9183,6.9183,6.9183,288,0
1999-02-04,6.1543,6.2259,6.1543,6.2259,80,0
1999-02-05,6.1543,6.2259,6.1543,6.2259,80,0
1999-05-24,7.7468,8.2318,7.7468,8.2318,288,0
1999-05-26,8.581,8.581,8.581,8.581,145,0
1999-06-21,6.9183,6.9183,6.9183,6.9183,108,0
1999-06-22,6.5757,6.5757,6.5757,6.5757,100,0
1999-08-05,6.9183,6.9183,6.9183,6.9183,1443,0
1999-09-06,7.2681,7.2681,7.2681,7.2681,71,0
1999-10-29,5.5333,5.5333,5.5333,5.5333,71,0
1999-11-05,5.5333,5.5333,5.5333,5.5333,145,0
1999-11-09,5.5333,5.5333,5.5333,5.5333,145,0
1999-11-23,5.7403,5.7403,5.7403,5.7403,71,0
1999-11-25,7.6106,7.6106,7.6106,7.6106,100,0
1999-11-26,6.9183,6.9183,6.9183,6.9183,145,0
1999-12-01,6.5757,6.5757,6.5757,6.5757,145,0
1999-12-16,5.5333,5.5333,5.5333,5.5333,54,0
1999-12-17,8.3035,8.3035,8.3035,8.3035,54,0
2000-01-05,5.5333,5.5333,5.5333,5.5333,11,0
2000-01-14,6.2259,6.2259,6.2259,6.2259,764,0
2000-01-17,6.2259,6.2259,6.2259,6.2259,84,0
2000-01-24,6.2259,6.2259,6.2259,6.2259,1309,0
2000-01-25,6.2259,8.3035,6.2259,8.3035,42,0
2000-01-31,6.2259,6.2259,6.2259,6.2259,145,0
2000-02-01,6.2259,6.2259,6.2259,6.2259,259,0
2000-02-03,6.5757,6.5757,6.5757,6.5757,145,0
2000-02-04,6.4328,6.5757,6.4328,6.5757,637,0
2000-02-07,6.8184,6.8184,6.8184,6.8184,288,0
2000-02-08,6.2259,6.9183,6.2259,6.9183,925,0
2000-02-09,7.4752,7.4752,7.4752,7.4752,100,0
2000-02-16,7.4752,7.4752,7.4752,7.4752,84,0
2000-02-22,7.3329,7.3329,7.3329,7.3329,71,0
2000-02-23,6.9897,6.9897,6.9897,6.9897,145,0
2000-02-25,6.9897,6.9897,6.9897,6.9897,100,0
2000-02-29,7.2681,7.2681,7.2681,7.2681,573,0
2000-03-02,6.9897,6.9897,6.9897,6.9897,42,0
2000-03-03,5.5333,5.5333,5.5333,5.5333,12,0
2000-03-06,8.2318,8.9961,6.9183,6.9183,433,0
2000-03-07,6.9183,6.9183,6.9183,6.9183,71,0
2000-03-10,6.6399,6.6399,6.6399,6.6399,606,0
2000-03-13,6.2259,6.2259,6.2259,6.2259,12,0
2000-03-23,6.9183,6.9183,6.9183,6.9183,142,0
2000-03-29,6.9183,6.9183,6.9183,6.9183,288,0
2000-03-30,6.9183,6.9183,6.9183,6.9183,14,0
2000-03-31,6.5757,6.5757,6.5757,6.5757,21,0
2000-04-03,7.1967,7.1967,7.1967,7.1967,28,0
2000-04-07,6.2259,6.2259,6.2259,6.2259,14,0
2000-05-16,6.2259,6.8468,6.2259,6.8468,288,0
2000-05-18,6.0902,6.0902,6.0902,6.0902,28,0
2000-05-22,5.1906,6.5757,5.1906,6.5757,152,0
2000-05-25,7.6106,7.6106,7.6106,7.6106,42,0
2000-05-26,6.5757,6.5757,6.5757,6.5757,145,0
2000-05-30,5.8831,5.8831,5.8831,5.8831,42,0
2000-06-20,5.8831,6.2259,5.8831,6.2259,334,0
2000-06-26,5.5333,5.5333,5.5333,5.5333,58,0
2000-06-27,5.5333,5.5333,5.5333,5.5333,58,0
2000-06-30,5.5333,5.5333,5.5333,5.5333,20,0
2000-07-03,5.8831,5.8831,5.8831,5.8831,578,0
2000-07-18,5.1906,5.1906,5.1906,5.1906,58,0
2000-07-21,5.5333,5.5333,5.5333,5.5333,74,0
2000-07-25,5.3975,5.3975,5.3975,5.3975,115,0
2000-07-26,5.2547,5.2547,5.2547,5.2547,115,0
2000-08-21,4.8407,4.8407,4.8407,4.8407,14,0
2000-08-25,5.1906,5.9474,5.1906,5.9474,3910,0
2000-09-13,4.8407,4.8407,4.8407,4.8407,288,0
2000-10-04,5.1906,5.1906,5.1906,5.1906,145,0
2000-10-24,5.5333,5.5333,5.5333,5.5333,9375,0
2000-10-31,5.6761,5.6761,5.5333,5.5333,17169,0
2000-11-13,5.5333,5.5333,5.5333,5.5333,14,0
2000-11-20,5.5333,5.7403,5.5333,5.7403,318,0
2000-11-21,5.8117,5.8117,5.8117,5.8117,86,0
2000-11-29,5.7403,5.7403,5.7403,5.7403,172,0
2000-12-18,4.2196,4.2196,4.2196,4.2196,28,0
2000-12-19,4.498,4.498,4.498,4.498,14,0
2000-12-22,4.9835,5.3975,4.9835,5.3975,42,0
2000-12-28,4.1481,4.1481,4.1481,4.1481,100,0
2000-12-29,4.1481,4.1838,4.1481,4.1838,158,0
2001-01-02,4.1481,4.1838,4.1481,4.1838,446,0
2001-01-03,3.9411,3.9411,3.9411,3.9411,4,0
2001-01-04,4.1838,4.1838,4.1838,4.1838,132,0
2001-01-16,4.7765,4.7765,4.7765,4.7765,14,0
2001-02-08,3.9411,3.9411,3.9411,3.9411,130,0
2001-02-09,3.9411,3.9411,3.9411,3.9411,20,0
2001-02-12,4.1838,4.1838,4.1481,4.1481,637,0
2001-02-13,3.9411,3.9411,3.3198,3.5984,911,0
2001-02-21,3.8055,3.8055,3.8055,3.8055,158,0
2001-02-22,3.6341,3.6341,3.6341,3.6341,117,0
2001-02-23,3.8055,3.8055,3.6341,3.6341,357,0
2001-03-05,3.8055,3.8055,3.8055,3.8055,84,0
2001-03-09,5.5333,5.5333,5.5333,5.5333,145,0
2001-03-21,4.1481,4.1481,4.1481,4.1481,189,0
2001-03-27,5.6761,5.6761,5.6761,5.6761,71,0
2001-04-05,5.8831,5.8831,5.8831,5.8831,189,0
2001-04-26,4.1481,4.1481,4.1481,4.1481,158,0
2001-04-27,4.8407,4.8407,4.8407,4.8407,274,0
2001-05-02,5.8831,5.8831,5.8831,5.8831,192,0
2001-05-04,4.8407,6.1259,4.8407,6.1259,133,0
2001-05-07,4.8407,5.3975,4.8407,4.8407,747,0
2001-05-08,4.8407,4.8407,4.8407,4.8407,172,0
2001-05-09,4.8407,4.8407,4.8407,4.8407,234,0
2001-05-11,4.9835,4.9835,3.1842,3.1842,625,0
2001-05-14,3.5984,3.5984,3.5984,3.5984,42,0
2001-05-16,4.1481,5.1906,4.1481,5.1906,679,0
2001-05-21,3.22,3.22,3.1842,3.1842,232,0
2001-05-23,3.22,3.22,3.22,3.22,13,0
2001-05-29,3.22,3.22,3.22,3.22,84,0
2001-06-04,3.22,3.22,3.22,3.22,84,0
2001-06-05,3.1129,3.22,2.7702,2.7702,794,0
2001-06-06,3.1842,3.1842,3.1842,3.1842,189,0
2001-06-13,2.9059,2.9059,2.9059,2.9059,42,0
2001-06-15,2.9059,2.9059,2.9059,2.9059,201,0
2001-06-18,2.9059,2.9059,2.9059,2.9059,318,0
2001-06-19,2.9059,2.9059,2.9059,2.9059,71,0
2001-06-22,2.7702,2.7702,2.7702,2.7702,42,0
2001-06-25,2.7702,2.7702,2.7702,2.7702,42,0
2001-06-29,2.7702,2.7702,2.7702,2.7702,201,0
2001-07-02,2.7702,2.7702,2.7702,2.7702,84,0
2001-07-03,2.7702,2.7702,2.7702,2.7702,14,0
2001-07-09,2.4205,2.4205,2.4205,2.4205,14,0
2001-07-10,2.4561,2.4561,2.4561,2.4561,145,0
2001-07-18,2.6989,2.6989,2.6989,2.6989,130,0
2001-07-19,2.6273,2.6273,2.4918,2.4918,1285,0
2001-07-26,2.0776,2.4918,2.0776,2.4918,58,0
2001-08-01,2.0776,2.0776,2.0776,2.0776,42,0
2001-08-08,1.7278,1.7278,1.7278,1.7278,14,0
2001-08-10,1.7635,1.7635,1.7278,1.7278,37,0
2001-08-14,1.9348,1.9348,1.9348,1.9348,201,0
2001-08-16,1.8349,1.8349,1.8349,1.8349,42,0
2001-08-21,3.4628,3.4628,3.4628,3.4628,28,0
2001-08-30,2.0776,2.142,2.0776,2.142,115,0
2001-08-31,2.7702,3.5984,2.7702,3.5984,592,0
2001-09-04,2.0776,2.0776,2.0776,2.0776,4,0
2001-09-14,2.5631,2.5631,2.5631,2.5631,42,0
2001-09-19,3.734,3.734,3.734,3.734,130,0
2001-09-20,3.0414,3.0414,3.0414,3.0414,100,0
2001-09-21,3.734,3.734,3.734,3.734,243,0
2001-09-24,3.8055,3.8055,3.734,3.734,42,0
2001-09-25,3.734,3.734,3.734,3.734,130,0
2001-09-26,3.8055,3.8055,3.8055,3.8055,100,0
2001-09-28,3.8055,3.8768,3.8055,3.8768,578,0
2001-10-01,4.1481,4.1481,4.1481,4.1481,158,0
2001-10-02,4.0127,4.1481,4.0127,4.1481,158,0
