Date,Open,High,Low,Close,Volume,OpenInt
2012-06-08,13.81,14,13,14,966,0
2012-06-11,13,14,13,14,7,0
2012-06-12,14,15,14,15,79,0
2012-06-15,15,15.5,15,15.5,55,0
2012-06-20,15.5,16,15.5,16,20,0
2012-06-21,15,15,14.7,14.7,20,0
2012-06-22,15.1,15.1,15.1,15.1,1,0
2012-06-29,15.1,15.1,15.1,15.1,9,0
2012-07-12,15.1,15.4,15.1,15.4,25,0
2012-07-23,15.4,15.4,15.4,15.4,9,0
2012-08-16,15.5,15.7,15.5,15.7,50,0
2012-08-30,15.7,15.7,15.7,15.7,1,0
2012-09-13,15.7,15.7,15.7,15.7,7,0
2012-10-04,15.7,15.7,15.5,15.5,21,0
2012-10-05,15.5,15.5,15.5,15.5,1,0
2012-10-08,15.5,15.5,15.35,15.35,2,0
2012-10-09,15.35,15.35,15.35,15.35,1,0
2012-10-10,15.35,15.35,15.35,15.35,1,0
2012-10-11,15.35,15.35,15.35,15.35,1,0
2012-10-12,15.35,15.35,15.35,15.35,2,0
2012-10-15,15.5,15.5,12.5,12.5,9991,0
2012-10-16,15.5,15.5,15.5,15.5,315,0
2012-10-17,16,16.34,16,16.34,11,0
2012-10-18,15.25,15.25,15.2,15.2,110,0
2012-10-23,15,15,14.42,14.42,116,0
2012-11-19,14,14,13.55,13.55,127,0
2012-11-22,13.6,13.6,13.6,13.6,10,0
2012-11-23,13.5,13.5,13.5,13.5,5,0
2012-11-30,13.2,13.2,13.2,13.2,5,0
2012-12-03,13.1,13.1,13.1,13.1,1,0
2012-12-10,13.58,13.58,13.58,13.58,20,0
2012-12-14,13.58,13.58,13.58,13.58,23,0
2013-01-02,13.58,13.58,13.58,13.58,80,0
2013-01-11,13.58,14,13.58,14,1607,0
2013-01-14,14,14,14,14,5,0
2013-01-25,14,14.2,14,14.2,2112,0
2013-02-06,14.2,14.4,14.2,14.2,1720,0
2013-02-07,14.4,14.4,14.4,14.4,2,0
2013-02-08,14,14,13.77,13.77,120,0
2013-02-13,13.85,13.85,13.85,13.85,15,0
2013-02-14,14,14,14,14,110,0
2013-02-15,13.9,13.9,13.9,13.9,110,0
2013-02-18,14.1,14.1,14.1,14.1,1,0
2013-02-21,13.5,13.5,13.12,13.12,135,0
2013-04-02,13,13,12.8,12.8,15,0
2013-04-04,12.95,13.25,12.95,13.25,6,0
2013-04-08,13.13,13.13,12.33,12.57,141,0
2013-05-13,12,12,11.69,11.77,153,0
2013-05-14,11.77,11.77,11.77,11.77,21,0
2013-06-13,11.77,11.77,11.77,11.77,1,0
2013-06-17,11.8,11.8,11.8,11.8,1000,0
2013-06-26,11.85,11.85,11.85,11.85,1,0
2013-08-13,11.85,11.85,11.85,11.85,9,0
2013-09-02,11.85,12,11.85,12,200,0
2013-09-20,12.14,12.14,12.14,12.14,1,0
2013-11-27,12.14,12.3,12.14,12.3,126,0
2013-12-04,12.15,12.15,11.9,11.9,125,0
2013-12-06,12.04,12.04,12.04,12.04,1,0
2013-12-11,12.04,13.7,12.04,13.7,369,0
2013-12-12,14.2,15,14.2,15,30,0
2013-12-17,14.5,14.5,14.3,14.3,20,0
2013-12-18,14.8,14.8,14.8,14.8,20,0
2013-12-19,14.75,14.75,14,14,105,0
2013-12-20,13.9,13.9,13.9,13.9,2,0
2013-12-23,13.9,13.9,13.9,13.9,211,0
2014-01-20,13.8,13.8,13.4,13.4,130,0
2014-02-10,13.55,13.55,13.55,13.55,5,0
2014-02-11,13.55,13.55,13.55,13.55,2,0
2014-02-12,13.55,13.55,13.55,13.55,3,0
2014-02-13,13.55,13.55,13.55,13.55,2,0
2014-02-14,13.55,13.55,13.55,13.55,2,0
2014-02-17,13.55,13.55,13.55,13.55,2,0
2014-02-18,13.55,13.55,13.55,13.55,2,0
2014-02-19,13.55,13.55,13.55,13.55,2,0
2014-02-20,13.55,13.55,13.55,13.55,5,0
2014-02-21,13.55,13.55,13.55,13.55,2,0
2014-02-24,13.55,13.55,13.55,13.55,3,0
2014-02-25,13.55,13.55,13.55,13.55,3,0
2014-02-26,13.55,13.55,13.55,13.55,2,0
2014-02-27,13.55,13.55,13.55,13.55,2,0
2014-02-28,13.55,13.55,13.55,13.55,3,0
2014-03-17,13.55,15,13.55,14.96,6490,0
2014-03-18,14.75,14.75,14.2,14.2,35,0
2014-03-19,14,14,13.85,13.85,30,0
2014-03-24,13.85,13.85,13.7,13.7,120,0
2014-03-25,13.7,15.18,13.7,13.9,8136,0
2014-03-26,14.2,15.18,14.2,15.18,9200,0
2014-03-27,15.15,15.18,15.15,15.18,2509,0
2014-04-03,15.18,15.18,15.18,15.18,2,0
2014-04-04,15.18,15.18,15.18,15.18,9088,0
2014-04-09,15.18,15.18,15.18,15.18,5,0
2014-04-10,15.18,15.18,15.18,15.18,2,0
2014-04-11,15.18,15.18,15.18,15.18,2,0
2014-04-14,15.18,15.18,15.18,15.18,2,0
2014-04-16,15.18,15.18,15.18,15.18,1,0
2014-04-17,15.18,15.18,15.18,15.18,2,0
2014-04-22,15.18,15.18,15.18,15.18,2,0
2014-05-08,15.18,15.18,15.18,15.18,1,0
2014-05-09,15.18,15.18,15.18,15.18,2,0
2014-05-12,15.18,15.18,15.18,15.18,2,0
2014-05-13,15.18,15.18,15.18,15.18,1,0
2014-05-14,15.18,15.18,15.18,15.18,2,0
2014-07-04,15.18,15.18,15.18,15.18,13176,0
2014-07-15,15.18,15.18,15.18,15.18,5,0
2014-07-16,15.18,15.18,15.18,15.18,1,0
2014-07-17,15.18,15.18,15.18,15.18,2,0
2014-07-18,15.18,15.18,15.18,15.18,2,0
2014-07-21,15.18,15.18,15.18,15.18,1,0
2014-07-22,15.18,15.18,15.18,15.18,5,0
2014-07-23,15.18,15.18,15.18,15.18,2,0
