Date,Open,High,Low,Close,Volume,OpenInt
2011-08-26,2.09,2.09,1.7,1.9,48047,0
2011-08-29,1.77,1.87,1.52,1.64,7590,0
2011-08-30,1.6,1.6,1.55,1.55,505,0
2011-08-31,1.45,1.59,1.38,1.59,5120,0
2011-09-01,1.4,1.5,1.3,1.41,3863,0
2011-09-02,1.35,1.35,1.25,1.25,3710,0
2011-09-06,1.1,1.15,1,1.1,11950,0
2011-09-08,0.97,0.97,0.88,0.91,5772,0
2011-09-09,0.85,1,0.77,0.87,9385,0
2011-09-12,0.86,0.86,0.7,0.8,9370,0
2011-09-14,0.66,0.68,0.61,0.61,22747,0
2011-09-15,0.56,0.61,0.49,0.5,38779,0
2011-09-16,0.56,0.56,0.45,0.49,61463,0
2011-09-19,0.45,0.53,0.44,0.52,50947,0
2011-09-20,0.55,0.65,0.45,0.58,49360,0
2011-09-21,0.54,0.64,0.54,0.61,9631,0
2011-09-22,0.53,0.56,0.5,0.56,6501,0
2011-09-23,0.51,0.62,0.45,0.62,88268,0
2011-09-26,0.53,0.56,0.51,0.53,13270,0
2011-09-27,0.54,0.59,0.54,0.58,7500,0
2011-09-28,0.56,0.68,0.56,0.68,18121,0
2011-09-29,0.64,0.9,0.64,0.9,18115,0
2011-09-30,0.92,0.93,0.92,0.92,7862,0
2011-10-03,0.84,0.89,0.78,0.83,8650,0
2011-10-04,0.8,0.99,0.8,0.99,3550,0
2011-10-05,1,1,0.85,0.9,3650,0
2011-10-06,0.81,1,0.81,1,3400,0
2011-10-07,0.84,0.98,0.84,0.87,7103,0
2011-10-10,0.96,0.96,0.87,0.92,3400,0
2011-10-11,0.83,0.88,0.83,0.88,3400,0
2011-10-12,0.79,0.99,0.79,0.99,6650,0
2011-10-17,0.85,0.95,0.8,0.95,6750,0
2011-10-18,0.81,0.81,0.81,0.81,999,0
2011-10-19,0.75,0.75,0.75,0.75,3400,0
2011-10-20,0.71,0.76,0.71,0.76,4001,0
2011-10-24,0.67,0.72,0.63,0.68,8620,0
2011-10-25,0.64,0.77,0.61,0.77,17900,0
2011-10-26,0.7,0.82,0.65,0.75,121717,0
2011-10-27,0.68,0.68,0.68,0.68,3700,0
2011-10-28,0.66,0.67,0.66,0.67,51000,0
2011-10-31,0.68,0.75,0.68,0.75,4600,0
2011-11-02,0.71,0.71,0.71,0.71,100,0
2011-11-03,0.74,0.74,0.74,0.74,100,0
2011-11-04,0.76,0.95,0.76,0.95,3500,0
2011-11-08,0.71,0.71,0.71,0.71,4000,0
2011-11-09,0.71,0.89,0.71,0.89,5906,0
2011-11-15,0.71,0.71,0.71,0.71,1199,0
2011-11-16,0.72,0.8,0.72,0.8,3502,0
2011-11-17,0.71,0.71,0.71,0.71,3600,0
2011-11-18,0.71,0.71,0.58,0.69,34098,0
