Date,Open,High,Low,Close,Volume,OpenInt
2011-06-01,6.9558,8.347,6.8664,7.4527,34590,0
2011-06-02,7.2042,7.8998,6.2105,6.449,9369,0
2011-06-03,6.459,6.9061,6.0714,6.459,5779,0
2011-06-06,6.459,6.6478,5.7634,6.6478,1751,0
2011-06-07,6.6478,7.4427,6.1112,6.5583,3692,0
2011-06-08,6.5583,6.608,6.5583,6.608,101,0
2011-06-09,6.6478,6.6478,5.8628,6.459,1218,0
2011-06-10,6.1609,6.1807,6.1609,6.1609,503,0
2011-06-13,6.1609,6.7074,5.664,6.7074,2629,0
2011-06-14,6.7571,6.7571,6.3596,6.5583,73,0
2011-06-15,6.5583,7.4527,6.5583,7.3533,13018,0
2011-06-16,7.3831,7.3831,5.9721,6.7074,1443,0
2011-06-17,6.5981,6.608,6.2105,6.608,570,0
2011-06-20,6.608,6.6378,6.608,6.6378,70,0
2011-06-21,6.7273,7.393,6.7273,6.9558,1544,0
2011-06-22,7.0552,7.0552,6.2602,6.9558,1539,0
2011-06-24,6.9558,6.9558,6.1112,6.9359,453,0
2011-06-27,6.9359,6.9359,5.9621,6.6478,793,0
2011-06-28,6.2105,6.7074,5.9621,6.7074,472,0
2011-06-29,6.7571,6.7571,6.7571,6.7571,20,0
2011-06-30,6.7571,7.0055,6.4093,7.0055,1856,0
2011-07-01,7.0055,7.0055,6.8564,6.8564,40,0
2011-07-04,7.0055,7.0055,6.8564,7.0055,113,0
2011-07-05,7.0055,7.1545,6.8564,7.1049,674,0
2011-07-06,7.1049,7.1049,6.9558,6.9558,45,0
2011-07-07,6.9558,6.9558,6.9558,6.9558,15,0
2011-07-08,6.9558,6.9558,6.9558,6.9558,15,0
2011-07-11,6.7571,6.9558,6.5583,6.5583,382,0
2011-07-12,6.6577,6.9558,6.459,6.8564,236,0
2011-07-13,6.9558,6.9558,6.459,6.8564,489,0
2011-07-14,6.9061,6.9061,6.9061,6.9061,322,0
2011-07-15,6.9558,7.4527,6.7074,7.4527,2223,0
2011-07-18,7.3533,7.3533,7.3533,7.3533,15,0
2011-07-19,7.3533,7.552,7.3036,7.552,81,0
2011-07-20,7.4527,7.4527,7.3533,7.3533,50,0
2011-07-21,7.3036,7.6514,7.3036,7.6514,272,0
2011-07-22,7.7309,7.7309,7.6017,7.6017,282,0
2011-07-25,7.7508,7.7508,7.5023,7.5023,559,0
2011-07-26,7.5023,7.552,7.1049,7.1049,584,0
2011-07-29,7.3036,7.552,7.3036,7.552,503,0
2011-08-02,7.4527,7.4527,7.4527,7.4527,20,0
2011-08-03,7.4527,7.4527,7.2539,7.2539,60,0
2011-08-04,7.2539,7.2539,6.8564,7.2539,193,0
2011-08-05,6.8564,7.2539,6.8564,7.2539,35,0
2011-08-08,6.3695,7.403,6.3695,7.403,296,0
2011-08-09,7.403,7.403,7.403,7.403,10,0
2011-08-10,7.1545,7.4527,7.1545,7.4527,250,0
2011-08-11,7.403,7.403,6.8564,7.3831,206,0
2011-08-12,7.2539,7.2539,7.1545,7.1545,20,0
2011-08-16,7.2539,7.2539,7.2539,7.2539,15,0
2011-08-17,7.2539,7.2539,7.0552,7.2539,231,0
2011-08-19,7.2539,7.2539,7.2539,7.2539,15,0
2011-08-23,7.2539,7.2539,7.2539,7.2539,15,0
2011-08-25,6.9061,7.2539,6.7571,7.2539,1009,0
2011-08-26,7.2042,7.2539,7.2042,7.2539,533,0
2011-08-29,7.2539,7.7508,7.2539,7.7508,573,0
2011-08-30,7.5321,7.552,7.0552,7.552,453,0
2011-08-31,7.5023,7.6514,7.1545,7.1545,242,0
2011-09-01,7.552,7.552,7.1049,7.1049,86,0
2011-09-02,7.2042,7.2042,7.2042,7.2042,15,0
2011-09-05,7.2042,7.2042,6.9061,7.1943,372,0
2011-09-06,7.1943,7.1943,7.1943,7.1943,30,0
2011-09-07,7.1943,7.2042,7.1943,7.2042,30,0
2011-09-08,7.0055,7.0055,6.6577,6.9558,553,0
2011-09-12,6.9459,6.9558,6.1609,6.9558,1213,0
2011-09-13,6.9459,6.9459,6.2602,6.7074,398,0
2011-09-14,6.2602,6.9558,6.2602,6.9558,634,0
2011-09-15,6.9459,7.1545,6.7571,7.1446,3341,0
2011-09-16,6.9558,7.2539,6.459,7.2539,1811,0
2011-09-19,6.9558,7.8402,6.9558,7.8203,1459,0
2011-09-20,7.8203,7.8203,6.9558,7.4527,674,0
2011-09-21,7.1049,7.1049,7.1049,7.1049,30,0
2011-09-26,7.403,7.4527,7.2042,7.4527,252,0
2011-09-27,7.4527,7.8501,7.4527,7.8501,352,0
2011-09-28,7.8501,7.8501,7.403,7.8501,820,0
2011-09-29,7.8501,7.8998,7.8004,7.8998,518,0
2011-09-30,7.8501,9.0922,7.8501,9.0922,1667,0
2011-10-03,9.0922,9.0922,9.0922,9.0922,11,0
2011-10-04,9.0922,9.0922,9.0922,9.0922,10,0
2011-10-05,9.0922,9.0922,8.9432,8.9432,21,0
2011-10-06,9.0426,9.0426,8.9432,8.9432,20,0
2011-10-07,8.9332,8.9332,8.1482,8.9332,288,0
2011-10-10,8.9332,8.9332,8.9332,8.9332,15,0
2011-10-11,8.8836,8.8836,8.1482,8.1482,171,0
2011-10-12,8.347,8.7842,7.8501,7.8501,1092,0
2011-10-13,7.9495,7.9495,7.552,7.552,295,0
2011-10-14,7.5023,7.5023,7.5023,7.5023,101,0
2011-10-17,7.4527,7.4527,7.4527,7.4527,41,0
2011-10-18,7.4527,8.1482,7.4527,8.1482,1208,0
2011-10-19,8.1482,8.1482,8.1482,8.1482,5,0
2011-10-20,8.1482,8.1482,7.6514,7.6514,513,0
2011-10-21,7.7508,7.7508,7.7508,7.7508,50,0
2011-10-25,7.7011,7.7011,7.7011,7.7011,5,0
2011-10-26,7.5023,7.6514,7.1545,7.6514,253,0
2011-11-02,7.1049,7.3533,6.7571,7.3533,725,0
2011-11-04,6.5583,7.3533,6.5583,7.3533,307,0
2011-11-07,6.9558,7.1545,6.8068,6.9558,765,0
2011-11-08,7.1545,7.1545,7.1545,7.1545,10,0
2011-11-09,7.1545,7.1545,6.5484,7.0552,162,0
2011-11-10,7.1545,7.1545,7.1545,7.1545,5,0
2011-11-14,7.0055,7.0055,7.0055,7.0055,5,0
2011-11-15,7.0055,7.0055,6.4093,6.4093,398,0
2011-11-16,6.6577,6.6577,6.6577,6.6577,10,0
2011-11-23,6.5086,6.5086,6.5086,6.5086,30,0
2011-11-24,6.6577,6.6577,6.6577,6.6577,10,0
2011-11-30,6.3596,6.5086,6.2105,6.5086,795,0
2011-12-05,6.3099,6.8564,5.9621,6.8564,1419,0
2011-12-06,6.8564,6.8564,6.8564,6.8564,15,0
2011-12-07,6.8564,6.8564,6.8564,6.8564,15,0
2011-12-08,6.8564,6.8564,6.8564,6.8564,15,0
2011-12-09,6.8564,6.8564,6.8564,6.8564,15,0
2011-12-12,6.8366,6.9558,6.2105,6.459,669,0
2011-12-16,6.1609,6.9558,5.9621,6.9558,725,0
2011-12-19,6.8068,7.0552,6.8068,7.0552,533,0
2011-12-20,6.9061,7.0552,6.9061,7.0552,564,0
2011-12-21,7.0552,7.2042,7.0552,7.2042,508,0
2011-12-22,7.2042,7.4527,7.2042,7.4527,161,0
2011-12-23,7.4527,7.7508,7.4527,7.7508,151,0
2011-12-27,7.7508,7.8501,7.7508,7.8501,151,0
2011-12-28,7.7408,8.2973,7.7408,8.2973,654,0
2011-12-29,8.2973,8.4463,8.2973,8.4463,1271,0
2011-12-30,8.347,10.831,8.347,9.937,1257,0
2012-01-02,10.036,10.036,8.9432,8.9432,342,0
2012-01-03,8.9432,8.9432,8.9432,8.9432,12,0
2012-01-04,8.9432,8.9432,8.9432,8.9432,12,0
2012-01-05,8.6451,8.6451,8.6451,8.6451,10,0
2012-01-10,8.6451,8.6451,8.6451,8.6451,12,0
2012-01-12,8.6451,8.6451,8.6451,8.6451,12,0
2012-01-13,8.5457,8.5457,8.5457,8.5457,12,0
2012-01-16,8.0489,8.3967,7.4527,8.3967,857,0
2012-01-17,8.347,8.347,8.347,8.347,13,0
2012-01-18,8.347,8.347,8.347,8.347,5,0
2012-01-19,8.3072,8.3072,7.9495,7.9495,1157,0
2012-01-20,7.9495,7.9495,7.9495,7.9495,13,0
2012-01-23,7.9495,7.9495,7.9495,7.9495,15,0
2012-01-24,7.9495,7.9495,7.9495,7.9495,15,0
2012-01-25,7.7508,7.7508,7.7011,7.7011,362,0
2012-01-26,7.6514,7.7011,7.6514,7.7011,372,0
2012-01-30,7.7011,7.7011,7.7011,7.7011,15,0
2012-01-31,7.7011,7.7011,7.7011,7.7011,15,0
2012-02-01,7.7508,7.7508,7.7508,7.7508,20,0
2012-02-07,7.7508,7.7508,7.393,7.552,428,0
2012-02-09,7.4527,7.552,7.4527,7.552,403,0
2012-02-10,7.3533,8.9432,7.3036,8.0489,4369,0
2012-02-13,8.0489,8.9432,7.8501,7.9992,1600,0
2012-02-14,7.8004,7.8004,7.8004,7.8004,403,0
2012-02-15,7.9495,7.9495,7.6216,7.9495,2063,0
2012-02-17,7.6514,8.496,7.6514,8.496,403,0
2012-02-20,7.7508,8.6451,7.7508,8.6451,805,0
2012-02-21,8.347,8.347,8.2476,8.2476,352,0
2012-02-22,8.3271,8.3271,7.9396,7.9396,347,0
2012-02-27,7.9495,8.0985,7.9495,8.0985,50,0
2012-02-29,8.0985,8.0985,7.9495,8.0489,418,0
2012-03-02,8.0886,9.44,8.0886,9.44,966,0
2012-03-05,9.44,10.136,8.7941,9.0922,1005,0
2012-03-08,9.0922,9.0922,9.0922,9.0922,5,0
2012-03-09,8.9432,9.0922,8.9432,9.0922,332,0
