Date,Open,High,Low,Close,Volume,OpenInt
2011-04-26,7,8.4,6.06,6.17,57652,0
2011-04-27,6.39,6.39,5,5.49,18571,0
2011-04-28,5.7,6.1,5.05,6.1,6774,0
2011-04-29,6.38,6.38,5.4,6.1,4347,0
2011-05-02,5.41,5.7,5.41,5.7,531,0
2011-05-04,5.8,6.07,5.6,5.6,1958,0
2011-05-05,5.7,5.7,5.4,5.4,2077,0
2011-05-06,5.3,5.3,4.99,5.2,5279,0
2011-05-09,5,5.2,5,5.2,1741,0
2011-05-10,4.86,5.18,4.73,5.18,4001,0
2011-05-11,4.75,5.15,4.5,5.15,2342,0
2011-05-12,4.56,5.1,4.56,5.1,2100,0
2011-05-13,5.1,5.1,4.61,4.61,1646,0
2011-05-16,4.64,4.64,4.42,4.61,1191,0
2011-05-17,4.61,4.85,4.59,4.85,1427,0
2011-05-18,4.85,4.85,4.84,4.84,2,0
2011-05-19,4.85,4.85,4.6,4.85,522,0
2011-05-20,4.85,4.85,4.84,4.84,2,0
2011-05-23,4.49,4.84,4.49,4.84,138,0
2011-05-24,4.84,4.84,4.84,4.84,2,0
2011-05-25,4.84,5.5,4.62,5.5,5596,0
2011-05-26,5.2,5.9,5.2,5.9,1549,0
2011-05-27,6.06,6.06,5.75,5.75,492,0
2011-05-30,6,6,5.8,6,1044,0
2011-05-31,6.06,6.2,5.45,6.2,5409,0
2011-06-01,6.1,6.19,6,6.19,706,0
2011-06-03,6.04,6.04,6.04,6.04,550,0
2011-06-06,5.89,5.89,5.89,5.89,31,0
2011-06-08,5.88,5.88,5.88,5.88,2,0
2011-06-09,5.75,5.75,5.75,5.75,441,0
2011-06-14,5.3,5.31,5.3,5.31,300,0
2011-06-15,5.6,5.6,5.6,5.6,450,0
2011-06-16,5.6,5.6,5.6,5.6,2,0
2011-06-17,5.34,5.35,5.34,5.35,898,0
2011-06-20,5.35,5.35,5.35,5.35,77,0
2011-06-21,5.55,5.55,5.55,5.55,1,0
2011-06-22,5.55,5.55,5.54,5.54,2,0
2011-06-24,5.55,5.55,5.4,5.55,603,0
2011-06-27,5.55,5.75,5.35,5.75,1351,0
2011-06-28,5.75,5.75,5.69,5.69,2,0
2011-06-29,5.69,6.03,5.61,6.03,2424,0
2011-06-30,6,6.3,6,6.3,2275,0
2011-07-01,6.35,6.35,6.35,6.35,102,0
2011-07-04,6.51,6.51,6.51,6.51,2,0
2011-07-05,6.5,6.5,6.5,6.5,121,0
2011-07-06,6.5,6.5,6.5,6.5,2,0
2011-07-07,6.4,6.4,6.4,6.4,2,0
2011-07-08,6.3,6.3,6.3,6.3,2,0
2011-07-11,6.5,6.5,6.5,6.5,2,0
2011-07-12,6.5,6.5,6.49,6.49,2,0
2011-07-13,6.5,6.5,6.5,6.5,2,0
2011-07-14,6.5,6.5,6.5,6.5,2,0
2011-07-15,6.5,6.5,6.5,6.5,2,0
2011-07-18,6.5,6.5,6.5,6.5,1,0
2011-07-19,6.5,6.5,6.5,6.5,2,0
2011-07-20,6.5,6.5,6.5,6.5,2,0
2011-07-21,6.5,6.5,6.5,6.5,2,0
2011-07-22,6.5,6.5,5.79,5.79,201,0
2011-07-25,5.8,6.07,5.8,6.07,450,0
2011-07-26,6.5,6.5,5.85,5.85,863,0
2011-07-27,5.85,5.85,5.79,5.79,2313,0
2011-07-28,5.8,6.5,5.8,6.5,1041,0
2011-07-29,6.5,6.5,5.79,6.05,4696,0
2011-08-01,5.92,6.19,5.92,6.19,2,0
2011-08-02,6.47,6.47,6.47,6.47,2,0
2011-08-03,6.47,6.47,6.2,6.2,437,0
2011-08-04,6.2,6.2,6.2,6.2,1,0
2011-08-05,5.5,5.5,5.5,5.5,870,0
2011-08-08,5.5,5.5,5.5,5.5,506,0
2011-08-09,5.49,5.5,5.49,5.5,920,0
2011-08-10,5.6,5.6,5.6,5.6,450,0
2011-08-12,5.8,5.8,5.53,5.53,2,0
