Date,Open,High,Low,Close,Volume,OpenInt
2014-07-10,34.5,51.59,34.5,51.59,9045,0
2014-07-11,61.9,74.28,55.2,70,7770,0
2014-07-14,69,69,52.1,57,5792,0
2014-07-15,57.35,59.7,45.88,47,6458,0
2014-07-16,45,46,39.18,44.38,8176,0
2014-07-17,44,46,40,41.3,3474,0
2014-07-18,41.3,41.5,37,40.36,1575,0
2014-07-21,40.34,41.8,37,41.21,2548,0
2014-07-22,38.5,40.99,38.5,40.36,1526,0
2014-07-23,40.36,47.88,40.36,47.1,1856,0
2014-07-24,44.01,47.45,42,46.39,1712,0
2014-07-25,46.68,47.24,46,47.24,246,0
2014-07-28,47.45,47.45,41.48,43.75,1437,0
2014-07-29,41.5,43.75,40.37,41.9,1291,0
2014-07-30,39.17,42,36.5,38.49,2619,0
2014-07-31,38.36,38.36,31.51,37.5,680,0
2014-08-01,34,37.65,33,37,823,0
2014-08-04,34.78,36.8,31.75,36,1148,0
2014-08-05,33,34.21,30,32,1557,0
2014-08-06,30,30,26.05,29.94,2751,0
2014-08-07,27.8,29.94,27.7,28.97,762,0
2014-08-08,29,29.79,27.89,27.89,907,0
2014-08-11,29.58,29.58,25.25,25.51,1543,0
2014-08-12,28,28,25.88,26.89,957,0
2014-08-13,26.9,26.9,24.3,25.55,1067,0
2014-08-14,25.54,25.54,25,25,294,0
2014-08-18,25.05,29.94,25,26.7,3251,0
2014-08-19,28.64,28.64,26.03,27.3,813,0
2014-08-20,28.5,28.5,26.11,28.24,1932,0
2014-08-21,26.21,27.8,26,27.73,836,0
2014-08-22,27.78,27.8,25.85,27.18,189,0
2014-08-25,27.18,27.18,25,25,208,0
2014-08-26,26.4,26.4,24,25,386,0
2014-08-27,25.5,26.94,23.55,26.36,154,0
2014-08-28,25,26.41,23,26.29,877,0
2014-08-29,26.2,26.2,22,22.1,1716,0
2014-09-01,22.1,23.4,20.01,21.01,1039,0
2014-09-02,20.3,23.1,20.3,23.07,1334,0
2014-09-03,23.06,23.73,21.75,23.44,1314,0
2014-09-04,23.42,23.42,20.65,23.3,622,0
2014-09-05,23,23,21,21,695,0
2014-09-08,22.14,22.14,21.5,22,319,0
2014-09-09,21.98,22,21.1,21.9,1266,0
2014-09-10,21.9,21.9,20.51,21.45,1785,0
2014-09-11,21,21.99,21,21.99,646,0
2014-09-12,21.99,22.5,21.99,22.01,417,0
2014-09-15,21.85,22.5,21.85,22.4,832,0
2014-09-16,22.3,23.4,22.2,23.4,1530,0
2014-09-17,23.4,23.44,23,23,283,0
2014-09-18,22.93,23,22.93,23,247,0
2014-09-19,22.97,25,22.97,24.94,1902,0
2014-09-22,24.99,24.99,23.2,24.99,470,0
2014-09-23,24.95,25,24,24.98,431,0
2014-09-24,24,24.98,24,24.98,267,0
2014-09-25,24.98,26.83,24,25.2,664,0
2014-09-26,24,26,24,24.97,1430,0
2014-09-29,24.97,24.97,24,24,185,0
2014-09-30,24.4,24.97,23.2,24,816,0
2014-10-01,23.95,24.3,23.95,24.3,11,0
2014-10-02,24.5,24.55,24,24.55,125,0
2014-10-03,24.55,24.75,23,24,516,0
2014-10-06,24.5,24.5,24.5,24.5,12,0
2014-10-07,24.59,24.6,24.59,24.6,11,0
2014-10-09,24.97,24.99,23.55,23.55,28,0
2014-10-10,24.99,24.99,23.6,23.7,103,0
2014-10-13,23.7,24.23,23,24.23,257,0
2014-10-14,23.05,24,23,23,1802,0
2014-10-15,23,23,23,23,5,0
2014-10-16,23.89,23.89,23.89,23.89,118,0
2014-10-17,23.89,23.89,22.9,23.6,217,0
2014-10-20,22.9,23.64,21.99,23.45,701,0
2014-10-21,22.96,22.96,22.96,22.96,101,0
2014-10-22,22,22.69,22,22.69,85,0
2014-10-23,22,22.6,21.1,22.6,758,0
2014-10-24,22,22,22,22,1,0
2014-10-27,22,22,21,21,275,0
2014-10-28,20.8,21.4,20.1,21.4,607,0
2014-10-29,20.1,20.1,20,20,396,0
2014-10-30,19.74,21.3,18.3,19.9,660,0
2014-10-31,20,20,19.13,19.2,442,0
2014-11-03,19.5,19.5,19.5,19.5,39,0
2014-11-04,20.3,20.3,20.3,20.3,1,0
2014-11-05,19,20.34,18.11,18.14,433,0
2014-11-06,18.15,18.15,17.5,17.7,940,0
2014-11-07,17.25,20.42,17.25,20.42,1239,0
2014-11-10,20.44,20.64,19.31,20.64,112,0
2014-11-12,19.31,20.28,18.2,19.28,797,0
2014-11-13,20,20.28,18.2,18.2,1231,0
2014-11-14,17.64,18.83,17.64,18,581,0
2014-11-17,19.08,19.7,18,19.52,611,0
2014-11-18,18.15,19.4,18.15,19.4,44,0
2014-11-19,19.4,19.4,18.8,18.8,201,0
2014-11-20,18.9,19.5,18.8,19.5,656,0
2014-11-21,18.6,19.41,18.6,19.41,40,0
2014-11-24,18.6,19,18.35,19,97,0
2014-11-25,18.71,18.71,17.27,18.5,224,0
2014-11-26,18.5,18.5,17.6,17.6,689,0
2014-11-27,17.6,18.6,17.6,18.6,69,0
2014-11-28,18.6,18.6,18.6,18.6,20,0
2014-12-01,17.65,18.27,17.4,18.27,264,0
2014-12-02,17.5,18,17.42,18,147,0
2014-12-03,18,18,17.05,17.98,714,0
2014-12-04,17.4,17.4,17.4,17.4,1,0
2014-12-05,17.11,17.98,17.11,17.98,288,0
2014-12-08,17.98,17.98,17.11,17.96,293,0
2014-12-09,17.98,17.98,17.9,17.9,7,0
2014-12-10,17.98,17.98,17.1,17.87,76,0
2014-12-11,17.85,17.85,17.78,17.8,508,0
2014-12-12,17.6,17.6,17.15,17.15,300,0
2014-12-15,17.15,17.5,17.15,17.5,408,0
2014-12-16,17.6,18.5,17.6,18.5,206,0
2014-12-17,18.5,18.5,18.5,18.5,2,0
2014-12-18,18.5,18.5,18.5,18.5,2,0
2014-12-19,18.5,18.5,18.5,18.5,1,0
2014-12-22,18.5,18.5,17.16,17.16,197,0
2014-12-23,17.15,17.35,17.15,17.35,154,0
2014-12-29,17.15,18.42,17.15,18.42,343,0
2014-12-30,18.36,18.5,17.1,18.5,554,0
2015-01-02,17.82,19.64,17.82,19.64,13,0
2015-01-05,18.7,19.1,18.7,19.1,26,0
2015-01-07,19.1,19.4,19.1,19.4,55,0
2015-01-08,19.27,19.27,18,19.27,7,0
2015-01-09,19.4,19.4,19.4,19.4,2,0
2015-01-12,19.4,19.4,19.4,19.4,1,0
2015-01-13,19.4,19.4,19.4,19.4,10,0
2015-01-14,19.4,19.4,19.4,19.4,1,0
2015-01-15,19.25,19.25,18,19.25,68,0
2015-01-16,19.4,19.4,19.25,19.25,882,0
2015-01-19,19.24,19.24,19.19,19.24,48,0
2015-01-20,19.24,19.24,19.24,19.24,1,0
2015-01-21,19.24,19.24,18.24,18.24,104,0
2015-01-22,18.24,18.24,18.24,18.24,158,0
2015-01-23,18.89,18.89,17.5,18.89,1049,0
2015-01-26,18.89,18.89,18.89,18.89,3,0
2015-01-27,18.89,18.89,15.16,15.16,363,0
2015-01-28,15.2,17.2,15.2,17.2,144,0
2015-01-29,17.2,18,17.2,18,7,0
2015-01-30,18,18.29,18,18.29,20,0
2015-02-02,18.5,18.5,18.5,18.5,1,0
2015-02-03,18.5,18.5,18.5,18.5,2,0
2015-02-04,18.5,18.5,18,18,114,0
2015-02-05,17.5,18.39,17.5,18.39,25,0
2015-02-06,18.7,18.7,18.63,18.7,162,0
2015-02-09,18.69,18.69,17.5,17.5,102,0
2015-02-10,17.5,18.85,17.5,18.85,199,0
2015-02-11,19,19.4,17.1,19.4,686,0
2015-02-12,19.4,19.4,19.4,19.4,1,0
2015-02-13,19.4,19.4,17.11,18.67,230,0
2015-02-17,17.56,18.05,17,18.05,1459,0
2015-02-18,17.1,18.05,17,18.05,1155,0
2015-02-20,17.45,18,17.45,17.97,804,0
2015-02-23,17.9,17.9,17.78,17.78,53,0
2015-02-24,17.75,19.39,17.37,19.39,444,0
2015-02-25,19.25,19.25,17.6,18.7,176,0
2015-02-26,18.7,19.25,18,19.25,82,0
2015-02-27,19.25,21,18.25,20.5,738,0
2015-03-02,20.98,20.98,20.98,20.98,63,0
2015-03-03,20.98,21,20,21,445,0
2015-03-04,21,21,21,21,1,0
2015-03-05,20.01,20.89,19.2,19.2,270,0
2015-03-06,19.2,20,19.2,20,35,0
2015-03-09,20.5,20.5,20.5,20.5,1,0
2015-03-10,20,20.65,19.2,20.65,160,0
2015-03-11,18.33,20.99,18.33,19.3,306,0
2015-03-12,20.2,20.2,20.2,20.2,10,0
2015-03-13,20.2,20.2,19,20.2,94,0
2015-03-16,20.2,20.2,20.2,20.2,1,0
2015-03-17,20.1,20.1,20.1,20.1,43,0
2015-03-18,19.02,20.8,18.9,20.8,48,0
2015-03-19,20.31,25.5,20.31,25.5,683,0
2015-03-20,25.1,26.98,23.6,26.45,962,0
2015-03-23,26,26,23.6,24.9,68,0
2015-03-24,24.4,24.4,23,23,19,0
2015-03-25,23,23.11,22,23.11,184,0
2015-03-26,22,22,22,22,33,0
2015-03-27,22,22,22,22,18,0
2015-03-30,22,22,22,22,40,0
2015-03-31,22,24.9,22,24.9,69,0
2015-04-01,24.5,24.8,24.5,24.8,175,0
2015-04-02,24.79,24.79,24.79,24.79,1,0
2015-04-07,23,23,22.59,22.59,27,0
2015-04-08,22.59,22.59,19.91,22.2,4136,0
2015-04-09,22.2,22.2,22.2,22.2,1,0
2015-04-14,22.2,22.2,22.2,22.2,2,0
2015-04-15,22.2,22.2,22.2,22.2,1,0
2015-04-20,22.2,23.79,22.2,23.79,481,0
2015-04-21,23,23,23,23,10,0
2015-04-22,23.79,23.79,23.79,23.79,1,0
2015-04-23,21.48,21.48,21.48,21.48,5,0
2015-04-24,21.46,21.46,20.8,20.8,150,0
2015-04-27,22,22,20.72,20.72,190,0
2015-04-28,20.72,20.72,20.72,20.72,4,0
2015-04-29,20.72,20.72,20.72,20.72,2,0
2015-04-30,22.1,22.1,22.1,22.1,70,0
2015-05-04,22.1,22.1,19,20.42,158,0
2015-05-05,20.42,22,19.79,19.86,603,0
2015-05-06,20,20.5,19.8,19.8,527,0
2015-05-08,19.78,19.78,19.69,19.69,63,0
2015-05-11,19.69,21.05,19.69,21.05,101,0
2015-05-13,19.8,20.28,19.6,20.28,809,0
2015-05-14,20.28,20.28,19.8,19.8,589,0
2015-05-15,19.8,20.2,19.8,20.2,209,0
2015-05-18,20.5,21.5,20.05,21.5,4308,0
2015-05-20,21.55,21.55,21.55,21.55,232,0
2015-05-21,21.55,21.55,21.55,21.55,117,0
2015-05-22,21,21,20.7,20.7,196,0
2015-05-26,20.8,20.8,20.8,20.8,1,0
2015-05-27,20.8,20.8,20.8,20.8,28,0
2015-05-28,20.8,21.7,20.8,21.7,411,0
2015-05-29,21.75,21.75,21.75,21.75,875,0
2015-06-01,21.9,22,21.9,22,105,0
2015-06-02,22.1,23,22,23,395,0
2015-06-03,23.05,23.05,23.05,23.05,10,0
2015-06-08,23.6,23.6,22.7,22.7,14,0
2015-06-09,22.7,22.7,21,21,66,0
2015-06-11,22,22,22,22,1,0
2015-06-12,21,21,21,21,11,0
2015-06-15,21.1,21.1,21.1,21.1,1,0
2015-06-16,21.1,22,21.1,22,140,0
2015-06-17,22,22.7,21.1,22,450,0
2015-06-18,22,22,22,22,1,0
2015-06-19,22,22,21.1,21.1,76,0
2015-06-22,22,22,22,22,1,0
2015-06-23,21.1,23.94,21.1,23.94,402,0
2015-06-24,23.94,23.94,23.94,23.94,1,0
2015-06-25,23.94,23.94,23.94,23.94,62,0
2015-06-26,23.94,23.94,22.56,22.56,46,0
2015-06-29,22.5,22.5,22.5,22.5,1,0
2015-06-30,22.45,23,22.45,23,228,0
2015-07-01,23,23,23,23,51,0
2015-07-02,23,23,23,23,1,0
2015-07-03,23,23,23,23,3,0
2015-07-07,22.7,22.7,20.8,20.8,320,0
2015-07-08,20.8,20.8,20.8,20.8,1,0
2015-07-09,20.8,20.8,20.8,20.8,2,0
2015-07-10,20.8,20.8,20.7,20.7,63,0
2015-07-13,21,21.5,20.3,20.3,137,0
2015-07-14,21,21.9,21,21.9,25,0
2015-07-15,21.98,21.98,21.98,21.98,1,0
2015-07-16,21.55,21.98,21.55,21.98,105,0
2015-07-17,23,23.19,23,23.19,11,0
2015-07-20,23.18,23.18,23.18,23.18,10,0
2015-07-21,23.18,23.18,23.18,23.18,2,0
2015-07-22,23.18,23.18,21.5,22.95,376,0
2015-07-27,23,23,23,23,1,0
2015-07-29,22.03,22.03,21.5,21.5,60,0
2015-07-30,21.5,21.5,20,20,500,0
2015-07-31,20.71,20.71,20.71,20.71,10,0
2015-08-03,20.71,20.8,20.71,20.8,260,0
2015-08-04,20.8,20.8,20.8,20.8,10,0
2015-08-05,20.8,20.8,20.8,20.8,10,0
2015-08-06,20.8,20.8,20.8,20.8,30,0
2015-08-07,20.71,20.71,20,20.7,873,0
2015-08-10,20.7,20.7,20.7,20.7,5,0
2015-08-11,20.7,22.7,20.7,22.7,181,0
2015-08-12,22.7,23.5,22.7,23.18,300,0
2015-08-13,23.9,24.72,23,24.5,642,0
2015-08-14,24,24,24,24,120,0
2015-08-17,24.5,24.5,24.5,24.5,10,0
2015-08-18,24.5,24.5,24.5,24.5,2,0
2015-08-19,24.5,24.5,22,23,280,0
2015-08-20,23,23,23,23,8,0
2015-08-24,21.9,22,20,21,1502,0
2015-08-25,21,22.3,21,22.3,248,0
2015-08-27,22.4,22.4,22.4,22.4,25,0
2015-08-28,23,23.5,23,23.5,50,0
2015-08-31,21.5,21.5,21.5,21.5,100,0
2015-09-01,21,21.1,21,21,246,0
2015-09-02,21,21.8,21,21.8,15,0
2015-09-04,21.8,23,21.8,23,110,0
2015-09-08,22.7,22.7,22.7,22.7,10,0
2015-09-09,22.7,22.7,22.7,22.7,240,0
2015-09-10,22.7,22.7,22.7,22.7,2,0
2015-09-11,24,24.55,23.9,24.55,400,0
2015-09-14,24.55,24.55,24.55,24.55,100,0
