Date,Open,High,Low,Close,Volume,OpenInt
2017-12-18,90.04,90.04,90,90,20,0
2017-12-21,90.03,90.05,90.03,90.05,6,0
2017-12-22,90.06,90.06,90,90,15,0
2017-12-29,90.02,90.02,90.01,90.01,5,0
2018-01-04,91.8,91.8,91.8,91.8,15,0
2018-01-05,92,92,92,92,3,0
2018-01-11,92.35,92.35,92.35,92.35,10,0
2018-01-12,92.35,92.38,92.35,92.38,38,0
2018-01-15,92.38,92.39,92.38,92.39,14,0
2018-01-17,92.39,92.39,92.39,92.39,15,0
2018-01-18,92.37,92.48,92.37,92.48,31,0
2018-01-22,92.47,92.47,92.47,92.47,7,0
2018-01-25,92.47,92.8,92.47,92.8,105,0
2018-01-29,93.11,93.11,93.1,93.1,16,0
2018-01-30,93.2,93.2,92.5,92.5,50,0
2018-02-05,93.85,93.87,93.85,93.87,6,0
2018-02-06,93.74,93.74,93.74,93.74,4,0
2018-02-07,93.74,94,93.74,94,133,0
2018-02-08,94.01,94.01,94,94,27,0
2018-02-09,94.01,94.01,94,94,59,0
2018-02-12,94.01,94.01,94.01,94.01,3,0
2018-02-14,94.19,94.19,94.19,94.19,10,0
2018-02-15,94.19,94.2,94.19,94.2,15,0
2018-02-16,94.39,94.4,94.39,94.4,64,0
2018-02-20,94.5,94.51,94.5,94.51,50,0
2018-02-21,94.65,94.65,94.65,94.65,1,0
2018-02-22,94.45,94.64,94.45,94.64,13,0
2018-02-23,94.65,94.85,94.65,94.85,45,0
2018-02-26,95.75,95.99,95.75,95.99,49,0
2018-02-27,95.8,95.99,95.8,95.99,96,0
2018-02-28,95.98,95.98,95.98,95.98,7,0
2018-03-01,96,96,96,96,83,0
2018-03-05,96.2,96.2,96,96,24,0
2018-03-06,95.99,96,95.99,96,257,0
2018-03-07,96.65,96.65,96.65,96.65,10,0
2018-03-09,96.4,96.66,96.2,96.66,58,0
2018-03-13,96,96,96,96,7,0
2018-03-14,96,96,96,96,94,0
2018-03-21,96.49,96.49,96.49,96.49,22,0
2018-03-22,96.48,96.48,96.48,96.48,4,0
2018-03-23,96.48,96.5,96,96.5,55,0
2018-03-26,96.7,97,96.7,97,68,0
2018-03-27,96.5,96.5,96.5,96.5,61,0
2018-03-28,96.5,96.5,96.49,96.5,173,0
2018-03-29,96.5,96.5,96.5,96.5,2,0
