Date,Open,High,Low,Close,Volume,OpenInt
2017-12-28,100.79,100.79,100.79,100.79,10,0
2018-01-03,101.2,101.2,101.2,101.2,5,0
2018-01-08,101.19,101.2,101.19,101.2,13,0
2018-01-16,101.48,101.48,101.48,101.48,3,0
2018-01-18,101.49,101.49,101.2,101.2,6,0
2018-01-29,101.5,101.5,101.5,101.5,10,0
2018-02-05,101.59,101.59,101.59,101.59,2,0
2018-02-14,101.69,101.69,101.69,101.69,3,0
2018-02-16,101.79,101.81,101.79,101.81,5,0
2018-02-21,101.66,101.66,101.66,101.66,3,0
2018-02-28,101.94,101.94,101.94,101.94,3,0
2018-03-02,101.5,101.99,101.5,101.99,8,0
2018-03-06,101.99,102.09,101.99,102.09,4,0
2018-03-14,102.09,102.09,102.09,102.09,4,0
2018-03-28,101.5,101.5,101.5,101.5,2,0
