Date,Open,High,Low,Close,Volume,OpenInt
2016-12-27,95.4,95.4,95.4,95.4,2,0
2017-01-02,95.25,95.25,95.25,95.25,11,0
2017-01-04,94.85,94.85,94.85,94.85,1,0
2017-01-09,95.2,95.2,95.2,95.2,20,0
2017-01-10,95.3,95.3,95.3,95.3,12,0
2017-01-13,95.35,95.35,95.35,95.35,207,0
2017-01-16,95.35,95.35,95.35,95.35,53,0
2017-01-17,95.3,95.3,95.3,95.3,62,0
2017-01-20,95.3,95.3,95.3,95.3,90,0
2017-01-23,95.3,95.3,95.3,95.3,5,0
2017-01-24,95.27,95.27,95.27,95.27,7,0
2017-01-25,95.29,95.3,95.29,95.3,85,0
2017-01-26,95.3,95.3,95.3,95.3,49,0
2017-01-31,95.3,95.5,95.3,95.5,57,0
2017-02-07,95.5,95.5,95.5,95.5,391,0
2017-02-14,95.59,95.59,95.42,95.42,20,0
2017-02-16,95.5,95.5,95.5,95.5,100,0
2017-02-20,95.5,95.5,95.5,95.5,3,0
2017-02-22,95.7,95.7,95.7,95.7,2,0
2017-02-23,95.65,95.65,95.65,95.65,5,0
2017-02-24,95.45,95.45,95.35,95.35,30,0
2017-03-02,95.7,95.75,95.65,95.75,107,0
2017-03-07,95.75,95.75,95.75,95.75,24,0
2017-03-08,95.75,95.75,95.7,95.75,65,0
2017-03-09,95.75,95.75,95.7,95.7,17,0
2017-03-10,95.85,95.85,95.85,95.85,10,0
2017-03-13,95.85,95.85,95.85,95.85,18,0
2017-03-14,95.85,95.85,95.85,95.85,10,0
2017-03-15,95.76,95.85,95.76,95.85,44,0
2017-03-16,95.9,95.9,95.65,95.65,73,0
2017-03-17,95.76,95.76,95.76,95.76,2,0
2017-03-27,96.05,96.05,96.05,96.05,51,0
2017-04-04,96.2,96.2,96.2,96.2,8,0
2017-04-05,96.09,96.1,96.09,96.1,84,0
2017-04-06,96.11,96.11,96.11,96.11,6,0
2017-04-10,96.15,96.15,96.15,96.15,2000,0
2017-04-11,96.15,96.15,96.15,96.15,1010,0
2017-04-19,96.2,96.2,96.2,96.2,20,0
2017-04-24,96.17,96.17,96.16,96.16,6,0
2017-04-25,96.16,96.16,96.16,96.16,18,0
2017-04-27,96.25,96.25,96.25,96.25,3,0
2017-05-09,96.2,96.2,96.19,96.19,56,0
2017-05-12,96.26,96.26,96.26,96.26,8,0
2017-05-16,96.32,96.32,96.32,96.32,48,0
2017-05-18,96.37,96.37,96.37,96.37,48,0
2017-05-23,96.42,96.42,96.4,96.4,239,0
2017-05-24,96.45,96.45,96.45,96.45,24,0
2017-05-29,96.4,96.7,96.4,96.7,156,0
2017-06-09,96.7,96.7,96.7,96.7,7,0
2017-06-13,96.68,96.68,96.68,96.68,2,0
2017-06-19,96.55,96.55,96.55,96.55,9,0
2017-06-22,96.85,96.85,96.85,96.85,63,0
2017-06-23,96.85,96.85,96.85,96.85,41,0
2017-06-28,96.75,96.75,96.71,96.71,27,0
2017-06-29,96.71,96.71,96.71,96.71,42,0
2017-06-30,96.95,96.95,96.95,96.95,10,0
2017-07-05,96.85,96.85,96.85,96.85,41,0
2017-07-06,96.8,97.1,96.8,96.8,127,0
2017-07-11,96.85,96.85,96.85,96.85,1,0
2017-07-20,96.85,96.85,96.85,96.85,8,0
2017-07-26,97.15,97.15,97.15,97.15,1161,0
2017-07-27,97.15,97.2,97.15,97.2,940,0
2017-07-28,97.3,97.3,97.3,97.3,32,0
2017-07-31,97.2,97.2,97.2,97.2,196,0
2017-08-01,96.9,97.2,96.9,97.2,661,0
2017-08-02,97.08,97.08,97.08,97.08,45,0
2017-08-04,97,97.19,97,97.19,53,0
2017-08-07,97.11,97.11,97.11,97.11,25,0
2017-08-14,97.1,97.1,97.1,97.1,20,0
2017-08-16,97.15,97.15,97.15,97.15,41,0
2017-08-17,97.16,97.3,97.16,97.3,27,0
2017-08-18,97.11,97.11,97.11,97.11,7,0
2017-08-22,97.2,97.2,97.2,97.2,11,0
2017-08-25,97.25,97.25,97.25,97.25,3,0
2017-08-28,97.2,97.2,97.2,97.2,40,0
2017-08-29,97.3,97.3,97.2,97.3,66,0
2017-09-05,97.38,97.38,97.38,97.38,3,0
2017-09-07,97.41,97.41,97.41,97.41,23,0
2017-09-11,97.6,97.6,97.6,97.6,21,0
2017-09-13,97.42,97.42,97.39,97.39,9,0
2017-09-15,97.43,97.43,97.43,97.43,8,0
2017-09-18,97.38,97.38,97.38,97.38,10,0
2017-09-19,97.39,97.39,97.39,97.39,2,0
2017-09-20,97.39,97.39,97.39,97.39,8,0
2017-09-22,97.39,97.39,97.39,97.39,13,0
2017-09-25,97.39,97.39,97.3,97.39,396,0
2017-09-26,97.39,97.4,97.39,97.4,35,0
2017-10-02,97.8,97.8,97.8,97.8,90,0
2017-10-06,97.8,97.8,97.8,97.8,15,0
2017-10-12,97.76,97.76,97.76,97.76,32,0
2017-10-18,97.83,97.83,97.83,97.83,10,0
2017-10-19,97.71,97.71,97.71,97.71,67,0
2017-10-20,97.71,97.71,97.71,97.71,25,0
2017-10-23,97.71,97.71,97.71,97.71,22,0
2017-10-26,97.87,97.87,97.87,97.87,2,0
2017-10-30,98.1,98.1,98.1,98.1,10,0
2017-11-16,98,98,98,98,50,0
2017-11-23,98.1,98.1,98.1,98.1,104,0
2017-11-29,97.9,97.9,97.9,97.9,10,0
2017-12-04,97.9,97.92,97.9,97.9,1300,0
2017-12-05,97.9,97.9,97.9,97.9,89,0
2017-12-06,97.9,97.9,97.9,97.9,59,0
2017-12-08,98.2,98.2,97.9,97.9,34,0
2017-12-11,97.9,97.9,97.9,97.9,92,0
2017-12-12,98.05,98.05,98.05,98.05,40,0
2017-12-18,98.05,98.05,97.9,97.9,23,0
2017-12-21,98.1,98.1,98.1,98.1,3,0
2017-12-27,98.1,98.1,98.1,98.1,50,0
2018-01-03,97.9,98.2,97.9,98.2,141,0
2018-01-09,98,98,98,98,33,0
2018-01-16,97.95,97.95,97.95,97.95,8,0
2018-01-18,98.05,98.05,98.05,98.05,43,0
2018-01-19,98.05,98.05,98.05,98.05,4,0
2018-01-23,98.05,98.05,98.05,98.05,72,0
2018-01-26,98.2,98.2,98.2,98.2,18,0
2018-01-29,98.2,98.2,98.2,98.2,64,0
2018-02-01,98.25,98.25,98.25,98.25,10,0
2018-02-06,98.3,98.3,98.3,98.3,38,0
2018-02-07,98.3,98.3,98.3,98.3,81,0
2018-02-08,98.55,98.6,98.3,98.3,64,0
