Date,Open,High,Low,Close,Volume,OpenInt
2018-01-03,100.48,100.48,95.48,97.5,174,0
2018-01-04,100.08,100.08,100.08,100.08,1,0
2018-01-05,100.09,100.25,100.09,100.25,20,0
2018-01-10,100.1,100.25,100.1,100.25,100,0
2018-01-17,100.25,100.25,100.25,100.25,41,0
2018-02-06,100.25,100.79,100.25,100.3,154,0
2018-02-13,100.5,100.79,100.5,100.79,100,0
2018-02-28,100.28,100.28,100.28,100.28,100,0
2018-03-01,100.3,100.3,100.3,100.3,50,0
2018-03-02,100.4,100.4,100.4,100.4,30,0
2018-03-05,100.48,100.48,100.48,100.48,50,0
2018-03-07,100.48,100.48,100.48,100.48,10,0
2018-03-08,100.45,100.45,100.45,100.45,20,0
