Date,Open,High,Low,Close,Volume,OpenInt
2002-07-09,88,88,88,88,100,0
2002-07-26,89,89,89,89,50,0
2002-08-01,89.5,89.5,89.5,89.5,50,0
2002-08-05,90,90,90,90,10,0
2002-08-07,90.5,90.5,90.5,90.5,50,0
2002-08-29,91.5,91.5,91.5,91.5,60,0
2002-09-04,92,92,92,92,30,0
2002-09-05,92.5,92.5,92.5,92.5,10,0
2002-09-10,94.5,94.5,94.5,94.5,10,0
2002-09-11,95,95,95,95,30,0
2002-09-13,94.9,94.9,94.9,94.9,10,0
2002-09-26,95.4,95.4,95.4,95.4,10,0
2002-09-30,96.3,96.3,96.3,96.3,10,0
2002-10-09,97.5,97.5,96.5,97.02,169,0
2002-10-14,97.65,97.65,97.65,97.65,12,0
2002-10-16,95.8,97,95.7,96.3,5287,0
2002-10-17,96.5,96.5,96,96.02,285,0
2002-10-18,96.8,96.8,96.8,96.8,15,0
2002-10-22,97,97,96.7,96.7,90,0
2002-10-25,97.5,97.5,97.5,97.5,10,0
2002-10-28,97.3,97.3,97.3,97.3,100,0
2002-10-29,98.5,98.5,97.5,97.5,300,0
2002-11-04,98.5,98.5,98.5,98.5,11,0
2002-11-07,97.15,97.6,97.15,97.25,1825,0
2002-11-08,97.95,97.95,97.1,97.1,32,0
2002-11-12,97.8,97.8,97.7,97.7,166,0
2002-11-13,97.8,97.8,97.7,97.7,540,0
2002-11-14,97.7,97.7,97.7,97.7,87,0
2002-11-20,97.8,97.8,97.2,97.2,176,0
2002-11-21,97.6,97.6,97.5,97.5,100,0
2002-11-22,97.8,97.8,97.8,97.8,110,0
2002-11-25,97.8,97.8,97.8,97.8,770,0
2002-11-26,97.8,97.8,97.8,97.8,230,0
2002-11-27,97.7,97.7,97.5,97.5,227,0
2002-12-02,97.5,97.5,97.5,97.5,510,0
2002-12-04,97.5,97.5,97.5,97.5,1,0
2002-12-06,98.2,98.2,98.2,98.2,10,0
2002-12-09,99.5,99.5,99.5,99.5,20,0
2002-12-10,98.06,98.06,98.06,98.06,10,0
2002-12-11,98.4,98.4,98.07,98.07,101,0
