Date,Open,High,Low,Close,Volume,OpenInt
2017-12-15,1.82,1.82,1.73,1.73,1190,0
2017-12-18,2.19,2.19,2.19,2.19,3000,0
2017-12-19,2.32,2.32,2.17,2.17,3398,0
2017-12-27,2.3,2.3,2.3,2.3,200,0
2018-01-04,2.77,2.77,2.77,2.77,1000,0
2018-01-05,2.77,2.85,2.77,2.85,1000,0
2018-01-16,3.15,3.45,3.15,3.45,1518,0
2018-01-17,3.47,3.47,3.47,3.47,113,0
2018-01-19,3.5,3.5,3.5,3.5,290,0
2018-01-23,3.9,3.9,3.9,3.9,350,0
2018-01-30,3.27,3.27,3.08,3.08,8000,0
2018-01-31,3.09,3.09,3.09,3.09,5000,0
2018-02-01,2.9,2.9,2.9,2.9,10000,0
2018-02-05,2.4,2.43,2.4,2.43,9000,0
2018-02-06,1.91,1.91,1.54,1.55,16288,0
2018-02-07,1.72,1.79,1.68,1.79,7726,0
2018-02-08,1.89,1.89,1.68,1.77,5400,0
2018-02-09,1.37,1.37,1.19,1.33,17001,0
2018-02-12,1.61,1.7,1.61,1.7,4000,0
2018-02-13,1.62,1.75,1.62,1.75,4800,0
2018-02-14,1.8,1.85,1.65,1.7,6520,0
2018-02-15,2.09,2.11,2.08,2.11,6620,0
2018-02-16,1.46,1.5,1.45,1.45,3400,0
2018-02-19,1.61,1.61,1.52,1.52,880,0
2018-02-20,1.4,1.44,1.4,1.44,1900,0
2018-02-21,1.43,1.47,1.4,1.42,3730,0
2018-02-22,1.22,1.35,1.22,1.35,5343,0
2018-02-23,1.6,1.6,1.5,1.56,2193,0
2018-02-27,1.58,1.58,1.53,1.56,20250,0
2018-02-28,1.4,1.4,1.28,1.28,5450,0
2018-03-01,0.89,0.89,0.75,0.75,14887,0
