Date,Open,High,Low,Close,Volume,OpenInt
2018-02-01,12.39,12.39,12.39,12.39,85,0
2018-02-02,12.9,13.31,12.84,13.31,495,0
2018-02-05,14.91,15.14,14.91,15.14,3100,0
2018-02-06,19.34,19.91,18.76,19.91,3590,0
2018-02-09,19.96,19.96,19.96,19.96,602,0
2018-02-12,18.74,19.14,18.45,19.14,1090,0
2018-02-13,18.47,18.47,18.47,18.47,40,0
2018-02-14,17.33,18.26,17.33,17.4,340,0
2018-02-16,15.18,15.18,15.18,15.18,70,0
2018-02-19,15.29,15.29,15.29,15.29,120,0
2018-02-22,16.16,16.16,16.16,16.16,150,0
2018-02-23,15.79,15.8,15.79,15.8,140,0
2018-02-27,13.56,13.56,13.56,13.56,70,0
2018-02-28,14.94,14.98,14.79,14.79,200,0
2018-03-01,16.08,16.08,16.08,16.08,149,0
2018-03-02,17.05,17.87,17.05,17.87,205,0
2018-03-05,17.16,17.16,17.16,17.16,5,0
2018-03-06,15.26,15.27,15.26,15.27,220,0
2018-03-07,16.19,16.19,16.19,16.19,602,0
2018-03-08,15.42,15.42,15.42,15.42,602,0
2018-03-12,13.2,13.57,13.2,13.57,420,0
2018-03-13,13.2,13.59,13.2,13.59,142,0
2018-03-14,13.78,14.04,13.78,14.04,225,0
2018-03-16,14.58,14.58,14.29,14.29,297,0
2018-03-19,15.08,15.33,15.08,15.08,500,0
2018-03-20,15.91,15.91,15.91,15.91,100,0
2018-03-21,15.66,15.66,15.54,15.54,845,0
2018-03-22,16.32,17.47,16.32,17.47,426,0
2018-03-23,18.24,18.86,18.24,18.32,275,0
2018-03-26,18.86,18.94,18.83,18.94,250,0
2018-03-27,16.84,16.89,16.84,16.89,209,0
2018-03-28,19.05,19.4,18.73,19.25,2560,0
2018-03-29,18.99,19.39,18.99,19.39,2330,0
