Date,Open,High,Low,Close,Volume,OpenInt
2012-09-13,107.44,107.44,107.44,107.44,10,0
2012-09-14,105.73,105.73,105.73,105.73,10,0
2012-11-15,98,98,98,98,5,0
2013-02-05,110,110,110,110,5,0
2013-08-28,120.2,120.23,120.2,120.23,220,0
2013-11-26,112,112,112,112,220,0
2014-06-24,123.8,123.8,123.8,123.8,5,0
2014-06-25,123.75,123.75,123.75,123.75,5,0
2014-06-26,123.7,123.7,123.7,123.7,3,0
2014-09-15,94.73,94.73,94.73,94.73,13,0
2014-11-14,60.25,60.25,60.25,60.25,2,0
2014-12-23,37.45,37.5,36.82,37,757,0
2014-12-30,32.8,32.8,32.8,32.8,100,0
2015-01-02,32.09,32.87,32.09,32.87,100,0
2015-01-05,32.28,32.28,30.47,30.5,116,0
2015-01-07,26.43,27.5,26.3,27.5,170,0
2015-01-08,27.44,27.44,27.44,27.44,8,0
2015-01-13,22.31,22.31,22.31,22.31,60,0
2015-01-14,22.31,22.77,22.31,22.77,95,0
2015-01-15,23.87,25.83,23.84,25.83,500,0
2015-01-16,24.18,24.18,24.18,24.18,40,0
2015-01-19,25.34,25.34,25.34,25.34,60,0
2015-01-20,24.3,24.3,23.57,23.57,455,0
2015-01-22,24.41,24.41,24.41,24.41,2,0
2015-01-23,25.52,25.52,25.49,25.49,77,0
2015-01-26,24.26,24.26,24,24.1,798,0
2015-01-28,24.78,24.78,24.63,24.63,63,0
2015-01-29,24.38,24.38,24.35,24.35,42,0
2015-02-02,27.47,29.6,27.47,28.51,794,0
2015-02-03,32,32,31.57,31.57,13,0
2015-02-04,32.5,32.5,31.21,31.21,200,0
2015-02-05,28.26,30,28.26,30,150,0
2015-02-06,31.74,32.2,31.74,32.2,125,0
2015-02-09,32.33,33.77,32.33,33.77,261,0
2015-02-10,32.81,33.66,32.7,32.73,1503,0
2015-02-11,31.93,31.93,31.93,31.93,1,0
2015-02-13,34.21,34.25,34.21,34.25,495,0
2015-02-16,34.75,36,34.75,35.84,81,0
2015-02-17,35.6,35.6,35.6,35.6,80,0
2015-02-18,35.29,35.29,35.29,35.29,280,0
2015-02-19,32.93,32.93,31.78,31.78,703,0
2015-02-20,33.88,33.88,33.88,33.88,500,0
2015-02-23,33.57,33.64,32.4,32.4,514,0
2015-02-24,32.79,32.79,32.79,32.79,2,0
2015-02-25,32.19,33,32.19,33,150,0
2015-02-26,35.1,35.7,35.1,35.7,890,0
2015-02-27,35.28,35.28,35.28,35.28,800,0
