Date,Open,High,Low,Close,Volume,OpenInt
2017-12-27,6.44,6.44,6.44,6.44,1600,0
2018-01-18,5.15,5.15,5.15,5.15,1600,0
2018-02-15,4.32,4.32,4.32,4.32,2000,0
2018-02-16,4.11,4.11,3.96,3.96,12000,0
2018-02-23,3.93,3.93,3.93,3.93,255,0
2018-02-27,3.78,3.85,3.78,3.85,1340,0
2018-03-01,3.78,3.78,3.78,3.78,1300,0
2018-03-02,3.42,3.42,3.39,3.39,2855,0
2018-03-05,3,3,2.9,2.9,1000,0
2018-03-06,2.65,2.82,2.64,2.73,5608,0
2018-03-08,2.75,2.75,2.59,2.63,17200,0
2018-03-09,2.55,2.55,2.55,2.55,300,0
2018-03-12,2.48,2.48,2.42,2.43,13000,0
2018-03-13,2.43,2.43,2.42,2.42,4200,0
2018-03-16,2.48,2.48,2.48,2.48,909,0
2018-03-22,2.48,2.48,2.48,2.48,550,0
2018-03-23,2.32,2.32,2.3,2.3,624,0
