Date,Open,High,Low,Close,Volume,OpenInt
2012-10-23,23.27,23.27,23.27,23.27,1,0
2012-10-26,23.11,23.11,23.11,23.11,1,0
2012-11-05,23.35,23.35,23.35,23.35,4,0
2012-11-23,23.79,23.79,23.79,23.79,400,0
2012-11-26,24,24,24,24,4,0
2013-01-02,26.31,26.31,26.31,26.31,200,0
2013-01-14,25.82,25.82,25.82,25.82,580,0
2013-01-21,25.76,25.76,25.76,25.76,244,0
2013-02-20,24.8,24.8,24.8,24.8,100,0
2013-04-03,23.4,23.4,23.4,23.4,43,0
2013-04-17,23.03,23.03,23.03,23.03,14,0
2013-04-23,22.56,22.56,22.56,22.56,43,0
2013-06-07,24.54,24.54,24.54,24.54,1180,0
2013-07-01,22.44,22.55,22.44,22.55,135,0
2013-07-15,22.88,22.88,22.88,22.88,35,0
2013-07-16,22.99,22.99,22.99,22.99,45,0
2013-07-31,23.15,23.15,23.15,23.15,55,0
2013-08-01,23.6,23.6,23.6,23.6,420,0
2013-08-14,24.52,24.52,24.52,24.52,420,0
2013-10-10,24.53,24.53,24.53,24.53,450,0
2013-11-22,25.9,25.9,25.9,25.9,220,0
2013-12-20,23.96,23.96,23.92,23.92,895,0
2014-02-07,24.2,24.2,24.2,24.2,450,0
2014-04-02,24.64,24.64,24.64,24.64,220,0
2014-05-06,23.91,23.91,23.91,23.91,895,0
2014-07-31,23.35,23.35,23.35,23.35,1,0
2014-09-08,25.44,25.44,25.44,25.44,39,0
2015-03-11,23.18,23.18,23.18,23.18,39,0
2015-03-12,23.26,23.26,23.26,23.26,500,0
2015-03-20,23.82,23.82,23.82,23.82,500,0
2015-07-13,22.87,22.87,22.87,22.87,10,0
2015-08-24,20.71,20.71,20.71,20.71,10,0
2015-10-02,20.63,20.63,20.63,20.63,18,0
2015-10-05,20.93,20.93,20.93,20.93,1,0
2015-10-07,20.99,20.99,20.99,20.99,10,0
2015-10-09,21.43,21.43,21.43,21.43,7,0
2015-11-13,20.05,20.05,19.88,19.88,211,0
2015-12-02,18.81,18.81,18.81,18.81,7,0
2016-01-07,17.57,17.57,17.57,17.57,10,0
2016-01-08,17.31,17.31,17.31,17.31,5,0
2016-02-02,17.5,17.5,17.5,17.5,70,0
2016-02-04,17.75,17.75,17.75,17.75,130,0
2016-02-05,17.96,17.96,17.96,17.96,200,0
2016-02-18,18.52,18.52,18.52,18.52,8,0
2016-03-01,18.33,18.33,18.33,18.33,2,0
2016-04-28,18.81,18.81,18.81,18.81,8,0
2016-05-04,18.75,18.75,18.75,18.75,70,0
2016-05-10,18.25,18.25,18.25,18.25,70,0
2016-05-19,18.17,18.17,18.17,18.17,140,0
2016-06-23,18.52,18.52,18.52,18.52,108,0
2016-07-05,17.3,17.3,17.3,17.3,115,0
2016-07-20,17.82,17.82,17.82,17.82,2,0
2016-08-03,18.05,18.05,18.05,18.05,60,0
2016-11-07,17.69,17.69,17.69,17.69,50,0
2016-11-10,18.23,18.23,18.23,18.23,50,0
2016-12-06,18.7,18.7,18.7,18.7,500,0
2016-12-29,19.32,19.32,19.32,19.32,100,0
2016-12-30,19.41,19.5,19.41,19.5,296,0
2017-01-02,19.65,19.65,19.64,19.64,139,0
2017-01-04,19.97,19.97,19.97,19.97,35,0
2017-01-09,19.99,19.99,19.99,19.99,100,0
2017-01-16,20.13,20.39,20.13,20.39,60,0
2017-01-18,20.06,20.06,20.06,20.06,30,0
2017-01-19,20.16,20.16,20.16,20.16,32,0
2017-01-27,20.69,20.76,20.69,20.76,72,0
2017-01-30,20.89,20.89,20.89,20.89,30,0
2017-02-06,20.95,20.95,20.95,20.95,27,0
2017-02-10,21.58,21.58,21.46,21.46,100,0
2017-02-17,22.05,22.05,21.83,21.83,105,0
2017-02-22,22.58,22.58,22.58,22.58,30,0
2017-02-27,22.21,22.21,22.21,22.21,40,0
2017-03-07,22.12,22.12,22.12,22.12,25,0
2017-03-20,22.91,22.91,22.91,22.91,50,0
2017-03-23,22.23,22.23,22.23,22.23,30,0
2017-03-28,22.1,22.1,22.1,22.1,115,0
2017-04-25,23,23,23,23,531,0
2017-05-05,23.7,23.7,23.7,23.7,60,0
2017-06-20,22.94,22.94,22.94,22.94,199,0
2017-10-02,24.78,24.78,24.78,24.78,1,0
2017-12-11,24,24,24,24,19,0
2017-12-22,24.49,24.49,24.49,24.49,20,0
