Date,Open,High,Low,Close,Volume,OpenInt
2016-09-19,63.03,63.03,61.45,61.78,5,3
2016-09-20,61.5,61.66,60.5,61.66,11,4
2016-09-21,60.9,64,60.9,62.43,11,7
2016-09-22,63.5,65.43,63.5,63.74,11,7
2016-09-23,64.33,64.33,63.55,63.55,2,8
2016-09-26,64.8,64.8,63.3,63.35,14,8
2016-09-27,64.5,64.5,63,63,13,10
2016-09-28,63.97,64.2,63.04,63.2,8,14
2016-09-29,64.49,64.49,62.43,62.43,4,12
2016-09-30,62.34,62.34,61.71,61.71,3,12
2016-10-06,62.15,62.17,61.3,61.3,3,13
2016-10-07,63.55,63.75,61.7,61.7,3,13
2016-10-10,63.31,63.31,61.9,61.9,2,13
2016-10-11,63.05,63.05,59.55,59.55,5,12
2016-10-12,60.18,60.29,59.35,59.35,8,17
2016-10-13,60.2,63,60.2,61.35,8,17
2016-10-14,62.5,62.5,60.8,60.8,4,17
2016-10-17,61.5,61.63,60.4,60.4,5,14
2016-10-18,61.47,61.47,60.82,60.82,2,14
2016-10-19,61.34,62.13,61.34,61.73,6,13
2016-10-21,61.35,61.35,61.35,61.35,1,14
2016-10-24,62.4,62.4,62.3,62.3,2,13
2016-10-25,62,62,61.95,61.95,3,10
2016-10-26,61.7,61.7,61,61,2,11
2016-10-27,61.47,61.47,60.41,60.41,4,11
2016-10-28,60.8,60.8,60.5,60.5,3,13
2016-10-31,61,61.8,60.96,61.7,4,10
2016-11-02,60.36,60.36,58.73,58.73,2,10
2016-11-03,58.23,58.31,57,57,4,14
2016-11-04,56.9,57.29,54.94,54.94,7,16
2016-11-07,54,54.99,54,54.21,8,17
2016-11-08,55.56,57.32,55.56,55.7,7,17
2016-11-09,55.59,55.64,54.98,54.98,4,20
2016-11-10,55.99,56.31,55,55.32,6,19
2016-11-14,54.7,54.7,51.86,51.86,9,20
2016-11-15,51.03,51.03,51.03,51.03,1,19
2016-11-16,51.63,51.63,51.21,51.21,3,20
2016-11-17,52.8,52.8,51.6,51.8,4,19
2016-11-18,52.36,52.36,51.82,51.82,3,21
2016-11-21,52.5,53.49,52.4,52.4,7,20
2016-11-22,54,57.04,54,56.25,10,21
2016-11-23,57.35,59.5,57.35,58.28,27,30
2016-11-24,59.48,60.25,59.45,60,9,32
2016-11-25,60.59,61.26,60.52,60.52,17,45
2016-11-28,61.2,61.39,60.75,61.06,11,47
2016-11-29,60.71,60.71,59.16,59.16,11,50
2016-11-30,59.78,60.6,59.6,60.6,4,51
2016-12-01,61.07,61.07,59.65,59.78,10,57
2016-12-02,60,60.32,59.63,60,7,59
2016-12-05,59.51,60.66,59.46,59.73,26,69
2016-12-06,60,61.44,60,61.23,21,69
2016-12-07,62,63.43,62,62,16,79
2016-12-08,63.45,67.32,63.45,66.45,30,89
2016-12-09,67.06,68.76,66.22,66.35,34,108
2016-12-12,67.17,67.97,66.55,66.55,27,126
2016-12-13,67.67,67.67,66.82,67.46,12,128
2016-12-14,66.81,66.81,65.42,65.6,7,129
2016-12-15,65.23,65.23,62,62,13,136
2016-12-16,63.64,65,63.21,65,25,145
2016-12-19,63,63.06,62.87,63.01,6,24
2016-12-20,63.92,63.92,62.09,62.71,17,25
2016-12-21,62.9,62.9,62,62,6,25
2016-12-22,62.3,62.3,60.68,61,25,25
2016-12-23,61.51,61.62,60,60,4,27
2016-12-27,62,64.24,61.91,63.25,16,27
2016-12-28,63.46,64.17,63.46,64.1,11,25
2016-12-29,64.8,64.8,64.5,64.56,3,26
2016-12-30,64.04,64.92,64.04,64.07,3,26
2017-01-02,63.73,63.78,63.49,63.78,5,27
2017-01-03,64.58,64.88,64.12,64.12,6,27
2017-01-04,65.16,65.9,65.16,65.5,10,27
2017-01-05,64.24,64.5,64.17,64.5,4,30
2017-01-09,65.25,65.96,65.25,65.73,8,29
2017-01-10,65.95,69.06,65.95,68.08,34,45
2017-01-11,69,73.02,69,72.34,22,42
2017-01-12,73.67,74.05,71.14,71.3,23,45
2017-01-13,71.52,71.81,69.35,70.05,21,58
2017-01-16,70.52,72,70.52,70.9,24,60
2017-01-17,71.4,71.93,70.87,70.94,18,68
2017-01-18,71.24,71.24,69.5,69.94,16,74
2017-01-19,69.7,70.6,69.58,70.6,11,71
2017-01-20,70.25,70.25,68.99,69.19,18,83
2017-01-23,68.5,68.95,68.09,68.12,11,83
2017-01-24,68.59,69.57,68.32,68.94,20,86
2017-01-25,69.4,71.18,69.4,70.46,25,87
2017-01-26,71,72.16,71,71.66,20,85
2017-01-27,71.7,72.39,71.7,72.39,6,84
2017-01-30,72.05,72.05,70.11,70.16,11,86
2017-01-31,69.87,70.11,68.88,68.88,8,91
2017-02-01,69.31,69.91,69.31,69.34,14,100
2017-02-02,70.16,70.47,69.31,70.47,14,95
2017-02-03,70.74,71.06,70.35,70.35,14,98
2017-02-06,71.09,71.09,69.5,69.5,15,105
2017-02-07,69.43,69.43,69.32,69.4,5,105
2017-02-08,68.25,70.06,68.22,70.06,9,100
2017-02-09,70.33,71.12,70.33,70.7,8,99
2017-02-10,71.4,72.09,70.8,70.8,10,99
2017-02-13,72.2,72.35,71,71.35,14,104
2017-02-14,71.65,71.65,69.28,71.1,34,99
2017-02-15,70.1,71.12,69.66,70.91,11,105
2017-02-16,71.16,72.29,70,70,31,120
2017-02-17,71.5,72.2,71.07,71.1,14,111
2017-02-20,70.85,71.13,70.65,70.65,5,112
2017-02-21,69.85,71.82,69.85,71.26,11,115
2017-02-22,72.05,74.47,72.05,72.81,37,133
2017-02-23,73.3,73.3,72.3,72.3,13,140
2017-02-24,72.3,72.3,70.51,71.48,15,131
2017-02-27,71.83,72.04,71.06,71.06,7,131
2017-02-28,71.64,71.64,69.65,69.65,15,138
2017-03-01,70.31,70.33,70.08,70.08,12,146
2017-03-02,70.6,71.7,70.6,71.12,31,135
2017-03-03,71,71,70.2,70.63,9,139
2017-03-06,70.3,70.99,70,70,9,137
2017-03-07,70.57,70.7,69.51,70.1,37,117
2017-03-08,69.86,69.86,69.57,69.57,2,117
2017-03-09,69.6,70.87,69.45,70.87,13,112
2017-03-10,71.46,71.46,69.84,69.84,8,115
2017-03-13,70.15,71.49,70.15,71.01,10,112
2017-03-14,71.71,71.71,70.69,70.86,7,108
2017-03-15,70.34,70.34,70.04,70.04,4,111
2017-03-16,70.3,70.3,69.48,69.53,21,116
2017-03-17,70.33,71.01,70.19,70.9,18,107
2017-03-20,70.63,70.85,69.8,69.94,15,24
2017-03-21,71.13,71.13,68.86,68.86,8,28
2017-03-22,68,68,67.33,67.6,6,28
2017-03-23,68.84,70.12,68.84,69.13,7,32
2017-03-24,70.4,70.4,69.85,69.85,3,33
2017-03-27,69.49,69.49,68.6,68.62,10,25
2017-03-28,70,70,70,70,1,25
2017-03-29,70.22,70.22,70.22,70.22,1,24
2017-03-30,70.24,70.24,70.24,70.24,1,23
2017-04-03,69.85,69.99,69.37,69.37,3,25
2017-04-04,69.14,69.14,68.72,68.72,2,25
2017-04-05,68.4,68.4,68.4,68.4,2,26
2017-04-06,69.1,69.1,69.1,69.1,1,25
2017-04-10,69.44,69.44,69.44,69.44,1,24
2017-04-11,68.48,68.48,68.48,68.48,1,25
2017-04-12,69.5,69.5,69.5,69.5,1,25
2017-04-18,69.22,69.22,67.25,67.4,35,27
2017-04-19,67.18,67.48,66.97,67.39,5,28
2017-04-20,68.27,68.36,68.27,68.36,2,29
2017-04-21,69.02,69.02,68.05,68.05,3,29
2017-04-24,69.15,69.61,69.15,69.61,2,30
2017-04-25,70.01,70.01,69.1,69.1,3,32
2017-04-26,69.71,70.5,69,69,4,34
2017-04-27,70.1,70.1,69.26,69.68,7,35
2017-04-28,69.58,69.58,69,69,2,35
2017-05-02,69.15,69.15,68.21,68.21,4,36
2017-05-04,68.8,68.8,67.44,67.44,2,36
2017-05-05,67.7,67.76,67.3,67.42,5,33
2017-05-08,68.6,68.6,67.8,68,4,30
2017-05-09,68,68.2,66.67,66.67,3,30
2017-05-10,67.49,67.49,66.21,66.21,3,29
2017-05-11,66.4,66.49,66.4,66.49,3,27
2017-05-12,67.33,67.33,66.37,66.37,3,26
2017-05-15,67,67,65.9,65.9,3,25
2017-05-16,65.31,65.31,65.31,65.31,1,25
2017-05-17,64.81,64.81,63.78,63.78,2,24
2017-05-18,63.4,63.53,62.42,62.98,12,27
2017-05-19,63.42,64.8,63.42,64.8,4,27
2017-05-23,65.7,65.7,63.45,63.45,3,27
2017-05-24,63.51,63.6,63.33,63.33,5,29
2017-05-25,64.3,64.3,63.9,63.9,3,30
2017-05-26,64.66,64.66,64.02,64.02,2,30
2017-05-29,64.69,64.69,64.69,64.69,1,30
2017-05-30,63.74,63.74,63.5,63.5,2,28
2017-05-31,63.24,63.24,62.45,62.45,3,30
2017-06-01,62.05,62.07,62.05,62.07,2,30
2017-06-02,64.73,65,64,64.22,7,28
2017-06-06,64.06,65.47,64.06,64.95,8,27
2017-06-07,66.16,66.17,63.96,63.96,7,27
2017-06-08,64.66,65.6,64.66,65.08,3,25
2017-06-09,66.32,67.46,66.32,66.99,4,28
2017-06-12,67.91,68,67.55,67.55,5,30
2017-06-14,67.94,67.94,67.48,67.48,6,30
2017-06-16,69,69,66.59,67.66,19,26
2017-06-19,67.25,67.25,67.25,67.25,1,8
2017-06-20,66.85,67.04,65.08,65.08,5,11
2017-06-21,65.41,66.24,65.41,66.24,2,13
2017-06-22,66.79,66.79,66.79,66.79,1,13
2017-06-23,67.75,67.75,67.75,67.75,1,13
2017-06-26,69,69.01,68.86,68.86,3,13
2017-06-27,69,69,68.49,68.49,3,14
2017-06-28,64.18,64.18,63.05,63.2,18,24
2017-06-29,63.68,64.09,62.82,63.04,15,34
2017-06-30,63.13,63.13,61.34,61.34,4,36
2017-07-03,62.27,62.27,61.91,61.91,3,33
2017-07-05,61.96,61.96,61.96,61.96,1,32
2017-07-06,63.75,64,63.6,63.6,6,33
2017-07-07,63.81,63.81,63.39,63.39,2,33
2017-07-10,63.64,63.64,62.62,62.62,2,33
2017-07-11,62.34,62.34,62.34,62.34,1,34
2017-07-12,63.43,64.62,63.43,63.45,4,36
2017-07-13,64.5,65.83,64.5,65.83,6,37
2017-07-14,66.61,66.79,65.62,66.33,8,39
2017-07-17,67.5,67.79,65.5,65.71,12,48
2017-07-18,66.11,66.11,63.87,63.87,6,50
2017-07-19,64.36,64.36,63.8,63.8,2,50
2017-07-20,65.11,65.79,65.11,65.17,6,51
2017-07-21,65.5,65.88,65.5,65.74,3,48
2017-07-24,66.3,66.3,66.28,66.28,2,48
2017-07-25,67.39,67.49,67.08,67.08,3,48
2017-07-26,68.13,68.28,67.95,68.15,8,48
2017-07-27,68.6,68.6,67.25,67.25,6,48
2017-07-28,67.55,68.27,67.5,67.98,8,44
2017-07-31,68.47,69.31,68.37,69.12,8,45
2017-08-01,70,71.06,70,70.52,15,43
2017-08-02,71.2,71.3,70.89,70.89,8,44
2017-08-03,71.21,71.21,70.66,70.66,4,42
