Date,Open,High,Low,Close,Volume,OpenInt
2017-11-02,468,468,454.5,454.5,2,0
2017-11-14,460.6,474.3,460.6,474.3,2,0
2017-11-28,475.4,475.4,475.4,475.4,1,1
2017-12-08,461,461,461,461,1,2
2017-12-11,459,459,458.4,458.4,2,2
2017-12-12,468,468,468,468,1,3
2017-12-13,469,469,469,469,1,4
2017-12-14,467.4,475,467.4,475,6,10
2017-12-18,472.95,479.5,472.95,479.5,9,15
2017-12-19,479,484.7,479,484.7,4,18
2017-12-21,480.7,480.7,480.7,480.7,1,17
2017-12-28,479.2,484,473,473,13,14
2017-12-29,469,469,467,467,2,12
2018-01-03,465,472,460.2,472,5,13
2018-01-04,488.5,489,488.5,489,2,15
2018-01-05,505,505,495,502.2,18,13
2018-01-08,499.8,500.9,498.1,500.9,12,21
2018-01-09,497,497,491,491,14,13
2018-01-10,485.8,490.1,485.8,486,5,12
2018-01-11,490,490,487.55,487.55,6,14
2018-01-12,483.5,483.5,483.5,483.5,1,15
2018-01-15,486.1,490,486.1,490,5,17
2018-01-16,493.3,511,487,511,18,21
2018-01-17,515,516,504,516,6,23
2018-01-18,516.25,520.5,516.25,520.5,4,27
2018-01-19,511,523,511,522.9,6,28
2018-01-22,520,522,515,522,11,26
2018-01-23,527.5,535,527.5,529,12,26
2018-01-24,520,531.25,520,531.25,4,24
2018-01-25,526.7,526.7,522.5,522.5,11,23
2018-01-26,520,520,520,520,1,23
2018-01-29,522,524,522,524,4,27
2018-01-30,509.55,509.55,507.5,507.5,5,22
2018-01-31,520.25,520.25,514.45,514.45,2,22
2018-02-01,520,524.45,514.5,517.2,11,27
2018-02-02,518,518,507,507,7,21
2018-02-05,502.2,513.9,502.2,513.8,9,23
2018-02-06,503.8,506.5,485.2,485.2,10,17
2018-02-07,488.1,495,484.2,495,9,15
2018-02-08,505,505,489.5,489.5,4,16
2018-02-09,477.7,484.8,477.6,480,5,15
2018-02-12,485,487.65,485,485.25,7,15
2018-02-13,482.75,482.75,482.75,482.75,1,16
2018-02-14,482,482,479.45,480.75,3,17
2018-02-15,484.3,485,480.5,480.5,5,17
2018-02-16,485,485,477.45,477.45,4,17
2018-02-19,478.3,478.3,473.3,473.3,2,19
2018-02-20,477.3,477.3,475.75,475.75,2,18
2018-02-21,475,477.85,475,477.85,2,18
2018-02-22,477,490.2,476.7,490.2,14,21
2018-02-23,487.95,487.95,476.25,476.25,7,20
2018-02-26,476,476.9,466.2,466.2,17,22
2018-02-27,466.2,466.2,459,459,3,22
2018-02-28,462,472,458.65,461.5,15,17
2018-03-01,450.9,455.5,449.25,451.4,9,15
2018-03-02,444.75,444.75,439.75,443.2,7,13
2018-03-05,453.35,453.35,452,452,2,13
2018-03-06,448,448,448,448,1,12
2018-03-07,446.95,449.6,446.95,449.6,2,12
2018-03-08,455.95,455.95,451.5,453,5,12
2018-03-09,448.1,450,444,449.5,8,9
2018-03-13,467,467,461.25,461.25,8,8
2018-03-14,456.25,456.25,450.2,450.2,2,8
2018-03-15,451,451,449.95,449.95,2,8
2018-03-16,453,453,443.5,443.5,4,11
