Date,Open,High,Low,Close,Volume,OpenInt
2007-08-23,120996,120996,120996,120996,0,0
2007-08-24,122530,122530,122530,122530,0,0
2007-08-27,123867,123867,123867,123867,0,0
2007-08-28,123690,123690,123690,123690,0,0
2007-08-29,123034,123034,123034,123034,0,0
2007-08-30,122058,122058,122058,122058,0,0
2007-08-31,124669,124669,124669,124669,0,0
2007-09-03,126123,126123,126123,126123,0,0
2007-09-04,126772,126772,126772,126772,0,0
2007-09-05,125752,125752,125752,125752,0,0
2007-09-06,124590,124590,124590,124590,0,0
2007-09-07,122614,122614,122614,122614,0,0
2007-09-10,120083,120083,120083,120083,0,0
2007-09-11,120991,120991,120991,120991,0,0
2007-09-12,119926,119926,119926,119926,0,0
2007-09-13,120342,120342,120342,120342,0,0
2007-09-14,119979,119979,119979,119979,0,0
2007-09-17,119522,119522,119522,119522,0,0
2007-09-18,120186,120186,120186,120186,0,0
2007-09-19,123769,123769,123769,123769,0,0
2007-09-20,124112,124112,124112,124112,0,0
2007-09-21,124139,124139,124139,124139,0,0
2007-09-24,122910,122910,122910,122910,0,0
2007-09-25,121919,121919,121919,121919,0,0
2007-09-26,122129,122129,122129,122129,0,0
2007-09-27,122019,122019,122019,122019,0,0
2007-09-28,120837,120837,120837,120837,0,0
2007-10-01,119580,119580,119580,119580,0,0
2007-10-02,120737,120737,120737,120737,0,0
2007-10-03,120934,120934,120934,120934,0,0
2007-10-04,120856,120856,120856,120856,0,0
2007-10-05,123084,123084,123084,123084,0,0
2007-10-08,123677,123677,123677,123677,0,0
2007-10-09,124834,124834,124834,124834,0,0
2007-10-10,125626,125626,125626,125626,0,0
2007-10-11,128005,128005,128005,128005,0,0
2007-10-12,128492,128492,128492,128492,0,0
2007-10-15,129540,129540,129540,129540,0,0
2007-10-16,128127,128127,128127,128127,0,0
2007-10-17,128116,128116,128116,128116,0,0
2007-10-18,125973,125973,125973,125973,0,0
2007-10-19,127133,127133,127133,127133,0,0
2007-10-22,124475,124475,124475,124475,0,0
2007-10-23,125915,125915,125915,125915,0,0
2007-10-24,125565,125565,125565,125565,0,0
2007-10-25,125544,125544,125544,125544,0,0
2007-10-26,124236,124236,124236,124236,0,0
2007-10-29,124948,124948,124948,124948,0,0
2007-10-30,124628,124628,124628,124628,0,0
2007-10-31,123644,123644,123644,123644,0,0
2007-11-02,122002,122002,122002,122002,0,0
2007-11-05,121144,121144,121144,121144,0,0
2007-11-06,120222,120222,120222,120222,0,0
2007-11-07,116487,116487,116487,116487,0,0
2007-11-08,115168,115168,115168,115168,0,0
2007-11-09,115573,116246,111917,112820,0,0
2007-11-12,111841,112820,109749,110616,0,0
2007-11-13,110905,110905,109266,110402,0,0
2007-11-14,113359,113359,110460,110460,0,0
2007-11-15,110460,110460,103145,104324,0,0
2007-11-16,103373,105840,100515,105840,0,0
2007-11-19,106568,106703,103636,104831,0,0
2007-11-20,104662,104662,103090,103090,0,0
2007-11-21,102477,102477,99940,99940,0,0
2007-11-22,99434.4,104004,99434.4,104004,0,0
2007-11-23,104660,106322,104660,105999,0,0
2007-11-26,107244,107501,104703,104809,0,0
2007-11-27,103886,104040,102757,103649,0,0
2007-11-28,104447,105511,103396,105511,0,0
2007-11-29,107413,107748,106622,106622,0,0
2007-11-30,107012,109487,107012,109487,0,0
2007-12-03,110384,110384,108689,110103,0,0
2007-12-04,110103,110103,109019,109885,0,0
2007-12-05,110141,112887,109846,111226,0,0
2007-12-06,113480,113480,111341,111341,0,0
2007-12-07,112421,112421,111330,112192,0,0
2007-12-10,112541,112637,111911,111911,0,0
2007-12-11,112265,112265,109889,110532,0,0
2007-12-12,108296,109802,108296,109526,0,0
2007-12-13,109178,109367,108221,109101,0,0
2007-12-14,109213,109292,107967,108783,0,0
2007-12-17,108137,108137,106319,107490,0,0
2007-12-18,107411,107482,105341,107224,0,0
2007-12-19,107381,107381,105443,107263,0,0
2007-12-20,106479,107213,105979,107213,0,0
2007-12-21,107934,107990,106839,107990,0,0
2007-12-27,108953,109359,108207,109359,0,0
2007-12-28,112757,112757,110591,110591,0,0
2008-01-02,111053,112111,111043,112111,0,0
2008-01-03,111341,111593,109624,111593,0,0
2008-01-04,111266,111480,109540,109540,0,0
2008-01-07,108347,108347,105859,105859,0,0
2008-01-08,105041,105394,103594,104797,0,0
2008-01-09,103251,103251,99546.7,99546.7,0,0
2008-01-10,99218.5,99218.5,95350.9,95590.5,0,0
2008-01-11,95563,95865,93663.7,93744.3,0,0
2008-01-14,91891.1,91891.1,91891.1,91891.1,0,0
2008-01-15,91422.6,92885.1,89327.7,89828.4,0,0
2008-01-16,84799.3,87161.8,84799.3,87161.8,0,0
2008-01-17,88959.8,88959.8,86812.6,87201.4,0,0
2008-01-18,87503.8,87977.2,86337.3,87977.2,0,0
2008-01-21,87011.2,87228.7,84137.7,84227,0,0
2008-01-22,79552.1,85938.3,79552.1,85938.3,0,0
2008-01-23,87892.2,88622.9,85762.5,86828.3,0,0
2008-01-24,90450.4,91178.7,89494.6,91178.7,0,0
2008-01-25,93445,93445,91478.4,91529.6,0,0
2008-01-28,89041.8,89900.7,89041.8,89794.4,0,0
2008-01-29,90939,92581.6,90939,92413.5,0,0
2008-01-30,93017.1,94300.5,92502.5,93140.2,0,0
2008-01-31,93122.1,93122.1,91528.9,92460.2,0,0
2008-02-01,93308.4,94748.8,93308.4,94748.8,0,0
2008-02-04,95585.2,96295.4,94840.5,95243.3,0,0
2008-02-05,94950.9,94950.9,92814.3,93217,0,0
2008-02-06,90516.4,93334.4,90516.4,93334.4,0,0
2008-02-07,93649.6,93649.6,91170.2,91738.1,0,0
2008-02-08,92955.3,92955.3,91768.7,92487.4,0,0
2008-02-11,92767.7,93326.8,92752.8,92988.7,0,0
2008-02-12,93706.2,94714.8,93065,94714.8,0,0
2008-02-13,94744.5,95969.8,94626,95914.4,0,0
2008-02-14,97297,97297,95934.8,95951,0,0
2008-02-15,95616.7,95616.7,95029.1,95436.5,0,0
2008-02-18,95495.2,95981.6,95429.2,95949.5,0,0
2008-02-19,96046.8,96046.8,95185.4,95766.4,0,0
2008-02-20,95211.3,95211.3,94324.3,94503.6,0,0
2008-02-21,95115.6,95200.6,93769.2,93823,0,0
2008-02-22,93761.3,93761.3,92558.9,93171.8,0,0
2008-02-25,93363.3,93956.2,93081.9,93238,0,0
2008-02-26,93805.2,93887.4,92682.1,93132.7,0,0
2008-02-27,93226.6,93229.5,92448.3,92745,0,0
2008-02-28,93245.3,93245.3,91577.8,91892.9,0,0
2008-02-29,91952.2,91952.2,90265,90330.2,0,0
2008-03-03,88837.5,88837.5,87380.6,87867.2,0,0
2008-03-04,88105.7,88125.1,86860.1,87237.4,0,0
2008-03-05,87455,87909.4,87023.1,87909.4,0,0
2008-03-06,87755.5,87914.5,87312.1,87613.7,0,0
2008-03-07,86710.3,87173.8,85880.9,87173.8,0,0
2008-03-10,86863.1,87959.1,86832.1,87959.1,0,0
2008-03-11,87526.5,89314.9,87526.5,89314.9,0,0
2008-03-12,90744.2,90853.2,89314.9,90399.4,0,0
2008-03-13,89384.1,90399.4,88154,88724.4,0,0
2008-03-14,88689.7,89741,88689.7,89146,0,0
2008-03-17,87911.5,87911.5,86368.9,87771.1,0,0
2008-03-18,87516.7,89132.4,87516.7,88770.2,0,0
2008-03-19,89152,89227.7,88304.9,89227.7,0,0
2008-03-20,88520.5,88904.1,88435.6,88739.7,0,0
2008-03-25,82358.8,83810.5,82358.8,83810.5,0,0
2008-03-26,83954.5,84329.4,83775.9,84296.6,0,0
2008-03-27,84416.5,85743.6,84296.6,85514.6,0,0
2008-03-28,85593.6,85728.6,84799.6,85112.9,0,0
2008-03-31,85648.4,85648.4,85648.4,85648.4,0,0
2008-04-01,85356.8,86373.2,85356.8,86373.2,0,0
2008-04-02,86929.5,86994.6,86230.2,86943.5,0,0
2008-04-03,86951.5,86955,86349.6,86507.5,0,0
2008-04-04,86363.2,87128.7,86287.2,87128.7,0,0
2008-04-07,87543.3,87664.1,86846.4,86846.4,0,0
2008-04-08,86928.1,86928.1,86141.6,86503.2,0,0
2008-04-09,86101.6,86952.5,85948.2,86952.5,0,0
2008-04-10,86931.9,86952.5,86281.6,86530.9,0,0
2008-04-11,86847.2,87109.5,85792.7,86151.8,0,0
